[00:00:00] 欢迎大家来到呃这个学期的第一次hacking day
[00:00:03] 我说过我们每个呃月就呃每以每四次课
[00:12:21] 一个一个字符你就可以理解
[00:12:23] 简单理解就是一个一个单词或者一个一个字符
[00:12:25] 好把这个题放过来
[00:12:26] 放过来以后
[00:12:27] 他通过大量的数据来训练好
[00:12:30] 然后这个模型就可以一个一个
[00:12:34] 他每次输出下一个字
[00:12:36] 比如说int
[00:12:38] 空格
[00:12:39] main括号
[00:12:42] 他每次都可以输出一个字符或者一一小组字符
[00:12:46] 然后这个字符完全就是前面所有
[00:12:48] 他看到东西的一个概率分布
[00:12:49] 然后他竟然就可以这么顺序的写代码
[00:12:51] 写代码写代码
[00:12:52] 就他写代码的方式和人类是很不一样的
[00:12:55] 你你们写代码的时候
[00:12:57] 用的是那种叫结构化的程序设计
[00:12:59] 你会先想
[00:13:00] 先想好我
[00:13:01] 我为了解决这个编程的问题
[00:13:02] 我要分成ABC3步
[00:13:04] 第一步我是要把程序啊要把数据读出来
[00:13:08] 然后变成把它建成一个呃graph
[00:13:11] 然后第二个是我要实现一个图的
[00:13:14] 这个这个graph的
[00:13:15] 什么floor washout的最短路径的算法
[00:13:18] 第三步是你要把那个算法的结果怎么加工呢
[00:13:20] 再呃再再输出来
[00:13:21] 所以你你会你你你会写三个
[00:13:24] 先会把main先把main写出来
[00:13:28] 把main写出来以后
[00:13:29] 你会留一些空白
[00:13:30] 然后说大概这个事情我先要做A再要做B
[00:13:33] 再要做C
[00:13:34] 然后但是呃机器不是这样写的
[00:13:37] 就当时alpha code出来的时候
[00:13:38] 我们都很惊讶哈
[00:13:39] 我们在热议这个
[00:13:41] 为什么他能他能写代码
[00:13:43] 后来我们想通了
[00:13:45] 他为什么能能写代码呢
[00:13:47] 无非就是你在解决这些问题的时候
[00:13:51] 你会在草稿纸上
[00:13:53] 可以在草稿纸上做一些推导
[00:13:54] 然后写一个伪代码
[00:13:56] 写个伪代码
[00:13:57] 比如说就要做ABC
[00:13:58] 然后ABC分别是干什么
[00:14:00] 然后当你把这个伪代码想清楚了以后
[00:14:04] 写代码就变成了一个机器翻译
[00:14:06] 就相当于是翻译从一个语言翻译成另外语
[00:14:09] 一个语言的过程
[00:14:10] 你是几乎可以不经过大脑的
[00:14:13] 或者说我我我自己有一个很深刻的体会
[00:14:15] 就比如说我作为一个程序设计竞赛的职业选手
[00:14:18] 我在这个领域里面受的最重要的预训练
[00:14:21] 就是我可以非常自如地写代码
[00:14:24] 我可以把我自己的想法
[00:14:26] 以一种接近于顺序的形式
[00:14:28] 虽然我我写代码也不完全是顺序的
[00:14:30] 以一种接近顺序的形式把它一直接写下来
[00:14:34] 因为我我专门练过这件事
[00:14:35] 你们你们可能觉得有点匪夷所思
[00:14:37] 所以所以我觉得我作为上一个时代的人
[00:14:39] 你们作为新时代的人
[00:14:41] 你可以听一点老人的故事
[00:14:43] 以前我参加比赛的时候
[00:14:45] 我们那个比赛三个人一台计算机
[00:14:48] 听起来很奇怪
[00:14:50] 你们你们在今天呃AGGENTICAI的时代
[00:14:53] 你会你会想
[00:14:53] 我还
[00:14:54] 我应该是部署这个十个100个parallel的agent
[00:14:57] 来帮我解决这个事情
[00:14:58] 但那个时候不是的
[00:14:59] 我们有我们有三个三个人在一起
[00:15:02] 但是只有一台计算机
[00:15:04] 在一台计算机的时候
[00:15:04] 就意味着
[00:15:06] 我们我可能会和我的队友抢计算机的时间
[00:15:10] 所以我就训练过我自己
[00:15:12] 有这样的一个能力
[00:15:13] 说我说我可以在纸上写代码
[00:15:15] 然后在纸上写代码
[00:15:16] 就是一个和这个一样的过程
[00:15:18] 我会写int main
[00:15:23] 啊然后我我会马上会知道我要定义哪些变量
[00:15:27] 然后定义完了以后
[00:15:29] 我我我会我真的是可以
[00:15:32] 我真的是在在赛场上
[00:15:33] 我可以写整整三页纸的A4A4A四纸的代码
[00:15:37] 然后我我我可能就看一遍
[00:15:39] 然后修修掉一些小错
[00:15:41] 然后我我tab进去
[00:15:42] 这个程序可以编译的
[00:15:43] 而且他是对的呃呃呃就就可以
[00:15:45] 人人类是完全可以做到做到这个情况的
[00:15:48] 而如果人类能做到那个时候
[00:15:51] 其实机器翻译已经做得很好了
[00:15:53] BERT的这个在BT系列的模型
[00:15:56] 在机器翻译上已经表现出了相当好的呃水平
[00:16:01] 有有在那个时候
[00:16:02] 我们已经像这种google translation啊什么的
[00:16:05] 都已经在在在每天我们都在用它了
[00:16:08] OK所以那那那个时候我们就想通了
[00:16:12] 其实神经网络所谓的
[00:16:14] 比如说像像大圆模型transformer这样的模型
[00:16:17] 只要你给他足够大的参数
[00:16:19] 就刚才我们说这大语言模型第一个大
[00:16:22] 他得他得大
[00:16:24] 然后它只要大到能够在那个脑子里面
[00:16:28] 他的短期记忆里
[00:16:29] short term memory里面也有点像人
[00:16:32] 人的短期记忆力
[00:16:33] 只要他能在短短期里面
[00:16:34] 把把根据这个想出来的结果就放在那
[00:16:39] 或者说你能够想出这个伪代码
[00:16:41] 但是你不用写出来
[00:16:43] 其实你们也可以的
[00:16:44] 你们你们你们高考做数学题的时候
[00:16:47] 你们的老师也做不过你们它的速度
[00:16:52] 就你可能是有些题目他能做出来
[00:16:54] 你做不出来
[00:16:55] 但是老师的解题速度很有可能是不如你们的
[00:16:57] 就是因为你们在你们年轻的大脑
[00:17:00] 受了过度的训练
[00:17:01] 使得你们的短期记忆里面
[00:17:03] 可以容纳大量的解题步骤
[00:17:07] 那个什么三角函数
[00:17:08] 在这个在这个脑子里面
[00:17:10] 是怎么一步一步转换的
[00:17:12] 如果是我的话
[00:17:13] 我现在肯定得呃要写
[00:17:15] 要一步一步推
[00:17:16] 就就比如说我像我在我在上
[00:17:20] 可能像像你们这么大的时候
[00:17:22] 我是可以可以心算什么
[00:17:24] ARTANX这种的这个不定积分的
[00:17:26] 但我现在肯定是做不到的
[00:17:28] 就是人是可以被训练成这样的
[00:17:29] 所以人如果能被训练成这样大语言模型
[00:17:32] 加上大量的语料
[00:17:34] 就没有没有任何道理
[00:17:36] 它不能不能在脑子里面
[00:17:38] 在他在看到一个在在看到一个
[00:17:42] 这是context的时候
[00:17:44] 在相当于在他脑子里面就形成了一个idea
[00:17:47] 根据contest
[00:17:48] 他就把这个idea想清楚
[00:17:50] 虽然虽然在那个时候
[00:17:51] 地球人都不知道应该训练什么样的网络
[00:17:54] 最终能够能够把这件事情搞定
[00:17:56] 但是从理论上
[00:17:57] 从道理上这件事情是可以的
[00:17:58] 然后形成一个idea以后
[00:17:59] 我就根据这个idea就可以
[00:18:01] 不断的就变成了一个翻译
[00:18:03] 不绝对
[00:18:05] 这只这只是一些呃不严格的arguments
[00:18:09] 但是你你可能会在那个时候会相信
[00:18:12] 所以为什么那个时候会有人相信
[00:18:13] 去做这种呃疯狂的事情
[00:18:15] 在那个时候我们看起来看起来极为疯狂的事情
[00:18:18] 在事后回头再理解的时候
[00:18:20] 会觉得哦他其实是非常的呃合理的
[00:18:23] 然后好你就接着想接着想
[00:18:26] 诶我是不是漏了1slides
[00:18:28] OK我漏了一页size
[00:18:30] 所以我正好可以给大家看一下
[00:18:32] 看一下我的一堂课是什么样的
[00:18:35] 比如说我的呃lecture four
[00:18:39] 你之前看到的每一个lecture
[00:18:41] 都是这样的一份呃代码
[00:18:47] OK我知道了
[00:18:48] 我有两个函数重名了
[00:18:53] 我要播放一张幻灯片
[00:18:54] 我就是调用一个函数
[00:18:55] 然后调用一个函数
[00:18:58] 你你看到的实际效果就是多了一个幻灯片的像
[00:19:02] 所以你看到了
[00:19:03] 比如说这里是呃大圆模型的进化
[00:19:07] 然后在这里就是一个函数调用
[00:19:08] 但呃有有趣的地方在于
[00:19:12] 比如说我在这里
[00:19:13] 在这里调用的是我的os lecture点life
[00:19:16] 那么呃调用点life
[00:19:18] 你看到的就是这个界面
[00:19:20] 但如果我调用的是另外一个函数
[00:19:22] 比如说lecture notes的生成的话
[00:19:23] 它就会生成自动生成一份
[00:19:25] 你们在我的课程主页上面看到的
[00:19:27] Lecture notes
[00:19:28] 对好
[00:19:29] 刚才我我讲到大圆模型是这样工作的
[00:19:32] 嗯说白了他就是在在脑子里面
[00:19:35] 根据过去的过去看到的所有的东西
[00:19:38] 当然有一个机制叫attention
[00:19:40] 叫注意力
[00:19:40] 它可以根据过去发生的看到的东西
[00:19:43] 然后注意到一些特别重要
[00:19:46] 和我现在要做的事情相关的词
[00:19:48] 然后呃从而正确的得到
[00:19:51] 我下一个词词应该是什么
[00:19:53] 以及其实大圆模型在输出下一个词的时候
[00:19:58] 其实后面很多很多词
[00:19:59] 它已经基本上已经想的7788了
[00:20:01] 这个做神经网络的人经常喜欢研究这样的
[00:20:05] 这样的现象
[00:20:06] 对虽然有未来
[00:20:07] 还有一些有些地方是不确定的
[00:20:09] 不是很确定
[00:20:09] 但是很有可能是
[00:20:10] 当你已经这个词已经想清楚的时候
[00:20:12] 后
[00:20:13] 后面已经想想的非常清楚了
[00:20:14] 这和翻译是
[00:20:16] 翻译是非常像的
[00:20:17] 所以在这个框架下
[00:20:19] 我觉得这个框架就和人真的很像
[00:20:23] 他不就是人嘛
[00:20:23] 人就是我
[00:20:24] 我就是这样写代码
[00:20:25] 真的就是这样写代码的
[00:20:26] 我真的就是在呃物理世界里面
[00:20:30] 就是这样解决每一个问题的
[00:20:33] 今天吃什么
[00:20:34] 我要想今天晚上吃什么的时候
[00:20:36] 我我我脑袋里面是这个问题
[00:20:38] 还有当前比如说我现在所处的位置
[00:20:41] 然后我现在心情
[00:20:42] 然后我就会往后后面这个思考
[00:20:45] 往后往后往后往后往后
[00:20:46] 这是一个非常符合人类呃思考过程的呃架构
[00:20:51] 所以也很自然的后面
[00:20:54] 大家就把各种各样的呃能力往这个模型上面加
[00:20:59] 比如说呃怎么样
[00:21:01] 怎么样让这个大圆模型能够能够看到图片呢
[00:21:07] 怎么让大圆模型能够看到图片呢
[00:21:08] OK实际上是每一个你你的每一个字
[00:21:12] 实际上它都是一个向量
[00:21:13] 什么0.35
[00:21:14] 0.01等等
[00:21:16] 一个每一个你的每一个词或者这个地方叫token
[00:21:22] 每个token它都是一个向量
[00:21:23] 所以他如果想要看到一个
[00:21:26] 想要所谓的看到一个图片
[00:21:28] 他也只要把一个16×16的一小
[00:21:33] 图片的一小块在这变成一个向量
[00:21:35] 然后下一个16×16的再变成一个向量
[00:21:38] 然后我就把人类的另外一种感官系统
[00:21:42] 也也也放进来了
[00:21:43] 所以当时
[00:21:45] OpenAI在在做出这个GPP4O的时候
[00:21:49] 我们都觉得是
[00:21:50] 这是一个非常有趣的呃有趣的尝试
[00:21:53] 因为他把声音图像
[00:21:56] 各种各样的人类的感官也都放对齐
[00:22:00] 到同样的一个呃空间里面
[00:22:01] 因为因为刚才说嘛大语言模型
[00:22:04] 大是必须的
[00:22:04] 然后语言是人类世界形成的
[00:22:07] 几万年以来形成的一个世界模型的抽象
[00:22:10] 然后如果我们把所有东西都对齐到语言模型
[00:22:12] 学出来的东西上
[00:22:13] 那那也完全是完全是有可能的
[00:22:17] 然然后这样呃AI就学会了
[00:22:19] 看AI就有了眼睛和耳朵
[00:22:21] 然后有了眼睛和耳朵以后
[00:22:23] 还可以给AI一个草稿纸
[00:22:24] 我很喜欢
[00:22:26] 很喜欢这样的一句话
[00:22:28] 他说如果啊呃如果你是
[00:22:31] 这是一个给研究生的建议
[00:22:33] 说如果你你们未来要从事一些呃研究工作
[00:22:36] 那么如果你把所有东西都放在你的脑子里面
[00:22:40] 那你你就是一个有限状态机
[00:22:44] 有限状态机
[00:22:45] 因为你的脑子的容量是有限的
[00:22:47] 你每次只是在空想
[00:22:48] 但如果你有了呃paper和pencil
[00:22:52] 你就是一个图灵机
[00:22:54] 你就有了无限的working memory
[00:22:56] 然后你在计算模型上面
[00:22:58] 就产生了计算能力的呃差异
[00:23:01] 也就是说你你这样想一个有无限的
[00:23:06] 只有无限计算能力的
[00:23:08] 无限内存的计算机和一个有限内存计算机
[00:23:11] 它们能算东西是完全不一样的
[00:23:13] 完全不一样的呃所以所以这是在劝说大家
[00:23:17] 要把你们所想的东西要记下来
[00:23:19] 这个要要多推导一样呢
[00:23:21] 我们也可以呃让大语言模型学会这一点
[00:23:26] 哪怕它不是无限的
[00:23:28] 但如果我们的大圆模型的上下
[00:23:31] 它能够处理的context越来越长
[00:23:33] 我们完全可以让大模型来自己
[00:23:36] 一步一步一步的把一个问题解决
[00:23:39] 打打个比方
[00:23:40] 比如说啊我们不用嗯不用那么困难的例子
[00:23:45] 123+4
[00:23:48] 在早期的时候
[00:23:49] chat gt g p t是做不对
[00:23:51] 这个加法的加法都做不对
[00:23:54] 不要说乘法了
[00:23:55] 但其实你们上过小学的同学都知道
[00:24:00] 这个式子你可以往后写嘛
[00:24:02] 等于123
[00:24:04] 比如说等于100+20加3+400加50+6
[00:24:10] 就你们我们上小学的时候
[00:24:12] 大家都记得是列竖式算
[00:24:14] 竖式它因为竖式放在一个二维的平面上
[00:24:17] 对人来说更容易理解
[00:24:18] 但其实如果在文本空间里
[00:24:20] 完全也是可以做这件事的
[00:24:21] 然后你的注意力你注意到123+456
[00:24:24] 你就可以把它像用翻译的方式写成这个
[00:24:27] 然后你你的注意力再注意到下面我要做百位了
[00:24:30] 我就是100+400
[00:24:33] 再加20+50
[00:24:35] 加3+6好
[00:24:37] 你接下来
[00:24:38] 然后我再注意到这个相邻的加法可以加起来
[00:24:41] 然后我就可以把
[00:24:42] 看起来我走的远路
[00:24:44] 看起来我走远了
[00:24:45] 这个是是可以直接在心算里面算出来的
[00:24:48] 但是我降低了这个训练
[00:24:51] 数据训练这个清算这个的难度
[00:24:54] 我不需要心算
[00:24:54] 它不需要用大量的数据
