[00:00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[00:08:43] 对啊只有匹配任务的时候才啊才读取完整的skill点MD
[00:08:49] 然后以及还有工具的定义
[00:08:50] 你看它它的工具也是直接以文本的形式出现在它的上下文里了
[00:08:56] 然后以及绘画的绘画的历史
[00:08:58] 环境变量每一次执行诶
[00:09:01] 这是这是大家所不知道的
[00:09:03] 每一次执行都会注入当前的一些环境
[00:09:07] 比如说模型
[00:09:08] 甚至是当前的时间
[00:09:10] 如果你和这个DeepSeek chat去聊天的话
[00:09:13] 你可以把他的那个每次注入的环境给套出来
[00:09:16] 这个不属于系统提示词
[00:09:17] 你是可以可以可以跟他
[00:09:20] 把它把它套出来的
[00:09:21] 所以这是一个非常长的啊序列
[00:09:23] 那我们要做的上所谓的上下文工程
[00:09:26] 提示词工程
[00:09:27] 就是把所有的这些都啊安排好安排好呃对所以刚才其实我就演示了
[00:09:35] 在AI时代我们学习应该怎么样
[00:09:37] 我们呃不仅可以像刚才那样把他问清楚
[00:09:41] 以及在你不明白的时候追问
[00:09:43] 你还可以把它反过来
[00:09:46] 大家可能听说过这个叫费曼学习法
[00:09:48] 就是你你你怎么能够判定你是不是理解这个知识了
[00:09:52] 反过来你当老师
[00:09:54] 然后这件事情在你做就是我们做学生的时代也是很代价非常大的
[00:10:00] 因为你要做老师
[00:10:01] 就必须要有一个听众来来检验你
[00:10:03] 那那个听众很有可能是你的室友
[00:10:05] 那个室友可能不想听你在那啰嗦这个东西
[00:10:08] 他可能对这个不感兴趣
[00:10:09] 可能他他对这个了解的太清楚了
[00:10:11] 呃也许他就是单纯不想互相帮助
[00:10:14] 但是AI这个时候你可以把
[00:10:15] 就是刚我刚我们一直刚才说你可以把AI当老师
[00:10:19] 你去请教他
[00:10:20] 请教他
[00:10:20] 请教他
[00:10:20] 把他弄懂
[00:10:21] 然后你可以在你自己自认为弄懂以后
[00:10:23] 再反过来
[00:10:24] 你自己再自己做老师
[00:10:27] 然后说哎呀你你现在来扮演学生
[00:10:29] 我要把这个东西给你讲懂
[00:10:31] 你假装什么都不知道
[00:10:33] 然后这时候你来看我哪里逻辑是不是有有错有漏
[00:10:38] 你在这个时候纠正我
[00:10:40] 哎你再你正着一遍
[00:10:41] 反着一遍
[00:10:42] 你基本上就对这个概念理解的很清楚了
[00:10:44] 所以我觉得大家作为AI native的
[00:10:46] 一代人一定会把我们这一代人给彻底卷死的
[00:10:49] 因为你们有无限的时间
[00:10:51] 就我第一节课的观点
[00:10:52] 你你们的每你们现在的任务就是学习
[00:10:55] 没有没有像我比如说要负责一些其他的事情
[00:10:58] 就绝对要对别人负责
[00:11:00] 那么啊啊那就是你们最好的最好的时代
[00:11:03] 所以啊你们你们也可以把这个费曼学习法啊给用起来
[00:11:07] 刚才我就展示了这样的一个呃解剖当前上下文的呃例子
[00:11:13] 这个这个就就就过去了
[00:11:15] 然后呃你们在学习这些东西的过程当中会留意到很多有趣的小细节
[00:11:24] 你们有没有在呃用codex的时候
[00:11:26] 我不知道你们有没有同学用codex
[00:11:28] 啊不要紧
[00:11:30] 你们这种任何agent的时候都可能面临一个问题
[00:11:34] 如果你要执行一件危险的操作
[00:11:36] 它会让你确认
[00:11:37] 当然呃比如说这个派默认底在默认的配置下
[00:11:41] 它是yo mode
[00:11:42] 就是它他所有事情都直接执行
[00:11:45] 然后如果如果我今天有一个提示词给的不是很好
[00:11:49] 他有可能就直接把我整个就删了
[00:11:50] 我今天就好
[00:11:51] 我接我就直接下课了
[00:11:52] 这是这是有可能的
[00:11:54] 但这是一个平衡
[00:11:56] 你你你可以在更安全的环境里面运行
[00:11:59] 比如说沙箱模式运行
[00:12:01] 但沙箱模式运行
[00:12:02] 你们如果观察过像codex的运行
[00:12:04] 它经常会我先试一下做一件什么事
[00:12:07] 然后失败了
[00:12:08] 然后他意识到这是在沙箱里面做
[00:12:10] 我在沙箱里面其实不能做这件事
[00:12:12] 我现在在外面再做一次
[00:12:14] 然后再做一次的时候
[00:12:15] 他甚至会问
[00:12:16] 我现在要做一件可能有一点危险的事情
[00:12:18] 你是yes还是NO
[00:12:20] 这就很讨厌
[00:12:21] 因为呃你你最想的
[00:12:23] 对于对于我们来说最想的就是哎我今天要去吃饭了
[00:12:26] 很好
[00:12:26] 我把这A证的任务先跑上
[00:12:28] 先把三个任务都想好
[00:12:29] 三个任务都跑上
[00:12:29] 然后去吃饭
[00:12:30] 然后吃饭回来的时候
[00:12:31] 你发现他跑了一分钟
[00:12:33] 就问你要要确认你就
[00:12:36] 就你就觉得浪费了A真的是时间浪费了自己的啊生命
[00:12:41] 你们经常会看到这样的小细节
[00:12:44] 然后你们在小细节上的注意力
[00:12:47] 一定程度上成就了你们可以可以走多多远
[00:12:50] 所以这也是现在AI时代最好的地方
[00:12:53] 嗯比如说我就有留意到codex有有有这样的一个细节
[00:12:57] 他有些命令他会认为这是一个不太危险的命令
[00:13:02] 这个好像直接做也没有关系的命令
[00:13:05] 所以他不是说他每次调用batch的工具
[00:13:08] 他都会叫你确认他有些时候那个ls s杠L他认为这个命令是安全的
[00:13:14] 那它就它就是安全的
[00:13:15] 实际上这个命令可能是不安全的
[00:13:17] 因为在我的环境里面可能把ls s
[00:13:21] 重新命名成了另外一个
[00:13:22] 比如说IM这样的命令
[00:13:23] 当然应该没有人要这样做
[00:13:25] 这个恶意的恶意恶意的环境里
[00:13:27] 那你可以好奇
[00:13:28] 比如说这是怎么做到的
[00:13:30] 你可以直接比如说我我我下载了一份这个codex的代码
[00:13:34] 就是就是我觉得现代软件工程和过去软件工程很不一样的地方
[00:13:40] 你们在比如说像大二大三的时候
[00:13:42] 尤其是我我像你们这么大的时候
[00:13:43] 比如说我我接触LINUX内核
[00:13:46] 差不多得跟你们大二大三的时候差不多接触LINUX内核
[00:13:49] 然后呃我光把LINUX内核下载下来
[00:13:53] 搞清楚这个东西要怎么编译就花了很长的时间
[00:13:56] 而且这还是我在有一定的LINUX使用经验的呃基础上
[00:14:01] 就是一个完全的劝退
[00:14:02] 某种程度上我我能在那个时年代活下来
[00:14:05] 就是因为我我对这种劝退的东西有一种我一定还要试一试的执念
[00:14:10] 然后在今天你们
[00:14:12] 我相信每个同学都会有的
[00:14:13] 如果这是个好东西
[00:14:14] codex很好
[00:14:16] 我嗯也许你们不喜欢codex
[00:14:19] 你们喜欢派派更清亮
[00:14:20] 当然派显然是更清亮的
[00:14:23] 但你们现在不需要害怕任何一个软件系统的呃复杂性
[00:14:26] 因为你可以直接问
[00:14:28] 比如说
[00:14:29] 当然我这里没有豆包输入法
[00:14:30] 我还是就手输了
[00:14:32] 我留意到一个很有趣的问题
[00:14:39] 在调用BH的时候
[00:14:42] 有的时候会向用户确认
[00:14:46] 有的时候不会有一个风险的判定
[00:14:51] 风险其实是是一个很难的问题
[00:14:56] 你并不知道具体的命令语义是什么
[00:15:02] 所以你是做了分析
[00:15:04] 还是让大模型给了风险的评级
[00:15:09] 还是别的什么方法
[00:15:12] 读一下相关的代码好
[00:15:15] 这就是一种提示词
[00:15:17] 然后这个时候对派当派看到我的这个提示词之后
[00:15:22] 它前面的提示提示词也都有
[00:15:25] 他就会去开始试图解决解决这个问题
[00:15:29] 他去各种去搜搜索代码
[00:15:32] 解锁代码
[00:15:33] 如果我有一些比如说像呃像LSP这样的呃工具的话
[00:15:38] 它还可以去去工具里面
[00:15:39] 像像你们在ID里面点来点去
[00:15:42] 你们有用过ID的那个功能吗
[00:15:44] 啊我我我记得我我上像上操作系统或者计算机系统基础课的时候
[00:15:49] 我都会说
[00:15:51] 我发现有很多同学从pa1做到pa4
[00:15:54] 你们那个vs code里面都还是有红线的
[00:15:57] 怎么笑了
[00:15:59] 笑了哈哈笑了
[00:16:01] 有红线就意味着你你没有解锁这个正确的配置
[00:16:04] 虽然有红线
[00:16:05] 没有没有没有任何问题
[00:16:07] 你还是可以在我们的受控环境下编译
[00:16:10] 然后把所有东西都完成
[00:16:12] 但是这不是正确的practice
[00:16:14] 你应该花一点点时间去去CONFIGUR下的vs code
[00:16:17] 加上那个include pass
[00:16:19] 因为我们是有些杠I
[00:16:20] 这样的选项
[00:16:21] 你你你会指定一个编译的路径
[00:16:23] 然后你你你把这些配置做好了以后
[00:16:25] 你就可以得到这个IDE的所有的功能
[00:16:27] 你可以用CTRL去点
[00:16:28] 然后你可以去那个rename symbol
[00:16:30] 用那种重命名符号的方式一次性重构很多东西
[00:16:33] 哪怕是没有在大圆言模型之前的呃时代
[00:16:37] 然后然后在今天这件事情就配包括配置就变得更啊啊更容易了
[00:16:41] 然后你看他确实是有有让大模型
[00:16:45] 风险评评级的这个啊对它有它有一个什么样的这个
[00:16:51] 还有一层静态的分分分流
[00:16:53] 沙箱内的低风险命令会直接执行网络
[00:16:56] low list命中直接放行
[00:16:58] 它有一个审批都不需要审批的
[00:17:00] 如果就是个LS
[00:17:01] 如果如果它它有个他
[00:17:04] 你会想象呃codex里面会有一个parser
[00:17:07] 一个这个语法语法处理器
[00:17:10] 那这个parser会会处理这个batch的命令
[00:17:12] 然后这个bash命令如果他发现是一定的白名单里面呢认为绝对安全
[00:17:16] 他会直接放行
[00:17:17] 然后如果不是的话
[00:17:18] 它会该会有在prom里面
[00:17:20] inject1小段话
[00:17:21] 同样也是prom engineering
[00:17:23] 他inject1小段话
[00:17:25] 说你你是不是应该给我评级一下他的额安全性
[00:17:29] 那我现在现在也可以直接把安全评估的prompt啊打印出来看看他是我
[00:17:41] 我事先完全没有准备
[00:17:42] 就我完全不知道是什么
[00:17:44] 我可能我们也不能百分之百的去去相信这个
[00:17:48] 我现在DeepSeek V4 Flash的模型
[00:17:50] 但是这个方法是非常有用的
[00:17:52] 你你可以比如说如果你对他不相信
[00:17:56] 你可以做什么呢
[00:17:58] 你可以让他把这个prompt改一改
[00:18:01] 比如说把这个prompt改成以前某一个不会拒绝的东西
[00:18:05] 他要拒绝
[00:18:06] 或者以前某一个拒绝的东西
[00:18:07] 他会不拒绝
[00:18:09] 这都是prompt可以控制的
[00:18:10] 然后改完了以后
[00:18:12] 这个你可以观察到他行为的变化
[00:18:16] 这就成为了一个啊证据
[00:18:18] 你也可以让AJ来来做做这件事
[00:18:24] OK啊他有一些这个
[00:18:34] untrusted evidence
[00:18:36] 然后他可能啊可能有有一些有一些什么
[00:18:40] 我就不再花时间啊去看了
[00:18:43] 基本上是告诉大家OK我们agent的上下文啊是是什么
[00:18:48] 然后我们应该怎么样
[00:18:50] 做这个提示词的工程好
[00:18:53] 那我就可以再往后多讲一点
[00:18:56] 怎我们怎么做写一个好的提示词
[00:18:59] 或者写一个好的模型的
[00:19:01] 上下文
[00:19:03] 我们都知道上下文包含了一个非常非常复杂的呃要求
[00:19:08] 然后又想到那个软件工程里面那个老大难的问题
[00:19:11] 我们有我们有intent
[00:19:15] 我们脑子里面所想的是做一个国民级的应用
[00:19:18] 然后从影探呢我们可以到expect这个软件的架构是什么
[00:19:21] 应该选什么语言来实现
[00:19:24] 有很多很多的呃细节
[00:19:26] 当我们把这些细节定好了以后
[00:19:28] 我们还要去做implementation好
[00:19:30] 那么在任何时候
[00:19:33] 我们用这个模型去完成一个软件工程任务的呃时候
[00:19:39] 我们都会把整个大流程里面的一部分全部都塞到模型的上下文里
[00:19:46] 就像刚才我让呃agent去帮我读这个codex代码的时候
[00:19:50] 我他其实读到了这个codex的一些设计的原则
[00:19:54] 比如说为会有一般来说都会有一个文档说为什么我需要这个安全策略
[00:19:58] 安全策略是怎么总体是怎么想怎么想的
[00:20:01] 然后他可能有一个spec文档
[00:20:02] 这安全策略是怎么做的
[00:20:04] 还有这个implementation
[00:20:05] 它是呃它是怎么怎么实呃实现的
[00:20:09] 这是一个呃互相印证
[00:20:12] 然后往后输出的输出的过程
[00:20:16] 那么如果我们想要写一个好的模型的上下文
[00:20:22] 这个来完成一个
[00:20:25] 当然还是完成一个
[00:20:26] 比如说软件工程里面的任务的时候
[00:20:28] 我们的原则是什么
[00:20:30] 我们的原则是什么
[00:20:31] 你还是去想这个gap
[00:20:35] 如果你给模型一个模糊的intent
[00:20:39] 他就很容易认为它完成了
[00:20:42] 你说给我生成一个什么CSGO
[00:20:44] 然后他就给你生成一个CSGO
[00:20:46] 然后呃这个时候它就可能发生漂移
[00:20:49] 但如果你能给模型的模型完整的你的系统的设计和SPECT
[00:20:55] 那这个时候模型遵循你系统SPECT
[00:20:57] 就假设模型能力是无限大的
[00:21:00] 就会更加确定和你可以验证
[00:21:03] 因为比如说你说你要用C加加来实现
[00:21:06] 他最后给你一个java的实现
[00:21:08] 你一眼就看出来了
[00:21:09] 你你认为不满意的模型
[00:21:11] 也应该认为不满意
[00:21:13] 但
[00:21:13] 就如果你在intent的时候说就给我做一个什么东西
[00:21:16] 你没有说用C加加
[00:21:17] 他也不了解你的时候
[00:21:19] 他他就写了一个java的事情
[00:21:21] 那啊就发生了一个很大的呃很大的漂移
[00:21:24] 所以整个模型上下文的最重要的原则就是
[00:21:30] 如果你的任务是明确可以验证的
[00:21:33] 尤其是机器可以验证
[00:21:35] 比如说你有一个脚本
[00:21:36] 这个脚本就说测试通过了还是不通过
[00:21:39] 那么agent就可以不计代价的一轮一轮一次一次的尝试
[00:21:44] 把这件事情给给完成
[00:21:46] 甚至agent的在多轮失败以后
[00:21:49] 他可能会在你的系统里面安装别的工具
[00:21:51] 可能去网上找找答案
[00:21:53] 然后最近有一个呃非常厉
[00:21:56] 非常有趣的
[00:21:56] 这个复盘是OpenAI的agent swarm是怎么样
[00:22:00] 通过非常长的多轮对话
[00:22:02] 把那个hugin face的漏洞给给攻破
[00:22:05] 他大概是在一个CTF的竞赛里面
[00:22:07] 给他一个不可能完成的任务
[00:22:09] 然后有有有上千个A证
[00:22:11] 他就一定要去完成这个不可能完成的任务
[00:22:13] 然后最后他们就去找那个系统的漏洞
[00:22:15] 去去去提交非法的提交
[00:22:18] 然后等等
[00:22:19] 然后就有我我看过一非常长的复盘
[00:22:21] 那个啊那个非常有趣
[00:22:23] 所以一旦你有一个可验证
[00:22:24] 就是虽然那个任务不可能完成
[00:22:26] 但那个任务非常明确
[00:22:29] agent呢会不知疲倦的
[00:22:31] 把它向下
[00:22:33] 上向下向下做下去
[00:22:35] 我刚才说的那个CSGO的go的例子
[00:22:38] 如果你要控制这个漂移
[00:22:42] 诶我应该直接点
[00:22:46] 就这是Kimi K3生成的
[00:22:48] 这大家都很喜欢这种评测嘛
[00:22:51] 说说我能不能用一句话来呃生成一个什么游戏
[00:22:55] CSGO还是极品飞车
[00:22:57] 然后可以看到这个Kimi K3的表现是非常好的
[00:23:00] 它的包括它的物理
[00:23:03] 他的它的物理还有碰撞
[00:23:07] 他的逻辑的制作
[00:23:09] 包括看到顶上有一个后视镜
[00:23:12] 这个后视镜看起来应该是是没有问题的
[00:23:16] 他都是做的
[00:23:19] 做的非常逼真的
[00:23:20] 但是这依然可能不是你要的那个CSGO
[00:23:26] 因为你脑子里面的CSGO是你你每天打开来玩的那一个
[00:23:30] 然后AI生成的是它生成的
[00:23:32] 它在这个你收到你的指令以后
[00:23:36] 他没有办法补全你脑袋里面的一些模糊的约束
[00:23:40] 比如说你可能是要一个复用真实地图和美术资产的
[00:23:44] 如果你真的把这句话说出来
[00:23:47] 他可能就会去比如说open street map这样的网站上面去下载一个开源的地图
[00:23:51] 比如说你真的想在南大仙林校区里面开车
[00:23:54] 这件事情是能做到的
[00:23:55] 你你给的越就指令给的越清楚越好
[00:23:59] 比如说如果你你就能找到那个南大仙林校区的那个地图的文件的格式
[00:24:04] 它就真的能把这个世界给你重新重新建模出来
[00:24:07] 然后包括美术资产
[00:24:08] 有很多公开可以用的美术资产车
[00:24:11] 呃城市树这些
[00:24:13] 这些东西如果你不告诉他
[00:24:14] 他会认为哦我需要做一个这个self campaign的
[00:24:17] 所有东西都是由我自己生成的一个啊一个东西
[00:24:21] 那这其实可能是一个误解
[00:24:23] 在早期的时候误解
[00:24:24] 所以呃一个role sum就是你写清楚你的prompt
[00:24:31] 所有的东西都写清楚
[00:24:33] 我要什么一个什么东西
[00:24:34] 他用什么东西实现
[00:24:36] 怎么样才算正确
[00:24:37] 然后你帮我把这个东西给给搞定
[00:24:40] 然后你设计这个整体的能力
[00:24:43] 也就是其实我这个学期整个要教的最重要的是
[00:24:45] 你怎么呃怎么去约束它
[00:24:48] 怎么样用用最小的
[00:24:50] 可能你给他一点点方向性的引导
[00:24:53] 他就能够一下子能get
[00:24:55] 因为他是模型
[00:24:55] 都是一个非常聪明的人
[00:24:56] 你可以想象成非常非常厉害的
[00:24:59] 博士水准的
[00:25:00] 我觉得完全有啊嗯呃人
[00:25:02] 而且他在各个领域的知识都都非常好
[00:25:05] 这样模型基本上就永远会给你惊喜啊啊啊还是还是挺好的对
[00:25:11] 在这个模式下
[00:25:12] 模型基本上要么完成
[00:25:13] 要么它最后终于有一天他会说
[00:25:15] 对不起我
[00:25:16] 我这个事情对我来说
[00:25:18] 太难了
[00:25:18] 我们可能需要重新做一个规划
[00:25:20] 他自己可能也会做
[00:25:22] 做计划这样
[00:25:24] 我举一个具体的例子
[00:25:26] 嗯嗯你们我我上节课讲到你们在
[00:25:31] 我现在想的是大家在这门课结束的时候
[00:25:35] 每个同学会交一份简历给我
[00:25:37] 我大概现在是这样想的
[00:25:38] 当我中间会有一些project
[00:25:40] 给大家作为选做
[00:25:42] 然后每个同学都交一个简历过来
[00:25:44] 然后我就评估我用AI
[00:25:45] 当然我肯定用AI
[00:25:46] 我不可能自己评估
[00:25:47] 我觉得AI来评估这个简历来判定大家通过还是还是不通过
[00:25:51] 就像我我第一节课的时候展示了一个不好的简历的案例
[00:25:54] 嗯然后呃那简历里首先就会有一个呃链接
[00:26:01] 可能会指向你的GITHUB
[00:26:03] 或者指向你的额
[00:26:04] 你的主页
[00:26:05] 然后呃咳我我我应该是已经做了这个的
[00:26:10] 我应该是试过一句话
[00:26:12] 就是如果如果你是一句话
[00:26:21] 啊anyway就忽略他的他内容
[00:26:23] 我不知道他从哪里找的
[00:26:25] 从deep deep deep chick with the flash
[00:26:28] 从美术效果来看还是非常好的
[00:26:32] 这个非常专业
[00:26:33] 你们你们再比如说上了那个派一点def或者啊
[00:26:37] 就比如说上次PYON代或者home brew
[00:26:39] 它都有一个类似的
[00:26:41] 一个一个界面非常非常漂亮
[00:26:44] 而且他应该是读过我的我的主页了
[00:26:46] 他知道我的主页上面是一个terminal
[00:26:48] 嗯嗯但你又有一种感觉
[00:26:51] 就这个AI味很重对
[00:26:54] 就你说不出来
[00:26:55] 你说不出来
[00:26:55] 他首先他确实做的很好
[00:26:57] 然后他的这滚动的效果
[00:27:00] 这个浮动的效果
[00:27:01] 做的都都非常好
[00:27:02] 然后按那个忽忽略内容
[00:27:07] 就这样一句的prompt一个现代风格
[00:27:10] 它满足了现代吗
[00:27:11] 现代
[00:27:13] 然后如果你你给他一个像唉不要那么AI word的呃prompt
[00:27:18] 他可能也也不知道应该怎么遵循
[00:27:20] 所以你就会得到一个
[00:27:21] 这是我的学生的这个呃pg student的呃主页
[00:27:26] 就我觉得这主页也很干净
[00:27:28] 就很舒服
[00:27:29] 觉得非常舒服
