[00:00:00] 好我们继续讲生成式软件工程
[00:16:08] 你就成为了一个下一个scale的领域
[00:16:10] 然后他在这个领域上面可以建立反馈
[00:16:13] 优化训练分布
[00:16:14] 就把这个领域以一个插件的形式
[00:16:17] 插进它的筋膜训练里
[00:16:19] 然后这个飞轮转起来
[00:16:21] 这就非常恐怖了
[00:16:22] 他每次就是说我要新建一个实验室
[00:16:24] 投资几10亿美元
[00:16:25] 新建一个实验室
[00:16:26] 然后他的模型能力就往上抬一个台阶
[00:16:28] 这是一个呃几乎呃可预见这个能够有收益的
[00:16:33] 而不是像我们现在学术界
[00:16:35] 比如说要写个paper
[00:16:36] 就是我随机的想一个idea
[00:16:38] 这个有没有用
[00:16:38] 不知道
[00:16:39] 然后我要去去去发一篇paper
[00:16:41] 然后接受这个peer review
[00:16:42] 然后这个我觉得这个体系马上就要崩溃了
[00:16:44] 这个但每个同学都可以想一想
[00:16:47] 在这个崩溃的体系下
[00:16:49] 我们还能啊还能剩下什么对
[00:16:52] 然后我也理了一些
[00:16:54] 可能我跟AI聊了一会儿
[00:16:56] 然后嗯比如说啊这些至少这些都是可以
[00:17:01] 作为一个小的
[00:17:02] 可能是一个小的领域来来做验证的
[00:17:05] 比如说你可以在系统架构上面
[00:17:08] 去训练品位
[00:17:09] 让他做出好的系统设计
[00:17:11] 然后很快这个
[00:17:12] 可能到我这个学期结束的时候
[00:17:16] 他们突然推出了下一版的模型
[00:17:18] 把系统设计加进去了
[00:17:20] 然后然后然后你就看到我
[00:17:22] 我你对我经常在在课上面说
[00:17:24] 你嗯笑话AI生成的这个swap code
[00:17:27] 说你看它价格多么多么糟糕
[00:17:29] 我1+1个需求他就崩溃了
[00:17:30] 然后但这些事情可能就永远都不会发生了
[00:17:33] 呃对
[00:17:35] 很有意思
[00:17:36] 但不管怎么样
[00:17:37] 我们还是需要上课的
[00:17:38] 呃需要上课
[00:17:39] 是因为你你还是不能完全的依赖AI
[00:17:43] 或者说你呃人类是一个竞争的社会
[00:17:46] 它和呃生物生我们就我们所在的环境
[00:17:50] 生物的进化很像是
[00:17:51] Survival of the fittest
[00:17:52] 你你是适者生存的
[00:17:54] 所以这个斩杀线就毫无疑问
[00:17:55] 这个斩杀线是不断的向向上移动的
[00:17:58] 然后你每一个人就会就说我
[00:18:00] 我最终怎么样才能逃离这个斩杀线
[00:18:02] 然后在最后还没有被斩杀的时候
[00:18:05] 搭上最后一班车
[00:18:06] 因为人类就我觉得从人类的角度来讲
[00:18:09] 人类肯定不希望自己消亡
[00:18:11] 不管是ANTHROPY还是open AI还是deep seek
[00:18:14] 他们都希望的是靠人工智能
[00:18:16] 去推动人类的进步
[00:18:17] 当然这个斩杀一定程度上会使很多人的生活
[00:18:21] 没有生命
[00:18:22] 变得没有意义
[00:18:22] 但是我们成为一个更好的人
[00:18:25] 我们就可以更好的找到这个意义
[00:18:27] 那这也这也是没有办法的事
[00:18:28] 我们每个人都是这样
[00:18:30] 包括我也是
[00:18:31] 我也我也是这样
[00:18:33] 所以我们还是回到技术上的内容
[00:18:35] 我们上一次讲了呃版本管理
[00:18:37] 然后我花了好多次课来给大家说
[00:18:41] 我们的软件软件所面临的问题是是我们的intent
[00:18:45] 就是你想要什么
[00:18:46] 我们的SPECIICATION
[00:18:48] 我们的implementation
[00:18:50] 它这三个之间是有是有是有gap的
[00:18:52] 然后就是因为有这个gap
[00:18:54] 所以呃构造软件就成为一个世纪性的难题
[00:18:57] 也有了
[00:18:58] 软件工程
[00:18:58] 然后我们起了个头说
[00:19:00] 如果你现在就要从零开始构造一个系统
[00:19:02] 那我们就需要呃管理软件
[00:19:04] 所以我讲了一些这个版本控制的东西
[00:19:07] 那接下来就是如果我们真的想要构造软件
[00:19:12] 而且版本管理也有了
[00:19:14] 那我们到底应该怎么
[00:19:16] 怎么构造呢
[00:19:17] 当然我也起了一个头
[00:19:18] 有一个答案
[00:19:19] 就今天的答案是直接做一个这个
[00:19:22] Minimum
[00:19:22] Minimum
[00:19:23] Viable product
[00:19:24] 一个MVP
[00:19:25] 一个最小原型
[00:19:26] 这件事情对大家来说是非常直观的
[00:19:28] 我们呃做的多就错的多
[00:19:31] 我做的少我就错的少
[00:19:34] 所以我做一个最少的
[00:19:35] 但是又和我最终的那个product最接近的
[00:19:39] 那应该是收益比较大的
[00:19:41] 因为它可以帮助我去补上这个intent specification
[00:19:44] implementation的这个gap
[00:19:46] 因为我做一个MVP
[00:19:47] 首先是AI生成的slop
[00:19:49] 所以所以他也不怎么花钱
[00:19:50] 这个integration我随时可以扔掉
[00:19:52] 这个不重要
[00:19:53] 但是它能够帮我知道我的INTET哪里没有弄对
[00:19:57] 然后我的SPECIICATION
[00:19:59] 比如说架构还有没有可以改进的空间
[00:20:01] 然后再做几个版本的迭代
[00:20:03] 最后再去啊再去出来
[00:20:04] 比如说嗯比如说我那天晚上
[00:20:08] 做了这样的一个东西
[00:20:10] 做这样的一个东西
[00:20:11] 所有东西都是AI slop
[00:20:13] 我我就是开着豆包输入法
[00:20:15] 然后开了几个终端
[00:20:16] 然后来回骂过来骂我一圈一圈骂过来
[00:20:21] 这是一个和物理世界有交互的这个东西
[00:20:26] 我有一个标签打印机
[00:20:27] 它他就把标签就就打出来了
[00:20:31] 就是之前买的各种各样的设备
[00:20:33] 然后然后每个设备大家都要用
[00:20:36] 就大家都用那个设备自带的软件啊去使用
[00:20:40] 然后那个软件用起来就像吃屎一样
[00:20:43] 所以所以我们干脆这个就不要
[00:20:47] 就不要这个这个软件了
[00:20:49] 我就把所有的这些软件都屏蔽掉
[00:20:51] 当然这也是AI做的
[00:20:52] 相当于做一个抽象
[00:20:54] 哎这这其实是有哎sorry
[00:20:56] 这其实是有一些软件工程智慧的
[00:20:59] 我我们有有有一台计算机
[00:21:02] 然后这个计算机上总线上连了一些设备好
[00:21:04] 这就是操系统课程
[00:21:06] anyway不重要
[00:21:06] 扫描仪
[00:21:07] 打印机
[00:21:07] 各种各样
[00:21:08] 你能想象的
[00:21:09] 想象任何东西
[00:21:10] 然后这个码是可以扫的
[00:21:11] 这个这个我会就整个流程它会自动
[00:21:13] 你们不需要扫码
[00:21:14] 这个就是这这是一个这个白的咳
[00:21:17] 他会上传到这个
[00:21:19] 我们ISS自己的那个那个主页上
[00:21:24] 我们为什么不能对他做一个抽象
[00:21:29] 他就是一个就我们说
[00:21:31] 我上操系统课时候说什么是设备驱动
[00:21:33] 把一个设备抽象成read write I/O control的一个接口
[00:21:36] 那我能不能把它抽象成一个更好用的接口
[00:21:38] 比如说扫描仪
[00:21:40] 我就是一个scan
[00:21:43] 我希望的是我是正面向上还是向面向上
[00:21:46] 然后呃我要单面还是双面
[00:21:48] 我dpi是多少
[00:21:48] 我就给他一个更干净的接口
[00:21:50] 然后我的这个这个打印机也是的
[00:21:52] 我的接口就是一个print
[00:21:54] 一个image
[00:21:57] 当我有这个接口以后
[00:22:00] 我我我的实设计和实现就完全解开了
[00:22:03] 然后我的软件层就可以工作
[00:22:05] 在这个这个接口层上
[00:22:07] 对这是一个非常典型的软件工程里的你的设计
[00:22:10] 然后这样我就再也不用
[00:22:11] 不需要去用那些不好用的软件了
[00:22:14] 然后这就是一个self service
[00:22:16] 然后你你看到的是什么AI出现以后
[00:22:19] 而且我特意试用的是国产的模型
[00:22:21] 因为正好那个那个他我额度额度是空的
[00:22:25] 然后我就正好把五个小时额度
[00:22:26] 基本上全部登完了
[00:22:27] 然后嗯呃就得到看起来是个非常可用的
[00:22:31] 就跟你在你在食堂或者宿舍楼下
[00:22:33] 看到那个机器达到了某种这个产品级的
[00:22:39] 效果的呃这样的东西
[00:22:41] 所以所以就是以后
[00:22:43] 软件公司就是面临一个非常彻底的消亡
[00:22:48] 你想他
[00:22:50] 呃我不知道你们有没有有没有装过这种
[00:22:52] 比如说标签打印机都会给你一个驱动
[00:22:53] 给你一个软件
[00:22:54] 它的开发成本是非常高的
[00:22:56] 然后像我的这个扫描仪是佳能的扫描仪
[00:22:59] 然后这个扫描仪的成本
[00:23:02] 软件成本也是非常高的
[00:23:03] 他要开发
[00:23:05] 要跨平台的驱动等等
[00:23:08] 但是在今天这些全通通都不需要了
[00:23:11] 呃啊啊这里有代码
[00:23:20] 我直接让他解释一下打印机和
[00:23:27] 但我只让AI帮我解释
[00:23:29] 实际上这个打印机
[00:23:32] 这个照片打印机是个非标的东西
[00:23:35] 就就没有
[00:23:37] 就我不知道它是什么
[00:23:38] 其实我不知道它是什么
[00:23:40] 也是相当于是一个杂牌的
[00:23:42] 你看他是一个叫easy scan
[00:23:45] 不算是一个特别标准的呃设备
[00:23:49] 然后我就直接让告诉AI说
[00:23:53] 我就想要把这个打印机驱动起来
[00:23:56] 他都不知道
[00:23:57] 就比如说这个打印机里面有一个有一个选项
[00:24:00] 它是热转印的
[00:24:01] 就就那种标签
[00:24:02] 你们看的那种贴固定资产的标签
[00:24:04] 然后那个标签它是一个碳粉袋
[00:24:06] 然后那个碳粉袋会加热
[00:24:08] 就是就相当于是在有像素的位置加热
[00:24:11] 然后把那个碳粉烫上去
[00:24:13] 这样热转印的一个打印机
[00:24:14] 然后那个热转印打印机有一个参数是
[00:24:17] 大概是呃加热的程度或者就是深度吧
[00:24:23] 就是图像的深度
[00:24:24] 然后我们不知道这个参数是多少意思
[00:24:26] 应该设什么
[00:24:27] 然后AI就不停的打标签
[00:24:30] 他先打一个上面有数字
[00:24:31] 比如说这是第15次尝试15
[00:24:34] 然后15
[00:24:35] 然后问我是淡了还是浓了
[00:24:36] 他看不到
[00:24:37] 但这个完全如果接个摄像头
[00:24:38] 它就可以不用
[00:24:39] 我把一个摄像头对着那个他就不需要
[00:24:41] 甚至连我都不需要他自己一张一张一张打它
[00:24:44] 就可以完全自动的把把这个东西给完成
[00:24:49] 这是一个
[00:24:50] 他一开始尝试的是试试图用这个LP
[00:24:53] 因为能识别到这个
[00:24:54] 但是后来他发现
[00:24:55] 他可以直接用这个PCL的驱动
[00:24:57] 去一个一个generic的打印
[00:24:59] 把它当成一个通用的打印机
[00:25:01] 然后来呃来来来处理好
[00:25:04] 就就我就完全没有监管
[00:25:06] 我只是问他要一个结果
[00:25:08] 是一个可验收的结果
[00:25:09] A证就可以一轮一轮一轮一轮一轮的去把
[00:25:11] 去把这个事搞定
[00:25:12] 然后搞定了以后
