[00:00:00] 好的在前几次课的时候
[00:03:10] 这个定理的证明是对或者或者不对
[00:03:12] 所以它是一个非常好的能grounding的东西
[00:03:15] 而且呃数学的逻辑推理是可以
[00:03:18] 可以解释我们人类生活里面的各种行为
[00:03:21] 就比如说你会觉得好
[00:03:22] 今天今天中午吃什么
[00:03:24] 你们马上就会面临这个问题了
[00:03:26] 去挤食堂
[00:03:27] 那这个问问题
[00:03:29] 你们可能会觉得这是一个
[00:03:31] 人类世界里面的问题
[00:03:33] 必须是你的灵魂来给出给出答案的
[00:03:35] 但其实不完全
[00:03:36] 因为你你的大脑里面其实不停的在投票
[00:03:39] 比如说我就会选择在那个义父楼订饭
[00:03:41] 因为对我来说这是最快的这个选项
[00:03:44] 因为我下午还要还要开会
[00:03:46] 然后如果如果我时间能来得及的话
[00:03:47] 我中午可以小睡一会儿
[00:03:48] OK所以你看我其实是在各种因素之间呃投票
[00:03:53] 然后在这个因素之间
[00:03:54] 比如说什么事情
[00:03:56] a imply b
[00:03:57] 如果我做了A就会做B这其实是一个数学
[00:03:59] 我可以ground到你们学在离散数学里面学的
[00:04:01] 那个立命题逻辑里面的啊各种各样的东西
[00:04:05] 所以所以OpenAI应该是说我先把先把数学学会好
[00:04:08] 现在数学他已经学会了
[00:04:10] 然后学会了以后他再去强化学习别的能力
[00:04:13] 呃我我一直觉得就是比如说空间感知它
[00:04:16] 它不是这种绝对学不会的
[00:04:18] 呃我我我就这样想吧
[00:04:20] 就比如说给你一个鲁班锁那个很复杂的结构
[00:04:22] 然后我就问你
[00:04:24] 你你按照什么样的方向
[00:04:27] 可以把第一块东西给抽出来
[00:04:30] 然后你你们人脑就会就会开始
[00:04:33] 你也做过那种智力题吗
[00:04:34] 我觉得你们从小从小就会做
[00:04:36] 说给你一个那个立方体
[00:04:38] 或者一个什么奇怪形状的投影
[00:04:41] 就有些那种benchmark里面就是这样的
[00:04:43] 然后问问这个嗯哪一块和它是一样的
[00:04:46] 或者给你一个骰子
[00:04:48] 六面的骰子
[00:04:49] 问问这个哪一个展开图对应了
[00:04:51] 你看到那个骰子
[00:04:52] 然后你就在你的脑袋里面做这种空
[00:04:55] 空间想象
[00:04:55] 然后这种空间想象
[00:04:56] 你只要从简单的任务开始给他强化学习
[00:04:58] 肯定是能能做到的
[00:05:00] 然后马上我我我当时看到这个例子说
[00:05:04] 那时候GP6还没有发
[00:05:05] 然后我就心疼我的这个PHD
[00:05:09] Student
[00:05:09] 因为我们已经做了小半年的这个
[00:05:11] 3D打印的工作了
[00:05:12] 然后我们可以在GP5.6的空间
[00:05:14] 感知能力很差的情况下
[00:05:16] 然后可以通过直接对话
[00:05:18] 可以生成一个还是很像样
[00:05:19] 而且各方面都能符合规范的这个3D打印
[00:05:23] 模型
[00:05:24] 呃我们还是有些比较killer的application的
[00:05:26] 比如说我们可以做一个那种小的
[00:05:28] 我不知道你们有没有玩过那种光山玩具
[00:05:31] 就是那种光栅尺
[00:05:32] 你你左从左边看和右边看
[00:05:33] 是两个不同的这个图案
[00:05:35] 然后比如说你可以说我要做这个
[00:05:37] 然后我我我也可以一个很长的那个啊搜索树
[00:05:40] 然后帮你做一个光产纸
[00:05:41] 然后结果这个昨天这GP6one shot直接直接出
[00:05:45] 直接搞定
[00:05:47] 哼然后我们现在现在现在现在还在想想
[00:05:50] 怎么样解决
[00:05:52] 解决这个问题
[00:05:53] 然后同样的是因为他有了空间的感知能力
[00:05:55] 又有数学的能力以后
[00:05:57] 他就他在巨生赛道就就很明显是可以
[00:06:01] 可以做得很好的
[00:06:02] 所以所以第二天你就看到很多人在小红书上发
[00:06:05] 他直接用GPT6去控制一个机械臂
[00:06:09] 去做这种抓取或者叠衣服这样的复杂的动作
[00:06:12] 而注意这个呃GP6是一个语言模型
[00:06:16] 它是
[00:06:17] 虽然他有视觉的能力
[00:06:19] 他就就是一帧一帧的问你下面要要要干什么
[00:06:22] 还没有解锁这个提示词的engineering
[00:06:25] 然后他就已经做的相当的好了
[00:06:27] 已经达到了一个state of art的这个呃能力范围了
[00:06:31] 所以所以所以模型一定会进步的
[00:06:34] 这个例子告诉大家
[00:06:35] 也许在我我上课上到某一次的时候
[00:06:38] 我突然就可以说这个课不用上了
[00:06:40] 呵呵对嗯
[00:06:42] 这样也好
[00:06:43] 然后就大家就可以呃去做去做产品了
[00:06:47] 到今天我觉得我们还是当然需要学习一些
[00:06:51] 软件工程的呃知识的
[00:06:54] 因为呃AI
[00:06:55] 我刚才说AI解锁的是你的
[00:06:57] 你的执执行力我我举我举这样的一个例子
[00:07:00] 因为我我正好被人问到
[00:07:02] 我们在AI的时代为什还要不要学数据库
[00:07:05] 学操系统
[00:07:05] 学这些
[00:07:07] 学学这些东西
[00:07:08] 然后我的答案其实也也不是特别的确定
[00:07:11] 因为我打了这样的一个比方
[00:07:13] 我们回到100多年以前
[00:07:16] 汽车刚发明的时候
[00:07:17] 那你你汽车开个12km就会出故障
[00:07:20] 所以你的每一个司机
[00:07:21] 每一个driver
[00:07:22] 你都必须对汽车的工作原理了解得非常清楚
[00:07:26] 因为你的汽车一旦出故障
[00:07:27] 你就得知道它是怎么呃怎么工作的
[00:07:30] 那那在那个时代
[00:07:31] 我们把人回到那个时代
[00:07:33] 那这就是理所应当的事
[00:07:35] 你你你想要你要开车
[00:07:37] 你就需要掌握汽车的基本原理的知识
[00:07:39] 你要你要学computer science
[00:07:41] 你要去软件工工程的工厂
[00:07:43] 那你就要去学操作系统
[00:07:45] 学数据库
[00:07:46] 把这些基础知识做好
[00:07:47] 但你想想今天我们怎么开车
[00:07:49] 今天我们在地下车库直接说
[00:07:53] 帮我开到什么地方
[00:07:54] 然后自动驾驶汽车就出发了
[00:07:56] 然后这你你是不可能
[00:07:59] 或者说你作为一个人
[00:08:00] 已经不理解这个整个系统站上面
[00:08:02] 是怎么工作的了
[00:08:04] 因为最终它的动力还是传递到一个机械装置
[00:08:07] 和那个100多年前的汽车
[00:08:09] 还是有一点相似的
[00:08:11] 但是在这个过程中
[00:08:13] 他经历了所有东西
[00:08:15] 你都不需要知道
[00:08:16] 你就可以把汽车开起来
[00:08:17] 换句话说
[00:08:18] 人工智能你也可以想象成是
[00:08:19] 它是一个类似于汽车这样的东西
[00:08:22] 当然它比汽车更强
[00:08:23] 它替代的不仅是人的这个腿部的向前走的能力
[00:08:27] 它替代人的人的智力以后
[00:08:29] 那我们我们是不是还要学
[00:08:32] 当然我我今天答案肯定是要学
[00:08:34] 因为就你们你们学了以后
[00:08:35] 你可以更好的解锁这个AI的创造力
[00:08:38] 但是呃以后应该怎么学
[00:08:40] 我现在还暂时是
[00:08:42] 暂时是不知道的
[00:08:43] 你们也许如果你们有答案的话
[00:08:45] 也可以
[00:08:46] 欢迎和我来来探讨
[00:08:47] 当然这是我的个人的
[00:08:49] 呃观点
[00:08:51] 你们至少在现在的阶段
[00:08:53] 学习还是有有有好处的
[00:08:54] 你你你理解了正确的概念
[00:08:56] 可以帮助你
[00:08:58] 从别的地方借鉴一些知识来创造更好的呃东西
[00:09:03] 然后我今天就会进入呃真正的软件工程
[00:09:05] 我们说生成式软件工程
[00:09:07] 那你如果要开始做软件工程
[00:09:10] 开始web coding
[00:09:11] 你干的第一件事情是什么
[00:09:15] 你不是从网上或者说比如说做作业的时候
[00:09:20] 那你一定是从课程网站上或者老师的要求
[00:09:22] 在什么地方下载一个东西
[00:09:24] 然后从那里开始工作
[00:09:25] 但如果你今天就真的是想要是做一个项目
[00:09:28] 那你做的第一件事一定是先建一个目录
[00:09:31] 建一个目录
[00:09:32] 然后给它起一个名字呃可能起一个中文的名字
[00:09:36] 叫我的最酷的gao game
[00:09:38] 然后你就开始开始y web coding
[00:09:41] 那什么是一个软件工程的项目
[00:09:45] 你你创建了以后
[00:09:46] 你面对一个空的目录的时候
[00:09:48] 你们你们还记得你们是怎么学会
[00:09:51] 应该做什么呢
[00:09:53] 你们你们可能会看到老师在上课的时候
[00:09:57] 打开了一个工程项目
[00:09:58] 然后里面有一些文件
[00:10:00] 你就在不经意之间记住了一些这个项目的东西
[00:10:03] 然后你可能会呃呃会老师会向你推荐
[00:10:07] 或者同学会推荐哎呀什么什么东西发布了
[00:10:09] 你可以去看看
[00:10:10] 然后你得到了一个什么GITHUB或者gt的链接
[00:10:14] 然后你打开以后
[00:10:15] 那是一个网页网页
[00:10:16] 还是非常呃人类friendly的
[00:10:19] 你看到那个网页网页上面
[00:10:21] 有一些文件你就知道
[00:10:23] 我的一个目录里面会要有一个文件
[00:10:26] 所以当我们说
[00:10:26] 我们要开始一个软件工程项目的时候
[00:10:29] 你就会建一个这样的目录
[00:10:32] 它里面有一堆文件
[00:10:33] 然后这堆文件共同构成了一个可以交付的东西
[00:10:38] 这个东西最后会变成你的产品
[00:10:39] 这个这个目录它可能是直接在你本地运行的
[00:10:42] 在你你神奇的跟呃跟这个agent说
[00:10:46] 请你帮我运行的时候
[00:10:47] 那个窗口就弹出来
[00:10:48] 或者网页就弹出来
[00:10:49] 一个著名的笑话说
[00:10:50] GP6太牛逼了
[00:10:52] 我又我又做了多少个killer级的产品
[00:10:55] 他们是HT TP local host下的这个5137
[00:11:00] 然后哼然后发一个呃twitter等
[00:11:04] 所以你还是需要支持的
[00:11:05] 你你在你本机可以打开它
[00:11:07] 但是那世界上的其他人也打不开它
[00:11:10] 因为如果你不知道local host是你的你的本
[00:11:13] 但本本机的话
[00:11:15] OK当然你可以通过把你的intent和SPECIICATION
[00:11:19] 说的更清楚一点
[00:11:20] 如果你在你的intent里面
[00:11:22] 比如说在那个文档里面
[00:11:23] 就说明我的这样的一个东西要被全世界人看到
[00:11:26] 如果你不说这个
[00:11:29] GPT可能会把你当成一个开发者
[00:11:30] 那开发者最正常的一定是在你本地先调试
[00:11:33] 先起一个本地的development server
[00:11:35] 然后你你可以看到它的结果
[00:11:37] 直到你觉得ready了
[00:11:39] 你才会把这个东西送到远端学
[00:11:41] 但这都是知识
[00:11:42] 你们在计算机
[00:11:43] 你们是computer science的学生
[00:11:45] 上各种各样的课的时候
[00:11:46] 反复的学习这些知识
[00:11:48] 然后这些知识最后OK
[00:11:50] 变成这个呃对
[00:11:52] 变成这个好
[00:11:55] 它里面有文件
[00:11:57] 最后会得到一个可交付的东西
[00:11:59] 然后你你们会从最开始学编程
[00:12:03] 可能是你在WHCV的里面一一键编译和运行
[00:12:06] 然后到后面你们学的时候会知道
[00:12:08] 你的呃build的目录里面
[00:12:12] 所有的东西都是由某些命令行的工具
[00:12:15] 创建出来的
[00:12:16] 你们会开始在大二的时候
[00:12:17] 用一些像GCC这样的命令行工具
[00:12:20] 会把一个hello点C变成hello的一个班哈
[00:12:23] binary
[00:12:24] 这就构成了一个软件工程的项目
[00:12:26] 所以你们会呃会听到这样的
[00:12:28] 一个呃标准的定义叫什么叫软件诶
[00:12:33] 这是一个很好的问题
[00:12:35] 以前老先生喜欢问我们什么
[00:12:36] 什么是软件
[00:12:37] 软件是一个如此基础的东西
[00:12:39] 到处无处不在的软件
[00:12:41] 你想没有软件
[00:12:43] 你们今天看到这个是黑的
[00:12:44] 你不光你不看到我这个
[00:12:46] 你就连这个台子也启动不了
[00:12:48] 我这个升降
[00:12:49] 就连我的这个升降桌
[00:12:50] 这个教室还是不错的
[00:12:52] 有一个呃升可以升降的升降桌
[00:12:55] 你看如果没有软件
[00:12:56] 我这个升降桌都是升不起来
[00:12:58] 降不起来的
[00:12:59] 这个升降桌
[00:13:00] 这边还有一个高度的显示
[00:13:01] 现在是106呃厘米
[00:13:04] 那么软件是是到底是什么呢
[00:13:08] 有个标准的定义叫
[00:13:09] 什么代码文档等等
[00:13:11] 一切和呃这个软件相关的东西的集合
[00:13:16] 就好像有一个这样的definition
[00:13:18] 但其实我我一直说
[00:13:20] 软件是是人类世界的需求
[00:13:22] 在信息世界里的一个投影
[00:13:23] 然后这个投影今天看到是一个呃目录
[00:13:26] 然后目录里面有各种各样的呃东西
[00:13:30] ok that's all
[00:13:31] 你你知道目录里面应该有什么
[00:13:32] 比如说有个hello点C
[00:13:33] 然后你可以编译出一个hello
[00:13:35] 你就已经在做软件了
[00:13:37] 当然这个可能不符合现代软件工程的
[00:13:39] 这个best practice
[00:13:41] 但古早的时期
[00:13:43] 我觉得这甚至是10年以前
[00:13:44] 大家真的是是这样的
[00:13:45] 我给大家讲一个我的第一个ph d student的
[00:13:48] 故事
[00:13:49] 他应该是2012年入学的
[00:13:52] 进入南大的
[00:13:53] 所以第二我第一个博士
[00:13:55] 他他大一的时候
[00:13:57] 他发现了一个非常呃非常好的学习的方式
[00:14:02] 因为他经常会去机房
[00:14:03] 他可能他自己的笔记本电脑还是屏幕比较小
[00:14:06] 也也不是很舒服
[00:14:08] 不像现在我相信大家应该是都会买一块
[00:14:10] 买一块屏幕应该不贵
[00:14:12] 不是很贵
[00:14:13] 甚至淘一个二手的屏幕只要小几百块钱
[00:14:16] 然后你就可以在宿舍获得非常好的编程
[00:14:18] 编程体验
[00:14:19] 但那个时候好像我们的标准答案是去机房
[00:14:22] 屏幕好像没有那么便宜
[00:14:23] 那去机房的话
[00:14:24] 它就会要来回拷贝代码
[00:14:27] 比较麻烦
[00:14:28] 所以他想出了一个妙招
[00:14:30] 大一的时候把代码保存到U盘上
[00:14:32] 你们多多少少可能也干过这样的事
[00:14:35] 或者在中学的时候上电脑课的时候
[00:14:36] 你做的作品你会保存在在在U盘上
[00:14:40] 然后结果到他大二的时候
[00:14:41] 这个U盘坏了
[00:14:42] 然后在U盘坏了以后
[00:14:43] 代码全部都都都没
[00:14:45] 都没有了
[00:14:46] 作业作业不见了
[00:14:47] 然后他珍藏的那些
[00:14:48] 启蒙的时候的作业作业不见了
[00:14:50] 有一点伤心
[00:14:51] 但是好像哎也也也没有太大的太大的关系
[00:14:54] 对我们我
[00:14:56] 我们很长时间都是这样这样管理代码的
[00:14:59] 比如说我记得我上学的时候
[00:15:01] 交作业的方式是打一个压缩包发邮件
[00:15:03] 然后现在好像你们会在一个网页上面
[00:15:07] 网网页上面上传
[00:15:08] 这都是管理项目的方式
[00:15:10] 但是软件工程在我们当我们谈软件工程的时候
[00:15:14] 今天是有
[00:15:15] 有标准答案的
[00:15:17] 就是你应该去用
[00:15:19] 用用git
[00:15:21] git是一个除了能够保存一个目录
[00:15:25] 就是项目是一个目录吗
[00:15:26] 目录里面有hello点C
[00:15:28] 有这个hello的binary
[00:15:29] 还有文档等等
[00:15:30] 它还能保留比较和恢复历史的版本
[00:15:34] 这是一个很重要的软件工程的呃特性
[00:15:38] 我后面会会详细展开来讲
[00:15:40] 然后有了git以后
[00:15:41] 其实呃很多事情都变得很容易
[00:15:44] 比如说我我再也不需要发邮件了
[00:15:46] 我我真的很难想象
[00:15:47] 就是我我们过去
[00:15:50] 今天是A证的时代
[00:15:51] 你你们我有了这个十倍100倍的生产力提升
[00:15:53] 我只要呃我只要让他去帮我写一个这个投诉
[00:15:57] Complain
[00:15:58] 我他就他就我就什么也不用管了
[00:16:00] 我就我比如说如果我我今天是用我的我的codex
[00:16:03] 我就真的选择信任他
[00:16:04] 我就我真的就不管了
[00:16:06] 这事就过去了
[00:16:07] 我看都不会
[00:16:08] 甚至我看都不会看
[00:16:09] 我让他把结束以后把这个浏览器给关掉
[00:16:12] 但过去的时候真的我们还在用邮件管理项目
[00:16:17] 然后来有了git以后
[00:16:18] 我们发现效率高了很多
[00:16:20] 有我们可以用git clone
[00:16:21] 去从一个远端获取一个作业
[00:16:24] 然后如果作业更新了
[00:16:25] 我我会我我可以在远端更新
[00:16:28] 我就不需要给每个同学都发一个什么亚索保罗
[00:16:32] 我只需要在上课的时候告诉同学们说
[00:16:33] 哎我的作业更新了
[00:16:34] 你们用git por去啊下载
[00:16:37] 然后以及我我的比如说我上课的时候
[00:16:40] 我有一个mix submit
[00:16:41] 你会它会自动再用一个脚本把包打打好
[00:16:43] 打好以后
[00:16:44] 上传到我的呃课程网站非常的方便
[00:16:47] 这有点像一个CI现代的CICD的流程
[00:16:49] CICD我应该专门会有一次课
[00:16:52] 呃课来课来讲
[00:16:53] 然后然后这就呃啊这引出了一个
[00:17:00] 我觉得这还是我每几乎我每节课都会要讲的
[00:17:03] 讲讲的事情
[00:17:04] 就当当我们今天学习变容易了以后
[00:17:08] 这门课上讲的知识都不重要
[00:17:11] 重要的其实是你们的学习意识
[00:17:13] 比如说你们回想一下
[00:17:15] 你们都看过很多git的项目
[00:17:19] 看肯定肯定的
[00:17:20] 因为你哪怕是打开课程作业
[00:17:22] 你都会看到它有一个git的呃GITHUB的链接
[00:17:25] 那么你们有没有留意过不同的项目
[00:17:28] 它们之间细微的区别
[00:17:30] 比如说有的项目有这个文件
[00:17:32] 有的项目没有那个文件
[00:17:34] 然后有的项目里面文档是这样写的
[00:17:36] 有的项目文档是那样写的
[00:17:38] 你在这种呃不停的有这种信号进入的时候
[00:17:42] 其实你就能判断出我们应该怎么用git
[00:17:46] 我不知道大家是不是呃就就总有一种感觉是好
[00:17:50] 老师
[00:17:51] 老老师说
[00:17:52] 这个这个是不是跟中学的时候有有关系
[00:17:54] 就是因为老师说的事情实在是太多了
[00:17:56] 在中学的时候
[00:17:57] 老呃老师你必须要听老师的话
[00:18:00] 你你你才能把所有的事情做完
[00:18:02] 如果你不听老师的话
[00:18:03] 你就不可能把事情做完了
[00:18:04] 呃但到了现在
[00:18:06] 比如说你你去GITHUB
[00:18:08] 呃学学习的时候
[00:18:10] 如果你还带着这个心态
[00:18:11] 老师说好
[00:18:11] 你去把作业拉下来
[00:18:13] 那你就就是你你就有点像AI
[00:18:17] 有点像今天干活的AI
[00:18:18] 你你被强化学习成了一个
[00:18:20] 当老师说让你做这件事的时候
[00:18:23] 你只做这件事
[00:18:24] 绝对不会多碰一点点的
[00:18:26] 因为这是最省时间的
[00:18:28] AIAI也被调调成这样了
[00:18:30] 呃但如果你花一点时间愿意
[00:18:32] 其实我就劝大家愿意多花一点点时间去点进去
[00:18:37] 看一下里面的各种东西
[00:18:38] 然后你你你可能突然间就有个灵光一现
[00:18:41] 哎呦这个文档写的很好嘛
[00:18:43] 因为你你你马上
[00:18:44] 比如今天你看到那个满世界的git
[00:18:47] GITHUB上的项目全部都是巨长无比的read me
[00:18:50] 然后return里面有各种那个UNICODE字符组成的什么目录
[00:18:55] 结构框图
[00:18:57] 就这种AI s loft的感觉
[00:18:59] 你马马上就有诶
[00:19:00] 你们有没有留意过这些这些细节
[00:19:02] 然后在这些你看过这么多AI s lab的时候
[00:19:05] 突然你发现了一个什么老项目
[00:19:07] 哪年几十几年前开始维护的老项目
[00:19:09] 点进去那个文档清新舒服
[00:19:12] read me很短
[00:19:13] 但是read me看完以后
[00:19:15] 你想看的东西
[00:19:16] 三个链接
[00:19:17] 你就你就走过去了
[00:19:19] 你不需要看那么长的
[00:19:20] AI AI slop
[00:19:22] 你就学会了文档应该应该这样写
[00:19:26] 我因为我我我觉得你们
[00:19:28] 我不知道你们有没有有机会去
[00:19:29] 比如说去对比不同的城市的路牌
[00:19:33] 然后我就我就觉得是很很有很有意思的
[00:19:36] 就为为什么
[00:19:37] 为什么我们有时候觉得中国是一个developing country
[00:19:39] 是个发展中国家
[00:19:40] 意味着我们的提升的空间空间很大
[00:19:43] 我我我觉得我有一次那已经好多好多年以前了
[00:19:48] 我我我给我特别get impressed
[00:19:50] 我在香港的时候
[00:19:52] 我发现我要找路
[00:19:53] 然后我在找路的时候
[00:19:55] 我发现每当我有不确定性的时候
[00:19:57] 比如说我前面有有三个口的时候
[00:19:59] 我正前方一定有一个路牌
[00:20:02] 告诉我三个口是什么
[00:20:04] 从来没有过
[00:20:06] 就是它有一个非常复杂的地下系统
[00:20:08] 然后有的时候你你会回到南京的时候
[00:20:09] 你会发现你你有的时候经常会要在地铁站里找
[00:20:12] 这个找诶
[00:20:14] 我下一步
[00:20:15] 我我不知道了
[00:20:15] 以后要到哪一个口的时候
[00:20:17] 和你需要环顾四周去寻找
[00:20:19] 甚至要移移动比较远的距离
[00:20:21] 找到一个地图
[00:20:22] 地地地图再去看
[00:20:24] 然后你你其实这是一个学习的过程
[00:20:26] 我我觉得很很好
[00:20:27] 就是如果有一个
[00:20:28] 那对大家来说有一个范例比你做的做得好
[00:20:31] 然后诶你就学到了
[00:20:33] 这就我我其实在这个对比当中
[00:20:34] 我就学到一个lesson
[00:20:35] 比如说如果我要做一个UI设计的话
[00:20:38] 我我的这个UI就应该是这个任何人
[00:20:43] 我会要要站在人的角度
[00:20:45] 人站在这个页面上的时候
[00:20:47] 他会想什么
[00:20:48] 不同的人
[00:20:48] 他要的ABC它会趋向不同的方向
[00:20:51] 我希望用最少的方式把ABC呈现
[00:20:54] 全部呈现呈现出来
[00:20:55] 所以你看这就一个read me
[00:20:57] 你们都会用AI生成slap read me
[00:20:59] 但当你看过几个好的以后
[00:21:01] 你你就会写会写read me
[00:21:03] 呃这这我我我告诉大家
[00:21:06] 因为你有AI以后
[00:21:07] 你马上就可以问他
[00:21:08] 这个avid me为什么比那个为什么
[00:21:10] 为什么我看到这个项目的read me
[00:21:12] 没有AI AI stop的感觉
[00:21:14] 他就会会告诉你
[00:21:16] 所以这也是我我我理解的就是为什么
[00:21:18] 很多同学们怨气很大
[00:21:20] 觉得上课耽误学习就是
[00:21:23] 因为现在课外的信息量和信息密度
[00:21:25] 已经远远超过任何一个课堂可以做的做的事情
[00:21:29] 了
[00:21:29] 你当你打开一个成熟的GITHUB的项目的时候
[00:21:34] 他是这个工程师十几年的心血
[00:21:37] 甚至在某一个时间点
[00:21:38] 10年以前
[00:21:39] 这个项目崩溃过一次
[00:21:41] 他做了一次大版本的重构
[00:21:43] 他发现以前的那个practice不够好
[00:21:45] 你才呈现到你面前的是一个
[00:21:48] 这个现在好好的东西
[00:21:50] 但是我们呃传统的教学方法没有教过大家
[00:21:54] 怎么样把这些海量的信息密度巨大的东西用好
[00:21:59] 然后大家也没有准备好去拥抱这样的知识
[00:22:02] 就可能呃可能为什么我现在在做老师
[00:22:05] 就是因为我有这种惊人的注意力
[00:22:08] 然后大家其实要训练的也是那种惊人的注意力
[00:22:10] 你可以在看到一个东西的时候
[00:22:12] 快速的呃有有种什么感觉呢
[00:22:16] 呃教教大家怎么学习
[00:22:19] 如果你有任何一个问题
[00:22:21] 你看到东西之前
[00:22:22] 你你的大我的大脑有一种可能有一种能力吧
[00:22:25] 就会先把这个东西
[00:22:27] 我看到的所有东西都忽略掉
[00:22:29] 我会想如果我要自己来解决这个问题
[00:22:31] 我会怎么做
[00:22:32] 然后我会立即比较
[00:22:34] 我
[00:22:35] 我看到这个东西和我脑袋里所想的东西谁更好
[00:22:38] 然后如果我我我做得更好
[00:22:40] 就认为这是一个slob
[00:22:41] 然后如果我发现他做的比我好
[00:22:43] 我就很惊喜说诶这个他为什么做的比我好
[00:22:47] 然后如果你养成了这个习惯以后
[00:22:50] 这是一个非常恐怖的习惯
[00:22:51] 因为你在任何时候
[00:22:52] 都在疯狂的从外面接收信息
[00:22:55] 然后你能留意到生活里面各种小细节的时候
[00:22:57] 你就不停的在在这个在这个提升
[00:23:00] 然后也也有
[00:23:01] 其实很早的时候大家就有有有推荐
[00:23:03] 如果你们要读一个research paper
[00:23:05] 就读一个研究论文应该怎么读
[00:23:07] 我早早先的时候
[00:23:08] 这展示AI是怎么样被这个呃注意力机制
[00:23:13] 带到作者这个逻辑陷阱陷阱里面去了
[00:23:17] 他他说有一个非常好的学习方法
[00:23:18] 这个学习方法其实也也适用于大家学任何课程
[00:23:21] 包括你们的高等数学
[00:23:22] 包括你们的计算机系统基础
[00:23:24] 叫virtually implement
[00:23:26] 就是你现在你你现在有一个具体的问题
[00:23:29] 或者具体的需求
[00:23:30] 你先在脑袋里面把这个问题自己做一遍
[00:23:34] 你会得到一个什么样的结果呢
[00:23:37] 如果你的方法和作者的方法是一致的
[00:23:40] 那很好
[00:23:40] 说明你已经学会了完全掌握这个知识了
[00:23:42] 然后如果你不一致
[00:23:44] 还有两种情况
