[00:00:00] 呃上课之前我先在告诉大家一下
[00:14:24] 然后ABBA也是的
[00:14:25] 我有一把AA桌子上的钥匙
[00:14:28] 我拿走了
[00:14:28] 我还要去拿B桌子的钥匙
[00:14:30] 然后如果这个世界上就只有一个桌子
[00:14:33] 一把钥匙
[00:14:33] 而且拿到钥匙人还永远不想要更多的钥匙
[00:14:36] 就A没有AA型的思索
[00:14:38] 那确实就是一把大锁保平安了
[00:14:40] 哎确实也不会思索了
[00:14:42] 然后那个呃NO pression
[00:14:44] 别人不能抢
[00:14:45] 我不能抢别人的钥匙
[00:14:46] 在我们的程序里面也是不存在
[00:14:50] 这个抢别人钥匙的这个行为的
[00:14:53] 抢别人钥匙行为我们做做不到
[00:14:55] 因为我们所在实现的时候
[00:14:57] 那个system call从从你的我实现一个自旋锁
[00:15:00] 我不停的去看这个钥匙在不在
[00:15:02] 我的协议已经规定好了
[00:15:04] 我我我就没有抢别人的锁
[00:15:05] 这个操作
[00:15:07] 然后循环等待
[00:15:08] 最后一个也是啊最直观的
[00:15:11] 我们要形成思索的条件
[00:15:13] 那么所谓的必要条件
[00:15:14] 就意味着打破任何一个1234里面的条件
[00:15:17] 死锁实际上就不会呃不会发生了
[00:15:20] 好那么呃你们可能会看到有一些
[00:15:25] 有有一些资料
[00:15:26] 资料这个是百度百百科的死锁词条
[00:15:28] 我我每年都会拿出来鞭尸
[00:15:31] 然后但是我我我总想着
[00:15:33] 有一天也许这个百度百科就会改进
[00:15:35] 结果是实际是不仅没有改进
[00:15:38] 而且还变得更糟糕了
[00:15:39] 我不知道
[00:15:40] 我不知道为什么
[00:15:40] 而且这还是一个应该是个验证过的
[00:15:43] 认证过的词条
[00:15:44] 本词条由科普中国百科词条编写工作
[00:15:50] 项目审核
[00:15:52] 我就不不多不多评价了
[00:15:54] 连里面有这样一句话
[00:15:55] 我我我昨天copy过来说说理解了死锁的原因
[00:15:58] 尤其是产生死锁的四个必要条件
[00:16:00] 就可以叭叭
[00:16:03] 因此对资源的分配要给予合理
[00:16:06] 合理的规划
[00:16:08] 我不知道
[00:16:08] 可能是197几年的时候
[00:16:10] 有一本教科书上这样写
[00:16:11] 我觉得如果你读过那个system deadlock
[00:16:14] 那个文章的话
[00:16:15] 嗯在那个时代背景下
[00:16:17] 如果你读过那篇文章
[00:16:18] 你会觉得呃这段话写的是没有问题的
[00:16:21] 但是现在已经2026年了
[00:16:22] 呃这样这样竟然还出现在百度百科上
[00:16:25] 所以我我觉得挺挺好玩的挺好玩的
[00:16:28] 中文的语料就是天崩开局
[00:16:30] 然后我不知道DeepSeek为什么可以训的这么好
[00:16:33] 我我我就天崩开局到什么程度呢
[00:16:36] 我大元模型有一个分词器
[00:16:38] 它你你任何一句话
[00:16:40] 一句话它总是要切成一个一个字符的
[00:16:42] 当然它不是像像那个UNICODE或者像阿斯克一样
[00:16:46] 它切成一个一个的字节
[00:16:48] 或者一个这种十六十六bit的东西
[00:16:51] 他会把一些常用的词
[00:16:54] 甚至是带标点符号的
[00:16:55] 带空格的
[00:16:56] 带句号的
[00:16:56] 这些都都变成一个token
[00:16:58] 一个叫词源
[00:16:59] 现在好像大家要要这样这样翻译
[00:17:02] 然后这样的话我就可以实现
[00:17:04] 我把常用的词放在这个词表里
[00:17:07] 把不常用的
[00:17:08] 甚至有些东西就以字节的方式来
[00:17:09] 直接编码在里面
[00:17:10] 那我常用的词我就可以节省这个token的长度
[00:17:13] 我我不就可以省算力
[00:17:14] 加快速度
[00:17:15] 反正好处有很多呃现在流行的两个
[00:17:19] 呃现在比如说啊在呃在GP上面
[00:17:22] 这个分子表有两个
[00:17:24] 一个是四欧的时候出的O200k base
[00:17:27] 还有一个是O200k harmony
[00:17:29] 然后它里面最长的这个词源
[00:17:33] 分别有十个中文字和九个中文字是微信公众号
[00:17:36] 天天什么什么什么和日本
[00:17:38] 什么什么什么什么什么
[00:17:39] 然后这嗯我我刚才让AI帮我那个tick token
[00:17:43] 共找到3260一个
[00:17:46] 长度大于等于二的纯中文token
[00:17:48] 大概在整个token里面可能11%左右
[00:17:51] 1.5%左右
[00:17:52] 就如果这个东西优化了
[00:17:53] 其实还中文的那个上下文长度还可以更更小
[00:17:56] 因为很明显我们有很多
[00:17:58] 在实际上我们对话的时候会出现语料
[00:18:00] 但不在他的语料库里
[00:18:01] 你看都是
[00:18:03] 我就啊我的直播间还在吗
[00:18:04] 我已经
[00:18:06] 我我可以让DPK来来做一些啊啊comment
[00:18:11] 唯一的这个比较长的词里面
[00:18:13] 一个正常的是给主人留下些什么吧
[00:18:15] 那听起来看起来这句话不太正常
[00:18:16] 但实际上它是来自一个
[00:18:18] 就是博客的那个底下留言框里面的那个那个词
[00:18:22] 所以他的语料里面有大量的这个呃博客的post
[00:18:27] 因为这个已经算是相对来说
[00:18:28] 质量比较高的语料了
[00:18:29] 如果你们对比一下那个WIKIPEDIA的死锁的词条
[00:18:33] 他就写的非常专业
[00:18:34] 他呃他也有这个必要条件
[00:18:37] 但是他对呃这个必要条件的陈述是很明显
[00:18:41] 是更客观
[00:18:41] 更公正
[00:18:42] 更符合一个computer science从业者的
[00:18:44] 所以你看过滤掉这些SPA模板
[00:18:47] 只展示真正的中文中中文词汇
[00:18:49] OK呃我们还是要逐条解析一下
[00:18:53] 这个刚才说的几个几个条件
[00:18:56] 第一个mutual exclusion
[00:18:58] 说互斥钥匙只能被一个人拿到
[00:19:00] 拿到钥匙才能继续
[00:19:01] 这个就是护士所的定义
[00:19:03] 所以如果你想要打破这个条件
[00:19:05] 不是像刚才那一句话
[00:19:07] 站着说话不腰疼
[00:19:08] 他说在系统设计进程调度方面
[00:19:11] 注意如何不让这四个必要条件成立
[00:19:14] 就这句话你说的他说的是对的吧
[00:19:17] 你没错吧
[00:19:19] 你你你不能
[00:19:20] 你肯定不能说他错
[00:19:21] 但是它你就觉得它不客观嘛
[00:19:25] 就像我那天在知乎上写了一个帖子
[00:19:27] 说人工智能AI有一个呃呃中文的名字
[00:19:31] 不要大家不要叫AI了
[00:19:32] 但人工智能又太长了
[00:19:33] 然后我就有了
[00:19:34] 我我就找了一个字
[00:19:36] 然后这个字非常好
[00:19:37] 然后这个字非常好
[00:19:38] 非常适合这个当前人工智能的
[00:19:41] 四个四大含义
[00:19:43] 我就不说这是什么字了
[00:19:45] 然后我就觉得这个这个什么制
[00:19:46] 就是就应该应该是人AI的
[00:19:49] 这个中中文翻译又又短又上头
[00:19:52] 但这不work
[00:19:53] 这不这不work
[00:19:54] 你你需要的是有一个呃reasoning model
[00:19:57] 一个仔细考虑的
[00:19:59] model去想
[00:20:00] 为什么这四个必要条件打破起来是非常困难的
[00:20:03] 第一个呃钥匙只能被一个人拿到
[00:20:06] 拿到钥匙才能继续
[00:20:07] 这个就是颠覆了锁的锁的定义
[00:20:10] 如果你想要打破这个条件
[00:20:12] 你就需要代码设计的彻底重构
[00:20:14] 你你就不能再就不允许你有锁了
[00:20:18] 不允许你你你用用互斥锁了
[00:20:21] 你还是有办法的
[00:20:22] 比如说你可以
[00:20:23] 在din philosophy里面引入一个waiter线程
[00:20:26] 然后你可以跟他通信
[00:20:27] 你可以在系统里面引入一个send和receive的API
[00:20:30] 当然你send和receive的时候
[00:20:31] 你可你还是需要用锁来实现
[00:20:33] 但是你一旦实现了send和receive的机制以后
[00:20:35] 你就呃不再也不需要用锁了
[00:20:38] 你只要跟这个waiter通信
[00:20:40] 所以你看我们现在分布式系统这种
[00:20:42] master worker的这种结构
[00:20:45] 它就是呃用这个方式来设计的
[00:20:48] 它打破了
[00:20:49] 不去
[00:20:50] 不去互斥
[00:20:51] 这样的不去就直接使用锁来来互斥
[00:20:54] 然后自然而然也就通过集中式的方式来管理
[00:20:57] 解决了锁的问题
[00:20:59] 他如果要解决拿到钥匙的人
[00:21:01] 还要更多的钥匙
[00:21:02] 这个问题就也是比较有趣的
[00:21:05] 首先我们可以一把大手保平安
[00:21:07] 然后你只要消灭了AA型的思索
[00:21:09] 你你就再也不会有其他的思索了
[00:21:11] 然这是对的
[00:21:12] 但是它的性能很低
[00:21:13] 这也可能也不是我们想要的
[00:21:15] 但是有没有又性能好
[00:21:18] 又能一把大锁保平安的方法呢
[00:21:22] 其实早就有人想了
[00:21:24] 他们想在C或者C加加
[00:21:25] 或者任何一个语言里面
[00:21:26] 我引入一个新的关键字叫atomic
[00:21:29] 就跟你你们说有一个database传在场
[00:21:32] 你们不知道这个没关系
[00:21:33] 就叫TOMIC
[00:21:34] 然后我在这里可以写任意的代码
[00:21:37] 比如说SAM加加
[00:21:39] 甚至啊他们呃理想情况下
[00:21:41] 我这里可以可以写系统调用
[00:21:43] 但是系统调用就像泼出去的水
[00:21:45] 你不可能再把它收回来了
[00:21:46] 呃atomic意思是这一一些代码
[00:21:50] 它执行要么好像全部执行完
[00:21:53] Stop the world
[00:21:54] 全部执行完
[00:21:54] 要么好像一下都没有执行
[00:21:56] 所以如果我这里面
[00:21:57] 比如说我这里有两个sum加加
[00:21:59] 然后我在另外一个呃县城里面
[00:22:01] 我也同样的写一个tomic sum加加
[00:22:03] 那你看到的就只能是2468十
[00:22:05] 你永远不能看到基数这样的一个or nothing的语义
[00:22:08] 这样像支付宝我就可以在里面check
[00:22:10] 我可以我可以先对全局状态做check
[00:22:13] 然后再再modify
[00:22:16] 这样我可以保证这是一个all or nothing的
[00:22:19] 结果
[00:22:19] 那这这就是对的
[00:22:21] 非常难实现
[00:22:22] 产生memory
[00:22:23] 非常难实现
[00:22:23] 尤其是如果你要有系统调用的话
[00:22:25] 这就更更难实现
[00:22:26] 但这是我们呃其实是人类追求的目标嘛
[00:22:29] 越困难越要做
[00:22:31] 我觉得在AI的时代
[00:22:32] 可能这件事情又要兴起了
[00:22:34] 也也说不定
[00:22:35] 然后如果说我们希望第三个条件被打破
[00:22:38] 也就是说不能抢别人的呃钥匙
[00:22:41] 抢别人钥匙很混乱
[00:22:43] 你你想我现在在一个lock的状态
[00:22:46] 我比如说就是一把大锁保平安
[00:22:48] 然后那我我在这个时候我想要改改东西的时候
[00:22:51] 我要把别人的锁给抢过来
[00:22:54] 那我就要导致别人的回滚
[00:22:57] 因为别人已经把萨姆加
[00:22:59] 我中间有两个sum加加他拿着锁呢
[00:23:01] 我如果要把他这个锁抢抢回来
[00:23:03] 要么就我得等等他做完
[00:23:05] 要么我就等他做完
[00:23:06] 好像不对
[00:23:07] 那我就得把它这从房间里面踹出去踹出去
[00:23:11] 我就必须要把他已经对系统产生的side effect
[00:23:14] 回滚
[00:23:15] 所以又指向了transaction memory
[00:23:16] 必须要能回滚
