[00:00:00] 欢迎大家来上操作系统课
[00:06:13] 会有个office
[00:06:15] 四点半到五点半
[00:06:17] 我看了下课表这个时间应该是可以的
[00:06:20] 比如说同学这个时间实在是不空的话
[00:06:22] 你看怎么发个时间
[00:06:23] 跟我约一个时间是没有问题
[00:06:26] 然后其实大家比较关心的这个门课成绩的组成
[00:06:31] 期末考试占50%
[00:06:33] 因为你大家都知道AI替我上大学了
[00:06:36] 你们所有的作业都直接接入到AI里
[00:06:41] AI可以生成个非常好的作业
[00:06:43] 包括操作系统课的所有的实验都是这样
[00:06:46] 所以我把实验的比例稍微向下调了一点
[00:06:49] 因为真是把所有的实验需要的东西放进去
[00:06:52] 然后跟ai说请帮我把这个实验给搞一下，
[00:06:56] 马上后就全部搞定测试
[00:06:57] 然后直接提交
[00:07:00] 我的侧重点很多也是ai帮我生成的，
[00:07:04] 只有魔法才能打败魔法
[00:07:06] 所以期末考试到时候多简单，
[00:07:08] 大家不用太紧张
[00:07:09] 课堂上的内容理解了就可以
[00:07:13] 然后会有一个10%随堂测验
[00:07:16] 大概会在五一节左右的时候
[00:07:19] 大家不用紧张
[00:07:21] 你们能够把课堂上面的代码都给搞清楚
[00:07:24] 期中考试肯定是可以轻松应对的
[00:07:27] 如果你实在那个时候没有办法来也不要紧
[00:07:30] 我上课大家可以不到课了，
[00:07:33] 因为是随堂的
[00:07:35] 如果你期中考试鸽了
[00:07:37] 那我直接会以你的期末考试成绩作为你的期中成绩
[00:07:42] 所以你可以做比如说你期中发现考不下去的时候
[00:07:46] 你就可以直接不点名
[00:07:48] 然后直接离开教室
[00:07:50] 可以把这个危险挪入到期末考试的时候
[00:07:54] 然后每有40%的实验都是AI
[00:07:57] 主要是编程
[00:07:58] 你会实现一个大语言模型
[00:08:03] 的推理器
[00:08:05] 可以有一个小gpt的模型
[00:08:08] 你也可以去看这个系统作者非常有趣的事情
[00:08:10] 这个是操作系统课想要教大家做到
[00:08:16] 就是课程的同学
[00:08:19] 然后如果你们有比如说
[00:08:21] 线上的有想要看的内容
[00:08:24] 这个限校内的同学
[00:08:26] 然后有一个资料链接
[00:08:29] 2周后失效
[00:08:31] 就正好是以这个课程最简时间失效
[00:08:36] 两周失效
[00:08:37] 大概下个星期的周末，
[00:08:39] 需要登录所以只有北大同学可以报名
[00:08:42] 然后同样的我在2周之后
[00:08:44] 因为时间也从两周之后开始
[00:08:45] 我会给所有的选课的同学
[00:08:48] 通过 @smail.nju.edu.cn 发送 TOKEN
[00:08:52] 所有你们正式选修的
[00:08:54] 在选课列表上的同学我有你们的学号
[00:08:56] 所以你们就不需要再填这个表格了
[00:09:00] 然后这样子我还是先维护它
[00:09:05] 我希望再维护两个月
[00:09:07] 两个月之后就可以完全开源了
[00:09:10] 然后我觉得2027年
[00:09:11] 大概结束这门课
[00:09:14] 可能明年再上一轮我就可以
[00:09:15] 从这个地方退休了
[00:09:17] 当然退休不代表就不上课
[00:09:21] 我要选择学校或者还得上课
[00:09:23] 所以我的一个计划是在秋季开一门面向所有人的aiCoding
[00:09:29] 会以选修课的形式
[00:09:31] 告诉大家怎么样用线下的方式
[00:09:33] 用软件工程的方式来编程
[00:09:35] 因为大家也都知道
[00:09:36] 用AI 没用Coding agent的话
[00:09:39] 当时需求变得的复杂的时候
[00:09:42] AI会各种要验证
[00:09:44] 我非常深刻的体会到这一点
[00:09:47] 包括我实现这个系统
[00:09:48] ai给我做过很多不正确的设计
[00:09:52] 然后还产生海量的代码
[00:09:55] 在某一个时间点
[00:09:57] 我几乎把所有的代码删掉了
[00:09:58] 我从五六千行开始
[00:10:00] 删到了五六百行开始
[00:10:03] 然后再从零开始
[00:10:06] 所以在人工智能时代，
[00:10:09] 写代码变得不难了
[00:10:11] ai可以帮忙的时候
[00:10:13] 我们应该怎么应对这件事情
[00:10:14] 远离工程人的智慧是什么
[00:10:17] 这个是一个很好的问题
[00:10:18] 所以操作系统上这些细节可能写的不是么难
[00:10:21] 我只要录100个课程
[00:10:23] 然后大家看网课就OK了
[00:10:26] 然后如果大家有任何意见
[00:10:30] 建议和反馈都可以直接发邮件给我
[00:10:33] 我会保证百分之百的邮件回复单
[00:10:35] 如果你们在那个B站的视频上面发
[00:10:39] 我应该都会看的
[00:10:41] 但是我不会回
[00:10:44] 如果大家有批评的意见
[00:10:46] 我都是非常open的
[00:10:47] 比如你们会说这个屏幕看不来，太难看了
[00:10:52] 他们有一个不好的地方是，
[00:10:55] 我没有办法把标题变大一点。
[00:10:57] 它们是一个网格
[00:11:00] 1024*80的一个网格，每一个格子一个字
[00:11:05] 所以我想要这个比其他的稍微大一点，
[00:11:08] 不太做得到，不是完全做不到，一会可能就可以看到
[00:11:11] 我还是刚好可以做到
[00:11:14] 但如果有任何建议的话
[00:11:16] 我都可以open的给大家讨论
[00:11:18] 然后有人知道你们的建议可能会比较critical，
[00:11:22] 但我觉得OK
[00:11:23] 因为我会想你为什么会提出一个，
[00:11:27] 比如说喷我， 为什么你要喷我，
[00:11:29] 然后我想一想
[00:11:30] 那一定是某一个地方没有
[00:11:32] 可能没有如你心愿，或者说没有做好
[00:11:35] 那这个可能有我的原因
[00:11:37] 因为我不能把所有事情能兼顾，
[00:11:40] 我只能这样
[00:11:42] 如果这件事情你喷我
[00:11:44] 你可以让我改的更好的话
[00:11:46] 我会去这样做
[00:11:48] 所以如果你们喷我也OK
[00:11:50] 这个没关系
[00:11:52] 等到选课名单完全确定以后
[00:11:55] 我再群发给邮件
[00:11:56] 因为退课的还有以及补选的同学
[00:12:00] 其实这个消息我会看
[00:12:02] 但是唯一能够及时的回复
[00:12:05] 所以你们有问题来问我的话，
[00:12:07] 我可以保证百分百邮件回复，
[00:12:10] 这你可以放心
[00:12:11] 我有个命令行的工具
[00:12:12] 如果你直接问我一个问题的话
[00:12:15] 这个课堂工具可以直接调用AI直接回答这个问题
[00:12:19] 比如说这个操作系统
[00:12:21] 我上课的时候这个例子，
[00:12:24] 我没有看明白
[00:12:25] 你要给我发邮件
[00:12:27] 你可以先不用发邮件可以先问AI
[00:12:28] 因为如果你问我一个具体的
[00:12:30] AI可以回答的问题我也是会问 AI 的
[00:12:35] 再一个就是选课，这是第一部分
[00:12:39] 整个课程和衔接。
[00:12:43] 那下面我们就可以进入操作系统正题了
[00:12:48] 那要讲技术这个的内容
[00:12:50] 比如说我今天要讲操作系统发展的历史之前
[00:12:53] 我还是要跟大家回顾一下我们现在所处的这个时代
[00:13:00] 我现在叫他AC05年
[00:13:05] 因为我从gpt出来以后
[00:13:09] 我就改变了人类这个
[00:13:11] 走自己私自改变计算年份的方式
[00:13:15] 现在是2026年
[00:13:16] 是gpt诞生以后的第5年
[00:13:19] 5年时间好像并不是很漫长
[00:13:22] 你们5年之前应该是上初中或者刚上高中
[00:13:27] 但你会发现五年的时间里
[00:13:31] 我和你发生了巨大的变化
[00:13:33] 我记得gpt3.5刚出来的时候那一天
[00:13:37] 那天晚上在外面
[00:13:38] 然后我就想办法想办法搞个号
[00:13:42] 然后开始跟他聊天
[00:13:44] 然后我会发现gpt
[00:13:46] 你让他从50数到100
[00:13:48] 他会50 51 52 52 52 52 52 52
[00:13:52] 然后你需要一个好的状态才能让他能够从50补到100
[00:13:55] 然后你给很难想象就是gpt该用在
[00:13:57] 在五年以前是是这个能力
[00:14:00] 然后专家们都在说
[00:14:02] 你们不要总觉得AI
[00:14:03] 这个AI的这个是逻辑推理能力是不行的
[00:14:08] 这个大语言模型本质上是做不了推理的
[00:14:10] 然后有个O1，然后有一个ds2万
[00:14:13] 大家可以看到强化学习
[00:14:16] 把推理的能力也提上来
[00:14:19] 然后在2025年的时候
[00:14:21] 这个AI已经完全屠榜
[00:14:25] AI已经得到了IMO/IOI的金牌
[00:14:29] 然后也在这个ICPC World Finals
[00:14:33] 用5个小时时间击算最强的人类选择
[00:14:36] 这是一个非常离谱的事情
[00:14:37] 因为如果你们参加竞赛
[00:14:39] 你们了解过一些
[00:14:40] 你们知道这个东西难度有多大
[00:14:42] 让你们去拿一个金牌 你们说你肯定是做不到的
[00:14:46] 如果你能做到，你不能坐在这儿
[00:14:49] 你现在肯定肯定在东南或者在北大
[00:14:55] 然后也是去年的时候
[00:14:57] 大概也就是一年以前的时候，
[00:14:59] 我上课的时候自己也实现了一个微信 AgentBot
[00:15:03] 然后我在微信的背后可以接入一些大语言模型
[00:15:05] 我记得我去年的时候，去年我上课的时候模型还是v4o
[00:15:10] 也试过一些开源模型
[00:15:13] 然后这些模型的指令遵循能力都很糟糕。
[00:15:15] 经常是他做着做着就不听指令了
[00:15:18] 就开始就开始乱做
[00:15:20] 都是开源的ai但基本上没有能用的
[00:15:24] 然后从去年的时候
[00:15:25] 那个时候是有原厂能用的ai一直到现在非常能用
[00:15:28] 然后他能够支持上下文128K到1M
[00:15:34] 今天的东西已经
[00:15:36] 我毫不客气的说比我的博士生好用
[00:15:39] 有时候除了一些可能需要的领域知识
[00:15:44] 我要把这个领域知识以怎样的方式告诉gpt有问题以外
[00:15:47] 其他的事情可能他比我的博士生还要好用
[00:15:50] 这其实很糟糕的事情了
[00:15:52] 那我们上大学做什么
[00:15:54] 一个可怕的是，我们不仅模型的能力增长了
[00:16:00] 它的速度也增长
[00:16:02] 前几天有一个新闻
[00:16:05] 你们应该都看到那个三大顶会的推动，
[00:16:08] 三大你们不是正式的顶会
[00:16:09] 是那三个公众号
[00:16:11] 你们知道这个调侃吗，
[00:16:13] （请输入文本）
[00:16:18] 你们有同学听说过，
[00:16:20] 有一个公司做了一款芯片叫Groq
[00:16:25] 15000个token每秒速度生成内容
[00:16:31] 但是这个8B的模型已经过了比较严重的量化
[00:16:35] 你们有没有试过这个gpt
[00:16:39] 现在应该是这个应该可能上不了
[00:16:43] 我这个机器没有办法
[00:16:45] 没有连接科学上网
[00:16:49] 但是当我使用的，当我体验它的时候
[00:16:53] 15000个token每秒是什么感觉呢？
[00:16:56] 你跟他说帮我写一个什么代码吧
[00:17:00] 或者给他一个论文
[00:17:02] 比较长的一个论文，一个文章
[00:17:05] 可能两三页纸的文章说请你帮我翻译成中文吧
[00:17:10] 在按下回车以后他可能卡一下
[00:17:13] 然后瞬间就把事情干完了
[00:17:16] 你就是这一秒钟的时间，他就给你写两三个页的代码。
[00:17:20] 这是一个非常可怕的事情
[00:17:24] 在ai能做的这么好
[00:17:26] AI能做的这么快的时候
[00:17:29] 如果能做的这么快的时候
[00:17:30] 实时的交互脑机接口
[00:17:33] 包括比如说像我刚刚做数学题
[00:17:36] 数学题你要尝试的
[00:17:38] 你去的越快你做来的压力就越大
[00:17:41] 然后像在围棋的时候那样，
[00:17:44] 你速度越快，你推理越快
[00:17:47] 它的效果就就更好
[00:17:50] 如果他能把稍微再大一点的模型的话
[00:17:52] gpt就已经把它是拆分成3.5,27B的模型
[00:17:55] 但能力已经很大可以做识别
[00:17:57] 如果他能做到的话
[00:18:00] 那我觉得人类真的是没有什么希望了
[00:18:03] 然后在这个能力和速度都提升的时候
[00:18:07] 我们就看到了现象级的应用。
[00:18:09] 不知道同学平时日常使用会不会用ai
[00:18:14] 还很多的，你们用codex还是cc
[00:18:19] cc挺好用的
[00:18:21] （请输入本文）
[00:18:24] 账号获取相对来说好像容易一些，
[00:18:27] cc比较容易封
[00:18:29] 大家问的cc一直都可以用
[00:18:32] 然后你们用的ai这肯定会发现
[00:18:35] 它和一两年以前在聊天窗口里面
[00:18:38] 和AI对话的那个模式完全不一样的。
[00:18:42] coding和聊天框里面的AI
[00:18:45] 有什么不一样呢
[00:18:47] 他有手和脚
[00:18:49] 他可以和他的环境交互
[00:18:51] 他可以把你的所有文件都删掉发给我。
[00:18:54] 他可以干很危险的事情
[00:18:57] 但他能干危险的也意味着他能干很多的事情
[00:19:01] 反正他可以干很多离谱的事情
[00:19:03] （请输入本文）
[00:19:08] 但在龙虾火之前
[00:19:10] 甚至在这个cc没出现之前
[00:19:13] 我就一直在用cc管理我个人的数据库
[00:19:16] 我会做一些什么样的内容
[00:19:18] 我把我自己所有的个人信息。
[00:19:20] 以这样的方式放在一个大的数据库里
[00:19:25] 所有各种各样的东西
[00:19:27] 然后你们有没有在上学的时候
[00:19:31] 因为填表感到很烦
[00:19:34] 今天不到让你填一个表
[00:19:36] 要你让姓名民族，身份证号，个人简历
[00:19:40] 然后你每次填的名字
[00:19:41] 这件事情我已经在登天以前填过了
[00:19:44] 我能不能不要再剪一次。
[00:19:47] 当你有ai的时候
[00:19:48] 你就可以直接把这个表格了
[00:19:50] 往ai一丢
[00:19:52] 然后ai就会读你的数据库，
[00:19:56] 读完以后他可以
[00:19:58] 我现在还没有调好到它自动帮我把表格填进去
[00:20:02] 但他可以把所有需要填的的东西都给我列出来
[00:20:04] 我只需要复制粘贴
[00:20:06] 这样我就把一个本来可能需要几分钟的事情
[00:20:09] 变成了只需要十几秒钟就可以完成
[00:20:14] 然后我试了一下cc一下
[00:20:16] 把我的小ai接入微信
[00:20:23] 然后去年的时候有一个系的视频是
[00:20:26] 我全部都调好了然后一个不在了
[00:20:30] 微信的这个系统客服
[00:20:32] 因为我是客户端讲话， 聊了一上午
[00:20:35] 然后我ai的系统给我发了一条消息
[00:20:37] ai的这条消息
[00:20:38] 然后我可以给他回一条
[00:20:39] 然后他发一条我回一条
[00:20:41] 然后我看到那个已经过去几千条了
[00:20:44] 但是我的号没有被封
[00:20:46] 还有ai还可以有很多现象级的应用
[00:20:51] 发生正在改变我们的生活，在改变我们每一个人
[00:20:57] 做的每一件事情
[00:20:59] 我们应知道怎么应对
[00:21:01] 你们现在有没有想好大学最后会变成什么
[00:21:05] 你可以看到这个工业界已经热火朝天，
[00:21:08] 尤其是硅谷
[00:21:09] 然后在我们国内讨论上
[00:21:11] 大家是学生
[00:21:14] 在第一时间还可以接触到这些
[00:21:15] 但是如果我和其他人一个
[00:21:17] 可能一个普通人或者，身边的普通人
[00:21:21] 然后能完全能意识到
[00:21:23] 这一次的AI革命会给我们带来什么
[00:21:27] 所以我们就要讲一下
[00:21:30] 我们从过去到到现在
[00:21:34] 到底发生了什么样的变化
[00:21:36] 然后我应该怎么样应对这样的变化
[00:21:40] 我现在想的是为什么要学操作系统
[00:21:43] 我先抛出了一些背景
[00:21:46] 我们现在一个飞速度变化的时代，
[00:21:48] 在这个时代对我们来说意味着什么呢？
[00:21:51] 我们从你们学习计算机
[00:21:53] 或者你们在小学阶段，
[00:21:55] 或者在初中阶段对计算机科学
[00:21:59] 老师肯定给们讲一些什么事情
[00:22:01] 你会知道我们要编程用算法去解决问题
[00:22:05] 你们现在应该会在高中的时候学一点点编程肯定觉得很痛苦，
[00:22:09] 在Ai时代来之前
[00:22:13] 计算机是怎么解决问题的
[00:22:14] 或者说我们作为什么是science，学生和老师是怎么解决问题的
[00:22:18] 我们的计算机只能解决数学上的问题
[00:22:22] 比如说有的最短路径。
[00:22:24] 最短路径是定义出一个集合， 这个集合是图上面
[00:22:31] 他会告诉你个图
[00:22:34] 你们有没有离散数学课
[00:22:40] 然后你是可以用集合来定义
[00:22:45] V（点集合）和E（边集合）
[00:22:48] E 是 V × V 的子集
[00:22:52] 它每一个全都是数学上的严格的定义
[00:22:55] 然后你基于图的共性
[00:22:59] 然后我发现我们的同学其实对于数学的训练并不是很好
[00:23:04] 我在保研的时候经常会问
[00:23:06] 保研会问他们问题，面试会问这样的问题
[00:23:09] 比如说什么是图里的最短路径？
[00:23:13] （请输入文本）
[00:23:16] 那如果你要转成数学语言你马上发现
[00:23:19] 好像你可能掌握
[00:23:21] 或者要想一下
[00:23:23] 用集合论的语言来描述什么是最短路径
[00:23:28] 不那么简单
[00:23:32] 但计算机就是只能解决这用这种数学的语言来定义出来的问题
[00:23:37] 其他的问题它解决不了
[00:23:39] 为了解决我们真实世界的问题
[00:23:43] 比如说我要做一个实现一个导航软件
[00:23:45] 或者要实现一个信息系统
[00:23:47] 或者做一个手机的APP
[00:23:48] 要点个外卖
[00:23:50] 那所有的
[00:23:51] 这些支持物理世界的东西都是这种不规则的
[00:23:54] 那他要把不规则的东西变成这种数学问题
[00:23:58] 那就需要怎么解决
[00:24:00] 所以我们的软件工程师，这个专业都不是科学这个专业
[00:24:04] 一直都是在培养这样的把这个现世界当中的
[00:24:08] 我们人类里面那个百分杂八的问题
[00:24:11] 翻译成计算机可以理解的，
[00:24:14] 可以求解的数学问题能力
[00:24:18] 我们老先生在的时候经常会问
[00:24:23] 老师同学们要什么样的软件
[00:24:27] 你这个问题
[00:24:29] 这个问题还是要问吗
[00:24:31] 那个还是要问吗
[00:24:32] 本来这个问题的答案其实是这很深刻
[00:24:35] 他和我刚才说的那个
[00:24:38] 我们的computer赛里的学生这么多年
[00:24:42] 都在做什么是有很大的关系的，
[00:24:44] 软件是物理世界在信息世界的投影
[00:24:47] 然后这个投影只有软件工程师可以做
[00:24:49] 地球上没有经过这种训练的人都没有办法做，
[00:24:53] 但是到了今天，AI可以做
[00:24:55] AI非常擅长把自然语言这种不规整的东西
[00:25:00] 那种ill-formed问题
[00:25:03] 你甚至需求都说不清楚的他都能给你猜一个
[00:25:08] 甚至我们的AI还可以从这个问题里面
[00:25:11] 把这个well-formed的东西给提取出来。
[00:25:14] 他能写代码，他也能把它变成一个数学化的表达论
[00:25:18] 你就是解决这一个问题
[00:25:19] 然后他再调用另外一个数学工具来作业，
[00:25:22] 这也得用手和脚，
[00:25:24] 甚至AI实际上它具备有这个动态宣传一切的内容的能力
[00:25:30] 我不知道你们跟Ai聊天的时候，
[00:25:34] 有没有感受到
[00:25:35] 你有时候不是很喜欢这个文本的输出
[00:25:39] 你希望它更可视化一点
[00:25:41] 最后都给你一些表格或者是这个用字符变成的图形
[00:25:47] 但是如果你的AI每次输出都这个HTML的页面
[00:25:51] 它甚至是可以交付的。
[00:25:53] 你能体验这个大幅提升了吗？
[00:25:55] 然后你接下来就这么想，
[00:25:57] 在AI的时代
[00:25:59] 也许我们的所有的手机的应用不存在了
[00:26:03] 手机跟APP都不存在了，每一个APP
[00:26:07] 如果我是苹果
[00:26:09] 我就扶持APP像提供打车，提供地图
[00:26:14] 提供位置的这些服务的一些后台的公司
[00:26:17] 他给我一个API
[00:26:19] 然后我的手机就是一个界面
[00:26:22] 加上聊天的界面
[00:26:23] 然后比如说你要点杯奶茶
[00:26:26] 只需要跟千问这样说，能够给我给我点杯奶茶
[00:26:29] 点完以后我的手机操作系统就直接去把这个请求转发
[00:26:33] 给这个数据的系统提供商
[00:26:34] 数据把那些店能给我什么样的奶茶
[00:26:37] 给我什么样的优惠券返给我
[00:26:39] 然后用ai动态生成一个HTML的网页
[00:26:43] 完全为你个人定制的
[00:26:45] 再也不需要老人机了，你们想想
[00:26:48] 你们家里如果有老人的话
[00:26:49] 你会发现有些有爷爷奶奶，
[00:26:51] 或者如果有更大的长辈
[00:26:54] 他们用智能手机是遇到巨大的困难的
[00:26:58] 因为智能手机里面
[00:27:00] 你看你现在给我打开一个APP，它那个字又小，功能又那么多
[00:27:03] 你根本没搞清楚哪一个是哪一个。
[00:27:05] 但是在AI的时代，它所有的内容都是个性化的、应用的。
[00:27:10] 如果我知道你是一个老人，你看不清字，我就字调大一点
[00:27:14] 如果我知道你红绿色盲，我就比你生成一个蓝底
[00:27:18] 完全不需要他现在这样的每一个
[00:27:20] 有软件工程师去把物理世界的过程，
[00:27:25] 以及他自己的想法都用到新事件里
[00:27:28] 所有东西就personalize
[00:27:30] 所以这是一个非常可怕的
[00:27:33] 我觉得对不是非常重要的很多行业
[00:27:37] 直接就被消灭了
[00:27:39] 那在这个时候我们学习还有意义吗？
[00:27:43] 我们还花那么长的时间学编程
[00:27:47] 就你们从大一开始学程序设计
[00:27:49] 那个痛苦，还是一旦轮到你们看起来
[00:27:54] 你们就极度痛苦
[00:27:55] 然后一旦让你们把问题问给AI的时候
[00:27:58] 烧token完了一遍就过
[00:28:01] 你们学习，那你这么做肯定不好意思
[00:28:04] 你们学这些东西还有意义吗？
[00:28:07] 这有意义吗？
[00:28:08] 其实有怀疑，我们都在每一个，现在AI你们都有这些感觉
[00:28:14] AI已经使得顶级的劳动力逐渐失去他们的价值
[00:28:18] 那什么是顶级的劳动力
[00:28:21] 比如说我作为老师
[00:28:23] 我一直有个感觉
[00:28:24] 因为我会带着同学
[00:28:26] 我会带着他们做这个
[00:28:27] 你们最终可能也想读研，
[00:28:29] 发两篇论文，然后走上人生巅峰
[00:28:33] 但我发现的某些同学讨论的时候。
[00:28:35] 我也这样，你说我自己和gpt也没什么区别。
[00:28:38] 我说的每句话。
[00:28:40] 都是根据过去我对这个同学的了解
[00:28:43] 同学跟我说的东西
[00:28:45] 一个很自然的能够从逻辑上推导出来的
[00:28:49] 那我能做，gpt也能做。
[00:28:51] 那还需要我来干什么？
[00:28:53] 每一个人在AI身边待了很久的人
[00:28:56] 都会怀疑自己的价值
[00:28:59] 但是到今天为止AI还是有一件事情
[00:29:03] 可能一些训练集不够
[00:29:08] 他在做复杂任务的时候
[00:29:09] 做一件真正复杂的事情的时候
[00:29:12] 他还做的不够好
[00:29:14] 可能不如我们的博士生
[00:29:17] 我不知道你每天做这个事情的功课
[00:29:19] 我也相信AI是能攻克这个问题的
[00:29:22] 但至少是今天ai还没有学会这件事
[00:29:26] 可能是因为注意力模型的原因
[00:29:28] 可能是因为训练处理的原因
[00:29:31] 可能还没有找到好的学习方法
[00:29:34] 但是AI没有办法做复杂系统的抽象的理解。
[00:29:42] 或者说我们人类为了想要解决一个真实世界里面非常非常复杂的问题
[00:29:48] 比如说要做一个操作系统
[00:29:50] 比如说我们做一个操作系统
[00:29:52] 不是说解一个内核这样的事情
[00:29:54] 它是要成功的支撑一整个你看到的应用的生态
[00:29:59] 当我们谈操作系统的时候有没有想到你的操作系统
[00:30:02] 你的苹果iOS，你的安卓
[00:30:05] 你平时，我们刚交付的这个Mac Windows这样复杂的系统
[00:30:13] 这样的系统它要做的是支撑上面是整个百万千万级的应用。
[00:30:19] 那下面一个问题就是
[00:30:21] 如果你要支撑这百万，千万的应用
[00:30:23] 你应该给这个用户提供一个什么样的接口？
[00:30:27] 就像如果你们想要解决一个问题
[00:30:30] 你们要做个游戏
[00:30:31] 我觉得大家
[00:30:33] 你门最想做的就是游戏
