[00:00:00] 呃我们会在期末考试之前再安排一次答疑
[00:03:45] 说就从零开始从一个arm的处理器上面构建
[00:03:48] 而是他们会借助一个像LINUX这样的
[00:03:51] 已经很好的经典操系统
[00:03:53] 然后在上面再再为应用再做一层封装
[00:03:56] 呃有点像呃在早期的时候
[00:03:59] 尤其比如UNIX刚刚呃发明的时候
[00:04:01] 我们总是写C语言的代码
[00:04:03] 然后直接编译成binary
[00:04:05] binary会在呃应用应用
[00:04:07] binary的应用会在操作系统上面直接执行
[00:04:10] 而现在你们会更倾向于会写一个
[00:04:13] 更高级语言的代码
[00:04:15] Python JavaScript
[00:04:16] Swift
[00:04:17] 然后他们会经过可能会经过一些打包
[00:04:20] 同样也可能会经过编译
[00:04:21] 也可能不编译
[00:04:23] 然后最终变成一个能够在你的操作系统的一个
[00:04:26] 运行时环境上面运行的东西
[00:04:28] 一个虚拟机
[00:04:29] Python会有一个bad code
[00:04:31] JAVASCRIPT也会编译成
[00:04:33] 可它可以变成各种形态
[00:04:35] 可以变成呃web assembly
[00:04:37] 或者编译成本机的这个指令序列来啊来运行
[00:04:40] 这就是是我觉得你们很自然的
[00:04:43] 我比如说我刚才说的那些话
[00:04:44] 我没有
[00:04:45] 我没有去多想
[00:04:46] 就是呃如果我要自己来概括一下
[00:04:48] 我这个学期到底跟大家呃说了什么
[00:04:51] 那我其实就说了这些经典操作系统上面
[00:04:54] 怎么构建各种各样的啊应用程序
[00:04:56] 然后呢还有一个视角是我我讲的比较少的
[00:04:59] 可能会有有一两次
[00:05:00] 包括上一次助教的时候
[00:05:01] 给大家大家讲的硬件视角的
[00:05:04] 操作系统
[00:05:05] 那这个视角说来复杂也复杂
[00:05:08] LINUX内核有上千万行的呃代码
[00:05:11] 然后里面有非常多的机制
[00:05:12] 为了把硬件的性能发挥到呃极致
[00:05:15] 但是另外一个角度来看
[00:05:17] 其实硬件也是看不到操作系统的
[00:05:19] CPU就是一个无情的执行指令的机器
[00:05:22] 我打过一个比方说CPU也是编译器
[00:05:24] 对它是一个动态的数据流分析
[00:05:26] 它指令译码完了以后
[00:05:28] 他会做一个依赖的分析
[00:05:30] 然后它会同时可以在一个周期里面
[00:05:32] 因为电路天生是并行的
[00:05:33] 它可以在一个周期里面
[00:05:34] 同时执行好几条好几条指令
[00:05:37] 但是CPU它的特点是
[00:05:40] 它不管你的指令到底是什么
[00:05:43] 只要你的指令在我这看起来是合法的
[00:05:46] 有权限的
[00:05:46] 它可以执行的CPU就会照单执行
[00:05:49] 这个指令序列完全是由程序员写的
[00:05:52] 程序员写的
[00:05:53] 比如说编译出来的这个firmware的代码
[00:05:55] 或者是你们呃自己写的一个操作系统
[00:05:58] 那个操作系统代码它都会编译成指令序列
[00:06:00] 然后那么呃这个指令序列
[00:06:02] 只要它运行那个权限是合适的
[00:06:05] CPU就会直接直接执行
[00:06:06] 它相当于是打一个比方
[00:06:08] 就是CPU是一个如果把他想象成一个人的话
[00:06:12] 他手上有一本手册
[00:06:13] 然后每当一条指令来了
[00:06:15] 他就会去手册里面找到那条指令的行为
[00:06:17] 好指严格核对每一条
[00:06:20] 然后把这个手册上面的这一句话给给执行了
[00:06:23] 就是啊就是这样
[00:06:25] 但同时我们也看到很有意思的
[00:06:27] 呃CPU是和操作系统是一起进化的
[00:06:32] 比如说最早的时候
[00:06:33] 可能只有一个处理器
[00:06:36] 然后没有没有多处理器并发
[00:06:38] 没有打开那个魔鬼的盒子
[00:06:40] 没有没有那个多处理器
[00:06:41] 变成从入门到放弃的那些那些复杂的东西
[00:06:44] 但是随着可能第一个摩尔定律可能到头了
[00:06:47] 第二个他们也确实想要呃发挥更好的能效
[00:06:51] 比实现能效比更高的芯片
[00:06:53] 那就有了多处理系统
[00:06:55] 有了GPU
[00:06:55] 有了non volatile memory
[00:06:56] 然后每当一个新的东西增增加进来以后
[00:07:00] 操系统相应的也会也会共同的呃进化
[00:07:04] 所以这是一个非常非常概括的
[00:07:06] overview好
[00:07:07] 那下一个问题就是你们总要去复习考试的
[00:07:12] 应该怎么复习好问题
[00:07:14] 如果说在想要复习的时候
[00:07:16] 你们的top level最顶层的提纲
[00:07:18] 就是就是看到的这个好
[00:07:20] 那你们怎么复习呢
[00:07:21] 我会怎么复习呢
[00:07:23] 其实这门课教给大家一个精神的内核
[00:07:27] 不是这些具体的一些知识点
[00:07:29] 当然具体知识点我会考somehow
[00:07:31] 所以你们还是要要掌握它
[00:07:34] 掌握它
[00:07:34] 掌握它不算是一件很有坏处的事情
[00:07:36] 因为你们总有一天会把你们记得的
[00:07:39] 比如说在短期内为了考试记得的知识给忘掉
[00:07:42] 但是你们会留下一些印象
[00:07:44] 还会想到操作系统还可以做这个事儿
[00:07:46] 你们在上课的时候
[00:07:47] 还看到老师写过这样一段代码
[00:07:49] 然后哦原来以前你你你总是这个web coding
[00:07:52] 就写应用程序的时候
[00:07:53] 你不会想到我们还可以入侵另外一个程序的
[00:07:57] 地址空间
[00:07:58] 比如JAVASCRIPT的模型里面就没有没有这件事可以干
[00:08:01] 但是在操作系统的啊进程的模型里面
[00:08:03] 这件事就是就是合理的
[00:08:04] 应该应该能干的
[00:08:05] 所以其实我觉得这门课的精神内核
[00:08:08] 其实就是你们每当想到任何问题的时候
[00:08:11] 你都可以追问下来
[00:08:12] 就像我刚才刚才那那句话
[00:08:14] 我说哎我们已经复习完了好
[00:08:16] 那我就可以下课了
[00:08:17] 那你也可以不下课不下课
[00:08:19] 你可以往回走一步问
[00:08:20] 如果我要更好的复习操系统课
[00:08:24] 有没有办法呢
[00:08:25] 然后你可以去问问AI
[00:08:26] 然后跟他battle几几轮
[00:08:28] 然后我就有一个不太一样的呃复习的方式
[00:08:32] 我一直说我们其实上课的时候
[00:08:33] 主要的呃内容是集中在代码的展示上的
[00:08:37] 虽然原理也很重要
[00:08:39] 我讲原理
[00:08:40] 是因为有些事情是有来龙去脉的
[00:08:42] 可能你你最早的时候
[00:08:44] 1970年的时候
[00:08:45] 他他们是怎么想的
[00:08:46] 然后来怎么怎么怎么
[00:08:47] 到了现在就就开始不够了
[00:08:49] 不够了以后好
[00:08:50] 那我们今天就操作系统会提供一个AAPI
[00:08:52] 来帮你完成这件事
[00:08:53] 然后我们有一个呃cobe demo
[00:08:55] 所以其实
[00:08:56] 你们如果如果你们已经觉得自己
[00:09:00] 比较好的掌握了
[00:09:02] 课堂上的那些代码的展示
[00:09:04] 理解他们的基本原理
[00:09:06] 理解他们呃相关涉及的系统调用和概念
[00:09:10] 那基本上你其实不用太担心担心考试
[00:09:12] 我觉得我我我们以前的同学给我的
[00:09:14] 操作系统课的考试有一个
[00:09:16] 评价大概是是说说说还是比较有确定性的
[00:09:20] 就是你你确确信你对这些概念了解了
[00:09:23] 然后你你上场考
[00:09:24] 你哪怕比如说那个细节你记不住
[00:09:26] 首先我我不是不
[00:09:27] 我不会考那个犄角旮旯里面的细节
[00:09:29] 然后第二如果你哪怕是你记不住的话
[00:09:31] 你依然可以顺着你的first principles就去推一下
[00:09:35] 你认为应该是怎么样的
[00:09:37] 你有一个合理的理由
[00:09:38] 那我我肯定也会给分
[00:09:39] 所以啊大家不用太担心考试考试这件事
[00:09:43] 但是但是还是要把这些代码给理解好
[00:09:46] 呃我我也了解到了解到
[00:09:49] 有些同学可能到现在都没有下载过一个coding agent
[00:09:53] 然后运行一下
[00:09:55] 但是坐在这同学可能可能没有
[00:09:57] 呃也也有也有也有些同学可能从来都没有
[00:10:01] 去下载过我的代码
[00:10:02] 因为我的我的课上的代码
[00:10:05] 下载是稍微有一点点门槛的
[00:10:07] 你们作为一个懒人
[00:10:08] 你当你那个浏览器点进去的时候
[00:10:10] 诶你发现了有好几个目录的文件
[00:10:14] 然后你再点进去一个
[00:10:15] 比如说点C的时候
[00:10:16] 你会发现它那个编码
[00:10:18] 它是一个raw文件road文件
[00:10:20] 然后road文件字节流就展示在你那儿
[00:10:22] 然后甚至比如说有些编码或者什么没有换行
[00:10:26] 那个东西
[00:10:27] 你没有办法直接用肉眼观看
[00:10:29] 其实这是对大家一个我觉得一整个学期当中
[00:10:33] 对大家一个很重要的考验
[00:10:35] 因为你应该不止一次
[00:10:36] 你只要在课后打开我的slice
[00:10:38] 你就能看看到那个链接
[00:10:40] 然后点了那个链接
[00:10:41] 你就可以
[00:10:41] 你就会会自己再往后退一次
[00:10:44] 然后你只要在这1万次后退当中前进一次
[00:10:47] 你其实就会得到一个很好的正反馈
[00:10:50] 当你真的说唉我今天不打算摆烂了
[00:10:52] 我当我打开一个coding agent
[00:10:54] 把这个链接直接丢进去的时候
[00:10:56] 你会神奇地发现这个coding agent
[00:10:58] 帮你把这个目录整个都整理好了
[00:11:01] 下载到你的本地
[00:11:02] 然后你一句话出来
[00:11:04] 请你给我编译运行它吧
[00:11:05] 它就运行起来了
[00:11:06] 然后在那一刻你会觉得OK
[00:11:08] 原来这些事情没有那么难
[00:11:10] 但我希望的是在在其实在这个时间点上
[00:11:12] 所有同学都已经跨过这一步了
[00:11:14] 因为我中间我记得我应该是有某一次课的时候
[00:11:16] 我我特意展示了正确的下载这个呃课件的方法
[00:11:21] 我我其实是教教过大家的
[00:11:23] 嗯OK好
[00:11:25] 其实我真正想要教大家的就是你们
[00:11:28] 你们总是想可以做的更好
[00:11:29] 一开始总是很难的
[00:11:31] 但你愿意跨出那一步的时候
[00:11:33] 然后你总是跨一步
[00:11:34] 总是跨一步
[00:11:35] 总是跨一步
[00:11:36] 就会取得很大的进步
[00:11:37] 所以我觉得我我这门课
[00:11:39] 就如果说技术上面要教大家什么的话
[00:11:42] 其实我觉得比较重要的是一个UNIX的philosophy
[00:11:45] 然后所以我就以一个unix philosophy的例子开始
[00:11:49] 作为这个学期的复习
[00:11:51] unix philosophy是什么
[00:11:53] 它的philosophy是
[00:11:55] 我作为一个操作系统
[00:11:56] 一个操作系统
[00:11:57] 你我刚才说操作系统是什么
[00:11:59] 操作系统是一组API
[00:12:02] UNIX也给了我们很多API
[00:12:04] Fork e x e c v e x it read write
[00:12:06] 都是大家非常熟悉的AAPI
[00:12:08] OK但windows也同样提供了很多API
[00:12:12] get process
[00:12:13] 同样它是一个更符合软件工程规范的API
[00:12:18] 但是好像一直以来
[00:12:20] 尤其是在开发者眼里
[00:12:21] 开发者的口碑当中
[00:12:23] windows的口碑一直都不如LINUX
[00:12:26] 甚至呃可能我我在我上学的时候
[00:12:29] 还有一些经常有那种呃调侃这个MICROSOFT
[00:12:32] 调侃windows的主持人
[00:12:34] 现在呃现在少少少很多了
[00:12:36] 嗯为什么
[00:12:38] 因为操作系统不仅仅是那一个
[00:12:41] API操作系统
[00:12:43] 还有承载了那一个API上面的应用生态
[00:12:46] 而UNIX的应用生态和windows的应用生态
[00:12:49] 它在设计哲学上就有一个本质的区别
[00:12:52] windows的应用生态
[00:12:54] 你想想想
[00:12:55] 当你谈windows的时候
[00:12:56] windows上面的代表应用程序是什么
[00:13:00] adobe的全家桶
[00:13:02] 然后which studio
[00:13:05] MICROSOFT的office
[00:13:07] 这种离了你就没有办法生活的这个生产力工具
[00:13:11] 然后这些工具都是怎么构建出来的呢
[00:13:13] 在唉这个和windows的设计有一点一脉相承的感觉
[00:13:18] windows是一个非常好的软件工程制品
[00:13:20] 当然软件工程师是指相对比较老
[00:13:24] 可能没有现在的软件工程的经验
[00:13:26] 是一个稍微再老一点的时候的
[00:13:29] 一个非常好的软件工程的产品
[00:13:31] 然后在这个软件工程的产品上
[00:13:32] 我们可以开发更大更好的软件工程产品
[00:13:35] adobe的这个全家桶功能非常复杂
[00:13:38] 然后你他希望的是我一个应用
[00:13:40] 就解决你的一个问题
[00:13:42] 然后你再比如说你在剪辑视频
[00:13:44] 编辑图片
[00:13:45] 处理文稿的时候
[00:13:46] 你就不需要再也不需要去看别的另外一个程序
[00:13:49] 而是在我这里把所你所有的问题都都解决
[00:13:52] 然后这样可以最大程度地服务新手用户
[00:13:57] 新手上手的
[00:13:59] 难度是比较比较低的
[00:14:00] 因为你所有要的东西都在手边
[00:14:02] 你一开始可以只探索其中一小部分的功能
[00:14:05] 随着你越来越深入的理解这个软件
[00:14:07] 你就可以探索它越来越多的功能
[00:14:09] 而且这些功能始终是在手边
[00:14:11] 但是UNIX不一样
[00:14:12] 为什么你们会觉得LINUX
[00:14:14] 当你们说唉人是commerr science的学生
[00:14:16] 要学命令行终端的时候
[00:14:18] 你的那种恐惧感
[00:14:20] 我不知道你们的恐惧感是什么时候消除的
[00:14:24] 哈是从你可以你发现可以打开cloud的时候消除的
[00:14:27] 还是反正你就有一天就就就突然发现消除了
[00:14:31] 哪怕是你你你可能我现在脱离了cloud
[00:14:33] 我哪怕只有一个
[00:14:35] 只有一个网页版的聊天工具
[00:14:37] 我现在也不害
[00:14:38] 不太害怕它
[00:14:39] 但你们还记得刚开始的时候
[00:14:41] 你为什么害怕他吗
[00:14:42] 害怕他
[00:14:43] 就是因为他就给你一个这个
[00:14:44] 然后UNIX告诉你说
[00:14:45] 这就是世界
[00:14:46] 这就是open source的全部
[00:14:48] 世界上最先进的操作系统
[00:14:50] 你有世界上所有的工具
[00:14:52] 这句话也没错
[00:14:53] 你用APT装所有的东西
[00:14:54] 用NPT装一个NPM
[00:14:56] 然后你用NPM把自己升级了
[00:14:58] 然后就可以得到JAVASCRIPT的全部的生态
[00:15:00] 但是但是这东西对新手是不太友好的
[00:15:03] 你必须要了解很多的概念
[00:15:06] 而这个了解概念所付出的
[00:15:08] 为什么你要付出这个代价
[00:15:10] 是因为UNIX在设计的时候
[00:15:12] 一个很重要的思想是
[00:15:14] 它应用的生态里面的每一个东西都不是单独的
[00:15:17] 它不是不是一个单独的应用来完成所有的事情
[00:15:21] 而是他希望你的任何一个应用
[00:15:24] 一旦进入我的系统
[00:15:26] 它就成为这个系统的一部分
[00:15:27] 也成为所有其他应用程序的一部分
[00:15:31] 他鼓励应用程序之间的合作
[00:15:33] 而这个合作
[00:15:34] 我觉得这这可能和同性
[00:15:36] 可它得图灵奖也有关系
[00:15:37] 就是管道这样的一个
[00:15:39] 一个非常干净的呃机制
[00:15:43] 它实现了进程之间的协作
[00:15:45] 并且他把UNIX设计成每一个小的工具
[00:15:50] 里面有很多的工具
[00:15:51] 有其实有大有小
[00:15:51] 有些工具其实挺大的
[00:15:53] 它可以完成一件事情
[00:15:55] 但是把它做的很好
[00:15:56] 然后让所有世界里面的工具去合作
[00:15:59] 来完成一件呃更大的事情
[00:16:01] 然后甚至到今天
[00:16:02] 比如说我我都会呃干很多事
[00:16:04] 然后最后我在课上展示过很多次
[00:16:06] 我干很多事
[00:16:07] 然后最后管道给cloud gp
[00:16:09] 嗯那大圆模型成为了这个管道的终点
[00:16:13] 但是在这个过程当中
[00:16:14] 我们依然可以呃借用这个unix ploy
[00:16:18] 虽然我觉得有一天就从用户的角度
[00:16:21] 所有的代码都会消失
[00:16:22] 你只需要把你的意图告诉
[00:16:25] 计算机
[00:16:26] 告诉大圆模型
[00:16:26] 它就可以帮你呃用代码的方式来实现
[00:16:29] 但是这个背后你作为一个计算机专业的学生
[00:16:31] 你还是非常需要非常清楚的知道
[00:16:33] 这件事情带来的呃力量在哪里
[00:16:36] 所以所以我我是这样
[00:16:38] 我我是这样构建我的
[00:16:41] 今天的复习的slides的
[00:16:43] 首先我已经完成了content as code的转化
[00:16:47] 也就是说我所有的课件
[00:16:49] 全部都是在一个repo里面的
[00:16:52] 然后他们也都是代码
[00:16:54] 我就可以用这样的一个脚本
[00:16:57] 来得到我所有展示过的代码的案例
[00:17:01] 我们可以一个一个来
[00:17:02] 比如说find in的这个命令
[00:17:04] 找一个目录
[00:17:06] 并且找这个目录里面所有的
[00:17:09] 满足某一个pattern的文件
[00:17:11] 我可以find os2026
[00:17:13] 这样我就可以得到所有的文件
[00:17:14] 包括你看这些编译的这个Python的呃bad code
[00:17:19] 然后我可以用呃这样的方式
[00:17:22] 当然我也可以用grab的方式来
[00:17:24] 来把它筛选出来
[00:17:26] 筛选出来诶
[00:17:27] 这就是第一步
[00:17:28] 我得到了一个
[00:17:30] 我从好多的文件里面找到了我想要的文件
[00:17:32] 但是呢我为了构建一个复习用的提纲
[00:17:37] 这个顺序不反不符合我的心意
[00:17:41] 你看他是按照某种不知道的方式排序的
[00:17:44] 那从组合的角度
[00:17:47] 我就希望有另外一个工具
[00:17:48] 能够帮助我来排序这些文件
[00:17:51] 所以我可以有可以用sort杠V
[00:17:55] 当然这个大家不用记得你
[00:17:57] 你今天的答案是你可以去问一下AIAAI
[00:18:01] 你告诉他有有很多长成是这样的文件名
[00:18:04] Lecture
[00:18:05] 12345到什么
[00:18:06] 十几甚至更多的下的这个什么点
[00:18:09] 然后我我希望把他们排序
[00:18:10] 你给我一个命令就可以了
[00:18:12] 然后你知道这件事情是可以编程实现的
[00:18:14] 然后系统里面也就有一个工具
[00:18:16] 可以可以帮你实现
[00:18:17] OK呃排好序
[00:18:19] 排好序以后
[00:18:20] 我就可以从里面用GRAP
[00:18:23] 一行一行的找找到我的我
[00:18:25] 我里面有很多代码
[00:18:26] 比如说呃有我的main函数
[00:18:29] 然后可能有我的这个一每
[00:18:32] 每节课开始的时候
[00:18:32] 可能会review and comments
[00:18:34] 这样的我不想要的干扰项
[00:18:36] 我只想要o s demo
[00:18:38] 所以我就可以这样诶
[00:18:41] 我就得到了
[00:18:43] 我就得到了
[00:18:44] 按顺序得到了所有的我展示过的代码
[00:18:49] 当然我可以更多的
[00:18:51] 往后往后grab
[00:18:53] 往后处理
[00:18:54] 比如说我在这里还做了一次驱虫
[00:18:56] 然后最后我把它拷贝到我的剪贴板
[00:19:00] 注意这也是可以用命令行工具实现
[00:19:03] 当然这是在Mac里面的
[00:19:05] 命令我是一台我我我准备的时候
[00:19:07] 我的办公室是一台是一台Mac
[00:19:09] 然后我把这些东西全部都tap起来
[00:19:12] 我的剪贴板里就有了这个学期所有的code demo
[00:19:17] 然后我只要往我的那个代码里面一粘贴
[00:19:19] OK就可以了
[00:19:21] 当然今天的标准答案也不是这样
[00:19:24] 你也可以直接让我让Q我告诉coding agent
[00:19:27] 去就说请你帮我collect所有的这个CODEMO
[00:19:31] 然后把所有的重复都去掉
[00:19:32] 帮我帮我把它写写在这里
[00:19:34] 这也是这也是这是完全可以的
[00:19:36] OK这就是UNIX给我们的
[00:19:39] 我觉得最大的启发
[00:19:40] 世界上的东西是可以可以在一起啊合作的
[00:19:44] 然后我我后面会带着大家
[00:19:46] 再稍微过一下
[00:19:48] 这个学期所有的
[00:19:50] OK确实啊成功的把所有的案例都给啊讲过来了
[00:19:56] 然后你们也可以直接让AI试图去帮你复习
[00:20:01] 比如说啊我没有试过让我看下会不会翻车哈
[00:20:09] 完全可以这样
[00:20:11] 就是我觉得今天的coding agent是
[00:20:14] 你今天完全是需要敢想AI的能力
[00:20:18] 比你想象的要强
[00:20:21] 所以你你你
[00:20:22] 如果你只是把它当成是一个聊天的窗口
[00:20:24] 你你就在适当的时候
[00:20:26] 你可以跳出来给他更重的任务
[00:20:31] 给他更重的任务
[00:20:32] 然后在他更重的任务开始无法完成的时候
[00:20:34] 你就可以去改进你的harness去改进
[00:20:37] 比如说呃比如说啊打比方如果有一个任务
[00:20:40] 它其实很长
[00:20:41] 然后如果你叫他直接完成
[00:20:43] 他很可能完成的不好
[00:20:44] 但是呃只要你试图去把这个任务拆小
[00:20:47] 比如说今天coding1纸
[00:20:48] 它其实有把任务拆小的
[00:20:51] 这样的自己自己就进入这个plan mode
[00:20:53] 然后他去他去list好几个to do
[00:20:55] 然后一个一个去做
[00:20:57] 然后但有时候他可能不意识到这一点
[00:20:58] 比如说嗯在我讲上课复习的时候
[00:21:03] 可能他就会一下子去读好多的文件
[00:21:05] 然后这时候他的注意力self attention就会分散
[00:21:07] 分散了以后可能没有没有起到这个复习的效果
[00:21:11] 我们来试一试
[00:21:16] 完全就是你敢不敢想的这件事
[00:21:20] 虽然他他可能也不知道什么是我的
[00:21:23] 我的风格
[00:21:23] 但是总之他会嘿嘿去试一试
[00:21:29] 你看他还会做做web web web search
[00:21:31] 我我这里可能没有web search
[00:21:33] two呃看看他会出一个什么样的题
[00:21:37] 然后正好我来我来检验一下
[00:21:39] 这刚才是完全是我灵机一动的
[00:21:41] 我没有没有没有事先准备过
[00:21:42] 没有事先问过问问过这个问题
[00:21:45] 然后你们会觉得我我我会出什么样的题
[00:21:49] 然后我我我发现
[00:21:50] 因为我我我其实每一次上课的时候
[00:21:54] 我都会先让AI帮我生成一把slice
[00:21:57] 实际上是这样的
[00:21:59] 然后我发现AI和我
[00:22:00] 我自己好像还没有非常好的这个alignment
[00:22:04] 就是其他不理解我是怎么想的
[00:22:06] 所以所以他的他认为重要的东西
[00:22:08] 可能我认为不那么重要
[00:22:09] 然后我认为重要的部分他可能就一笔
[00:22:12] 一笔带过了
[00:22:13] 经常会
[00:22:14] 会会会发生会发生这样的事情好
[00:22:23] 呵呵呵开
[00:22:25] 这是一个这是一个玩笑
[00:22:26] 我先我先声明
[00:22:28] 我这是由AI生生成的
[00:22:31] 不代表我的意志
[00:22:32] OK我的意志我不知道他读了哪些lectures
[00:22:35] 但是这是这是他他所想的
[00:22:37] 第一个是
[00:22:40] Quick quiz
[00:22:40] 看出这段代码有bug吗
[00:22:43] 如果没有额
[00:22:45] sum最终一定等于二吗
[00:22:47] 如果把T2里的lock换成另外一个lock
[00:22:50] music最终可以等于几
[00:22:52] 如果有人觉得muses太麻烦
[00:22:55] 写了一个无锁版本
[00:22:56] 这个版本一定正确吗
[00:22:57] 呃还挺有创意的
[00:22:59] 但我我确实也不会这样考啊哈
[00:23:00] 呃我确实也不让考他这个非常基本的题目
[00:23:04] 然后第二个是一个很有意思的fork的例子
[00:23:07] 也是一个比较印象深刻的
[00:23:10] 嗯我猜我猜他是看到了
[00:23:12] 我猜他是不是看到了这个例子
[00:23:14] 我有一个fork例子
[00:23:16] 是的我猜他可能看到这个例子
[00:23:20] 这个例子确实一个印象深刻的例子
[00:23:22] 因为你们在怀疑你们的眼睛
[00:23:25] 这到底是六还是八
[00:23:27] 你你的眼睛你不能相信你的眼睛
[00:23:30] 当然这个例子很好
[00:23:32] 我很有可能会考它
[00:23:34] 但是我考他你我我会考他省的哪一个部分呢
[00:23:38] 应该是buffer
[00:23:39] 对不对
[00:23:39] 应该是是这个当fork拷贝的时候
[00:23:42] 他复制了进程所有的状态
[00:23:44] 然后就所有的状态这几个字
[00:23:48] 它背后是有一个很深刻的内涵的
[00:23:50] 然后这个内涵包含了你的整个应用程序
[00:23:53] 在运行的时候
[00:23:54] 不仅仅是你那个main函数本身
[00:23:56] 这个library所有的状态也都会被复制
[00:23:59] 然后以及所有操作系统的对象
[00:24:01] 我持有一个操作系统对象
[00:24:03] 那么我的child
[00:24:05] 也应该同样的持有这个操作系统对象
[00:24:08] 然后在这个时候就有很多设计上面的
[00:24:11] 考虑
[00:24:12] 比如说文件描述符里面的
[00:24:14] offset test的内容可能是什么
[00:24:18] OK很聪明还是个不错的
[00:24:21] 我觉得这是一个不错的考题
[00:24:22] 就他问他问的其实是这个文件描述符
[00:24:25] 两个文件同时父子进程写入的时候
[00:24:29] 它会向哪哪一个文件的位置去写
[00:24:34] 然后这个是有一个唯一的呃唯一的答案的
[00:24:37] 如果fork之前加一句close
