[00:00:00] 上一周我们已经开始了并发
[00:05:08] 然后锁住以后在整个周期里面
[00:05:10] 这个组合逻辑电路就会啊开始算算
[00:05:13] 达到一个稳态
[00:05:14] 然后输出又到下一个输出准备好以后
[00:05:17] 又会接到这个呃寄存器
[00:05:20] register或者flip flop的输入上
[00:05:22] 但这个flip flop它不会锁存
[00:05:23] 它只有到下一个上升沿的时候
[00:05:25] 它才会锁存
[00:05:27] 一个边沿触发的呃同步的电路
[00:05:29] 所以这个同步在现实世界当中
[00:05:32] 更多的时候是我们两个保持
[00:05:33] 比如说步调一致这样的呃事情
[00:05:36] 比如说呃在我们的今天来上课
[00:05:40] 那我们就约定好这个walclock time
[00:05:42] 10:10分就就上课
[00:05:44] 那你到10:10分的时候我就会打零
[00:05:46] 那这是由一个叫物理上的时间
[00:05:48] 来来帮助我们同步的
[00:05:50] 但这个这个work out time显然在计算机世界里面
[00:05:53] 比如说我们说这个现成的模型里面
[00:05:55] 第一是不存在的
[00:05:56] 第二如果你要实现它
[00:05:58] 你可能也会浪费很多的CPU周期
[00:06:01] 因为呃时间本身在人类的世界里面
[00:06:04] 就是因为人类是一个慢的像蜗牛一样的呃生物
[00:06:07] 相比于计算机来说是慢慢的
[00:06:09] 像蜗牛一样的生物
[00:06:10] 所以我们发明了这个时分秒
[00:06:13] 年月日这样的呃立法
[00:06:15] 但如果我们的时间非常非常快
[00:06:17] 比如说计算机的时间
[00:06:18] 我们想要约定说说哎这两个线程
[00:06:25] 然后执行完以后
[00:06:25] 这个线程线程B
[00:06:27] 10:01分开始执行
[00:06:28] 那这一分钟对于我们的处理器来说
[00:06:31] 其实它它已经经历了非常非常长的时间
[00:06:33] 执行非常多条的呃指令
[00:06:37] 所以啊work out loud time
[00:06:38] 虽然在现实世界中是一个非常好用的
[00:06:41] 可以帮助我们达成步调一致的机制
[00:06:44] 但是在计算机世界里面可能不是那么的好用
[00:06:47] 因为在计算机世界里面
[00:06:49] 去控制时间其实是比较比较困难的
[00:06:51] 并发控制在人类世界中也是呃无处不在的
[00:06:55] 除了刚才我们约定一个时间来上课以外
[00:06:58] 我们经常在现实世界中
[00:07:00] 会希望某一件事情同时发生
[00:07:03] 比如说嗯这是我们吕指导
[00:07:05] 吕指导我我去年的时候去听了呃新年音乐会
[00:07:08] 然后新年音乐会的时候
[00:07:09] 我发现他们那个小提琴拉的拉的不齐
[00:07:12] 然后拉拉布齐
[00:07:13] 但我觉得也不能怪他们
[00:07:15] 因为我我后来问了GPT
[00:07:16] 大概是
[00:07:17] 如果是对于那种节奏感比较强的音乐的话
[00:07:20] 你超过20ms到30ms的不同步
[00:07:24] 你就会感觉到不齐
[00:07:26] 我们有
[00:07:26] 你可以想象
[00:07:27] 每一个呃拉小提琴的人都是一个线程
[00:07:31] T1T2T三
[00:07:33] 那么在人类世界里面
[00:07:36] 我们都可以比如拉一个音符
[00:07:39] 拉拉一个音符
[00:07:40] 那么呃在人类世界里面
[00:07:41] 我们希望的是这个指挥会女指导会会说
[00:07:45] 你们你们这一拍要下去
[00:07:47] 这一拍下去的时候
[00:07:48] 那么吕吕指导应该是有一个感觉
[00:07:50] 是我这个手下到哪一个位置的时候
[00:07:52] 大家大家在长期的跟他排练的过程中
[00:07:54] 已经形成一个默契
[00:07:55] 我这个手下去的时候
[00:07:56] 这个音符就要出来吃多长
[00:07:59] 但是只要你你这个同步没有做好
[00:08:01] 有20到30ms的呃延迟
[00:08:03] 你就会感觉到不齐
[00:08:04] 但是对于计算机来说
[00:08:06] 20到30ms
[00:08:07] 其实已经是非常长的时间尺度了
[00:08:09] 我们我们人类非常努力的练
[00:08:12] 都很难做到这个
[00:08:13] 就把这个误差控制在20到30ms以内
[00:08:16] 但是对于计算机来说
[00:08:18] 二十二十三十毫秒可以执行上亿条指令
[00:08:22] 上一条指令
[00:08:22] 所以时间可能不是一个对计算机来说
[00:08:24] 不是一个特别好的同步方式
[00:08:26] 然后计算机
[00:08:27] 我们的计算机世界是怎么怎么播放音乐的呢
[00:08:30] 你们你们有没有想想过这个问题
[00:08:32] 我们用计算机上面看电影
[00:08:35] 听音乐
[00:08:36] 他从来没有断过
[00:08:38] 他从来没真的是从来没有断过那个曲子
[00:08:40] 但你点播放以后
[00:08:41] 他就一直在往后播
[00:08:42] 但你也知道你可能只有一个CPU
[00:08:45] 或者是你的操作系统
[00:08:46] 真的是不断的在多个线程之间切换的
[00:08:48] 它总有一点点的延迟的
[00:08:50] 那到底是因为我们时间做的很快
[00:08:52] 还是还是因为别的原因呢
[00:08:54] 是因为我我们的就人能够感觉到感受到的延迟
[00:08:58] 20到30ms以内就感觉不到了
[00:09:01] 然后你只有比如说语音这些
[00:09:03] 你有一两百毫秒的延迟时候
[00:09:05] 你才能哎感受到
[00:09:07] 有一点不同步
[00:09:08] 我们的计算机系统
[00:09:10] 它只要只要在一个硬件上面放放一个buffer
[00:09:14] 然后我只要把这个声音延迟那么二十三十毫秒
[00:09:17] 我只要先把这个
[00:09:18] 未来二十三十毫秒的声音放进去
[00:09:21] 然后我放两
[00:09:22] 我可以
[00:09:23] 我可以做两个buffer
[00:09:24] 然后然后等到我这个第一个20ms放进去了
[00:09:28] 然后我的计算机才开始播
[00:09:29] 所以播放其实延迟了20ms
[00:09:31] 但是在这个20ms内
[00:09:32] 我可以把buffer的剩下的部分给填上
[00:09:35] 下20个毫秒也填上
[00:09:36] 只要我有20ms的时间
[00:09:38] 能够把下一个20ms填进去
[00:09:40] 那我的播放在硬件上
[00:09:43] 我可以使用一个硬件电路做的设备
[00:09:45] 实时性很强的设备来保证这个播放是不间断的
[00:09:48] 所以呃在物理实践当中
[00:09:50] 我们的同步嗯有很多很多的办法
[00:09:53] 但是这些同步的方法在计算机世界里面
[00:09:56] 我们可能需要一个不太一样的机制
[00:09:58] 那就有了我们今天要讲的呃主题
[00:10:02] 那我们想想刚才的那些呃同步问题
[00:10:04] 各种各样的同步问题
[00:10:05] 我如果我们用代码来呃来表示
[00:10:09] 比如说我们刚才那个乐乐队的问题
[00:10:11] 那我们的乐队就是我们需要一个
[00:10:14] 也需要等待
[00:10:15] 我们需要fire not start
[00:10:18] 对
[00:10:19] 我我没有收到这一拍的指令
[00:10:20] 我就需要等待
[00:10:21] 然后我再play一个note
[00:10:23] 假设我是拉小提琴的话
[00:10:25] 虽然我不会哈
[00:10:26] 呃假设我是拉小提琴的话
[00:10:27] 我会我我需要的是等待指挥发出下一个信号
[00:10:31] 然后他在这个把这个拍子演奏起来
[00:10:34] 所以对指挥的要求是很高的
[00:10:36] 如果这个指挥的拍子不稳的话
[00:10:37] 乐团就很难很难跟上
[00:10:39] 所以指挥是需要添一定的这种时
[00:10:42] 间和节奏的天赋
[00:10:43] 而且很多的训练
[00:10:44] 然后你会发现
[00:10:45] 这个模式在刚才我提的各种各样的场景里面
[00:10:49] 都是反复出现的
[00:10:50] 比如说我们如果要实现一个模拟的存储电路
[00:10:55] 呃模拟的一个是同步电路的模拟器
[00:10:57] 呃像你们用过的那个呃log sim
[00:11:00] 如果你要实现一个log sim的话
[00:11:02] 你而且你想要比如说真的实现一个并发的
[00:11:05] 因为每个逻辑门都是并行的话
[00:11:07] 那么呃如果你要你
[00:11:09] 你要模拟一个flip flop话
[00:11:11] 你会不停的等等到上升沿
[00:11:13] 时钟的上升沿来到
[00:11:15] 如果不来到
[00:11:16] 你就不能锁存
[00:11:17] 你你你的你你就不停的
[00:11:19] 你的输出就是之前是上一个时候周期的输出
[00:11:22] 然后直到你看到这个上升沿的时候
[00:11:24] 你要花一点点时间
[00:11:25] 这每条指令都是要花时间
[00:11:26] 你要花时间
[00:11:27] 你要把这个呃所存的值锁存到自己的这个里面
[00:11:32] 然后呃把自己的输出给给更新
[00:11:34] 所以这是一个等待上升沿到达
[00:11:37] 再做一件事情的呃过程
[00:11:40] 这也是一个等待一个拍子
[00:11:41] 再做下一件事情的事情
[00:11:42] 然后以及现成的join线程
[00:11:44] join其实也也是一样的
[00:11:46] 我们SPN好几个线程
[00:11:47] 然后呢我的主函主线程如果要等待
[00:11:50] 那我就会等待什么呢
[00:11:53] 等待所有的线线程都结束
[00:11:55] 或者说其实我等待的是最后一个线程结束
[00:11:58] 最后一个线程结束的时候
[00:11:59] 那我才能才能继续
[00:12:01] 然后如果你们要约定
[00:12:02] 比如说我们来来到
[00:12:04] 10:10分来到教室上课
[00:12:06] 或者你你跟你的室友要约定
[00:12:08] 在今晚23:59:59
[00:12:11] 操作系统的实验deadline之前
[00:12:12] 这就之前一秒钟的时候
[00:12:14] 在大活门口不见不散呃那你们会会怎么样呢
[00:12:18] 如如果你们想要把自己做成线程线程的话
[00:12:22] 你你如果真的是要等到23.59分
[00:12:24] 59秒take action
[00:12:27] 你就来不及了
[00:12:28] 所以你会一般会有预估一个提前的时间
[00:12:30] 就像你你今天会看
[00:12:32] 呃我虽然睡过了
[00:12:33] 但是我还赶得上呃上课
[00:12:35] 那我我我就赶快起来上课
[00:12:37] 你会等到一个差不多的时间
[00:12:39] 比如说嗯你们在宿舍的时候
[00:12:41] 等到11.50
[00:12:42] 你设一个闹钟
[00:12:43] 闹钟把你叫醒了
[00:12:44] 闹钟叫醒以后
[00:12:45] 你就会到大伙的门口
[00:12:46] 然后到
[00:12:47] 但是但是因为你这是不确定的
[00:12:49] 你今天呃可能走的比较快
[00:12:52] 可能走的比较慢
[00:12:53] 可能你没扫上车
[00:12:55] 所以你你你到达的时间是不确定的
[00:12:57] 可能在23:59:59之前就到了
[00:13:00] 也可能在他晚一点
[00:13:01] 你迟到了都是有可能的
[00:13:03] 那如果你跟你的
[00:13:05] 室友约的这个23:59:59
[00:13:08] 不见不散的话
[00:13:09] 所谓的不见不散这个词
[00:13:11] 就蕴含了我刚才说的这种等待
[00:13:14] 如果你的室友没有到
[00:13:17] 你就要不停的等待等待等待
[00:13:19] 直到你的这个室友和你都同时到达了
[00:13:22] 然后这个时候你就是你就和他完成了一次同步
[00:13:25] 所以你们看到同步
[00:13:27] 是有一个非常直观的物理过程的
[00:13:30] 然后这个物理过程就是线程或者说异步的
[00:13:33] 每一个人之间达成一个握手
[00:13:36] 这样的一个握手就会称为同步
[00:13:38] 然后更具体来说
[00:13:40] 刚才的所有的例子
[00:13:41] 像这个例子都有一个共性
[00:13:42] 就是要等到某一个等到某一件事情发生
[00:13:48] 一开始的时候
[00:13:48] 这个事情是不发生的
[00:13:49] 没有发生
[00:13:50] 比如说时间还没到
[00:13:51] 比如说呃你的室友还没到
[00:13:54] 比如说你的节拍还没到
[00:13:57] 没比如说你的线程还没有都结束
[00:14:00] 一开始这个事件是呃这个条件是不满足的
[00:14:03] 然后等到某那么先来的这个县城
[00:14:07] 或者先来的人
[00:14:08] 就必须要等等到另外一个人
[00:14:11] 把你满足同步的条件达成
[00:14:14] 比如说你们两个人约定的是不见不散
[00:14:16] 不见不散
[00:14:17] 那就任何一个人都有可能先到另一个人
[00:14:19] 也有可能后到你等待的两个人
[00:14:21] 等待条件都是对方要到
[00:14:22] 或者说两个人都要到
[00:14:24] 那只有在两个人都到的时候
[00:14:26] 这个同步条件才达成
[00:14:27] 达成以后
[00:14:28] 那么两个线程相当于两个线程一开始是异步
[00:14:32] 它是各自执行的
[00:14:33] 各自执行了
[00:14:34] 但是呢当我们有一个同步条件的时候
[00:14:37] 这个时候先到的就就发现同步条件不满足
[00:14:41] 他就会等到后到的厚道的线程
[00:14:44] 然后等到这个同步条件满足的时候
[00:14:46] 那在这个我们的程序世界里面
[00:14:48] 就好像是存在一个瞬间
[00:14:51] 好像存在一个瞬间
[00:14:52] 然后这这个瞬间叫全局同步的状态
[00:14:55] 所谓全局同步就是同步的条件是满足的
[00:14:58] 在这个时候我们的世界是容易理解的
[00:15:01] 所以并发控制本质上每个线程你可以自己做
[00:15:04] 自己的完全异步的
[00:15:05] 那就是一团散沙
[00:15:07] 然后在同步条件达成的时候
[00:15:09] 你就达到了一个确定的状态
[00:15:11] 所以不管是不管是我们的互斥
[00:15:15] 我们互斥说我们阻止了并发
[00:15:17] 然后要么是AAB
[00:15:18] 要么是BA
[00:15:19] 然后那么同步实现的就是在这个时间点上
[00:15:22] 我是达到一个全局的确定的状态
[00:15:24] 我知道在这个全局上
[00:15:26] assert你可以写个assert
[00:15:28] 在这个同步点上
[00:15:29] 你是可以用我search去写一个条件的
[00:15:31] 比如说节拍到来了
[00:15:33] 比如说两个同学都在大伙的门口
[00:15:35] 然后在这个时候他们两个才能继续分叉的执行
[00:15:40] 继续去异步的执行
[00:15:41] 所以这个就是同步一种呃并发控制
[00:15:44] 然后这个同步也实现了一种happens before的呃关系
[00:15:48] 就相当于是之前的所有之前发生的事情
[00:15:52] 要happens before
[00:15:53] 之后发生的实行就同步条件达成之后
[00:15:56] 在这个同步点上形成这样的一个物理
[00:15:59] 时间上的隔断
[00:16:01] 对就就比如说呃我们等待上升沿到来
[00:16:04] 那么等待上升沿到来以后
[00:16:06] 我做的电路的模拟就一定happen after
[00:16:10] 这个上升沿到来这件事
[00:16:12] 上升沿到来
[00:16:12] happen before
[00:16:14] 我的模拟
[00:16:14] 然后我们呃join的时候
[00:16:16] 那么我们的呃最后一个线程的结束
[00:16:20] 就一定happen before join后面执行的那段代码
[00:16:23] 然后我们呃迟到的那个人到达
[00:16:25] 就一定呃happen before
[00:16:27] 这个你们俩可能开始打架了
[00:16:29] 这个这样的一个事件
[00:16:30] 所以所以就构成了这个物理世界上面的一个
[00:16:33] 先后顺序
[00:16:34] AB
[00:16:36] A先A后B这这样的一个
[00:16:39] 实现了一个顺序的控制
[00:16:42] 这个就是我们的呃同步
[00:16:44] 所以如果啊如果你们了解了
[00:16:47] 就有了这样的一个概念的启发
[00:16:49] 其实你们自己就可以写代码去实现同步了
[00:16:52] 所以我就代李指导实现了一个同步的呃乐团
[00:16:56] 当然我的同步其实是做当然是不那么好的
[00:17:00] 做的不那么好的
[00:17:01] 为什么呢
[00:17:01] 因为我我我大概我想实现一个这样的东西
[00:17:04] 假设我是我是吕指导我
[00:17:05] 我会发出一拍的信号
[00:17:07] 我会给他一个
[00:17:08] 我会给他一拍
[00:17:10] 然后我给他一拍以后
[00:17:11] 每一个线程都是异步的
[00:17:13] 也就是说每一个线程
[00:17:14] 现在现在每一个相当于呃小提琴手
[00:17:18] 他都呃要拉一个音符
[00:17:20] 然后再拉一个音符的时候
[00:17:22] 它会等待我的
[00:17:23] 它会等待我的这一拍
[00:17:25] 然后等待我这一拍以后
[00:17:26] 它就直接会调用一个
[00:17:28] 我会调用一个f f play
[00:17:30] 就是f m tag里面的一个工具
[00:17:33] f play会它会启动fork
[00:17:35] 启动一个新的进程
[00:17:36] 然后这个进程会播放一段声音
[00:17:38] 所以这里面会执行非常多条指令
[00:17:40] 可能呃几百万甚至上千万条啊指令
[00:17:43] 直到那个声音被被正确的呃播放出来
[00:17:46] 然后我们我们是怎么实现
[00:17:49] 这个代码的呢
[00:17:50] 假设我们有一个乐团
[00:17:52] 我们的目标是每一个演奏音符的线程
[00:17:58] 它都要等待某一个条件发生
[00:18:00] 某一个条件成立了
[00:18:01] 我才能继续
[00:18:03] 那我就把这样一句话
[00:18:05] 原封不动的
[00:18:07] 写在呃写在代码里
[00:18:09] 比如说我先看这个Mac是这样的
[00:18:12] 我的吕指导在在这儿
[00:18:14] 吕指导
[00:18:14] 在这我会先打一个提示提示符
[00:18:18] 提示符
[00:18:19] 然后提示符我会等到我按下回车
[00:18:21] 我按下回车
[00:18:22] 我才会把这一拍给放出去
[00:18:25] OK啊我会才会把这拍给放出
[00:18:28] 我会调用一个release笔头
[00:18:29] 我会把这拍放出去
[00:18:30] 然后我一共有呃t player个好几个好几个t player
[00:18:35] 我可以可以演好几个声部
[00:18:37] 我可以演好几个声部
[00:18:38] 然后我的t player做的是我会等待这一
[00:18:41] 这是同步wait
[00:18:43] 然后呃wait以后
[00:18:45] 我会演奏下一个下一个呃音符
[00:18:49] 当然我是我是直接直接调用了system吗
[00:18:52] 这个should not use system like this in production code
[00:18:55] 你你们在production code里面
[00:18:57] 不要不要不要不要这样做
[00:18:59] 你可以有更安全
[00:19:00] 你用一个别的语言
[00:19:01] 用Python或者JAVASCRIPT
[00:19:02] 有一个更好的rapper来调用
[00:19:04] 一个外部的命令
[00:19:06] 你可以更好地处理它的
[00:19:07] 比如说输出
[00:19:08] 错误啊等等
[00:19:10] 对在在这之前
[00:19:11] 我觉得还要我还有一个比较好玩的是
[00:19:14] 我可以说你everything is code content test code
[00:19:19] 所以理论上说
[00:19:19] coding agation就可以产生世界上的一切
[00:19:21] 我不知道你们有没有有没有好奇过
[00:19:24] 比如说嗯有没有可能用计算机程序去写音乐
[00:19:29] 或者呃或者去去做一个这样的这样的创作
[00:19:33] 这都是可以的
[00:19:35] 而且有很多人都想这样做
[00:19:37] 比如说你看这里还有一个有一个lily pd
[00:19:40] 你可以用它来写写自己的乐谱
[00:19:42] 然后你也可以把它播放出来
[00:19:44] 然后甚至啊我做了一件比较比较疯狂的事情
[00:19:47] 我直接让AI帮我生成
[00:19:50] 就是用通过合成波形的方式来合成一些音源
[00:19:56] 然后我就得到了一系列的啊对
[00:19:58] 这个代码我也没有完全没有管
[00:20:00] 这都是AI帮我帮我web code的
[00:20:02] 我就得到了notes里面的好多个声音的文件
[00:20:07] 比如说ac4
[00:20:10] 呃听起来还不错
[00:20:11] C7
[00:20:14] 对高音就就听起来不是不是那么真实
[00:20:16] 不像是呃一个乐器了
[00:20:19] 但是这也是一种呃电子乐
[00:20:22] 那如果实现的正确
[00:20:23] 这个同步实现的
[00:20:25] 正确我们要的效果是什么
[00:20:26] 你看我现在指挥我
[00:20:28] 我现在指挥我
[00:20:29] 我如果不放这个拍子
[00:20:30] 那么就没有任何的声音
[00:20:33] 但是如果我放下
[00:20:34] 比如说按一下回车
[00:20:37] 他们就会开始工作
[00:20:43] 我不动了
[00:20:44] 你看我
[00:20:45] 我不释放这个拍子的时候
[00:20:46] 他们所有的人都在等待
[00:20:55] 不是很齐
[00:20:56] 是因为我的树莓派
[00:20:57] 第一个它的速度相对来说比较慢
[00:21:00] 第二个它的处理器也相对来说比较少
[00:21:03] 它可能会有一些调度
[00:21:04] 所以确实你能感觉到
[00:21:06] 你感觉到他的演奏是是不齐的
[00:21:08] 但是在你们的PC上
[00:21:09] 比如说你们的处理器更多
[00:21:10] 而且更快的时候
[00:21:11] 你你感受不到这个延迟
[00:21:13] 你会觉得它它的演奏是齐的
[00:21:14] 那我们是怎么实现这个呃同步的呢
[00:21:17] 主要是两个重要的函数
[00:21:19] 一个是同步的条件
[00:21:21] Wait for beat
[00:21:22] 叫我我要等待我同步的条件达成
[00:21:26] 我才能继续
[00:21:28] 那我就把这句话直接翻译成代码就行了
[00:21:30] 但是但是啊我所有的你所有对共享变量的访问
[00:21:35] 都必须要加锁
[00:21:36] 否则就会出现SAM加加那种奇怪的问题
[00:21:39] 加了锁以后ABBA
[00:21:40] 而且而且加了锁以后上锁和我上次课呃讲过
[00:21:47] 然后这个细节我要再重复一遍
[00:21:48] 就是你的锁的release和和下一次上锁的quire之间
[00:21:54] 是有happens before的关系的
[00:21:56] 就是上一次解锁的release会happens before
[00:22:00] 下一次上锁的快
[00:22:02] 然后这时候release和acquire确保
[00:22:05] 如果这里有对共享内存的写的话
[00:22:07] 比如X等于一
[00:22:08] 或者SAM加加
[00:22:09] 这里有任何对共享内存的写
[00:22:11] 比如说一个数据结构的更新
[00:22:13] 那么在这个下面release acquire之后
[00:22:16] 这里都是可见的
[00:22:17] 比如说你在这里往电表里插入了一个节点
[00:22:19] 那我就在这一定能够正确的看到那个节点
[00:22:21] 那如果我这里比如sum加加SAM现在变成十了
[00:22:24] 我在这里看到十
[00:22:25] 那我在这里也一定会看到十
[00:22:27] 这样的啊啊这样的一个保证
[00:22:30] 所以你你对共享变量任何的访问
[00:22:32] 都需要用这把锁
[00:22:34] 一把锁把它给给保护好
[00:22:37] OK好
[00:22:37] 那么我们就先先说
[00:22:39] 如果啊如果我现在现在这个县城
[00:22:42] 如果想要呃想要演奏一拍
[00:22:44] 他的条件是指挥给我下这一排
[00:22:47] 所以他做的事情就是不停的看着指挥
[00:22:50] 瞪着指挥
[00:22:51] 我去看指挥
[00:22:52] 我先把指挥当前的拍号第几拍给读读出来
[00:22:57] 读出来以后
[00:22:58] 我就要把这把锁给释放掉
[00:22:59] 然后如果我看到这把锁没有
[00:23:02] sorry如果我我现在看到我这拍还没有到来
[00:23:06] 我就要再盯着指挥不停的看
[00:23:09] 这个就跟乐团里面的呃人是一样的
[00:23:12] 一旦你呃你精神涣散了
[00:23:15] 你没有看没有仔细看指挥
[00:23:17] 然后你你你就可能就跟错拍子了
[00:23:19] 你你你就不停的看着指挥
[00:23:21] 有这块有没有下来
[00:23:22] 如果下来了
[00:23:23] 你就要赶快赶快返回
[00:23:25] 返回以后你就可以调用这个类了
[00:23:28] 然后然后只会release一个地铁是也是一样的
[00:23:32] 因为是一个呃并发的代码
[00:23:34] 所以我要用互斥锁把它保护好
[00:23:36] 保护好以后
[00:23:36] 我就把这个排号加一
[00:23:39] 我相当于release一个beat
[00:23:40] OK这样我就正确的实现了同步
[00:23:43] 然后你也确实看到
[00:23:44] 刚才我我如果如果不按回车的话
[00:23:47] 这个整个所有的线程都是啊停止的
[00:23:50] 这是实现同步的
[00:23:53] 例子好
[00:23:55] 那么如果你去观察刚才的那一段代码
[00:24:00] 然后你再想一想前面的那几个例子
[00:24:02] 用代码直接表示同步
[00:24:04] 都是当这个同步的条件不满足的时候
[00:24:09] 我就要等待
[00:24:10] 当线程没有都结束的时候
[00:24:13] 我就要等待
