[00:00:00] 我们先回顾一下我们之前学了什么
[00:03:30] 我可以放很多很多很多很多很多个逻辑门
[00:03:33] 我可以一次取从内存里面取出32个bit
[00:03:37] 那就没有人能够阻止我
[00:03:39] 一次
[00:03:39] 可以从内存里面取出64个bit
[00:03:41] 或者128个bit
[00:03:42] 一个low的指令
[00:03:43] 我至少可以在电路上这样设计
[00:03:45] 那如果我能够同时取出两条指令
[00:03:47] 那我就可以送到两份复制的电路上面
[00:03:51] 去做一码
[00:03:52] 这样我译码完了以后
[00:03:54] 我就知道这是一个什么move1r ax
[00:03:59] 然后这是一个move2RBX好有有两
[00:04:04] 有两条这样的指令
[00:04:05] 然后你也没有没有任何道理
[00:04:08] 不能让我在这里再加一个电路去
[00:04:10] 可以去判断这两条指令是不是可以
[00:04:13] 可以并行执行
[00:04:14] 或者说他们两个之间有没有互相等待
[00:04:16] 数据的依赖
[00:04:17] 这样这样都都可以
[00:04:18] 如果他们真的可以可以并行执行的话
[00:04:20] 也没有人能阻止我用电路去去把
[00:04:23] 两个值写到两个寄存器里
[00:04:25] 你们都实现过这个叫叫双口的register fire
[00:04:29] 就你可以选两个寄存器
[00:04:30] 然后写两写两个值
[00:04:31] 这样就可以同时理论上说
[00:04:33] 你你没有任何本质上的困难
[00:04:35] 可以让你的CPU可以呃同时执行两条指令
[00:04:39] 所以呃现在的CPU每个CPU它都是一个编译器
[00:04:42] 然后这个编译器里面都
[00:04:45] 它不仅是可以有两条指令
[00:04:46] 实际上我们的CPU里面有一条很长的队列
[00:04:49] 有一个非常非常长的队列
[00:04:50] 然后它每一个时钟周期
[00:04:52] 它就会固定的往这个队列里面
[00:04:54] 可能甚至可能塞
[00:04:56] 比如说三条或者四条或者更多的指令
[00:04:58] 然后这个进进到这个队列以后
[00:05:00] 我们CPU里面有个很大的编译器
[00:05:03] 相当于有一个compiler
[00:05:04] 呃虽然讲compiler不是特别的合适
[00:05:07] 我打一个比方
[00:05:08] 但他至少是有个数据流分析器
[00:05:09] 它可以知道
[00:05:10] 我这条指令要等到这条指令算出来的结果
[00:05:13] 我才能继续执行
[00:05:14] 然后或者是
[00:05:16] 这条指令可能会有什么样的后果等等
[00:05:19] 他必须要把译码的整个未必是译码
[00:05:23] 就反正要把很多信息都要存在
[00:05:24] 存在这个队列里面
[00:05:26] 然后理论上说
[00:05:27] 如果你的分支预测一直准正确的话
[00:05:29] 然后你成指令执行的速度
[00:05:31] 又能它可有的指令可能快一点
[00:05:33] 有的指令可能慢一点
[00:05:34] 比如说你会开始miss catch
[00:05:35] miss的话
[00:05:35] 这条指令可能就会特别特别慢
[00:05:37] 但只要你最终你指令执行的速度能够赶上
[00:05:40] 而且你的分支预测正确的话
[00:05:43] 你就可以始终保持一个非常非常高的
[00:05:46] 执行的执行的速度
[00:05:48] 然后你你甚至可以直接在我们的
[00:05:51] 计算机系统上面观察到这个现象
[00:05:53] 也就是说呃打比方啊期期末考试的时候
[00:05:56] 我就我就我就喜欢考这种比较open的题目
[00:05:59] 如果你希望证明你的处理器
[00:06:03] 在一个时钟周期里面
[00:06:04] 确实可以执行超过一条指令
[00:06:06] 你应该怎么办
[00:06:08] 因为你你可以从那
[00:06:09] 这就是一个非常综合性的问题
[00:06:11] 首先你可以从LINUX系统里面知道一些
[00:06:14] 关于你CPU的呃特点
[00:06:16] 比如说呃我们知道prod下面有一个CPU info
[00:06:19] 有个CPU
[00:06:19] 然后这个CPU info里面有一些信息
[00:06:21] 它会告诉你这是一个什么样的CPU
[00:06:23] 然后这个CPU实际
[00:06:24] 这个CPU它会告诉你
[00:06:26] 它其实是有是有主频的
[00:06:28] 有有frequency
[00:06:29] 他有他有它
[00:06:30] 它它有频率
[00:06:31] 然后你你也可以通过查阅手册
[00:06:33] 你知道这是什么什么CPU
[00:06:34] 然后你可以知道它运行在一个什么样的一个
[00:06:37] 时钟周期到底有多长
[00:06:39] 哎然后你就可以写一个程序
[00:06:42] 你可以用汇编
[00:06:43] 你就写这样的
[00:06:45] 没有冲突的指令
[00:06:46] 然后可以尝试各种各样的
[00:06:48] 不同的指令的组合
[00:06:50] 然后接下来你应该有一个意识是
[00:06:52] 计算机系统里面应该存在一个工具
[00:06:55] 可以帮你数指令
[00:06:56] 如果你们实现这个reset five的处理器的话
[00:06:59] 它里面就有这种各种各样的counter
[00:07:01] 可以甚至你的时钟中断都是用counter来实现的
[00:07:04] 如果你们做过reset five的话
[00:07:06] 它里面有一个counter
[00:07:07] 然后每次一个时钟周期
[00:07:08] 它就减1-1减1-1减到零的时候
[00:07:10] 它就发射一个
[00:07:11] 时装终端
[00:07:12] 就是这样一个非常确定的行为
[00:07:14] 然后根据这些概念
[00:07:15] 你可以拼凑出来哈
[00:07:16] 你你这件事情可以做到
[00:07:17] 然后你让AI去帮你做
[00:07:18] 你就可以
[00:07:20] 对
[00:07:20] 就就可以知道是不是你的CPU
[00:07:23] 真的一天一个时钟周期可以执行超过一条指令
[00:07:26] 然后这里面其实是有相关的
[00:07:28] 在概念在真实的系统里面有体现的
[00:07:31] 比如说在CPU info里面有个叫包go mips的值
[00:07:35] 这边的值比较小是108
[00:07:38] 然后如果你们看你们的电脑的话
[00:07:40] 这个值基本上可能是5000
[00:07:42] 或者是甚至是更更大的值
[00:07:45] 当然因为这是我我我这是一个非常低功耗的CPU
[00:07:47] 而且它测量的时间啊比较早
[00:07:49] 哎你们就很好奇什么是
[00:07:51] 包go mix BO miss
[00:07:52] 就是这样的东西
[00:07:54] 在现在
[00:07:55] 因为我们现在的今天的CPU
[00:07:56] 基本上都有非常完善的计时机制了
[00:07:58] 你可以
[00:07:59] 你可以往一个从一个寄存器里面
[00:08:01] 读一个非常精确的时间
[00:08:02] 那个时间戳呃基本上是纳秒级精度
[00:08:05] 至少说说从CPU启动开始到到这个
[00:08:08] 这个时刻
[00:08:09] 它有一个纳秒级精度的时
[00:08:11] 钟时和时钟相关的一个嗯计数器
[00:08:14] 那这个计数器就可以用来计时
[00:08:16] 但是在早期的时候
[00:08:17] 或者说在比如说CPU在刚刚启动还没有
[00:08:21] 这些处理器特性可能还不可用的时候
[00:08:23] 如果你要大致的估算时间
[00:08:25] 打个比方
[00:08:26] 你呃我如果我们要写一个操作系统内核
[00:08:29] 在或者写一些固件相关的代码的时候
[00:08:32] 你有可能会等
[00:08:33] 比如说我发出一个信号
[00:08:34] 然后我我知道这个信号
[00:08:36] 因为是在我的电路板上的
[00:08:38] 这个信号可能要等到22ms以后
[00:08:41] 我才能收到他的反馈
[00:08:42] 或者我确信20ms以后一定会收到他的反馈
[00:08:45] 比如说我可能要等20ms
[00:08:46] 要等到一个电路的状态稳定
[00:08:48] 那这个时候我就需要实现一个叫delay
[00:08:50] 20ms
[00:08:51] delay20毫秒
[00:08:52] 那怎么样
[00:08:53] 在没有任何计时器的情况下
[00:08:55] 或者说没有一个精确
[00:08:56] 这种很精确的计时器的情况下
[00:08:57] 实现一个delay20毫秒
[00:08:59] 那LINUX的答案就是
[00:09:01] 如果你的假设你的CPU的频率是固定的
[00:09:03] 假设CPU的频率是固定的
[00:09:05] 那呃你你就可以用一个循环来计数
[00:09:08] 你可以while loops减减
[00:09:09] 然后调用一个CPU relax
[00:09:11] 比如说这个一个NOP
[00:09:12] 一个一个确定的指令
[00:09:14] 然后他只要能够算出一秒钟的时间
[00:09:16] 它只要有一个比较粗糙的计数器
[00:09:18] 比如说一秒的计数器
[00:09:19] 它就可以算出算出我执行一个CP
[00:09:24] 一次CPU relax的循环
[00:09:26] 它大概需要多少多少时间
[00:09:28] 然后通过这个他就可以算出一个值叫BO mix
[00:09:31] 就是一个他估算出来的一个million instruction
[00:09:34] Per second
[00:09:35] 所以你看这个是108个million per second
[00:09:38] 说明这个处理器在在测算这个报告mix的时候
[00:09:41] 运行在一个非常低的频率上
[00:09:43] 但如果你们的英特尔的处理器的话
[00:09:44] 你至少看到是几千
[00:09:45] 可能三四千
[00:09:46] 可能5000
[00:09:47] 然后你你会呃很有意思的发现
[00:09:49] 这个数值其实是大于你的处理器的频率的
[00:09:53] 你的处理器可能是2G赫兹或者
[00:09:56] 但是你你得到的那个频率是大于你的你的评论
[00:09:59] 这个一定上程度上说明了
[00:10:01] 其实我们的处理器一个时钟周期是可以
[00:10:03] 可以执行啊多条指令的
[00:10:05] 当然如果你真的要证明他的话
[00:10:07] 你你肯定是让AI帮你写一个
[00:10:10] 写一个脚本
[00:10:12] 去帮你测算
[00:10:13] 所以我也我也特意啊就嗯现在很有意思
[00:10:17] 以前呃像这样的脚本
[00:10:19] 我我在上课我可能都会拿出来哎
[00:10:22] 跟大家讲一讲我到底做了什么
[00:10:23] 因为有一天你们可能会去自己写这个脚本
[00:10:26] 但是我们发现今天你再也不用写代码了
[00:10:28] 你更需要的是知道这个世界上存在一个方式
[00:10:31] 可以写出这样的代码
[00:10:32] 然后以及你要知道怎么确认确认你
[00:10:34] 你写出来这个东西是对还是不对
[00:10:36] 然后剩下的你就让AI去写
[00:10:37] 所以整个代码都是都是AI写的
[00:10:40] 然后AI1开始还犯了一些错误
[00:10:41] 但是反正他自己就呃自己就修好了
[00:10:43] 我让他做了一个叫i l p benchmark
[00:10:46] instruction level paralysm的benchmark叫指令级并行
[00:10:50] 也就是说
[00:10:50] 我们说每次一码可以可以溢出超过一条指令
[00:10:54] 然后它到底有多少呢
[00:10:56] 我试图在这个CPU上做
[00:10:58] 写各种各样各种各样的程序
[00:11:01] 比如说我我可以不断的给W00
[00:11:04] 这个寄存器加一
[00:11:06] 如果我不断给同一个寄存器加一
[00:11:08] 那我下一条指令就一定要等上一条
[00:11:10] 下一条指令要等上一条
[00:11:11] 下一条指令要等上一条
[00:11:13] 所以这个就就没有办法并行执行
[00:11:15] 这个呃理论上说如果这个CPU实现的非常好
[00:11:19] 他的这个instruction propercycle
[00:11:21] 可以做做到接近于一
[00:11:23] 但如果做的不好的话
[00:11:24] 像你们如果是一个五段流水线的CPU的话
[00:11:26] 他可能就到不了
[00:11:27] 到不了一了
[00:11:28] 所以有一些这种
[00:11:29] 不不是是写同一个寄存器的
[00:11:32] R0R12R三这样
[00:11:33] 那那某种程度上
[00:11:35] 你应该认为它是可以触发这种指令集
[00:11:37] 并行的
[00:11:38] 我我同时发射四条指令
[00:11:39] 我可以呃可以同时执行
[00:11:41] 然后我我就直接告诉他帮我统计instruction
[00:11:46] per
[00:11:47] Per percycle
[00:11:48] 然后那么他就他就可以
[00:11:52] 他就可以帮我写一个脚本
[00:11:53] 调用一个正确的工具是吧
[00:11:55] 你甚至不需要知道
[00:11:56] 这个LINUX系统里面有一个工具叫PERF
[00:11:58] 虽然我在那个lecture notes里面给大家讲过
[00:12:00] 那是里面有一个非常有用的工具叫PERF
[00:12:03] 这个PERF可以度量程序的各种各样的行为
[00:12:07] 包括呃比如说甚至是你你的cash miss的数量
[00:12:11] 这些
[00:12:12] 这些信息可以帮助你诊断
[00:12:14] 诊断性能的性能的问题
[00:12:16] 对
[00:12:17] 所以我们先编译运行一下
[00:12:21] 诶我们只看结果
[00:12:23] 嗯有有兴趣的同学
[00:12:24] 你可以开一个呃呃coo code
[00:12:26] 让他解释
[00:12:28] 整个程序里面到底发生了什么
[00:12:29] 然后这也是其实也是我希望的
[00:12:31] 就是你们在在上课的时候听我一讲
[00:12:33] 然后在课后的时候
[00:12:34] 你们一定会找到一些你感兴趣的
[00:12:36] 比如说诶这个度量IPC的程序
[00:12:39] 到底是怎么怎么实现的
[00:12:41] 很有意思
[00:12:41] 那个D1P那个有dependent
[00:12:45] 有dependency的程序
[00:12:48] 最最头上
[00:12:49] 这个你看不断的W0等于W0
[00:12:52] 加1+1加1+1
[00:12:54] 甚至可以跑到1.5的IPC
[00:12:57] 然后在我就在我这样的一个树莓派上
[00:13:00] 然后像一些呃如果混合了一些指令的话
[00:13:03] 甚至可以跑到一个时钟周期
[00:13:05] 可以执行三条指令
[00:13:07] 然后你看到这里面他用了instruct
[00:13:09] 他他用了PERF
[00:13:10] 得到了程序执行的instruction cont指令的数量
[00:13:13] 还有cycles
[00:13:14] 还有这个呃总共时钟周期的周期的数量对
[00:13:19] 然后这
[00:13:20] 这你你们会在你们的机器上看到不同的结果
[00:13:23] 然后这是和你们CPU的实现有关系
[00:13:25] 当然我这不是一门体系结构课程
[00:13:27] 所以我呃所以我我不会
[00:13:30] 不会深入来讲来来讲这件事
[00:13:32] 但我要告诉大家的是
[00:13:33] 这种instruction level palism到底意味着意味着什么
[00:13:37] 我们的CPU做了CPU的设计者
[00:13:39] 做了一个非常艰难的决定
[00:13:41] 你想你你如果要做一个加法
[00:13:44] 你需要多少电路呢
[00:13:45] 无非就是一个那种什么超前进位的加法器
[00:13:48] 然后乘法也是
[00:13:49] 就是你你加法乘法都是一个固定的电路
[00:13:51] 所以AIU里面有一个电路
[00:13:53] 然后如果你要做位运算的话
[00:13:54] 你就更省电路了
[00:13:55] 与或非
[00:13:56] 然后你的浮点数会稍微大一些
[00:13:58] 但是如果你要在你的CPU里面塞一个编译器
[00:14:02] 你想如果你要在里面塞一个什么
[00:14:04] 1024项的队列
[00:14:07] 这是一个队列
[00:14:08] 然后你这个队列是支持push和pop的
[00:14:11] 相当于你每一个队列里面都还要有一个bit
[00:14:13] 去维护维护这个队列里面有没有东西
[00:14:16] 相当于有没有东西
[00:14:17] 然后你甚至还需要有一个东西
[00:14:19] 知道队列的头在哪里
[00:14:20] 然后你要知道到底对这个队列是循环的
[00:14:22] 因为你你总是只能做这样的一个
[00:14:24] array一样的东西
[00:14:25] 但是你你的队列是不断的往后增长
[00:14:28] 然后后以后又回到前面的
[00:14:30] 然后不仅你要维护这样的队列
[00:14:32] five four的队列
[00:14:32] 你还要维护一个编译器
[00:14:34] 要维护一个数据流分析器
[00:14:37] 然后这个数据流分析器要分析任意的两条指令
[00:14:39] 之间存不存在数据关系
[00:14:41] 在这个队列里
[00:14:42] 理论上说这是n square的
[00:14:43] 当然你有一些比较呃聪明的办法
[00:14:46] 可以让让复杂度变得更低
[00:14:48] 但是你可以可以想象的是
[00:14:50] 如果你想要在里面塞编译器
[00:14:52] 塞队列塞这种东西
[00:14:53] 它要占用大量的电路
[00:14:55] 然后这些电路就不能用来放运算部件了
[00:14:59] 而且每一个门电路的翻转
[00:15:01] 就是你每一个时钟周期
[00:15:03] 如果这个电路都不动的话
[00:15:04] 整个比如说整个电路的模块
[00:15:06] 因为那个时钟信号都没来
[00:15:07] 或者呃它有一个这个enable的信号就就不在
[00:15:10] 这个电路就没有功耗
[00:15:12] 但是一旦任何一个逻辑门从零变一或者一变零
[00:15:15] 它都要都要发热
[00:15:16] 所以整个编译器和这个动态流水线的部分
[00:15:21] 它的功耗会比你实际上算这条指令
[00:15:25] 比如说你要算一个
[00:15:25] 一写到一个寄存器里要大很多
[00:15:28] 你为了执行这条指令执行的快
[00:15:30] 因为你你看起来指令是一二
[00:15:33] 然后我们编程的时候觉得是
[00:15:35] 先执行一
[00:15:36] 执行完了一再执行二
[00:15:37] 就为了让一和二能够同时执行
[00:15:39] 它其实付出了很大的功耗
[00:15:42] 然后这些消耗的能量其实就浪费掉了
[00:15:44] 因为他没有
[00:15:45] 他没有参与到实际的计算当中
[00:15:47] 是为了让我的计算在时间意义上更快
[00:15:50] 而浪费掉了
[00:15:52] 然后从1995年到2005年的时候
[00:15:54] 其实我还挺幸运的
[00:15:55] 我我生活过这个时代
[00:15:57] 我在这个时代就是每天不能
[00:16:00] 当然这个夸张
[00:16:01] 就是你隔一小段时间就能看到
[00:16:03] 我们的处理器又快了多少
[00:16:04] 又快了多少
[00:16:05] 每一代都比上一代要要要快多少
[00:16:08] 然后然后这个快是怎么来的呢
[00:16:10] 非常粗暴
[00:16:11] 比如说今天这个队列是1024项
[00:16:14] 它发布下一代处理器的时候
[00:16:16] 因为它有更先进的制程
[00:16:17] 它就可以把它变成2048项
[00:16:19] 就是这么离谱
[00:16:20] 然后因为我这个队列大了
[00:16:22] 我的指令这个动态的出现就可以
[00:16:24] 就就可以更快
[00:16:26] 当然付出的代价是这个编译器会变得更复杂
[00:16:28] 然后你你为这个这个five four
[00:16:30] 也付出了更大的电路
[00:16:32] 但是但是因为从1995年0年
[00:16:34] 到2005年的时候
[00:16:35] 我们的CPU的工艺制程从
[00:16:37] 100多纳米变到十几纳米
[00:16:40] 然后一直都在有先进支撑
[00:16:42] 那个时候英特尔有一个叫TIKTOK
[00:16:44] 它每一年隔一年
[00:16:45] 它会发布一个更先进的动态流水线
[00:16:48] 然后再隔一年他会他会发布一个更先进的制程
[00:16:52] 就是他把这个集成电路做的更小
[00:16:54] 这样你可以在单位集成电路上面塞上更多的
[00:16:57] 更多的晶体管
[00:16:58] 并且每一个晶体管它的耗能耗也会减少
[00:17:01] 所以它在1995年2005年的时候
[00:17:03] 一直是是在是是靠这个方式来增长
[00:17:06] 单处理器的性能了
[00:17:07] 你看到的就是哦我们的处理器性能一直在增长
[00:17:10] 但是这件事情总有一天会推撞墙的
[00:17:13] 因为你的整个计算机芯片的这个热功耗
[00:17:17] 它有三个因素
[00:17:18] 三个因素
[00:17:18] 第一个是电容
[00:17:19] 这个基本上就没有办法
[00:17:20] 就跟你的制程有关系
[00:17:22] 你制成你的制程变好了
[00:17:23] 这个这个系数就就下降了
[00:17:26] 然后以及它的频率
[00:17:28] 那也是可以理解的
[00:17:29] 你嗯你不动它就没有功耗
[00:17:32] 但是你你只要CPU动起来
[00:17:33] 它就它就需要有功耗
[00:17:35] 从0~1
[00:17:36] 从1~0
[00:17:36] 然后还有一个就是V平方电压的平方
[00:17:39] 所以你你是依靠这个更先进的制程
[00:17:42] 它它可以做到更小的电压来把这个功耗压下去
[00:17:46] 但是只要有一天这个G制程不能增加了
[00:17:50] 制程不能变得更先进了
[00:17:52] 然后你的C和V平方基本上就已经定下来了
[00:17:54] 那么你就没有办法再增加这个buffer size
[00:17:57] 没有办法再让这个编译器变得更复杂了
[00:17:59] 因为你你要撞墙了
[00:18:01] 你你的处理器的封装
[00:18:03] 它散热能力是有限的
[00:18:04] 也就100多瓦
[00:18:05] 你的一个一个封装也就100多瓦的散热
[00:18:07] 你一旦撞上这个功耗墙
[00:18:09] 所以叫wall叫叫功耗墙
[00:18:11] 一旦撞上墙
[00:18:12] 你呃你就算是能把电路做得更大
[00:18:16] 你你可以
[00:18:16] 你可以在里面塞一个更复杂的处呃处理器
[00:18:20] 但是你的散热已经跟不上了
[00:18:21] 你散热跟不上以后
[00:18:22] 你你就没有办法再实现
[00:18:23] 这个单处理器性能的无限呃无限增长了
[00:18:26] 然后我们在这个computer system里面
[00:18:28] 其实有很多很多的墙
[00:18:29] 这个墙就意味着极限
[00:18:31] 再比如说功耗强
[00:18:32] 就说我我现在散热只有这么多
[00:18:34] 我我再也不能增加散热了
[00:18:36] 所以你撞墙了
[00:18:37] 然后再比如说这个呃频率强
[00:18:39] 你的频率不能提升了
[00:18:40] 然后你的内存强的内存带宽是有限的
[00:18:43] 内内存带宽就这么多
[00:18:45] 你的处理器再快
[00:18:46] 如果你呃打比方它不同的程序不一样
[00:18:49] 如果有的程序它就是一个非常好的load
[00:18:52] 非常好load
[00:18:53] 然后呃每一个都是漏的
[00:18:54] 而且每个都是独立的
[00:18:55] 可以可以可以执行的
[00:18:57] 然后很快你发现你的
[00:18:59] 缓存和内存之间的那个带宽成为了瓶颈
[00:19:03] 然后然后然后这指令就不能再继续了
[00:19:05] 他就要
[00:19:06] 它就等来他就他就撞墙了
[00:19:07] 你你你可能会碰到频率的
[00:19:10] 内存的IO的各种各样的啊强
[00:19:12] 然后你你你也可能会在这个system里面
[00:19:15] 听到一些黑话
[00:19:16] 比如说叫税
[00:19:17] 叫交税
[00:19:18] 他有各种各样的税
[00:19:19] 就是你你拿一份钱
[00:19:20] 你收到一份钱或者得到一份好处
[00:19:23] 你就要必须为这份好处
[00:19:25] 要额外付出一些一些东西
[00:19:27] 打个比方
[00:19:27] 你在淘宝下一个单
[00:19:29] 你要发一个HTTP请求好
[00:19:31] 那HTP请求就是你你真正实际上要的那个东西
[00:19:34] 但是你为了把这个HTTP请求发到
[00:19:37] 从从我这台机器发到那个那个机器
[00:19:39] 你你会一层一层经过TCPIP
[00:19:42] 经过你本地的这个以太网
[00:19:44] 或者是无线的以太网的协议
[00:19:46] 然后你的每一层协议
[00:19:47] 你都会在那个头上和尾上面加一些东西的
[00:19:50] 每一个你每一个packet
[00:19:51] 你AHTP就是个字符串
[00:19:52] 这应用层的那个协议
[00:19:54] 但是你为了把它发出去
[00:19:55] 你就会不停的在上面加一头加头
[00:19:57] 加头加头加头诶
[00:19:59] 那这些就是你交的
[00:20:00] 你交你交的税
[00:20:01] 然后你会交各种各样呃各各种各样的税
[00:20:04] 然所以如果你要是一个性能极致的呃系统的话
[00:20:09] 呃你可能要考虑的因素是是非常多的
[00:20:12] 所以所以本质上啊回
[00:20:14] 回过头来我讲了一些facts
[00:20:15] 就是我们的现代的CPU是是什么样的
[00:20:18] 然后我们总是想要更好的性能的
[00:20:21] 但是因为我们撞墙了
[00:20:23] 撞到这个功耗墙了
[00:20:24] 而且我们也知道这样的方式
[00:20:27] 虽然体确实提升了性能
[00:20:28] 但是其实浪费了很多的能源
[00:20:31] 那我们有没有可能在有限的能源上
[00:20:34] 做出一个更快的处理器呢
[00:20:36] 这就是很自然的芯片设计者的问题
[00:20:38] 因为对芯片的设计者来说
[00:20:40] 如果它能运行的更快
[00:20:41] 它就能挣更多的钱
[00:20:43] 就这么简单
[00:20:43] 所以面对功耗墙的时候
[00:20:47] 我们有一个非常重要的观察
[00:20:49] 观察就是我们现在一旦到了某一个时候
[00:20:53] 某一个时刻
[00:20:54] 甚至是在这个撞墙之前
[00:20:56] 我们都有一个想法是
[00:20:59] 有没有可能压榨出更多的performance for what对
[00:21:02] 就每每瓦
[00:21:03] 就我希望让每一个逻辑门的翻转都有意义
[00:21:06] 都参与到实际的计算当中
[00:21:07] 而不是像这里
[00:21:09] 我的我的逻辑门的翻转
[00:21:10] 是用来在编译器里面去算一个什么
[00:21:12] 有没有数据依赖
[00:21:13] 然后在这这个队列里面去
[00:21:15] book keep它的这个数据结构
[00:21:17] 而这些功耗
[00:21:18] 最终都没有反映到实际的我程序执行上面
[00:21:22] 这就是交的税
[00:21:22] 某种程度上
[00:21:24] 对这一节是交的
[00:21:26] 交的税
[00:21:26] 所以这就诞生了两条非常重要的途径
[00:21:29] 也就是也就是发生在
[00:21:31] 一个是发生在我们处理器内部的一个并行执行
[00:21:33] 还有一个是也就是你们今天看到的
[00:21:36] 用更多的简单的处理器
[00:21:37] 我们可以同一个同一个同如果同样的大小的
[00:21:43] 电路或者说是同样的功耗
[00:21:45] 我可以选择放两个大的
[00:21:48] 我也可以选择放四个小的
[00:21:50] 或者我可以选择放八个或者16个更小的
[00:21:53] 如果我放两个大的
[00:21:54] 就是说编译器更复杂的
[00:21:56] 那就意味着它的单核性能就更强
[00:21:58] 但是有更多的功耗被浪费了
[00:22:00] 然后我放这个编译器小的
[00:22:02] 我就可以放下更多的电路
[00:22:04] 或者说在同样的功耗下
[00:22:05] 我就可以赢取更多的CPU
[00:22:08] 在我的系统里
[00:22:09] 那单核的性能就下降了
[00:22:12] 你你看你表现
[00:22:13] 你你的表现就是你的一些单核的应用
[00:22:15] 像word excel这些应用
[00:22:16] 它就会变卡
[00:22:17] 但是呃带来的好处是你的功耗其实降低
[00:22:21] 完成同样的工作
[00:22:22] 你的功耗降低了
[00:22:23] 然后如果你是一个并行的任务的话
