[00:00:00] 上一节课我们讲了文件系统增删改
[00:04:19] 那什么地方会用到呢
[00:04:21] 比如说你们的web server
[00:04:24] Web server
[00:04:24] 你嗯你们如果开发过前端或者后端的代码的话
[00:04:29] 你在debug mode上打开它
[00:04:32] 那么如果你的Python的代码修改了
[00:04:34] 说如你要把一个route
[00:04:36] 比如说杠
[00:04:36] 然后绕在某一个function打
[00:04:38] 打个比方
[00:04:39] 任何一个任何一种框架
[00:04:40] 假设假设你你现在代码里面写的是
[00:04:42] 如果你请求杠hello
[00:04:44] 你就会调用这个方式返回一个结果
[00:04:46] 跟你们做那个HTTPD的实验是一样的好
[00:04:49] 这时候比如说你有个A点PY
[00:04:50] 它已经写好了
[00:04:51] 那当它运行以后运行以后
[00:04:53] 这个文件就已经在内存里了
[00:04:55] 这个内存里面就是这个
[00:04:56] 然后这时候你去改它
[00:04:58] 改这个文件
[00:04:59] 比如说你把这个文件改掉了
[00:05:00] 就如果你执行A点到A点PY
[00:05:02] 它会创建一个进程
[00:05:04] 进程的地址空间里面还是还是hello
[00:05:07] 那这时候就需要一个reload
[00:05:09] 你需要你需要重新加载这个文件
[00:05:12] 可能你要再创建一个进程
[00:05:14] 然后把这个进程旧的进程给杀掉
[00:05:15] 然后你就需要一个文件系统的监控
[00:05:17] 如果你的项目里面有几百几千个文件
[00:05:20] 然后像比如说next js它的
[00:05:22] 整个reload就做得更彻底一点
[00:05:24] 你你可以看到是如果你改一个CSS
[00:05:27] 你一旦保存在你保存那个CSS的一瞬间
[00:05:30] 然后你那个网页就全变了
[00:05:31] 按下保存
[00:05:32] 你如果你浏览器就在旁边的话
[00:05:34] 你保存的一瞬间那个就变了
[00:05:35] 然后你最最最神奇的就是
[00:05:37] 如果你你让你的那个呃coding agent去去改前端
[00:05:41] 比如说你就让他改那个style
[00:05:43] 然后就可以看他一步一步一步是怎么改的
[00:05:45] 那个界面就1.1.1.1点在变
[00:05:48] 它一步一步在改
[00:05:48] 最后改出那个你想要的啊界面很有意思
[00:05:51] 这是一个非常非常实用的的需求
[00:05:54] 对吧哈
[00:05:54] 呃当然这个需求
[00:05:57] 原则上是不需要操作系统的帮助
[00:05:58] 也可以实现的
[00:06:00] 就比如说在这我写了一个shared script
[00:06:03] 比如说我现在可以有一个任任何有一个
[00:06:05] 比如说A点TXT的文件
[00:06:08] 这段代码是这样的
[00:06:09] 他说我要做一个
[00:06:10] 我要做一个DF这个尖括号就这是一个命令
[00:06:14] 你可以是任意的命令
[00:06:15] 然后呃可以
[00:06:16] 比如说你看我右边它是一个分号
[00:06:18] 我睡两秒钟
[00:06:19] 然后把date写到A点TXT里
[00:06:21] 然后再在执行执行另外一个命令
[00:06:25] 然后他把任任任何一个命令变成一个文件
[00:06:27] 然后这个文件就可以被像比如DIF这样的
[00:06:30] 需要两个文件
[00:06:31] DIFA点TXTB点TXT的文件给给收到
[00:06:34] 然后我我我这里干件什么事呢
[00:06:36] 这个命令set可以输出文件的各种各样的
[00:06:40] 原数据的信息
[00:06:41] 就上一次课我们讲他可以有什么mod
[00:06:43] 还可以modification time
[00:06:45] 这些都是数据
[00:06:46] 文文件的那些attributes
[00:06:48] 然后我我后面可以跟一个通配符
[00:06:49] 比如说我可以跟
[00:06:51] 这个杠ETC下面的所有的文件好
[00:06:53] 那你就可以看到这个呃以及以下所有的文件
[00:06:56] 它比如说我这里让它输出的是修改的时间
[00:06:59] 那我的这样的一个脚本
[00:07:02] 就是说我当前目录下星星可以匹配
[00:07:05] 目录和子目录里面所有的东西
[00:07:07] 当然我需要在batch里面配置一下才才有这个
[00:07:10] Feature
[00:07:10] 你们可以用星星
[00:07:11] 杠星来表示某一个目录下的所所有的文件
[00:07:16] 在这里
[00:07:17] 我首先会立即得到当前所有文件的修改时间
[00:07:23] 然后我再睡眠两秒钟
[00:07:24] 然后比如说我再把A点TS给改掉
[00:07:27] 然后我在我在stat
[00:07:29] 在做同样的事
[00:07:30] 然后那我这样我等于我在两秒钟之后
[00:07:32] 我A点TT的内容就改了
[00:07:34] 然后改了以后
[00:07:34] def name def命令就可以告诉我
[00:07:36] 这个变了
[00:07:37] 但如果比如说我这不改
[00:07:39] 我还是睡睡两秒钟
[00:07:41] 我这样不改
[00:07:43] 然后这个deep命令就什么也不会返回
[00:07:45] 它没有没有检测到任何的区别
[00:07:48] 所以就这样的一行脚本
[00:07:50] 理论上说就可以
[00:07:52] 帮助我们实现一个这样last modify的列表
[00:07:55] 所以这个功能就是监控的需求
[00:07:57] 是和第一是合理的
[00:07:58] 第二它是可以实现的
[00:08:00] 但是如果你的目录里面有几百万个文件
[00:08:03] 这个效率就很低
[00:08:04] 你每一次便利
[00:08:05] 你都会去有几百万次的文件元数据的查询
[00:08:09] 虽然啊现在操作系统你即便这样查询
[00:08:11] 它的性能也不会太差
[00:08:13] 因为操作系统会把文件系统里面
[00:08:15] 那些热的数据全部都都放到内存的缓存里
[00:08:18] 如果你访问你
[00:08:19] 如果你访问一个呃文件
[00:08:21] 然后这个文件所有的数据包括原数据
[00:08:23] 包括它的那些数据
[00:08:24] 实际上都是在磁盘上的
[00:08:25] 都是在你的存储设备上
[00:08:26] 这存储设备可能很慢
[00:08:27] 可能是一个光盘
[00:08:28] 可能是个U盘
[00:08:29] 光盘上一节课的时候
[00:08:30] 大家看到我访问它可能是有秒级的延迟的
[00:08:33] 他要转
[00:08:34] 那这性能肯定是不能接受的
[00:08:37] 然后操作系统会把那些热的数据
[00:08:38] 会放到操作系统内核的缓存里面
[00:08:41] 这这个性能不会特别差
[00:08:43] 但是呃如果你有几百万个文件的话
[00:08:46] 你还是觉得不应该用这么暴力的方法来查询它
[00:08:51] 那有什么办法呢
[00:08:53] 如果一个文件系统改了
[00:08:55] 你应该能够接收到这样的事件
[00:08:58] 然后接收到这样的事件
[00:08:59] 你直接处理就行了
[00:09:01] 那你不需要去一次一次的查询
[00:09:03] 整个文件系统里面的呃时间
[00:09:05] 所以这也是操作系统给你提供的一个机制
[00:09:09] 如果你慢7i notify的话
[00:09:11] 你会看到有一些有有两个很重要的系统
[00:09:14] 但有一个叫ui notify in it
[00:09:16] It
[00:09:16] 一个叫i notify at watch
[00:09:17] 也就是说现代操作系统
[00:09:19] 它它已经充分的考虑了
[00:09:21] 你想要对文件系统要的一切的呃呃需求
[00:09:26] 然后你看他就是他提供了一个机制
[00:09:28] 去monitoring fire system events
[00:09:30] 当然呃在我们现在这个版本答案肯定是呃
[00:09:34] 肯定是打开一个coding agent
[00:09:37] 直接让它呃运行命令
[00:09:41] 直接让他解析
[00:09:42] 然后他可以他可以直接读
[00:09:44] 所以你看上课我我也不用上课了
[00:09:46] 我就上课的时候把这个念一遍
[00:09:48] 还有几个
[00:09:50] 返回identify会返回一个文件描述符
[00:09:53] 注意你看操作系统里面LINUX
[00:09:55] 尤其是LINUX的设计
[00:09:56] 所有东西都是用文件描述符实现的
[00:09:58] 然后你你这是一个文件描述符
[00:09:59] 就意味着你可以用一炮
[00:10:01] 用select这些系统内容去监听它
[00:10:03] 你可以同时持有好多INOTIFY的
[00:10:05] 这样的文件描述符
[00:10:06] 然任何只要任何一个有更新
[00:10:08] 你都可以
[00:10:09] 你就可以知道
[00:10:10] 然后你有identify in it
[00:10:11] Identify
[00:10:12] what ADD watch和identify
[00:10:14] Remove watch
[00:10:15] 然后你你每次当文件系统
[00:10:18] 你关心的事件来了以后
[00:10:19] 就会得到一个这样的呃事件的数据结构
[00:10:23] 当然它是不递归的
[00:10:24] 它是它是不递归的
[00:10:25] OK好它还有一些使用场景
[00:10:28] 文件管理器的自动刷新
[00:10:30] 你们的文件管理器在文件改过以后
[00:10:34] 比如说你新建了一个文件
[00:10:35] 它会自动刷新
[00:10:37] 这其实就需要一个监控
[00:10:38] 文件管理器
[00:10:39] 不是唯一的修改这个文件的入口
[00:10:42] 你可以在一个终端里面
[00:10:43] 甚至是别人S让你的机器上
[00:10:45] 然后你就在那个desktop上面touch一个文件
[00:10:48] 然后你的文件管理器
[00:10:49] 现在打开了那个desktop的时候
[00:10:50] 你应该能够正确的把这个文件系统的变化
[00:10:54] 反映到你的呃你这边
[00:10:56] 所以如果这个文件系统支持这个INOI
[00:10:58] notify的话
[00:10:59] 那啊OK你就可以就可以得到这样的更新
[00:11:04] 然后再比如说编辑器的自动重载
[00:11:06] VSCODE也会用这样的特性
[00:11:08] 然后system d监控单元文件的变化
[00:11:11] tail杠F等待文件写入
[00:11:13] 你看他他的这个总结就总结得非常非常到位
[00:11:18] 然后我也给大家准备了这样的一个小的
[00:11:22] watchdog的程序
[00:11:23] 这是一个Python的脚本
[00:11:25] 你就刚才你知道这是一个low level的系统调用
[00:11:28] 然后系统调用可以可以把返回一个文件描述符
[00:11:31] 允许你你监听文件系统内的呃变化
[00:11:35] 你可以用Python来实现它
[00:11:36] 然后它有一个很好的封装
[00:11:38] 比如说有一个event handler
[00:11:41] 这这不是我写的
[00:11:42] 这就就直接我web code了
[00:11:44] 呃这样的一个东西
[00:11:45] 然后呃他应该是能够正常工作的
[00:11:48] 比如说还有一个tmux对吧好
[00:11:51] 我在这里可以watch
[00:11:54] 这是一个recursive的watch watch好
[00:11:57] 我创建一个目录
[00:11:58] 当我创建一个目录的时候
[00:11:59] 更增删改查的时候
[00:12:00] 你看左边你就
[00:12:02] 然后我在这里直右边执行其他命令的时候
[00:12:04] 是没有没有发生什么变化的
[00:12:06] 然后我可以touch一个
[00:12:07] 比如说A点TXT诶
[00:12:09] 这个时候我touch一点TXT
[00:12:11] 你会发现它的文件系统的变化
[00:12:14] 比你想象的要多一点
[00:12:15] 首先收到了一个created
[00:12:18] 有一个A点txt modify的T
[00:12:21] 也就是说在我创建一个A点TXT的时候
[00:12:24] 我的目录其实也是跟着modify的
[00:12:27] 这是一个你们以前可能没有留意过的
[00:12:30] 过的细节
[00:12:31] 你改一个文件的modify time
[00:12:34] 他的上一集的目录的modify time也会也会修改
[00:12:37] 诶
[00:12:38] 那你就就问
[00:12:38] 如果如果我有好多好多层目录
[00:12:42] 比如说我有我现在有这个122层的目录好
[00:12:51] 如果我在这里touch一个A点TXT
[00:12:54] 那他的上级目录的修改时间改了
[00:12:57] 那他的再上级会不会改呢
[00:12:59] 它会不会一层一层的向上传递呢
[00:13:01] 它不会
[00:13:02] 你看到这里只有T下的一下的二改了
[00:13:06] 然后T1下的一下的2.1点txt open打开了
[00:13:09] 修改了
[00:13:10] 关闭了
[00:13:11] 然后关闭的时候
[00:13:12] 这个modification他们又会
[00:13:14] 或者修改以后
[00:13:15] 那more NO NO modification他们又会改变
[00:13:17] 所以你你看到这里有一个T下的E下的二好
[00:13:22] 这就是呃你可以去监听文件系统的变化
[00:13:26] 没有什么困难的
[00:13:28] 它它就是个很切实的需求
[00:13:30] 然后你操作系统就选择呃提供这样的一个API
[00:13:33] 来还帮助你实现它
[00:13:34] 这这个很好对
[00:13:36] 但如果你回过头来再想一下
[00:13:38] 还记得我上一次上几次课的时候
[00:13:41] 给大家展示过一个还有点小酷的例子
[00:13:44] 你可以在终端里面看到一个所有的系统里面
[00:13:48] 所有的进程执行呃快设备IO的操作
[00:13:53] 我现在不知道哪一个进程执行了这些
[00:13:55] 读或者写或者同步
[00:13:57] 但是但是比如说如果我写一个很大的文件
[00:13:59] 你会看到那个写的那个条就就上来了
[00:14:01] 然后然后如果我读
[00:14:02] 你看到读
[00:14:03] 然后如果我做一个文件系统的同步
[00:14:05] 就是落盘的操作的话
[00:14:06] 你也可以看到这个呃粉红色的
[00:14:09] 落盘的楼盘操作
[00:14:10] 实际上这是很有启发性的
[00:14:13] 刚才我们实现的是文件系统的监控
[00:14:16] 我监控的是什么呢
[00:14:17] 是我在一个目录里面的文件的变化
[00:14:21] 然后其实我们真正想要监控的不只是目录里面
[00:14:27] 文件的变化
[00:14:28] 我们想要监控的其实是整个操作系统
[00:14:30] 这个程序在运行的时候各种状态的变化
[00:14:34] 因为本质上操作系统也是代码啊
[00:14:36] 你你你这样想
[00:14:38] 又回到我
[00:14:39] 我一开始会讲
[00:14:39] Everything is a state machine
[00:14:41] 你你你是写写过这个NEMU的模拟器以后
[00:14:44] 你就想象成我们的操作系统
[00:14:45] 你永远可以这样想象
[00:14:47] 我们操作系统是直接运行在一个
[00:14:50] 你你写的这个NEMU上的
[00:14:52] 然后所有的东西都是代码
[00:14:55] 代码那代码在执行的时候
[00:14:57] 它就可以有函数调用
[00:14:59] 它可以有它结构体的修改
[00:15:01] 所以理论上说
[00:15:02] 你可以用i notify这个机制去得到
[00:15:06] 操作系统里面文件
[00:15:07] 系统里面那个目录树或者什么什么的一个事件
[00:15:11] 理论上说你应该可以得到操作系统里面
[00:15:14] 任何东西改变的事件
[00:15:16] 理论上都是可以的
[00:15:18] 你看我们已经用过很多的trace了
[00:15:20] 我我上课的时候反复反复的在
[00:15:23] 是演示我们在有一个东西我们不知道
[00:15:26] 搞不懂他是怎么做工作的时候
[00:15:28] 我们就去trace它
[00:15:30] trace
[00:15:30] 我们可以把应用程序打开
[00:15:31] 我就知道
[00:15:32] 这个功能到底是用什么操作系统的
[00:15:34] 系统调用直线的呃实现的
[00:15:36] 然后l trace可以告诉你它调用哪些library的call
[00:15:39] i notify告诉你它调用了哪些
[00:15:41] 什么时候调用了文件系统的那个system call
[00:15:44] 实际上你可以把i notify
[00:15:45] 理解成是一种全局的s trace
[00:15:48] 但是它只trace这个什么open
[00:15:51] close
[00:15:52] 还有当然它能modify modify
[00:15:54] 它也能能能trace
[00:15:56] 所以它的本质上都是从这样的一个状态的
[00:15:59] 执行上提取信息
[00:16:00] 包括我刚才给大家看到的
[00:16:03] 这个它的它的程序在这里叫叫bpf trace
[00:16:07] 的一个点点BT内核block IO的生命周期的这种
[00:16:12] 所以你就会想一件事
[00:16:13] 既然它们的本质都是从操作系统内核执行上面
[00:16:16] 提取信息
[00:16:18] 那有我们有没有可能在操作系统里面插入一个
[00:16:22] 由你的代码生成的probe
[00:16:25] 就好比是什么呢
[00:16:26] 你我现在可以写一段代码
[00:16:28] 这是一个很自然的想法
[00:16:29] 因为你想要追踪跟踪操作系统的代码
[00:16:32] 那操作系统比如调用每一个函数的时候
[00:16:34] 假设操作系统调用每一个函数的时候
[00:16:36] 它都会经过你的代码
[00:16:38] 然后你的代码可以知道这个函数调用的名字
[00:16:41] 比如说有function name或者是function的id
[00:16:44] 一个id
[00:16:45] 然后还可以知道它的arguments
[00:16:48] 相当于你对它做一个hooking
[00:16:49] 我们我们之前也给大家讲过hooking
[00:16:51] 我可以用LDPRELOAD做一个hooking
[00:16:53] 然后hooking以后我就可以可以在
[00:16:56] 当然是你是在操作系统上面做的
[00:16:57] 在有一个比如说MALLOC或者free或者print f
[00:17:00] 任何一个库函数调用的时候
[00:17:02] 我都可以劫持他
[00:17:03] 并且我知道调用哪个函数
[00:17:05] 你用的参数是什么
[00:17:06] 然后我可以假装这个函数是这个这个行为
[00:17:09] 我做了一个变速齿轮
[00:17:10] 那我可以调调整这个进程对时间的感知
[00:17:13] 那为什么不能我手写一段代码
[00:17:16] 然后这个代码被插入到操作系统内核里
[00:17:19] 然后操作系统内核的每一个函数在执行的时候
[00:17:21] 我都去运行一下这个代码诶
[00:17:23] 那我不就理论上说我我就不需要i notify
[00:17:26] 这个系统调用了
[00:17:27] 我只要写这个代码就可以了
[00:17:29] 只要写写个代码
[00:17:30] 我追踪的是文件系统里面的那个和修改
[00:17:34] 相关的函数
[00:17:35] 然后在那个函数来的时候
[00:17:36] 我可能往一个队列里面放一个信息
[00:17:38] 哎恭喜你
[00:17:39] 就发明了一个非常现在非常火热的机制
[00:17:41] 叫做呃EBBF叫extended berkeley
[00:17:45] Por filter
[00:17:46] 你你听他的名字就知道它是干什么用的呢
[00:17:48] 它是在网网络子系统上用的
[00:17:50] 因为网络是这个世界上速度最快的设备之一
[00:17:54] 而且很有意思的是所有的IO比如说LINUX
[00:17:57] 哎我们现在讲IO的时候
[00:17:58] 比如说说快设备是block read block right
[00:18:00] 然后的操
[00:18:01] 然后你你的应用层你可以用read write系统
[00:18:04] 然后用MP去访问IO
[00:18:06] 但是这些操作对网卡通通不适用
[00:18:10] 你们不用read write
[00:18:12] 不用map去访问你们的网卡
[00:18:14] 因为网卡来包的速度实在是太快了
[00:18:17] 如果你们到数据中心的网卡上面
[00:18:19] 你会看到那个
[00:18:19] 如果你你你看一下那个PACCOUNT的话
[00:18:22] 你你甚至会觉得那个64位整数都可能
[00:18:25] 快要溢出的那种那种感觉
[00:18:27] 一个几百g b prep per second
[00:18:30] 而且那个带宽一般能用满的
[00:18:32] 数据中心的一个服务器
[00:18:33] 然后不停的在向操作系统内核发送中断
[00:18:36] 你需要所有的CPU
[00:18:38] 可能几十个CPU一起响应这个终端
[00:18:41] 你才能响应的
[00:18:43] 响应的过来
[00:18:44] 然后最终所有的IO设备
[00:18:45] 也都活成了网卡的样子
[00:18:46] 所以LINUX现在有个叫I/O u r wind的机制
[00:18:49] 然后他就是网卡的一个rain buffer设计
[00:18:51] 当然这个不是我要我要上课要讲
[00:18:53] 你们也不需要知道
[00:18:54] 有兴趣的同学你们可以回去回去了解一下
[00:18:57] 我我想我想说的是
[00:19:00] 为了适应这样网络的高性能设备
[00:19:04] 并且呢你还想要有一些定制
[00:19:06] 比如说你有一个防火墙
[00:19:08] 然后这个防火墙想要把来自某一个IP地址的
[00:19:13] 或者某一段IP地址
[00:19:14] 所有的请求都扔掉
[00:19:15] 那你你有一种办法是等到这个包到了用户空间
[00:19:20] 你再执行一段代码再返回去告诉内核
[00:19:22] 但是这样的这个contact switch的开销就太大了
[00:19:25] 所以你这这就是个非常自然的想法
[00:19:27] 我能不能写一小段代码
[00:19:29] 一段很简单的代码
[00:19:30] 因为一般就是一个判断一个IP地址什么的
[00:19:33] 然后把这个代码就写到内核里
[00:19:35] 然后写到内核礼盒代码
[00:19:36] 内核代码每次执行到收到一个呃packet的时候
[00:19:40] 都可以去执行一下这段代码
[00:19:42] 这个代码就会决定这个包是要留下来
[00:19:44] 还是要扔掉
[00:19:45] 就这样一个想法
[00:19:46] 如果再扩展一下
[00:19:47] 你可以在一些hook points
[00:19:49] 在一些点上面啊来运行
[00:19:53] 然后来来至少可以做一些做一些信息
[00:19:55] 然后你就发明了这个非常有名的呃机制
[00:19:59] 这是一个就EPF
[00:20:01] 它也也是一个虚拟机
[00:20:02] 也是一个虚拟机
[00:20:03] 当然呃最后它还是编译成你本地的那个
[00:20:06] 体系结构的代码来来执行
[00:20:08] 然后它是一个risk like的指令集
[00:20:11] 然后它有11个寄存器
[00:20:13] R0是返回值
[00:20:14] 然后在在每一次函数调用的时候
[00:20:17] 每个prom的入口R1
[00:20:19] 都会指向你的一个context的结构体
[00:20:21] 就包含这个就是说函数参数这些
[00:20:24] function name这些对
[00:20:26] 然后本身这个虚拟机就是一个
[00:20:28] 和你们写NEMU那个小的小的指令集
[00:20:30] 是一样的
[00:20:31] 但是它有一条非常特殊的指令叫BP f call helper
[00:20:35] 它可以调用一个内核相关的给你实现的函数
[00:20:39] 比如说有个叫BP f get current p i d t g i d
[00:20:42] 还可以去询问当前的这个PIDTGID
[00:20:46] 然后他还可以去做
[00:20:48] buffer的BPF的一个map
[00:20:49] Look up parliament
[00:20:50] 如果啊你这个代码能够随意修改内核内存
[00:20:54] 就很危险
[00:20:55] 最好你的这个东西是只读的
[00:20:57] 然后其实BPF有个非常严格的验证器
[00:21:00] 它只允许bounded的execution
[00:21:02] 就是你你是不能有那种unbounded的循环的
[00:21:04] 然后如果你有AMOUND循环
[00:21:05] 他会拒绝
[00:21:07] 所以你你你是没有办法在BPF里面
[00:21:09] 实现自己的数据结构的
[00:21:10] 如果你想要记录
[00:21:11] 比如说想要想数
[00:21:13] 比如说这个函数调用了多少次
[00:21:14] 你就需要借助它的这个map的机制
[00:21:17] 相当于它给你预实现好的一个数据结构
[00:21:20] 然后有了这个
[00:21:21] 你就可以去读读我们上一次的那个BIO
[00:21:24] trace的这个了哈
[00:21:26] 你看他就是一个trace point
[00:21:28] trace point的block的block
[00:21:30] request的insert
[00:21:31] 当然这个比较简单
[00:21:32] 就是就是直接直接打印
[00:21:34] 然后打印也是相当于是打印到一个buffer里的
[00:21:37] 然后这个buffer最终用户它是可以
[00:21:39] 可以看到的对
[00:21:41] 然后你你们有兴趣的话也可以
[00:21:43] 这个你可以让他呃帮你解释一下
[00:21:47] 这个EBPF程序是怎么工作的
[00:21:50] OK啊没没没关系
[00:21:52] 这个你们可以问他任何东西
[00:21:54] 然后他就会给你给你
[00:21:56] 你想要的解答
[00:21:57] 比如说EBPF是
[00:21:59] EBF是怎么工作的
[00:22:00] 你你完全可以问他
[00:22:03] Ok anyway
[00:22:04] 但他确实解释的
[00:22:05] 解释的解释比我要正经一点
[00:22:08] 我会给给一个呃更好的动机
[00:22:11] 我们想要把s trace
[00:22:12] 想把notify搬到内核里
[00:22:14] 实现一个任何东西的s s trace
[00:22:17] 那那我们可以这样想
[00:22:18] 然后然后当然如果更呃更加严谨的来讲的话
[00:22:22] 比如说呃EPPF我会写一段C代码
[00:22:25] 然后会也会编译成一个EBBF的字节码
[00:22:28] 然后调用一个BP f system call
[00:22:30] 对这是一个很重要的
[00:22:31] 它它它需要你需要一个系统调用
[00:22:33] 来把代码注入到内核里
[00:22:35] 然后启动
[00:22:36] 然后然后在内核里面他会做verify的静态静定
[00:22:39] 静态检查
[00:22:39] 我刚才说你你不能用BPF的程序干
[00:22:42] 干坏事
[00:22:43] 然后还有个优化的编译器
[00:22:44] 会编译成你自己的指令集上的指令
[00:22:47] 然后呃它就变成了一个hook
[00:22:49] 就勾住了一些关键的hook point
[00:22:51] 然后有一些细节你可以继续追问
[00:22:54] 关于你你感兴趣的任何的细节
[00:22:58] 当然了呃这种东西也是有bug的
[00:23:00] 我们在生我们在生产环境中遇见了它的bug
[00:23:04] 然后大家有兴趣的同学可以去看一下
[00:23:05] 我的学生写的写的blog
[00:23:07] 就就是我们大概是是我们写了一个BE
[00:23:10] BPF的prom
[00:23:10] 然后里面有个print f
[00:23:12] 然后呃我在前面加一个循环
[00:23:15] 然后那个print f就不执行了
[00:23:17] 但你可以百百分百确信的是
[00:23:19] 根据他的语义
[00:23:20] 这个平台不是要执行的
[00:23:21] 就他被该优化的编译器
[00:23:23] 不知道为什么给这个优化掉了
[00:23:25] optimize out
