[00:00:00] 今天我们继续讲并发编程里面的呃同步
[00:03:34] 我们上节课也讲了
[00:03:36] 有一个这很重要的计算模型
[00:03:39] 叫做计算图
[00:03:41] 我们说在在这里有一个有向无环图
[00:03:44] 然后每一个节点上面都有一个计算
[00:03:47] 那么我为了执行这个计算呢
[00:03:49] 我就首先需要一些别人算出来的结果
[00:03:52] 所以我可能会等待一些线程
[00:03:55] 其他的计算算出来的结果
[00:03:57] 然后因为我这个计算算出来
[00:03:58] 结果也可能会被别人用
[00:04:00] 所以诶别人也可能会依赖依赖我
[00:04:03] 所以每一个节点就是这样的一个计算
[00:04:05] 它形成了有效无环图
[00:04:07] 原则上你可以按照拓扑排序的顺序去去计算
[00:04:09] 他们就是啊就是正确的
[00:04:11] 你可以想想象呃一个任何一种计算
[00:04:15] 你的呃程序里面的数据流
[00:04:17] 你你这个变量要读另外一个变量的值
[00:04:20] 它就会会形成一个这样的变
[00:04:22] 然后你在make fire里面写
[00:04:24] 比如说我要一个点O需要点C
[00:04:26] 然后那个A点ELS需要点O的时候
[00:04:28] 它也有一个这样的计算图的呃关系
[00:04:31] 而两个节点如果之间没有这种依赖的关系
[00:04:36] 比如说这里有一个X
[00:04:37] 有一个Y
[00:04:38] 这两个节点之间没有这种互相依赖的关系
[00:04:41] 他们就可以并行执行
[00:04:43] 假设他们在访问共享内存的时候是啊是正确的
[00:04:46] 然后我们也用条件变量来实现了这个同步
[00:04:49] 计算图的同步
[00:04:50] 大家还记得我们可以看到
[00:04:52] 比如说第一个节点
[00:04:53] 然后它先执行了
[00:04:54] 执行完以后
[00:04:55] 你看到234
[00:04:56] 它可以同时那个print f几乎同时打印
[00:04:59] 出来的确实能够实现
[00:05:01] 按照顺序来来来执行好
[00:05:04] 那呃回过头来
[00:05:06] 回过头来想我
[00:05:07] 我们当时是是怎么解决呃这个这个同步问题的
[00:05:12] 我们我们有一个有一个方法是说对于每一条边
[00:05:17] 我们都有一个同步条件
[00:05:19] 我我这个X要能计算
[00:05:22] 我首先要等到这条边计算完成
[00:05:25] 这叫一一
[00:05:26] 我可以写这样的一个循环
[00:05:27] 说while ne1down
[00:05:31] 我就等待
[00:05:33] 然后对于这个E2
[00:05:34] 我再写一个
[00:05:35] While not e2 done
[00:05:39] 我就等待
[00:05:39] 当然你需要用刚才那个条件变量的那个写法
[00:05:42] 要上上互斥锁
[00:05:43] 然后在中间如果条件不满足的时候
[00:05:47] 我我需要
[00:05:48] 肯定是weight
[00:05:48] 但你其实就是等这个同步条件
[00:05:50] 我需要等到E1的这这件事情做完了
[00:05:53] 一二做完了
[00:05:53] E3做完了
[00:05:54] 所有我依赖的东西都做完了
[00:05:56] 我才能呃我我我才能继续
[00:05:59] 这样我我就可以
[00:06:00] 这就就这这其实就是它的呃同步可同步条件
[00:06:04] 它可以执行的执行的条件
[00:06:06] 然后我们也也可以把它简化成
[00:06:09] 这个我去数
[00:06:11] 我我去数数
[00:06:12] 我
[00:06:12] 我用一个计数器来表示我有多少个前驱节点
[00:06:15] 算完了
[00:06:16] 然后我每当这个E1算完的时候就把它加一
[00:06:18] 然后一二算完了
[00:06:19] 加1+1加一
[00:06:20] 这样我就可以不用写一个
[00:06:21] 写一个好多层的这样的条件变量的
[00:06:24] 这个循环而是我可以直接
[00:06:26] 直接done
[00:06:28] 只要只要比如说down不等于四
[00:06:30] 我我现在这个节点我就需要不断的等待好
[00:06:33] 这是
[00:06:34] 这个是大家可以可以理解的
[00:06:36] 然后嗯有同学
[00:06:39] 有聪明的同学就会想到
[00:06:41] 既然啊我是说我我要X要等AX要等于A
[00:06:48] 那我有没有可能
[00:06:49] 可能呃用一把互斥锁
[00:06:51] 一开始呢这个互斥锁是属于相当于我
[00:06:56] 我我把这个互斥锁先上了
[00:06:58] 上了以后我让这个这里这里这里有个E1的锁
[00:07:03] 然后我让X去acquire
[00:07:07] E1这把锁诶
[00:07:10] 那我我现在比如说X我现在要要要计算
[00:07:12] 他现在快E1E1
[00:07:14] 现在
[00:07:15] 如
[00:07:15] 如果整个计算图里面没有任何节点
[00:07:17] 开始计算的话
[00:07:18] 那应该这把锁它是它它得不到
[00:07:20] 得不到他就不能继续
[00:07:22] 那我们能不能在A里
[00:07:24] 比如说A算完了以后
[00:07:26] A算完以后release
[00:07:31] 哎这样不就是这个acquire就可以
[00:07:34] happen after这个release吗
[00:07:36] release一定是happen before quired的
[00:07:38] 我先要把A算完
[00:07:40] 然后我我才把这把锁释放掉
[00:07:42] 然后X就可以把这把锁锁拿到
[00:07:44] 然后这是什么意思呢
[00:07:45] 呃我还记得我说什么是互斥锁
[00:07:47] 小跳了一节课
[00:07:49] 护士锁就是你们在桌上放一个钥匙
[00:07:51] 比如说你们可以
[00:07:52] OK假设假设这个东西就是钥匙
[00:07:54] 那个cloud code的这个小小小玩具
[00:07:57] 然后呢那呃互斥锁互斥锁
[00:08:00] 你你必须说我现在放在桌上
[00:08:01] 这个这个小玩具放在桌上
[00:08:03] 然后放在桌上以后
[00:08:04] 你必须要得到这个玩具
[00:08:06] 你才能继续执行
[00:08:07] 所以我就一开始他他想干这样一件事
[00:08:10] 我们现在main函数上面执行
[00:08:12] 每对每一条边
[00:08:13] 我先把这个锁给给lock了
[00:08:14] 把这个锁lock以后
[00:08:16] 相当于我的内涵main线程
[00:08:17] 主线程在所有的这些worker开始执行之前
[00:08:21] 我先把所有的这个这个锁都没收了
[00:08:23] 这个玩具先没收了
[00:08:25] 桌子在main上面
[00:08:26] 执行也快
[00:08:28] 然后呢我的线程每个计算的线程
[00:08:31] 比如说说我现在呃这个X节点需要E1这条边
[00:08:35] 等一一这条边执行完
[00:08:37] 那他要等E1这条边执行完
[00:08:38] 我就会去试图acquire这把锁
[00:08:41] 但是呢这把锁不是由虽然是由main函数上的
[00:08:45] 但是却是由这个A这个把E11这条边
[00:08:50] 什么时候算完呢
[00:08:50] A去执行release的
[00:08:52] 所以相当于是A算完以后
[00:08:55] 就会执行一个unlock release
[00:08:56] 会把这个这个玩具还回来
[00:08:58] 然后这样X就可以再把这个玩具给拿走
[00:09:02] 就形成了呃正确的同步
[00:09:05] 所以所以虽然啊我我我前面说上节课的时候
[00:09:08] 我讲说互斥锁不能用来同步
[00:09:10] 这个这是有前提的
[00:09:12] 这个前提假设是我的互斥锁
[00:09:14] 是在一个县城上配对的是吧
[00:09:15] 我在这个县城上上锁
[00:09:16] 然后在同一个线程上解锁
[00:09:18] 那我我我的顺序顺序确实是不能控制的
[00:09:21] 但如果你想到一个非常聪明的办法
[00:09:25] 理论上说这其实是这好像是可以的
[00:09:27] 因为确实呃我们说锁的这个含义
[00:09:30] 就是就是说我有一个呃一个钥匙
[00:09:33] 一个任何一种token
[00:09:34] 那代表你你拿到它
[00:09:35] 你就可以可以可以继续了
[00:09:37] 可以通过跨越现成的这样的
[00:09:41] token的传递来实现
[00:09:43] happen before
[00:09:44] 当然啊当然我要我有一个额外的解释是
[00:09:48] 虽然啊虽然我们有一个代码
[00:09:49] 真的可以实现这样的计算图
[00:09:53] 在这里一模一样的代码
[00:09:55] 只不过我现在现在不需要
[00:09:58] 用什么计数器去数
[00:10:00] 我有多少个predecessor已经结束了
[00:10:02] 然后我也不需要在每一个这个边上
[00:10:05] 或者是怎么样设置一个条件变量
[00:10:07] 我只需要在每呃每一条边上放一个护士所在
[00:10:12] main函数里面
[00:10:13] 首先把所有的这个锁都acquire了
[00:10:15] 相当于先把所有的玩具都没收了
[00:10:17] 然后没收以后我再创建若干个worker
[00:10:20] 每一个worker他都会看有没有指向自己的边
[00:10:25] 如果有一条指向自己的边
[00:10:26] 他就会试图去获得这把锁
[00:10:29] 当然如果如果没有入编的节点
[00:10:33] 没有入边节点天生就有这个循环
[00:10:35] 就是空循环
[00:10:36] 就因为没有入编
[00:10:38] 所以这个26行的条件永远都不会达到
[00:10:40] 他就不会不会执行任何music log
[00:10:42] 所以没有入编的节点
[00:10:43] 它就直接会会直接到32行开始开始做计算
[00:10:46] 但是任何如果有任何有入编的节点
[00:10:49] 它都它都需要在这呃acquire log
[00:10:51] 然后如果假设那些没有入编的节点
[00:10:53] 都运行的比较时间比较长的话
[00:10:54] 它一开始就会等待
[00:10:56] 然后等待等待完了
[00:10:57] 直到比如说没有入编的第一个A这个节点
[00:10:59] 它算完了
[00:11:00] 算完以后就会把所有它的出边出边上面的
[00:11:06] 这个锁全部都给释放掉
[00:11:08] 然后释放掉以后X
[00:11:10] 这样X就可以继续继续执行了
[00:11:13] 这样然后你如果真的编译运行它的话
[00:11:15] 呃是是可以看到他确实实现了正确的效果的
[00:11:21] 和和之前的演示是一样的
[00:11:24] 零然后123同时出
[00:11:27] 四五
[00:11:28] 然后complete
[00:11:29] 所以这个这个代码虽然
[00:11:32] 虽然逻辑上是正确的
[00:11:34] 但是呢呃我们的线程库其实不允许干这件事的
[00:11:37] 这其实是一个undefined behavior
[00:11:39] 他他要求你的你的上锁acquire和release
[00:11:42] 是是发生必须发生在同一个线程的
[00:11:46] 因为它里面有很多fast pass的优化
[00:11:48] 然后这个优化会假设你你由同一个线程的
[00:11:51] QUI和release
[00:11:51] 它实际上是undefined的
[00:11:53] 就我刚才那个代码
[00:11:54] 实际上是一个undefined behavior
[00:11:55] 所以呃你你你不能在实际代码中
[00:11:59] 用互斥锁干这件事
[00:12:00] 但是我今天会讲一个同步机制叫信号量
[00:12:02] 那你你就可以用信号量来来来做件事好
[00:12:07] 然后呢我们再再回过头来
[00:12:10] 看一下
[00:12:11] 刚才我们的这个非常神奇的小操作
[00:12:14] 这个操作是呃release acquire
[00:12:17] 天然实现了happens before
[00:12:19] 相当于我我我执行release的线程
[00:12:21] 会把这个玩具或者这个钥匙藏在
[00:12:24] 藏在自己的手里
[00:12:25] 然后只有只有我release的那一瞬间
[00:12:28] 我才把它放回到桌上
[00:12:29] 放回到桌上以后
[00:12:30] 那么就有一个quire的线程
[00:12:32] 它就可以把这个玩具玩玩玩具给拿走
[00:12:35] 所以所以你看到这里
[00:12:37] 如果我们用呃条件变量去实现护士所的话
[00:12:42] 就是这样的
[00:12:43] 我们有一个玩具
[00:12:44] 玩具我要等待的条件是
[00:12:46] 玩具在桌上K等于一
[00:12:48] count玩具的count等于一
[00:12:50] 然后如果如果我我循环出来的时候
[00:12:53] 那我就知道条件满足K1定等于一
[00:12:55] 而K1定等于一
[00:12:56] 我会把这个玩具给收走
[00:12:58] 然后release的时候我就会把这个玩具放回去
[00:13:00] 那么这里的钥匙
[00:13:02] 或者我们也可以给它叫玩具或者叫信号
[00:13:05] 那么这个信号钥匙就可以理解成
[00:13:08] 现实生活中的一个进入的呃凭证
[00:13:11] 有很多真实世界当中的场景都是都是这样
[00:13:15] 凭凭票或者凭证进入的
[00:13:17] 一个最典型的场景就是停车场开车
[00:13:20] 经过停车场的时候
[00:13:22] 你会看到看到这样的呃
[00:13:25] 内部停车场余位二
[00:13:26] 所以我我我不止
[00:13:27] 我今天不只带了一个
[00:13:29] 我今天带了带了带了好几个
[00:13:30] 相当于你如果你在停车场里面有四个车位的话
[00:13:34] 那额就相当于是停车场的
[00:13:37] 管理员呢他的门口
[00:13:39] 虽然这是这是在计算机里面用计数器来实现的
[00:13:42] 它如果你有四个车位的话
[00:13:43] 它它相当于有四个玩具
[00:13:45] 一模一模一样的玩具
[00:13:46] 然后你你必须要得到一个玩具
[00:13:48] 或者得到一把钥匙
[00:13:49] 你才能才能进停车场
[00:13:51] 那如果你车开过来的话
[00:13:52] 如果还有你就你就要进来
[00:13:54] 你就会拿走一个
[00:13:55] 然后当你所有的车
[00:13:57] 比如说有四辆车来了
[00:13:58] 一人一辆车拿走一个玩具以后
[00:14:00] 你桌上就没有玩具了
[00:14:02] 没有玩具呢
[00:14:03] 再来的车就需要等待
[00:14:05] 这是一个进入凭证
[00:14:07] 所以这个进入凭证可以不只是一个
[00:14:09] 我可以有一个
[00:14:10] 但为什么不能有有若干个呢
[00:14:12] 呃比如说我们的游泳馆
[00:14:14] 也是这样的模型
[00:14:15] 虽然游泳馆的模型还不太一样
[00:14:17] 你呃你去你去游泳馆
[00:14:20] 登记他会发给你一个手环
[00:14:22] 然后这个手环其实就和这个玩具是是类似的
[00:14:26] 你有一个共享的游泳池
[00:14:28] 游泳馆的管理员不
[00:14:30] 不管你在游泳池的哪里游
[00:14:32] 这是一个shared memory共享的空间
[00:14:34] 呃但是你你如果想要进入游泳池的话
[00:14:38] 你就必须要要拿到一个手环才能进它
[00:14:42] 当然这个手环是对应了一个更衣室的
[00:14:44] 柜子你必须要有手环才能
[00:14:47] 进入你的游游泳区
[00:14:50] 然后否则的话你就要排队
[00:14:52] 如果他的手环全部都给完了
[00:14:53] 你就需要等到游泳池里面有一个人出来
[00:14:56] 他全部弄好了就出来了
[00:14:58] 还把这个玩具还给管理员
[00:15:00] 这个管理员才能把那个手环啊交给你
[00:15:03] 类似的这个餐厅也会的
[00:15:04] 你们进进餐厅要吃饭
[00:15:07] 到高峰期的时候
[00:15:08] 他就会排队让你取号
[00:15:10] 你如果如果你去的时候里面没什么人
[00:15:13] 他就会直接给你安排一个座位
[00:15:14] 但是如果你去的时候里面已经坐满了
[00:15:16] 你就需要取号
[00:15:18] 所以允许我们的一把锁
[00:15:22] 一个互斥锁
[00:15:23] 上面有有多把钥匙
[00:15:25] 其实是一个还是对我们来说还是很自然的
[00:15:28] 非常自然的一个呃一一个想法
[00:15:31] 所以我们可以把这个互斥锁扩展一下
[00:15:34] 我还可以叫acquire
[00:15:35] 还可以叫release或者叫lock或者unlock
[00:15:38] 然后我lock的羽翼就就从这样的一个
[00:15:42] 我要看玩具在不在
[00:15:44] 有没有一个玩具
[00:15:45] 如果有
[00:15:45] 我就要把它把它拿走
[00:15:47] 变成我
[00:15:48] 我要检查的条件是我玩具是不是大于零个
[00:15:52] 只要有只要有钥匙
[00:15:54] 只要有玩具
[00:15:54] 只要有钥匙
[00:15:55] 我就可以拿一个钥匙进
[00:15:58] 只要我的呃游泳池还能容纳得下
[00:16:00] 我就可以拿一个手环镜
[00:16:02] 只要我停车场里面还有空位
[00:16:03] 我就可以开进去
[00:16:04] 然后只要餐厅还有空桌子
[00:16:06] 我就可以可以进
[00:16:07] 但我进了以后
[00:16:08] 我就会把这个空余的空间
[00:16:10] 相当于呃减一
[00:16:11] 然后然后我我同样也可以对应的实现一个
[00:16:14] unlock或者呃release
[00:16:17] 我就是把把这个我手上一个玩具给还回去
[00:16:21] 相当于呃玩具加价
[00:16:23] 所以就是因为呃我们现实中啊有停车场
[00:16:26] 游泳馆
[00:16:26] 餐厅这样的呃技术管理资源的东西
[00:16:31] 所以DASHA就发明了这样的一个叫叫信号量的
[00:16:36] 呃机制
[00:16:36] 所以你们你们就从这条路线
[00:16:38] 你就可以发明呃
[00:16:40] 你你从从刚才一个说
[00:16:42] 我我在任何一个县城都可以呃release
[00:16:45] 然后让另外一个县城给拿到
[00:16:47] 这样来实现happen before
[00:16:49] 然后你也可以通过扩展这个互斥锁的定义
[00:16:53] 互斥锁的定义
[00:16:54] 然后来来发明这样的一个
[00:16:56] 就是这样的一个呃同步的工具
[00:17:00] 一模一样的
[00:17:01] while count
[00:17:03] 不是count大于零
[00:17:04] 我要等待
[00:17:05] 然后会count减减
[00:17:07] release是count下架
[00:17:09] 然后呃呃它在有些我们有的时候
[00:17:13] 嗯嗯比如说你们去考研的话
[00:17:16] 也会用到这个平行PV操作
[00:17:18] P是他的这个荷兰语的
[00:17:20] P和V是荷兰语的
[00:17:22] 当时他发明的时候选的选的单词
[00:17:25] 但是呃它们的含义其实就是acquire
[00:17:28] 或者try and decrease
[00:17:31] 或者是down或者wait
[00:17:33] 这样的含义都是都是类似的
[00:17:36] 呃P是try and decrease
[00:17:39] 这就是try and decrease
[00:17:40] while我的同步条件不达成
[00:17:42] 我要减一
[00:17:43] 然后V1是increase up post signal release
[00:17:48] CTRL加加它是同样的意思
[00:17:51] 一个对应的是拿走一把钥匙
[00:17:54] 吃掉一个车位
[00:17:55] 我觉得可以可以这样形象一点讲
[00:17:58] 然后另一个对应的是放回一把钥匙
[00:18:00] 或者变出一个车位
[00:18:00] 这样他我就可以管理这个呃任何一种技术型的
[00:18:04] 呃这样的呃资源
[00:18:07] 当然呃我这里有一个补充
[00:18:09] 要要说的就是呃信号量
[00:18:11] 如果你用条件变量就直接这么写的话
[00:18:14] 我就可以确保
[00:18:15] 我就可以确保我们的信号量里面有一个count
[00:18:19] 然后初始的时候你可以给它设任何任何的值
[00:18:22] 甚至你也可以给它设置零
[00:18:23] 比如说我现在count刚才那个那个例子
[00:18:25] 我说我count等于四
[00:18:26] 我手上有有四把呃四把钥匙
[00:18:30] 那么呃T1T2T3T4T五
[00:18:34] 那么如果比如说啊T1得到T1
[00:18:36] 现在现在P1或者T1T2T3T4
[00:18:40] 执行P操作
[00:18:41] 去对这个信号量执行P操作
[00:18:43] P操作相当于是try and decrease
[00:18:45] 我要看这个count是不是大于零
[00:18:47] 那就我前四个我都可以看到
[00:18:49] 第一个看到4321
[00:18:51] 所以所以我相当于我这四个四个P
[00:18:54] 都是可以成功的
[00:18:55] 所以它呃执行完这四个P操作以后
[00:18:59] com就会减到零
[00:19:00] 然后这个时候
[00:19:01] 如果第五个线程再执行P操作的话
[00:19:03] 它就进不来了
[00:19:04] 就相当于游泳池总共有四个容量
[00:19:07] 那我可以容纳四个线程进
[00:19:09] 这四个线程都是返回的
[00:19:10] 但是这个P就必须要等待
[00:19:12] 然后直到比如说第二个线程
[00:19:15] 现在执行一个V操作
[00:19:16] 他执行他的这段时间有他游泳游完了
[00:19:20] 他执行一个V操作
[00:19:21] 那这个V它会相应的count加一
[00:19:25] 它就count又变为执行V操作以后
[00:19:27] count又变回一
[00:19:28] 但是因为这里有一个T5的线程
[00:19:30] 不停的在等待
[00:19:32] 所以呃所以这个这个时候
[00:19:36] 这个P就会T5
[00:19:39] 就会从这个V之后开始开始执行
[00:19:42] 但这时候count应该还是零
[00:19:43] 直到比如说所有的人都都结束
[00:19:46] 然后都执行V操作以后
[00:19:47] count就会回到最后回到回到四
[00:19:50] 这跟我们的停车场游泳池是
[00:19:52] 是完全一样的模型
[00:19:54] 但这里有一个
[00:19:55] 我要呃我要补充解释的就是这个信号量
[00:19:59] 它只管入口
[00:20:01] 相当于我只管你能不能进停车场
[00:20:03] 你能不能进游泳池
[00:20:04] 然后进了停车场
[00:20:06] 打个比方
[00:20:06] 你进了停车场
[00:20:07] 你要找车位
[00:20:08] 然后你进了停车场以后找车位
[00:20:09] 你还是在共享的空间里面
[00:20:12] 两个独立的线程在操作的
[00:20:14] 比如说你你你想要得到
[00:20:17] 就你真的真的用呃县城去模拟停车场的话
[00:20:20] 你你还是得每一个县城最终会对
[00:20:24] 他先执行P它就相当于P返回
[00:20:26] 就意味着我进入停车场了
[00:20:27] 我进入停车场意味着我现在保证
[00:20:31] 因为我那个SERT是count大于大于零
[00:20:35] 我的同步条件是count大于零
[00:20:37] 并且我会把这个count玩具收到我自己的口袋里
[00:20:40] count要减一
[00:20:41] 所以所以因为我search是com大于零
[00:20:43] 而且我我把它减一了
[00:20:44] 所以我可我可以确保的是
[00:20:46] 我在这段时间运行里面
[00:20:48] 至少有一至少有一个车位
[00:20:50] 我至于具体停到哪一个车位上
[00:20:53] 我依然需要合适的方式和其他的线程协商
[00:20:56] 比如说上一把护士锁
[00:20:57] 对他只管停
[00:20:58] 他就是停车场的闸门
[00:20:59] P就是停车场的闸门
[00:21:01] 你你进来你就会嗯剩余的车位数就会减一
[00:21:05] 然后你出去剩余的车位数就会加一
[00:21:07] 但至于你在停车场里面干什么
[00:21:10] 他是他是不负任何责任的
[00:21:11] 所以如果你如果如果你在里面执行了
[00:21:14] 比如说undefined behavior
[00:21:16] 你把这个停车场的整个的内存都craft了
[00:21:19] 都是有可能的
[00:21:20] 所以你依然需要非常谨慎的处理里面的
[00:21:22] 里面的代码对
[00:21:24] 这是这是信号量
[00:21:25] 这信号量
[00:21:26] 所以信号量就是这样的一个
[00:21:29] 跟刚才一模一样的API
[00:21:31] 我可以用更严格严谨的方式来来来写出来
[00:21:36] 我的P操作
[00:21:37] 我有一个semer for
[00:21:39] 有个信号量
[00:21:39] 它对应的是quire或者是try and decrease
[00:21:42] 我会先获得一把互斥锁
[00:21:44] 这是这是万能同步同步的这个呃写法
[00:21:48] 然后如果我的同步条件不达成
[00:21:51] 我就会啊减一消耗一个消耗一个这个东
[00:21:55] 呃就会等待
[00:21:56] 然后如果达成了达成了
[00:21:57] 我就会把这个呃玩具给给拿走
[00:22:00] 然后微操作对应的啊就是一个啊count加加
[00:22:04] 然后然后bro broadcast
[00:22:06] 对这个是非常适合像停车场
[00:22:09] 游泳馆这样的呃应用
[00:22:12] 应应用应用场景的
[00:22:14] 对好
[00:22:17] 那我们来看一看
[00:22:19] 用信号量怎么来实现各种各样的呃同步
[00:22:24] 首先信号量天生就是互斥锁
[00:22:28] 我们说互斥锁是信号量的特例
[00:22:30] 也说信号量是互斥锁的呃扩展
[00:22:34] 为什么呢
[00:22:35] 你初始化一个count是一的信号量
[00:22:39] 就是我我手上有一个玩具
[00:22:41] 你管一会桌上
[00:22:42] 桌上只有只有一把钥匙
[00:22:43] 或者是一个只有一个车位的停车场
[00:22:46] 然后那么只有一个车位的停车场
[00:22:48] 就意味着任何人想要进入任何车
[00:22:51] 想要进这个停车场
[00:22:52] 它也是一样
[00:22:53] 它是P这个sam for
[00:22:55] 或者说是acquire
[00:22:56] 然后那只有一辆车能进
[00:22:59] 谁把谁把这个钥匙拿走了
[00:23:02] 谁就进
[00:23:03] 然后进了以后再有再多的车想要进都进不来了
[00:23:07] 那这就是互斥
[00:23:09] 只有最多只有一个人能进
[00:23:11] Mutual exexclusive
[00:23:12] 然后我如果要要
[00:23:15] 初临界区要unlock
[00:23:17] 要解锁
[00:23:17] 要release
[00:23:18] 我就把这个玩具还回去
[00:23:21] 又变回一
[00:23:21] 那我因为任何时候只有一个人能进
[00:23:23] 所以在任何时候
[00:23:25] 如果lock和unlock是配对的
[00:23:26] 那又只有一个呃一个人能出
[00:23:28] 假设你的代码写的是对的
[00:23:30] 如果你没有一条程序的路径上有一个bug
[00:23:32] 那这个bug上面unlock了两次
[00:23:35] 如果你按了两次
[00:23:36] 这这个就就就不对了
[00:23:38] 然后从此以后
[00:23:39] 你相当于你就变出了一个车位
[00:23:42] 停车场
[00:23:42] 如果你你的那个bug unlock两次
[00:23:44] 相当于你你你违反了停车场只有一个车位的
[00:23:48] 这个我们基本的使用约定
[00:23:50] 而是你你你执行微操作
[00:23:52] 它就可以变出一个车位来
[00:23:53] 那那从此之后都有两辆车可以进入
[00:23:56] 进入进入精神上了
[00:23:57] 但确实是你看我就是这样实现
[00:24:00] 互斥锁的
[00:24:01] 这也是我们说互斥锁是信号量的特例
[00:24:03] 或者说信号量是互斥锁的扩展的
[00:24:06] 这样的原因你理解信号量是互斥锁的
[00:24:10] 扩展就从这里来
[00:24:11] 就这两个代码
[00:24:12] 这是这是用条件变量实现的互斥锁
[00:24:14] 这是用条件变量实现的
[00:24:16] 信号量
[00:24:17] 然后他们确实是这样的一个呃一个扩展关系好
[00:24:22] 这是这是大家容易理解的
[00:24:24] 然后信号量可以怎么用呢
[00:24:26] 信号量因为它的基础模型就是玩具或者钥匙
[00:24:33] 所以它和条件变量的用法其实不太一样
