[00:00:00] 上一节课的时候给大家讲了多处理器编程
[00:02:36] 仍然是可能被中断的
[00:02:38] 依然是可以被中断的
[00:02:39] 然后那就带来麻烦了
[00:02:42] P1和P2
[00:02:43] 不管他们是可能被中断
[00:02:44] 还是真的有两个处理器上运行的
[00:02:46] P1和P2的操作系统内核的部分
[00:02:48] 如果这是同一个文件诶
[00:02:50] 就会出现我们上节课讲的这种1+1
[00:02:53] 123数顺序的这些啊这些问题
[00:02:56] 所以操作系统
[00:02:57] 我们为什么在操作系统课里面讲并发
[00:02:58] 就是因为操作系统是第一个这个非常严肃的
[00:03:02] 大型的真正让人类感到头疼的并发程序
[00:03:05] 所以很多早期的
[00:03:07] 和并发相关的结果都是来自操作系统的
[00:03:10] 研究者
[00:03:11] 所以我们就顺理成章的会在这里讲
[00:03:14] 讲并发好
[00:03:15] 那我们再来讲并发
[00:03:17] 今天我们就来解决上一节课没有解决的
[00:03:19] 那个1+1的问题
[00:03:21] 人家因为你觉得1+1都不能求
[00:03:22] 这实在是太糟糕了
[00:03:23] 呃我们希望在操作系统里面
[00:03:26] 不管是操作系统还是编程语言里
[00:03:27] 都引入一个机制或者一个API
[00:03:30] 就让我们能sum加加
[00:03:32] 所以其实我们想要做的就是在你SAM加加
[00:03:36] 可能你你这是一个sum加加
[00:03:37] 但你可以是几个sum加加
[00:03:39] 或者啊不仅是sum一个变量
[00:03:41] 你还可以把好多个变量
[00:03:43] 比如说更新一个数据结构
[00:03:44] 全部都包裹在一个叫make it work的代码块里
[00:03:48] 然后它就自动make it work了
[00:03:50] 至少我们可以做到的是
[00:03:52] 如果make it work能让这段代码退回到不并发执行
[00:03:57] 也就是说永远我当我两个线程T1和T2
[00:04:01] 我都想执行到这个make it work的时候
[00:04:05] 比如说T1执行到make it work的时候好
[00:04:08] 然后如果T2同时也执行到这里
[00:04:12] 那么他们两个就不能同时
[00:04:15] 因为一旦sum加加同时执行
[00:04:18] 这个就错了
[00:04:19] 我们的处理器就有各种奇怪的行为
[00:04:21] 他就呃让你难以理解了
[00:04:23] 所以我们需要make it work
[00:04:24] 能如果我这个线程执行SAM加加了
[00:04:27] 那这个线程就不能执行SAM加加
[00:04:29] 它至少要一直等到或者以别的方式
[00:04:33] 等到我这个sum加加确实完成了
[00:04:35] 而且这个值真的写到内存里了
[00:04:37] 它才能继续做SAM加加
[00:04:39] 相当于我把本来能够并发或者说并行执行的
[00:04:43] 程序变得不能并发和不能执行
[00:04:45] 这样你就解决1+1的问题了
[00:04:47] 只要你把所有的SAM加加都包裹在make it work里面
[00:04:51] 这个问题就解决了
[00:04:53] 然后恭喜你
[00:04:54] 就发明了一个非常呃有意思的机制
[00:04:57] 从一大概1990年代开始
[00:04:59] 就有人研究叫transactional memory
[00:05:01] 也就是说我们希望有一块那一块代码
[00:05:04] 这块代码可以很长
[00:05:05] 我可以写好长好长
[00:05:06] 比如说更新一个数据结构
[00:05:08] 然后但是我就给他一个叫atomic
[00:05:10] 把它包起来
[00:05:11] 然后包起来以后
[00:05:12] 里面的代码就要么就全部执行完所有的
[00:05:15] 不管你写多少个内存单元
[00:05:16] 比如说我可以写几十个内存单元
[00:05:18] 然后当我退出的时候
[00:05:19] 他就一依次走
[00:05:20] 突然就写进去了
[00:05:21] 要么他就好像什么也没有写一样
[00:05:23] 你你就是要么是or要么是nothing
[00:05:26] 两个二选其一
[00:05:28] 这样就可以正确的实现sum加加
[00:05:30] 因为sum加加实际上有三件三件事情
[00:05:32] 一个是load sum
[00:05:33] 一个是临时变量要加一
[00:05:35] 然后是store上一个读一个改一个写
[00:05:38] 恭喜就发明了transsession memory
[00:05:40] 然后甚至在大概可能2010年左右开始
[00:05:45] 英特尔就开始把两条指令
[00:05:47] 一个叫x begin
[00:05:48] 一个叫x and加到他的指令集里
[00:05:49] 使得他可以写一个x begin
[00:05:52] 然后呃可以写几条指令x and
[00:05:54] 但是呃这个这个机制引发了很多的问题
[00:05:58] 包括安全漏洞在内
[00:06:00] 所以现在你们在你们的消费级的笔记本电脑上
[00:06:03] 已经台式机上已经看不到了
[00:06:04] 但是在呃在服务器上这个这个性特特性依然有
[00:06:08] 然后arm也在也在一段时间里面加入过这个特性
[00:06:11] 但是好像现在他们也不想再
[00:06:13] 在指令集里维护这个了
[00:06:14] 因为这是又是一条可以和所有的指令产生关联
[00:06:17] 指令
[00:06:17] 有点像fork
[00:06:18] 然后给指令集体系结构的实现带来很大的麻烦
[00:06:21] 但这就是我们想要的
[00:06:23] 就是make it work
[00:06:24] 那如果啊如果我先先岔开岔开
[00:06:27] 如果你在一个单处理器系统上
[00:06:30] 并且你是在操作系统内核里
[00:06:32] 如果你要实现刚才那个make it work
[00:06:35] 也就是说我要我现在要做sum加加了
[00:06:37] 或者我现在不是sum加加
[00:06:38] 我现在就把一个数组里面写上123
[00:06:41] 一直到100
[00:06:42] 我要写好多好多内容
[00:06:43] 操作系统内核
[00:06:45] 如果你是操作系统内核代码
[00:06:46] 并且是单处理器的话
[00:06:47] 你就有一个非常简单的方式可以make it work
[00:06:50] 就是把中断关掉
[00:06:52] 你想想如果如果现在假设只有一个CPU
[00:06:55] 我把中断关掉以后
[00:06:56] 就意味着再这个CPU就完全被我独占了
[00:07:00] 我们的状态机模型里面
[00:07:02] 其实我我没有没有说的是
[00:07:04] 看起来我们的模型
[00:07:06] 从比如说初始状态是从FIRWORK的CPU restart
[00:07:09] 开始执行
[00:07:10] Firmware
[00:07:11] 然后他开始执行指令
[00:07:12] 但是我在每一条指令执行的时候
[00:07:14] 假设这个CPU的中断是处于打开状态的
[00:07:17] 那它就还有可能响应中断
[00:07:20] 所以我们的计算机系统其实是非确定的
[00:07:24] 它在任何时候都有可能中断
[00:07:26] 这也是就是操作系统内部并发的来源
[00:07:28] 中断式并发来源
[00:07:29] 但是如果你把中断关掉
[00:07:32] 那这这种可能性就没有了
[00:07:35] 这个时候如果指令集体系结构
[00:07:37] 当然指令集体系
[00:07:38] 你假设它是deterministic
[00:07:39] 它是确定性的
[00:07:40] 那么就我执行
[00:07:42] 我执行X等于一
[00:07:43] 执行Y等于一
[00:07:45] 那么PC取下一条指令
[00:07:46] PC取下一条指令
[00:07:48] 它执行的一定是相同的代码
[00:07:50] 它是完全的确定性的
[00:07:52] 所以当我操作系统内核把中断关掉以后
[00:07:55] 我其实就实现了make it work
[00:07:58] 等于说系统其他的任何部分都再也不能
[00:08:01] 打扰我了
[00:08:02] 当然这也就意味着
[00:08:03] 如果你在超系统内核里面有一个Y1的循环
[00:08:05] 并且是关中断的话
[00:08:06] 那嗯这个计算机系统就死掉了
[00:08:09] 所以为什么我们会有一个reset
[00:08:10] CPU reset在软件工程还不成熟的时候
[00:08:13] 大家还不知道怎么构造一个
[00:08:14] 可靠的操作系统的时候
[00:08:16] 那那windows要蓝屏
[00:08:18] 那就是家常便饭
[00:08:19] 它它经常有bug
[00:08:20] 有bug以后可能会卡死
[00:08:21] 也可能就是呃蓝屏了
[00:08:24] 所以我也让AI给我写了一个关掉中断
[00:08:27] 然后去死循环的呃代码
[00:08:30] 当然这个需要借助一点汇编
[00:08:33] 对我
[00:08:34] 我这个代码你们可以在呃你们的X86上运行
[00:08:37] 也可以在在我这里运行
[00:08:38] 我已经把所有的演示的代码都都做了
[00:08:41] 这个条件的编译
[00:08:43] 在我的呃机器上
[00:08:45] 你会看到它有一个MSR的指令
[00:08:47] 他会写一个系统的呃寄存器
[00:08:50] 然后这个寄存器里面的中段位会被消掉
[00:08:53] 然后再在X86上面一样呢
[00:08:54] 它有一个叫clear interrupt
[00:08:57] CPU里面你们学过
[00:08:59] 如果你们学的是X86版本的话
[00:09:01] 计算机系统技术它里面有什么overflow的flag
[00:09:04] zero flag就flags里面有好多
[00:09:07] 你上一条指令
[00:09:09] 算出来它是不是零
[00:09:10] 是不是溢出
[00:09:11] 这些
[00:09:12] 这些flags
[00:09:13] 其中有一个flags是我们可以设置的
[00:09:15] 或者说操作系统内核可以控制的
[00:09:17] 就是中段位
[00:09:18] Interrupt the flag
[00:09:19] 如果你把这个位清掉以后
[00:09:21] 处理器就变成了这种不再响应中断的状态
[00:09:24] 那如果我们运行这个程序
[00:09:26] 你们肯定预期这个系统是不会卡死的
[00:09:29] 我这里收到了一个seek e叫illegal instruction
[00:09:33] 你你们也可以在X86系统你们很少见到它
[00:09:36] 你们也可以试着去把你们的二进制文件
[00:09:38] 胡乱改一改
[00:09:39] 然后你们就可以遇到这个illegal instruction
[00:09:42] 它没有办法解密码
[00:09:43] 解码这个呃指令了
[00:09:44] 他就会给你illegal instruction
[00:09:46] 然后在arm上
[00:09:46] 就是就是我在我的用户程序是不能去执行这条
[00:09:51] 甚至这MS2这条指令都是不合法的
[00:09:53] 不存在的
[00:09:54] 它它会认为你你没有权限执行
[00:09:56] 不存在
[00:09:56] 你看不到这条指令
[00:09:57] 然后在XY的里面会得到一个呃protection error
[00:10:01] 这是这是X86指令集体系结构的设计
[00:10:04] 然后所以你会得到一个segmentation for
[00:10:06] 如果你在呃你们的电脑上
[00:10:08] X86上尝试的话
[00:10:10] 会得到segmentation fault好
[00:10:11] 这就是操作系统内核想要想要实现的
[00:10:15] OK那么你你会想
[00:10:18] 既然是make it work
[00:10:19] 或者说是关中段和开中断
[00:10:21] 那我们也可以把这个机制稍微扩展一下
[00:10:25] 能不能有一个
[00:10:27] 相当于是叫我要开始这个关键的代码了
[00:10:31] 然后我要离开这个关键代码了
[00:10:33] 关中断和开开中断
[00:10:35] 然后这就有了我们今天要讲的最主要的内容
[00:10:38] 就是互斥的API
[00:10:40] 所谓的互斥就叫互相排斥
[00:10:42] Mutually exclusive
[00:10:43] 他他两个人不能呃不能同时进入一段代码
[00:10:48] 然后这个代码有时候叫critical section
[00:10:50] 叫临界区
[00:10:50] 你们在很多教科书上都会都会看到它
[00:10:53] 它就是一段代码
[00:10:55] 那我们呃实现的是在任何一个线程上
[00:10:57] 它都可以执行lock lock
[00:10:59] 完了以后我就可以执行任何的代码
[00:11:01] 比如说sum加加
[00:11:02] 然后等到我我这个代码觉得OK了
[00:11:05] 我不再需要这个
[00:11:07] 很强的
[00:11:08] 别人不能打断和我一起并发执行
[00:11:11] 我就unlock
[00:11:12] 然后lock和unlock它其实就是把并发给消除了
[00:11:16] 当我lock返回的时候
[00:11:18] 也就是说当我我这个代码开始执行的时候
[00:11:21] 我就再也不能和别人的lock的代码块并发了
[00:11:25] 我们同样可以画在画在时间轴上
[00:11:28] 如果我们有一个T1
[00:11:31] 就跟刚才那个是一样的
[00:11:32] 如果我lock
[00:11:33] 并且我lock返回了
[00:11:34] 返回以后
[00:11:35] 我就可以做任何事
[00:11:36] 然后直到我unlock
[00:11:38] 那么对于其他的线程
[00:11:40] 不管有多少个线程
[00:11:41] 我在什么时候
[00:11:42] 无论什么时候lock
[00:11:43] 那这个lock只要在这个时间点上
[00:11:45] 比如说现在在T这个时间点上
[00:11:47] 在这个时间点上
[00:11:48] 别人没有把这个锁释放掉
[00:11:50] 我这里就不能返回
[00:11:52] 那我就等等
[00:11:54] 直到直到这个线程T1把锁释放掉unlock了
[00:11:59] 那么我这个T2这个时候lock才能返回
[00:12:03] 然后返回以后他可以再做其他代码
[00:12:06] 然后这时候如果比如说还有T3的话
[00:12:08] T3呃也也执行了一个lock
[00:12:11] 那那他就必须要继续的
[00:12:13] 等下去
[00:12:14] 这样我就把所有的并发都消除了
[00:12:17] 我就得到了一个确定的顺序
[00:12:20] 也未必是绝对确定的
[00:12:21] 但至少是有一个
[00:12:24] 你能够排除123这样的顺序
[00:12:28] 第一次我会知道
[00:12:29] 第一次T1的lock调用了
[00:12:32] 返回了T1的lock里面
[00:12:34] 代码执行了它unlock了
[00:12:36] 等到这个unlock结束
[00:12:38] 我们的unlock还有一个额外的语义
[00:12:40] 它会保证所有在这个地方写的数据
[00:12:44] 全部都进入内存
[00:12:46] 不会像之前一样
[00:12:47] 比如说我有一个我我这儿写了X等于一
[00:12:49] 我会确保另外的线程在这node x的时候
[00:12:53] 可以看到这个X等于一
[00:12:55] 这就是lock和和unlock给我们的保证
[00:12:59] 还是很很直观的
[00:13:00] 你在如果你把县城想象成人
[00:13:03] 把共享内存想象成物理空间的话
[00:13:05] 你就想象是呃有两个视角
[00:13:07] 一个是lock unlock
[00:13:08] 就是指这个锁的锁的视角
[00:13:10] 就是有一个有一个房间
[00:13:12] 你有一个小房间
[00:13:13] 然后这个房间里面只能容纳一个人
[00:13:15] 然后任何人进来以后都会把那个房间锁上
[00:13:18] 别人就进不来了
[00:13:19] 然后你那个人就是代码人
[00:13:21] 就是现成人
[00:13:21] 就是代码线程就可以继续
[00:13:23] 而如果有别人还想要继续执行代码
[00:13:25] 他就必须他执行lock的时候
[00:13:27] 他必须要把这个房门打开
[00:13:29] 他要进入这个房间
[00:13:30] 他才能执行这个代码
[00:13:31] 这样如果有很多人都想同时进那个房间的话
[00:13:33] 他就只有一个人能能进去
[00:13:35] 需要其他人需要等
[00:13:37] 然后等把把我
[00:13:38] 我有前面一个人
[00:13:39] 把这个房间的使用权让出来以后
[00:13:42] 才可以
[00:13:43] 然后他还有一个呃解读的方法
[00:13:46] 就lock unlock是锁锁房间是一个解读
[00:13:49] 还有一个解读的方法
[00:13:51] 就是你的桌上有一把钥匙
[00:13:52] 然后所谓的lock和unlock就是lock
[00:13:57] 需要得到钥匙才能继续执行
[00:14:00] 所以如果如果你有好多人桌上有一把钥匙
[00:14:04] 那如果你有好多人都想要同时执行lock
[00:14:07] 他们都去摸那个钥匙
[00:14:09] 但是只有一个人能摸到
[00:14:10] 因为物理空间里只有一把钥匙
[00:14:12] 然后摸到那个拿到那个钥匙的人
[00:14:13] 就可以继续执行执行代码了
[00:14:15] 然后unlock的时候会把这个钥匙给还回来
[00:14:18] 还回去
[00:14:18] 那还回去的时候
[00:14:19] 剩下在等钥匙的人就可以把那把钥匙再再拿走
[00:14:22] 所以呃lock和unlock有的时候也叫acquire和release
[00:14:27] lock就你去拿那个钥匙
[00:14:28] acquire的那个过程
[00:14:30] 而release是你把那个钥匙放回去的
[00:14:33] 过程相应的
[00:14:34] 刚才我我这边提到unlock有一个保证
[00:14:37] 是保证这里的X等于E在后续的能够能够看到
[00:14:40] 然后你们在C加加
[00:14:41] 可能比如说看内存模型的时候会看到
[00:14:44] 比如说acquire semantics
[00:14:45] Release semantics
[00:14:46] 你们在文档里面可能会会看到
[00:14:48] 讲的就是这件事
[00:14:49] 就是可见性
[00:14:50] 你的acquire就是锁lock的时候
[00:14:52] 你你必须能够看到release之前
[00:14:56] 别人release之前写入的内存
[00:14:59] OK但你们也不需要知道
[00:15:01] 知道的这么细
[00:15:02] 你只要知道
[00:15:03] 如果你所有的代码都正确的使用lock和unlock
[00:15:06] 比如说你有个共享变量sum sum
[00:15:09] 就所有的sum当然不能
[00:15:11] 一个非常常见的错误是你在这里sum加加
[00:15:15] 在lock unlock之间
[00:15:16] SAM加加
[00:15:17] 然后你在这个lock和unlock之间SAM加加
[00:15:20] 那是没有问题的
[00:15:21] 这样是会得到一
[00:15:23] 第一次是一
[00:15:24] 在这不在这
[00:15:25] SAM加在这sum加加
[00:15:27] 第二次sum加加在这儿你会得到sum等于二
[00:15:30] 但如果你有一个没有所保护的sum加加
[00:15:33] 那这肯定还是不行的
[00:15:34] 对哈
[00:15:34] 这个是这个这个是错误的
[00:15:37] 相当于是呃我们世界里面的人
[00:15:39] 他我们要达成一个一致
[00:15:41] 只有你比如说你进入房间了
[00:15:43] 你才能继续执行下面代码
[00:15:45] 或者你只有拿到钥匙了
[00:15:46] 就可以做下一件事
[00:15:47] 但是如果你呃不遵循这个这个协议
[00:15:50] 你你没有拿到钥匙
[00:15:51] 你就去做这件事
[00:15:53] 那就就错了
[00:15:55] 就会呃又麻烦
[00:15:56] 你们还是比较容易能够想象
[00:15:59] lock和和unlock的
[00:16:02] 那我们也很自然的能想到
[00:16:04] 这个世界上可以不止有一把钥匙
[00:16:07] 或者说不止有一个房间
[00:16:09] 那我们很自然的可以创建好几把
[00:16:12] 好几张桌子
[00:16:13] 有好几种钥匙
[00:16:15] 那么你你在访问不同变量的时候
[00:16:18] 你就可以选不同的钥匙
[00:16:20] 比如说这里我有两个锁
[00:16:21] 一个叫lock
[00:16:22] 一个叫lock b
[00:16:23] 那我可以
[00:16:24] acquire这个log a在括号log a的时候
[00:16:28] X加加在块lock b的时候
[00:16:30] Y加加
[00:16:30] 这个是是没有问题的
[00:16:32] 你想如果我有两两对线程
[00:16:34] 一一对是sum加加
[00:16:35] 还有一对是呃X加加
[00:16:39] 还有一个比如说T4做的是X加价
[00:16:42] 那么sum和X因为是不同的内存地址
[00:16:45] 所以他们两个之间是不会互相干扰的
[00:16:48] 确实不会互相干扰
[00:16:49] 那我只需要正确的
[00:16:51] 比如说这里用A这把锁
[00:16:54] 然后这里用B这把锁
[00:16:56] 那么就可以正确的实现
[00:16:59] 反正能够实正确实现
[00:17:00] 至少X加一这样的啊互斥
[00:17:03] 你不会观察到
[00:17:04] 在上一节课那个我讲入门到放弃的时候
[00:17:07] 那些呃奇怪的奇怪的东西
[00:17:09] 嗯好
[00:17:10] 那我们就终于终于到今天可以学会写1+1了
[00:17:15] 不容易是一个很很重要的里程碑
[00:17:18] 那我们可以看到
[00:17:19] sum点C我们给大家呃准备了这样的代码
[00:17:24] 你们回去下载线程库
[00:17:25] 线程库里面除了thread点H以外
[00:17:27] 还有一个thread think点H
[00:17:28] 我所有的呃和并发控制相关的代码
[00:17:32] 都在呃这个头文件里
[00:17:35] 在这里如果你想要呃创建一把锁的话
[00:17:39] 创创建一个这叫互斥锁
[00:17:41] 你可以就叫它锁
[00:17:43] 你就可以创建一个lock
[00:17:45] 你你可以创建很多log
[00:17:46] Lock 1lock lock
[00:17:48] 这这都是这都是没有问题的
[00:17:51] 但是对于同一个变量的访问
[00:17:54] 你要用同一把锁把它保护起来
[00:17:56] 所以t sum应该怎么写呢
[00:17:58] 我现在我这TSUMM稍微稍微还麻烦一点
[00:18:01] 如果如果我有个N
[00:18:02] 我要做N次sum加加
[00:18:04] 我会把中间的实际上要执行的东西
[00:18:08] 包在lock和unlock之间
[00:18:11] 然后在中间我就可以干任何事了
[00:18:13] 你看我在这故意做了十次SAM加加
[00:18:15] 而且呃我在中间加了一个compiler the barrier
[00:18:18] 我让这个编译器不要优化
[00:18:19] 因为如果不加这个的话
[00:18:20] 编译器会把它优化成sum等于sum加十
[00:18:23] 它就很短的一个
[00:18:24] 这样我我加上这个BARRY以后
[00:18:26] 我的编译器就每次都需要load加1store
[00:18:29] load加e store
[00:18:30] load加e s store
[00:18:30] 所以在这个lock和unlock之间
[00:18:32] 我会做十次load
[00:18:33] 十次计算十次store
[00:18:35] 这是一个比较长
[00:18:35] 其实已经是比较长的一段代码了
[00:18:38] 那如果发生
[00:18:40] 比如说发生并发或者并行的同时读写的话
[00:18:43] 肯定会出和上次课一样
[00:18:45] 看到
[00:18:46] 看到问题了
[00:18:46] 但因为我有lock和unlock
[00:18:49] 有lock unlock
[00:18:50] 那么我就阻止了这段代码所有可能的并发
[00:18:54] 那你会预期
[00:18:55] 他应该能够得到正确的结果
[00:18:58] 那么我们也可以
[00:19:00] 编译运行一下对吧好
[00:19:03] 看起来是没有没有没有问题的
[00:19:04] 你可以运行更多次
[00:19:06] 来
[00:19:07] 来至少在一定程度上相信确实lock和unlock
[00:19:12] 给了你正确的呃护持
[00:19:15] 好啊很好
[00:19:17] 那你就学会了并发控制里面
[00:19:20] 最重要的一个呃互斥
[00:19:23] 然后你怎么理解这个互斥
[00:19:25] 或者说怎么在实际实际当中使用互斥呢
[00:19:28] 呃我们有一个简化的视角
[00:19:31] 就一般我们理解程序的时候
[00:19:33] 还是还是把把线程想象成人
[00:19:35] 然后把共享内存想象成呃我们的呃物理空间
[00:19:40] 假如说现在是假设
[00:19:42] 假设你你正确的使用了呃互斥锁lock unlock
[00:19:47] 就相当于你执行了一个stop the world
[00:19:50] 不管你你lock的是一个A就哪怕我是一个lock
[00:19:55] 一个A
[00:19:55] 然后这个世界上可能还有比如说线程三再lock b
[00:20:00] 然后再Y加加
[00:20:03] Unlock b
[00:20:04] 当你的锁使用是正确的时候
[00:20:07] 我们就可以很安全的认为所谓的lock就是stop the world
[00:20:12] 所有的世界都被你停下来了
[00:20:15] 就像这个呃JOJO里面的哈
[00:20:18] 这个你没看过吗
[00:20:20] 这个the world对
[00:20:22] 它可以瞬间停止世界上所有其他的部分
[00:20:25] 但是自己依然可以活动
[00:20:26] 然后这个模型是你lock的时候可以随便做
[00:20:29] 比如说我可以sum加加
[00:20:31] 然后X加加你可以干
[00:20:32] 你可以
[00:20:33] 你可以对共享内存干任何事情
[00:20:35] 再unlock
[00:20:36] 然后就和这个JOJO里面的的实际的场景
[00:20:39] 是一样的
[00:20:40] 在在你unlock的一瞬间
[00:20:42] 就好像你所有施加的对这个世界施加的作用
[00:20:46] 就全部都成立了
[00:20:47] 为什么我我lock a这边是lock b
[00:20:51] 而T1和T3
[00:20:52] 甚至是在两个CPU上
[00:20:53] 我还是可以认为我是stop the world呢
[00:20:57] 就是因为假设
[00:20:58] 这个前提假设是你能够正确的使用锁
[00:21:01] 那假设正确使用锁
[00:21:02] 就意味着我在这里面读写的所有的变量
[00:21:05] 在这个外面都是不相干的
[00:21:08] 将当如果我这里这里读X读sum
[00:21:11] 绝对不可以有另外一个人
[00:21:13] 你如果实现的对的话
[00:21:14] 绝对不可能有另外一个人在这个时候写SAM
[00:21:16] 如果你这样写SAM
[00:21:18] 我就
[00:21:18] 我我说如果我stop the world了
[00:21:21] 那么我在这里如果我有很多次T等于sum
[00:21:26] T等于sum
[00:21:28] 我必须看到的是一样的值
[00:21:29] 因为世界已经被停下来了
[00:21:31] 所以我需要假设的是
[00:21:33] 就所谓的正确性的
[00:21:34] 假设的意思就是你别人永远不能写
[00:21:37] 我写我读过的读过的值
[00:21:40] OK好
[00:21:41] 那那就意味着我可以
[00:21:44] 虽然虽然T1和T3
[00:21:46] 在实际当中真的是并行同时执行的
[00:21:49] 但是我可以
[00:21:51] 我我在理解这个程序执行效果的时候
[00:21:53] 在理解程序执行结果的时候
[00:21:55] 你可以把这一段程序的执行挪到后面
[00:21:59] 或者挪到前面
[00:22:03] 可以可以按照这个一二的顺序来执行
[00:22:08] 也可以按照一二的这个顺序
[00:22:10] 先它在它的顺序执行
[00:22:11] 那么按照无论照什么样的顺序来执行
[00:22:14] 他们结果都是一样的
[00:22:15] 所以虽然我们理解的时候好像是stop the world了
[00:22:19] 但是呃实际上还是还是还是并行的
[00:22:22] 但我们确确实可以用呃这个模型来来来理解它
[00:22:28] 呃就和我们在操作系统内核里面
[00:22:30] 刚才讲到我们关中断
[00:22:31] 关了中断以后
[00:22:33] 这世界上就没别人了
[00:22:34] 如果只有一个CPU关了中断
[00:22:36] 这个世界上真的就没有别人了
[00:22:38] 好那没有别人了
[00:22:39] 那那我就一定是就确实实现了stop the world
[00:22:41] 但如果世界上哪怕有别人
[00:22:44] 别人执行的效果
[00:22:46] 也可以挪到前面
[00:22:47] 或者挪到后面
[00:22:47] 不会影响我自己的这个看到东西的正确性
[00:22:51] 所以就好像是好像是stop the world一样
[00:22:54] 就是呃这是互斥锁的理解
[00:22:56] 就你们在用的时候
[00:22:57] 先先把互斥锁上
[00:22:59] 对
[00:22:59] 上完了以后你你就你就发现多线程的程序
[00:23:03] 我上一节课讲的那些复杂的东西都没了
[00:23:06] 因为它变成顺序的程序了
[00:23:08] 我们所有的编译的优化
[00:23:10] 我们以前理解程序的方式又回来了
[00:23:12] 因为人类本质上是一个sequential creator
[00:23:15] 因为我我们把呃在讲并发的时候
[00:23:18] 把我们比作线程
[00:23:21] 把物理空间比作shared memory
[00:23:25] 那么我们人类在训练的时候
[00:23:28] 从来都是只做好自己就行了的
[00:23:30] 你不会你人类这个神经网络在训练的时候
[00:23:34] 从来没有说我要同时多多个考虑
[00:23:36] 多个人同时推进一件事
[00:23:38] 所以人类天生就不太擅长处理多个头绪
[00:23:42] 除非你专门的呃训练过
[00:23:44] 然后和计算机是一样的
[00:23:45] 这个一个线程它是一个sequential的洗坤手的
[00:23:49] 所以当有多个线程它可以互相产生影响的时候
[00:23:52] 你就脑子就炸了
[00:23:54] 但是如果你能够通过并发控制
[00:23:56] 比如说通过互斥
[00:23:58] 达到这个south world的效果
[00:24:00] 那理解这个程序又回到你熟悉的那个顺序
[00:24:02] 程序的啊执行
[00:24:05] 当然了
[00:24:06] 刚才有一个前提
[00:24:08] 互斥锁的使用是假设你的使用是正确的
[00:24:11] 但是呢你有1万种方法去呃去用错
[00:24:14] 自从acquire和release这个API被设计出来开始
[00:24:18] 人类就走上了万劫不复的错误道路了
[00:24:21] 当然没有那么夸张
