[00:00:00] 啊今天我们来讲一讲大家很熟悉的
[00:02:18] 它已经是有按键了
[00:02:20] 你可以按下一个呃按键
[00:02:22] 它可以发出相应的呃声音
[00:02:25] 而随着时间的推移
[00:02:28] 你一定会想到这个机构这样的擒纵机构
[00:02:32] 你你摁下去的时候
[00:02:34] 在你按下去的时候
[00:02:35] 你可以用一个弹簧给它蓄力
[00:02:37] 然后在你你键松开的时候
[00:02:40] 你可以用这个弹簧蓄力
[00:02:42] 再去做一件额外的事
[00:02:44] 就是在你松开的时候
[00:02:46] 这个弹簧可以把你的那个呃一个机械的结构向右移动固定的一小段
[00:02:52] 然后只要你像刚才那个钢琴一样
[00:02:55] 每次当你按下一个键的时候
[00:02:57] 你都有一个小锤子
[00:02:58] 刚才那个按键按下去
[00:02:59] 按下去就是一个小锤子吧
[00:03:00] 直接那个锤子弹上来就打到琴弦上
[00:03:03] 你现在不是打到琴弦上发出声音
[00:03:05] 而是把它打到一个这有好多墨水的一个袋子上
[00:03:10] 一个色带
[00:03:11] 那个叫色带
[00:03:12] 你们可能没有见过这个这东西
[00:03:13] 一个有现在应该用橡胶类似的东西
[00:03:16] 东西做的色带
[00:03:17] 然后你一个字母一个模具往色调上面一打
[00:03:20] 只要你所有的按键按下去以后
[00:03:23] 它打到击打都是同一个位置
[00:03:25] 你可以在那个色带上面打到纸上留下一个字
[00:03:29] 然后在你松开的时候
[00:03:30] 行动机构可以让你呃把字符再向右移动一格
[00:03:33] 然后你就实现了呃打字你就可以不再也不需要用手写了
[00:03:37] 而是你可以呃想到什么打什么
[00:03:40] 然后你们也想到
[00:03:43] 因为这样的机械结构其实如当你两个按键同时按下
[00:03:47] 或者呃就接近于同时按下的时候
[00:03:50] 他要同时的击打中间的位置
[00:03:52] 那它就很容易卡住
[00:03:54] 它它两个
[00:03:55] 因为大家可以看到这里的一根一根的一根一根的这个柱子
[00:04:00] 需要把呃母字母推到色带上
[00:04:04] 呃那两个字你打的很快的时候就容易卡住
[00:04:07] 整个机械结构就容易卡住
[00:04:08] 所以在呃1860年代的时候
[00:04:11] 发明了我们现在的QWERTY键盘
[00:04:15] 你们在刚开始学这个键盘的时候就觉得很奇怪
[00:04:18] 你是一定要把它强行记住的
[00:04:20] 你们从呃as df开始
[00:04:22] 你的你的手手手上开始开始熟悉你的第一排按键开始
[00:04:27] 只要你你能够把整个键盘以肌肉记忆的方式记下来
[00:04:30] 但是实际上这个键盘的设计是为了降低你的打字速度的
[00:04:34] 然后我甚至在呃2000年的时候
[00:04:36] 我是玩过这样的
[00:04:38] 真正的打字机的
[00:04:39] 我能看到色带
[00:04:40] 它有它是它可以支持两种颜色
[00:04:42] 你可以调整它的
[00:04:44] 色带也换到上面
[00:04:46] 换到下面
[00:04:47] 可以有一个黑色的
[00:04:48] 一般是一个黑色的
[00:04:49] 一个呃一个红红色的
[00:04:52] 为了为了能够呃第一个把字母推到色带上
[00:04:57] 并且击击中它
[00:04:58] 并且还要有足够的能量能够推动
[00:05:02] 我的呃光标移到下一个位置
[00:05:04] 所以其实这个打字机起来是很累的
[00:05:06] 他的手指
[00:05:07] 你你其实是需要相当大的力量才能按下去
[00:05:09] 不像我们现在这个键盘
[00:05:11] 是按的很轻松的
[00:05:12] 对
[00:05:13] 就是啊这是打字机
[00:05:15] 然后打字机就给我们现在的终端
[00:05:17] 也就是我们看到的这样的
[00:05:19] 我我come on的回车
[00:05:20] 我就可以得到一个呃新的终端
[00:05:22] 很多遗产
[00:05:24] 比如说呃shift和caPs lock
[00:05:28] 大家都知道shift我们按shift
[00:05:30] 我按shift a a a a a a我就打出大写的A
[00:05:33] 然后我直接打A就是小写的A
[00:05:35] 如果按这个cap lock
[00:05:36] 我就可以大写的锁定
[00:05:37] 然后这两个键其实都是机械结构上有对应的
[00:05:40] 当我们按下shift的时候
[00:05:42] 它整体的这个字锤或者字母就会向上移动
[00:05:46] 移动错位一格
[00:05:48] 如果我按下一个键的时候
[00:05:50] 我现在打出一个小写的A
[00:05:51] 但如果shift我把整个档位往上抬的话
[00:05:54] 这不就打空了吗
[00:05:56] 这就打空
[00:05:57] 打空以后我就可以打出一个大写的A
[00:05:58] 就是这样的一个非常简单的啊机械结构
[00:06:01] 你看到上上下有两个两个字母实现呃大写和小写
[00:06:05] 而cp stock就是把呃档位锁定在上面的呃嗯那个位置
[00:06:10] 所以它解释了我们键盘上面每一个键的呃由来
[00:06:13] 然后再比如说现在我们的键盘上就是一个enter回车
[00:06:17] 但是你们也知道你们在print f的时候
[00:06:21] 你们有两个特殊的字符
[00:06:22] 一个叫杠R
[00:06:23] 一个叫杠N
[00:06:26] 一个叫CASURETURN
[00:06:28] 一个叫呃line line feed
[00:06:30] 然后杠R实际上是回车
[00:06:32] 这也是来自打打字机的
[00:06:34] 打字机是将打印头移回行
[00:06:36] 首
[00:06:36] 相当于那个打字机
[00:06:38] 走走
[00:06:40] 它那个每按一个键的时候
[00:06:41] 它都会往右
[00:06:43] 然后你是可以用手直接把他推到推到一边
[00:06:48] 推到一边推到一边
[00:06:51] 然后同时这个推到那边也是给他蓄力的一个过程
[00:06:54] 就是一部分力是由你的手手续的
[00:06:56] 另一部分是由你推进去的那个弹簧
[00:06:58] 它有应该有个弹簧来来来蓄力的
[00:07:01] 所以我们我们可以看一下
[00:07:02] 你们猜一猜这个print
[00:07:03] 如果要打印一个hello
[00:07:05] 但是我在这个hello中间加上一个杠R会发生什么
[00:07:10] 我要三个字符
[00:07:12] 然后一个杠r hello
[00:07:14] 我会得到什么呢
[00:07:16] 哎因为当我打印了三个HE打
[00:07:20] 当我打三个字符以后
[00:07:21] 我的光标就回到了这行的头部
[00:07:26] 回到头部以后
[00:07:27] 再打我就会把它覆盖掉
[00:07:29] 当然对于打字机来说
[00:07:30] 打字机是个机械装置
[00:07:31] 所以我打任何字符就会把原来的字符给呃盖掉
[00:07:35] 所以你们呃应该已经很聪明的想到
[00:07:40] 如果你在打字机上打错了
[00:07:42] 应该怎么办
[00:07:43] 打字机
[00:07:44] 因为它就像你写字一样
[00:07:46] 你写错的东西是不是你写上去了
[00:07:48] 你就不能再把它擦掉了
[00:07:50] 那打字机怎么把它擦掉呢
[00:07:53] 所以就有了我们下面的几个控制光标的键
[00:07:56] 一个叫space
[00:07:57] 一个叫backspace
[00:07:58] 这两个你们有没有想过你们那个退格键叫backspace
[00:08:02] 为什么它不叫delete
[00:08:03] 或者说现在你看你你苹果的那个键盘上面应该是那个backspace
[00:08:07] 那个位置应该是delete
[00:08:09] 它为什么是backspace
[00:08:10] 就是因为它和space是一个互逆的操作
[00:08:13] space就是把你的这个当前位置向右移一个
[00:08:17] backspace是把当前位置向左移一个
[00:08:19] 所以如果你想要比如说打错的话
[00:08:21] 你就可以不停的backspace
[00:08:23] 然后打印若干个减号那个斜杠
[00:08:26] 然后就好像化掉了那些字就化掉了
[00:08:28] 然后你接你
[00:08:29] 你接着再打
[00:08:30] 你们如果看到一些老的呃照片的话
[00:08:33] 你们会看到那种打字机打出来
[00:08:35] 如果真的title了
[00:08:36] 你会用这种方式把它把它把它杠掉
[00:08:38] 甚至你可以用红色把它杠掉
[00:08:40] 换一个颜色的色带
[00:08:41] 这都是OK的
[00:08:42] 然后以及你们的呃键盘上有一个叫tab的按键
[00:08:48] 比如说我现在嗯嗯你们会去会用比如说呃CTRL加tab或者啊windows alt加tab
[00:08:53] windows加tab来切换
[00:08:55] 切换窗口
[00:08:56] 这个tab就是一个制表符
[00:08:59] 什么是制表符呢
[00:09:00] 啊嗯制表符就是你在打字机上有有一些可以设定的tab stop
[00:09:08] 就是说你你你按下tab的时候
[00:09:10] 它就会一直往右走
[00:09:12] 向右向右向右向右向右走
[00:09:13] 直到碰到一个tapes tap stop为止
[00:09:16] 我猜可能是应该用一个棘轮之类的结构来实现的
[00:09:20] 它会移到一个tab stop
[00:09:22] 然后光标就停下来了
[00:09:24] 所以它可以很容易地实现对齐
[00:09:26] 怎么对齐呢
[00:09:26] 比如说我现在要要置一个表格
[00:09:29] 比如说这是name
[00:09:30] 对吧啊啊id
[00:09:33] 那我就不应该用空格
[00:09:35] 你看我现在是在打空格的方式来来做padding
[00:09:39] 而是我可以打tab33
[00:09:41] 我可以按几个tab
[00:09:42] 比如说啊
[00:09:45] 那我现在呃无论我的名字是什多长
[00:09:49] 我只要按tab它就会跳到下一个tap stop的位置
[00:09:54] 这样我就对齐了
[00:09:56] 我我我可能名字很长
[00:09:57] 但是在我按下tab的时候
[00:09:59] 我就到了下一个
[00:10:00] 这样我就可以在打字机上也可以方便的呃做出表格
[00:10:05] 精美的排版
[00:10:06] 工整的表格
[00:10:08] 然后打字机也也带来了像呃MONOSPACE的这种等宽的字体
[00:10:12] 就是因为它的字母
[00:10:14] 它每每一次打他的
[00:10:16] 向后移动的距离都是都是完全确定的
[00:10:19] 然后这个习惯就一直一直延续到今天呢
[00:10:22] 我们在今天的这个terminal里面依然用的是呃等宽字体
[00:10:25] 但也许你们就可以想象
[00:10:28] 如果你们想要做一个不是等宽字体的终端
[00:10:31] 也许这件事情是可以的
[00:10:32] 然后也许会有非常有趣的效果
[00:10:35] 也许大家可以做一个小的project
[00:10:37] 去去外coding一下好
[00:10:40] 这个基本上就已经奠定了你们看到的
[00:10:43] 现在的呃终端
[00:10:45] 你们看到键盘的呃雏形了
[00:10:47] 绝大部分的按键其实呃其实都有了
[00:10:50] 然后自从从机械化的时代走到了电气化的时代以后
[00:10:54] 我们就有另外一个typewriter打字机叫typewriter
[00:10:58] 他就是type right
[00:11:00] 按一下A它就有就打一个A出来
[00:11:03] 然后就有了一种teletypewriter
[00:11:05] 叫电传打字机
[00:11:06] 这个电传打字机和打字机的功能其实是一样的
[00:11:10] 但有一个很关键的区别
[00:11:12] 当我按下一个A的时候
[00:11:14] 我不是在我现在的这个地方打打出字来
[00:11:18] 而是我可以在导线的另外一端打出字来
[00:11:21] 而这个导线可以非常非常的远
[00:11:23] 甚至可以在大陆的另一端
[00:11:25] 这个talla writer
[00:11:26] 这就是一个跨时代的设计了
[00:11:28] 你想过如果用打字机
[00:11:30] 我可以打打出一张A4纸来
[00:11:32] 然后打完以后我请呃邮差帮我送到另外一个地方
[00:11:36] 送到欧洲去
[00:11:37] 但是呃如果我有teletypewriter就不一样了
[00:11:40] 我只要有一根导线
[00:11:41] 这个导线的状态
[00:11:42] 维护的很好
[00:11:44] 它它当然它会有很多中继站来确保这个teletype writer可以
[00:11:48] 可以正常的运转
[00:11:50] 那么我只需要给每一个字符编一个码
[00:11:55] 编一个号
[00:11:56] 你看这是一个5bit的code
[00:11:58] 55bit的编码在1920年的时候
[00:12:00] 然后在那就没有打字机
[00:12:02] 那么fancy的各种什么
[00:12:03] 呃什么shift啊这种
[00:12:05] 当然其实它也可以有
[00:12:06] 它有一些你只要有一些特殊的编码字符
[00:12:08] 比如说我说我现在要进入大写模式
[00:12:11] 进入小写模式这样的
[00:12:12] 编码一个这样的字符
[00:12:13] 那我也可以呃去切换大小写
[00:12:16] 然后他就有一个五倍数的编码
[00:12:18] 就可以把很多字符常用的字符都编码上
[00:12:20] 那你看它编码了
[00:12:21] 比如说ABCD这些字母
[00:12:23] 除此之外还有数字
[00:12:25] 数字以外
[00:12:25] 还有一些呃特别符号
[00:12:27] 比如说这个你看没有美元
[00:12:30] 这个是嗯哼所以所以你看到这个不是由呃美国人设计的
[00:12:36] 设计的机器对
[00:12:37] 所以很自然的这样的一个设计
[00:12:40] Teletype rider
[00:12:41] 它它从电团打字机可以从一个地方把呃数据打到呃数据输入
[00:12:47] 然后在另外一个地方把它打出来
[00:12:48] 有点像我们进入今天的计算机时代了
[00:12:50] 哎这里有一张呃老照片
[00:12:52] 有兴趣的同学也可以去读一下
[00:12:54] 我这里链接里面的
[00:12:56] 太太model28
[00:12:57] 这个已经其实1951年还是有一点年头了
[00:13:00] 呃的
[00:13:02] Technical data sheet
[00:13:03] 然后这个是呃我觉得读这个文档
[00:13:06] 尤其你可以在AI的帮助下下毒
[00:13:08] 我觉得是一个很不一样的世界
[00:13:10] 你可以看到这个文档非常清楚的
[00:13:14] 非常清楚一个非常高的标准和规格
[00:13:18] 记载了整个这个系统它是怎么构建的
[00:13:23] 它由哪些零件和部件组成
[00:13:24] 比如说你坏了以后
[00:13:25] 你你直接通过这个手册就可以直接维修它
[00:13:28] 它的工作原理是什么
[00:13:30] 对啊他有你看它中间的这个机械结构全部是写的
[00:13:34] 写的清清楚楚
[00:13:35] 这这是1951年的产品
[00:13:37] 然后包括你看他的波形
[00:13:39] 电路的电路的特性
[00:13:42] 包括它内部的电路全部写的写的清清楚楚在在
[00:13:45] 就你读这些东西的时候
[00:13:47] 你可能会有一点呃小小的震撼
[00:13:49] 就是在1950年代的时候
[00:13:51] 人类的科技就已经发展到这样的啊这样的程度了
[00:13:55] 他又去啊一些一些历史TELETYPRIDE好
[00:13:59] 然而经过了这些演进以后
[00:14:01] 终于有一天我们的计算机还记得我们说计算机从最早的时候
[00:14:05] 那个程序直接以机器码的方式在呃计算机上运行
[00:14:10] 然后计算机运行完了以后
[00:14:11] 它就在不停的戳孔
[00:14:12] 它的输出就戳成出二进制的孔
[00:14:15] 因为反正是编码出来的
[00:14:16] 在计算机里面那个寄存器或者内存的值就是一个二进制
[00:14:20] 一个bit
[00:14:21] 小的beat string
[00:14:22] 然后我就可以直接把这个beat string0和一送到一个机械的部件上去
[00:14:26] 真的戳孔
[00:14:27] 我就可以得到输出
[00:14:29] 但那个对于人类来说实在是太不友好了
[00:14:31] 当计算机变得更快了以后
[00:14:34] 我们就就很想要能够让计算机的输出
[00:14:38] 以一个人类肉眼可读的方式直接呈现出来
[00:14:41] 然后并且我们也希望人类再也不要像那个佛船打孔纸袋
[00:14:45] 我在第一次课的时候给大家展示了一个穿穿孔的那个FORTR的卡片
[00:14:49] 你要写一行语句
[00:14:50] 叫写一行for出来的代码
[00:14:52] 你就需要在那个一张卡片上面戳戳
[00:14:56] 这是一个很讨厌的事情
[00:14:58] 很讨厌的事情
[00:14:59] 所以一个跨时代的产品
[00:15:01] 在很早很在很长的一段时间里面
[00:15:03] 我们的计算机系统上面还是在用这样类似于这样的teletype header
[00:15:08] 比如说他他不再是戳这个二进制零一的孔
[00:15:11] 而是他可以把呃把数据从用这个teletype writer
[00:15:15] 就像刚才我们看到可以编码成二进制
[00:15:17] 它只要能编码成二进制计算机就可以把它输出到呃一个呃打印机上
[00:15:23] 这个打印机就可以把呃数据给给打印出来
[00:15:26] 但是这绝对是跨时代的
[00:15:28] 产品叫video teletype writer
[00:15:31] 这也就是这里我们现在看到的TTY这个名字的由来
[00:15:35] TTY就是teletypewriter
[00:15:37] teletype writer是typewriter
[00:15:38] 最早那个那个打打字机
[00:15:41] 他从打字机继承了一个最重要的功能
[00:15:44] 所以它还是个typewriter
[00:15:45] 它可以执行对
[00:15:46] 就从我们计算机硬件的角度来看
[00:15:51] 或者计算机操作系统的角度来看
[00:15:53] 它给我们的一个接口就是put char
[00:15:56] 我们可以把这计算机可以生成一个字符
[00:15:58] 然后把这个字符送进去
[00:16:00] 有点像你们用一个memory map的IO的端口
[00:16:03] 你往那个那个内存地址里面写一个字符哈
[00:16:06] 这个打字机会收到它
[00:16:07] 然后把它打出来
[00:16:08] 你可以想象成他就是一个打字机
[00:16:10] 然后如果我打
[00:16:12] 如果我我我给他送一个杠R这个打字机就会送
[00:16:17] 这就会回到行首
[00:16:19] 然后送一个杠T
[00:16:20] 我就会把他送到下一个
[00:16:22] Tap stop
[00:16:22] 我我就可以可以受任何一个这个打字机能够接受的字符
[00:16:27] 然后在那个时代就制定了很多的标准
[00:16:30] 所以你们会学计算机的时候
[00:16:31] 学学一个叫阿斯克码
[00:16:35] 啊都都学过
[00:16:37] 就你们是刚开始学计算机的时候
[00:16:38] 讲编码的时候一定会提到
[00:16:40] 呃需要一个国际的标准来确定一个二进制的数字或者一个十进制
[00:16:48] What has server
[00:16:49] 一个数字它到底对应了哪一个字符
[00:16:52] 这个编码你们有没有困惑过这个编码大写的A是从是大概在哪里
[00:16:59] 呃65对吗
[00:17:00] 还是总之是一个很大的数字
[00:17:03] 然后小写A就更大了
[00:17:05] 小写的应该是97这样的一个很大的数字
[00:17:08] 为什么为什么
[00:17:10] 那前面都是些什么呢
[00:17:12] 前面的都是些什么呢
[00:17:14] 而这其实就是video type paper
[00:17:15] 它设计最呃最有趣的地方
[00:17:18] 我今天会给大家来呃呃来解开所有的关于终端的呃谜题
[00:17:25] 然后到1978年的时候
[00:17:27] 这个VT100是一个里程碑式的呃产品
[00:17:30] 它成为了一个事实上的行行业标准
[00:17:33] 它支持了完整的anc cape sequence
[00:17:36] Escape code
[00:17:37] 这这就是大家我可以我可以比如说甚至可以颜色
[00:17:41] 可以可以做屏幕的控制
[00:17:43] 屏幕的滚动这些这些功能它有点像打字机
[00:17:47] 因为打字机你是可以滚纸的
[00:17:49] 然后打字机可以滚纸
[00:17:50] 这个video ttteletype的也可以滚纸
[00:17:52] 你就想象成它是一张无限长的纸
[00:17:54] 它可以往上滚
[00:17:54] 往下滚
[00:17:55] 我们在今天的终端里面也可以
[00:17:57] 你看也可以往上滚
[00:17:58] 往下滚
[00:17:58] 只是只是
[00:17:59] 你可以看到我的这个发生了什么
[00:18:03] 嗯然后那个时候的80×24个字符的显示
[00:18:06] 就成为了今天标准的
[00:18:08] 标准的terminal的布局
[00:18:10] 也就是你们在在最开始可能在windows里面写代码的时候
[00:18:13] 那个黑黢黢的窗口
[00:18:14] 它默认的那个呃大小
[00:18:16] 它不是一个很大的窗口O呃然后随着它它的typewriter
[00:18:22] 最后变成我们像我们现在能看到这种高清晰度的显示器
[00:18:27] TTY的终端并没有呃完全的消失
[00:18:30] 尤其是在有了有了UNICODE以后
[00:18:33] 就可以玩更多的花活了
[00:18:35] 呃你看我中间有个三角形
[00:18:37] 那个三角形是怎么画出来的呢
[00:18:39] 我当然没有画一个
[00:18:40] 当然没有画一个三角形
[00:18:43] 我是把很多UNICODE字符给叠加起来了
[00:18:45] UNICODE里面规规定了大量的字符
[00:18:48] 包括你们那个emoji
[00:18:50] 我你们会看到有时候我在我在上课的时候也会有有一两个表情符号
[00:18:55] 来表达自己的情绪
[00:18:56] 然后只不过那个表情符号可能我我我用中文也念不出来
[00:18:59] 哈哈中文念不出来
[00:19:01] 我不知道是不是表情符号以后要收录到新华字典里
[00:19:04] 然后收收录进去以后
[00:19:05] 我们怎么给他标注拼音
[00:19:06] 这是一个很有意思的问题
[00:19:07] 但但确实表情符号就是一个就像一个词一样
[00:19:10] 我们给它赋予它一个含义
[00:19:12] 然后在在token space里面
[00:19:14] 它也有一个自己的embedding
[00:19:16] 就就代表这个意思
[00:19:17] 但是你很难把它说出来
[00:19:19] 然后然后你这里面有有很多它有不同高度的矩形块块
[00:19:24] 有不同高度的线条
[00:19:26] 然后有的有比如说有中间是空的
[00:19:29] 中间是是实心的
[00:19:30] 当这些组和足够多的时候
[00:19:32] 我就可以用UNICO的字符拼出任何一个形状
[00:19:35] 比如说这个是coco的那个小人
[00:19:37] 最近我们还打了3D
[00:19:42] 这就是是中终端从打字机
[00:19:45] 其实其实其实我觉得挺有挺有意思的
[00:19:47] 最早呃
[00:19:49] 我们是看到一个一个像钢琴一样的一个钢琴一样的击弦机构
[00:19:54] 然后一点一点非常平滑
[00:19:56] 如果你看这个演演化的过程的话
[00:19:58] 你会发现到今天呃我们的一个呃这样的一个UNICODE的终端
[00:20:03] 其实演化是非常平滑的
[00:20:04] 每一步都是一个非常小的改动
[00:20:08] 但是积少成多以后就变成了今天一个呃非常好用的东西
[00:20:12] 比如说大家都喜欢呃去去做一个这个power line的status SPA
[00:20:17] 如果你们装喜欢定制你们的ZSH的话
[00:20:20] 然后然后他就是用UNICODE去各种通过前景色和背景色来调出一个
[00:20:25] 你在你你有好几个风格
[00:20:28] 极端风格的一个状态栏
[00:20:29] 有兴趣同学都可以去
[00:20:31] 都可以去试一试
[00:20:32] 也可以让它让让先的模型就是给web code一个
[00:20:36] 阿斯克码的布查斯克码UNICODE的一个一个图形好
[00:20:41] 这是终端作为作为输出设备
[00:20:43] 就是它它的
[00:20:46] 它和操作系统
[00:20:47] 或者说它和我们的软件之间的接口
[00:20:49] 它可以接受一个put char
[00:20:51] 然后他收到这个字符以后
[00:20:52] 就会把这个字符给给打印出来
[00:20:54] 就像typewriter一样
[00:20:56] 那是我们的typewriter
[00:20:58] 因为有键盘
[00:21:00] 所以它比那种机械打字机
[00:21:03] 我按什么打什么
[00:21:05] 其实是不一样的
[00:21:06] 它还可以作为电脑的一个输入设备
[00:21:09] 当我按下一个A的时候
[00:21:11] 实际上发生的事情是我们的video teletype typewriter
[00:21:18] 把A这个字符送到了计算机里面
[00:21:21] 由操作系统看到这个A然后至于我到底要不要把这个A打印出来
[00:21:27] 我是把A打印出来
[00:21:29] 还是打印一个B给你
[00:21:30] 这都是由操作系统来决定的
[00:21:32] 也是由软件决定的
[00:21:33] 它只是一个就这个title rider只是一个比较比较傻的设备
[00:21:37] 当我按下一个键的时候
[00:21:40] 他就会给你一个字符
[00:21:42] 然后当你呃嗯比如说当你按下ESC的时候
[00:21:46] 他真的是给你一个ESC的字符
[00:21:48] ESC是有阿斯克码的
[00:21:51] 那个033你们写escape sequence的时候
[00:21:54] 那个ESCESE真的是有一个阿斯克码的
[00:21:56] 然后当你按下那个ESC键的时候
[00:21:58] 他就会把ESC键的那个阿斯克码送到你的操作系统里
[00:22:02] 然后操作系统看到它
[00:22:03] 操作系统在处理
[00:22:04] 随便操作系统怎么处理
[00:22:05] 它可以原样把它打印出来
[00:22:06] 但像比如说我们现在按ESC的话
[00:22:09] 操作系统诶
[00:22:09] 你你看到看到它显示出来了哈
[00:22:13] 但不是在所有的时候
[00:22:15] 比如说在这里
[00:22:15] 你看我在这里按ESC的时候
[00:22:17] 它就没有没有显示
[00:22:18] 由由操作系统和应用程序共同决定
[00:22:20] 应该啊应该怎么怎么处理
[00:22:25] 所以呃终端就是一个非常简单的非常非常简单的
[00:22:30] 很像啊typewriter的呃设备
[00:22:33] 再再比如说啊呃在你按下shift的时候
[00:22:37] 在我们的呃这个你们现在的现在
[00:22:40] 哪怕是现在的电脑上
[00:22:42] 模就终端模拟模拟出来的终端
[00:22:44] 或者如果你真的有一台VT100的话
[00:22:46] 当你按下shift的时候
[00:22:48] 虽然这个键被摁下了
[00:22:50] 但其实没有任何的数据被送到你的计算机里
[00:22:53] 这个shift的状态是在终端模终端上面的
[00:22:58] 就像打字机上你按shift以后
[00:23:00] 那个自锤没有没有敲下去
[00:23:03] 只有敲下去的时候
[00:23:04] 相当于才把他送到计算机里
[00:23:05] 当你按shift的时候
[00:23:06] 它只是换挡了
[00:23:07] 上了上了档
[00:23:08] 上了档以后
[00:23:09] 当你真正摁一个A的时候
[00:23:10] 他会把一个大写的A送进去
[00:23:11] 所以shift是是不会被送到
[00:23:15] 送到计算机计算机里面
[00:23:17] 然后甚至我们是可以直接读到这些原始的字节流的
[00:23:20] 所以我给大家准备了
[00:23:22] 一些代码的demo
[00:23:24] 这个是我我我告诉AI说
[00:23:26] 我我希望能够配置一个直接读到终端上面所有按键码的
[00:23:33] 就相当于直接把终端所有送给操作系统的
[00:23:36] 假设
[00:23:37] 假设有一个呃VT100接在我的电脑上
[00:23:40] 所有送过来的字符原封不动的打印过来
[00:23:42] 不要做任何的处理
[00:23:44] 能不能做到
[00:23:45] 答案是可以做到好
[00:23:48] 这里有有press q to exit
[00:23:50] 所以我我按Q会exit
[00:23:52] 你看到我按Q的时候确实是呃确实是退出了好
[00:23:56] 那如果我ABCDEF
[00:23:59] 那它是正常的
[00:24:01] 这是这是阿斯克码好
[00:24:03] 如果我按shift
[00:24:06] 你看我现在已经按下shift了
[00:24:08] 但是其实他没有收到任何的按键
[00:24:10] 诶
[00:24:11] 诶当我按下A的时候
[00:24:12] 它才真正发生好
[00:24:14] 当我按下CTRL的时候也很有趣
[00:24:17] 当我按下CTRL加C的时候
[00:24:20] 你们猜测你们猜会发生什么
[00:24:24] 这个程序会被杀掉吗
[00:24:26] 还是我会得到一个代表control的阿斯克码
[00:24:29] 再加上一个C
[00:24:30] 还是我按下CTRL加C的时候
[00:24:32] 我得到了一个编号是零三的阿斯克码
[00:24:35] 所以这解释了阿斯克码
[00:24:37] 大家在在刚开始学的时候
[00:24:41] 阿斯克码里面有很多很多地方编码了一些你不知道的东西
[00:24:46] 二次码的编码了很多
[00:24:47] 你你你不知道它是干什么的
[00:24:49] 也没有人真正给你解释过
[00:24:50] 虽然那个表上面好像有好像有
[00:24:53] 实际上阿斯克码的设计就是和这个teletypewriter
[00:24:59] 共同完成的
[00:25:00] 所以当我们按下CTRL加C的时候
[00:25:02] 我得到了一个零三
[00:25:03] 然后如果我按CTRL加D
[00:25:05] 在你们你们要想要结束输入的时候
[00:25:09] 告诉他所有的输入都已经结束的时候
[00:25:10] 你可以按CTRL加D
[00:25:11] 然后CTRL加D我就会得到一个零四的阿斯克码
[00:25:15] 好呃这都没问题
[00:25:18] 然后更有意思了
[00:25:20] 呃我们的阿斯克码里面没有上下左右
[00:25:23] 那如果我在键盘上按下上下左右会怎么样呢
[00:25:26] 当然我可以先按个回车
[00:25:27] 你看回车它回车他给我的是杠
[00:25:30] 而不是杠N
[00:25:31] 这个回车是是杠R
[00:25:33] 是跟打typewriter上那个那个行为是一样的
[00:25:36] 是是杠R
[00:25:37] 然后呃啊这是这是backspace
[00:25:40] 它可能会被会解释成delete
[00:25:43] whatever tab
[00:25:44] tab它会得到一个杠T空格空格space如果按下上会发生什么
[00:25:52] 我会收到不止一个字符
[00:25:56] 因为阿斯克码里面没有上
