[00:00:00] 我我干了什么呢
[00:15:55] 首先我有个个人观点
[00:15:56] 就是如果你们手上没有token
[00:15:58] 没有付费的token的同学应该立即退学
[00:16:01] 因为你你可能确实不需要token maxine
[00:16:04] 就就在在硅谷
[00:16:05] 它有一种这个你要死命的烧token
[00:16:07] 你你没有必要
[00:16:08] 我我的课上
[00:16:09] 我所有的我在课上做的演示
[00:16:13] 就是除了我的这个slides的生成
[00:16:15] 是用一个更聪明的模型
[00:16:16] 我觉得呃它能给我更好的质量以外
[00:16:19] 你看到的这个幻灯片
[00:16:21] 你看到的整个这个这里的lecture的里面的东西
[00:16:28] 包括这些生成的这些S全部都是DeepSeek vision flash
[00:16:32] 也就是说我在这门课上会用一个足够便宜
[00:16:36] 但是智能相对有一些的模型来带大家完成
[00:16:41] 完成这些事情
[00:16:42] 然后我也知道大家喜欢大家都是夜猫子
[00:16:45] 当然是computer science的学生
[00:16:46] 你们喜欢在夜里工作
[00:16:47] 然后在夜里工作
[00:16:49] deep pk是比较便宜的
[00:16:50] 我建议大家在梁文谷的时间
[00:16:52] 这个对
[00:16:53] 因为你看白天有看懂这个梗
[00:16:57] 对啊对
[00:16:58] 在白天你们要上课
[00:17:01] 正好是梁文峰时间是吧
[00:17:04] 然后等你们回去
[00:17:05] 嘿嘿回去做作业的时候就是这个梁王指的
[00:17:08] 是这样对
[00:17:08] 所以token非常重要
[00:17:10] 你们每一个同学就你们去迪士个充100块
[00:17:12] 这个这个好像还还OK
[00:17:14] 然后呃对还还OK
[00:17:17] 如果实在token有
[00:17:19] 有困难的同学可能可以联系我来帮助大家
[00:17:22] 想一点办法对
[00:17:24] OK然后还有还有一个很重要的policy
[00:17:27] 我希望用一个通过或者不通过
[00:17:29] 来evaluate这个课程
[00:17:30] 所以我在我在申请这门课程的时候
[00:17:33] 我的考核方式就填的是通过和不通过
[00:17:35] 但根据教务的反馈是专业选修课
[00:17:39] 大家是不是不会做成这样
[00:17:40] 就一般来说都是什么形势与政策
[00:17:42] 这样的课是通过和和不通过
[00:17:45] 但因为我
[00:17:46] 我们现在我觉得还不知道这个评判标准是什么
[00:17:50] 你你可能用更好的模型
[00:17:52] 你就可以有更好的质量
[00:17:54] 同一个任务
[00:17:55] 你让cloud fable来做
[00:17:57] 就是比DP g vs flash要做得好
[00:17:59] 这个做的又快又好
[00:18:00] 没办法
[00:18:01] 那呃我们没有办法限制
[00:18:04] 大家用什么样的模型
[00:18:05] 那怎么评判
[00:18:07] 尤其是这样的一个web coding
[00:18:09] 我们是做project的
[00:18:11] 课程我我大概我会我会有一些建议的项
[00:18:15] 就说啊我我回头会更新课程
[00:18:19] 网站上面会告诉大家
[00:18:20] OK我建议你们呃实现一个自己的email的管理系统
[00:18:24] 然后可以回我的email
[00:18:26] 然后可能我会用一个指定邮箱给你发邮件
[00:18:29] 然后你可以把邮件回回来
[00:18:30] 你可以做一个尝试
[00:18:31] Web code
[00:18:31] 一个这样的服务
[00:18:32] 跑在你宿舍的一个一直常开的小电脑上
[00:18:35] OK这这就是一个比较不错的实验
[00:18:37] 你们有的同学可能会做的复杂一点
[00:18:39] 有同学做的简单一点
[00:18:40] 我可能会用我的邮箱去发
[00:18:42] 跟大家啊发邮件通信
[00:18:44] OK但到底什么叫做得好
[00:18:48] 什么叫做的不好
[00:18:48] 到底该给多少分
[00:18:50] 我觉得在这个时代
[00:18:51] 分数已经变得不那么重要了
[00:18:53] 而真正重要的就是在你最后找工作
[00:18:57] 或者在你保研的那一刻
[00:18:58] 投出那个简历上面有什么东西
[00:19:00] 然后其实对你们来说就只有那一个考试
[00:19:04] 当然我觉得呃比较糟糕的是
[00:19:06] 你为了能够走到那一刻
[00:19:08] 你还需要有一个比较好的GPA
[00:19:10] 你还得去reward hacking
[00:19:12] 还得去去去OVERFIT那个考试的题目
[00:19:15] 但最终呃检验你
[00:19:18] 你大学阶段的是你那个交出去的简历
[00:19:20] 他能不能带你到下一个更高的平台
[00:19:23] 你你你敢不敢给DBP给投简历
[00:19:26] 那他们那个伴儿还是比较嗯比较高的
[00:19:29] 所以所以我最终希望的是这门课
[00:19:31] 大家能够最后在简历里面写一个
[00:19:32] 我在生成式软件工程里面
[00:19:34] 实现了这个ABCDE
[00:19:35] 然后有很多链接
[00:19:37] 然后它是一个
[00:19:38] 然后每个东西都是都做的非常漂亮
[00:19:41] 他只然后你你每一个都说
[00:19:43] 你你完成了设计实现
[00:19:44] 然后它这里面了不起的地方
[00:19:47] 地方是什么
[00:19:48] 我觉得最终有可能的是
[00:19:51] 如果每一个人的电脑上面都是安装一个监控
[00:19:55] 那我就知道你大学四年干的所有的事情
[00:19:57] 然后我的AI就可以评判
[00:19:59] 你大学四年到底度过了一个怎么样的大学
[00:20:01] 这4年当然这是一个非常恐怖的
[00:20:03] 这是一个非常非常恐怖的事情
[00:20:05] 因为你没摸的每一个鱼
[00:20:07] 你看的每一个不想让别人知道的小电影
[00:20:10] 他都都在你的电脑上发声
[00:20:12] 所以都都都知道
[00:20:15] 我我们不知道什么时候
[00:20:16] 人类社会会演进到那个程度
[00:20:18] 但是呃保持open对
[00:20:20] 这是我们的呃课程的polo系
[00:20:24] 大概是我课程开了一个
[00:20:27] 开了一个头
[00:20:28] 好好接下来我就可以进入技术性的内容了
[00:20:32] 首先讲一讲
[00:20:34] 什么是大圆模型
[00:20:35] 好我我今天不讲什么是大圆模型
[00:20:38] 大圆模型就是一个概率分布
[00:20:40] 跟你们在概率统计课上面学的那个抛硬币
[00:20:44] 我知道这个我抛了六次硬币加起来是40
[00:20:48] 然后你问你第一次抛出一的概率是多少
[00:20:52] 哈哈你们在概率课上都做过类似的题目
[00:20:55] 没有任何的区别
[00:20:56] 它是一个学道的概率分布
[00:20:58] 它给一个很长的文本
[00:21:00] 就给你给你一本书
[00:21:02] 给我带了
[00:21:03] 带了一本书好
[00:21:04] 他他随便就就好多都文本也给你一个一本书
[00:21:08] 当然可以是文本
[00:21:09] 也可能是可以是图像
[00:21:11] 一本书
[00:21:12] 然后这本书到最后就结束了
[00:21:15] 但你可以在这个书的后面再写几个字
[00:21:17] 比如说能不能帮我总结一下这本书结束
[00:21:20] 然后接下来大圆模型就会不断的预测它的
[00:21:23] 下一个token的概率
[00:21:24] 每次输出你可以理解成输出一个字符
[00:21:27] 一个字符
[00:21:27] 一个字符
[00:21:28] 一个字符
[00:21:28] 然后这个模型很大
[00:21:29] 他见过世界上所有东西
[00:21:31] 然后训练它很难
[00:21:33] 所以这是为什么现在frontier lab这么牛逼
[00:21:37] 但这门课是站在使用者的视角上
[00:21:40] 也就是说
[00:21:41] 你们只要知道存在一个东西叫大圆模型
[00:21:43] 你可以打开DVPC的网页API
[00:21:45] 我现在哦我要登录
[00:21:47] 那我就不登录了
[00:21:48] 打开网页API
[00:21:49] 什么是大语言模型
[00:21:50] 我怎么样体验它
[00:21:52] 然后他会告诉你现在就在体验大元模型
[00:21:54] 对吧好
[00:21:55] 所以你不需要任何单元模型的知识
[00:21:59] 然后大圆模型是怎么样进入我们的世界的
[00:22:03] 我第一次被大圆模型按在地上打
[00:22:07] 是给我五岁的孩子
[00:22:09] 2023年的时候
[00:22:10] GPD4的时代
[00:22:11] GP4是个幻觉
[00:22:12] 非常严重的模型
[00:22:13] 给我五岁的孩子解释什么是呃扫描电子显微镜
[00:22:18] 然后我大概有个这样的prompt
[00:22:20] 那个时候我们就玩prompt engineering
[00:22:23] 说我希望用朴素的语言打一个合适的比方
[00:22:26] 帮助他理解这个事
[00:22:27] 就有一天
[00:22:28] 我给我的五岁的孩子讲一个什么故事的时候
[00:22:31] 不知道为什么讲到了这个扫描电子显微镜
[00:22:33] 我讲不下去了
[00:22:34] 然后我讲不下去以后
[00:22:35] GP4给了我一个比方
[00:22:38] 他说他比这个打这个比方打的还好
[00:22:41] 这个比方就是GPT-5.64号给的
[00:22:43] 我让他让他写了
[00:22:45] 他说嗯你现在有一个山
[00:22:48] 这个山的形状你看不到你
[00:22:51] 你闭着眼睛看不到
[00:22:52] 但你又想要知道那个山是什么形状的
[00:22:55] 那怎么办呢
[00:22:57] 你就对对那个山扔球扔石头
[00:23:00] 闭着眼睛扔石头
[00:23:01] 然后你你扔石头的时候
[00:23:03] 有的时候你石头就扔
[00:23:04] 你对着这个方向扔这个石头就穿过去了
[00:23:08] 对着这个方向扔石头弹回来了
[00:23:10] 弹回来你能听到声音
[00:23:12] 然后你就能通过这个哪些地方穿过去了
[00:23:15] 哪些地方没有穿过去
[00:23:17] 像retracing一样的
[00:23:18] 你就可以推测出这个山的形状
[00:23:21] 小朋友大概听懂了我
[00:23:23] 我当然小朋友也不可能百分之百听懂
[00:23:24] 但是他打了一个就是让我觉得非常震震惊的
[00:23:28] 比方就首先他有他有这个知识
[00:23:31] 第二他我后来还特意去查了资料
[00:23:33] 他他这个比方打的是打的是对的
[00:23:36] 然后你看GP5.6
[00:23:37] 他给的更严谨的一个一个答案
[00:23:39] 而且他他因为有reasoning
[00:23:41] 所以嗯所以他还给了更好的这个对真
[00:23:46] 更好的解解释GP4的时代
[00:23:49] 然后我们用GP4这个模型
[00:23:51] 就去生成奇怪的东西
[00:23:52] 就一个prompt
[00:23:53] 可以给GCLVM找到150个吧
[00:23:57] 然后在今天
[00:23:58] 你你这个工作就完全就在GP5.6的时代
[00:24:02] 就是一句话的事情
[00:24:03] 真的是一句话不需要再做任何的
[00:24:06] 为ChatGPT的特别的调整
[00:24:09] 然后从GPT就从一个能预测下一个
[00:24:13] token的概率分布
[00:24:15] 随着大家发现模型可以输出越来越长的文本
[00:24:22] 也接受越来越长的上下文的时候
[00:24:25] agent就就出现了
[00:24:27] 它有了推理的模型
[00:24:29] 有了推理的模型
[00:24:30] 然后有了coding react式的agent
[00:24:33] Agent
[00:24:34] 有了agent
[00:24:34] 就是刚才那个语言的模型
[00:24:36] 圆的模型它可以输出下一个token
[00:24:38] 那我就可以让它输出一个特殊的token
[00:24:40] 说能不能呃调用一个batch程序
[00:24:45] 然后这个batch程序会运行
[00:24:47] 运行和batch程序的结果会重新送回到这个agent
[00:24:50] 在loop里
[00:24:51] 这样agent就可以自主运行了
[00:24:53] 你就可以给他一个呃比较复杂的任务
[00:24:56] 它可以不断的尝试尝试尝试尝试
[00:24:59] 你们看到的
[00:25:01] 比如说啊我我我还是做了一些配置的
[00:25:05] 你们看到
[00:25:07] 我配置了一个space的窗口管理器
[00:25:09] 然后这个SP窗口管理器会课堂展示
[00:25:12] 做了优化
[00:25:13] 它的对比度比较高
[00:25:14] 然后他我得把什么顶栏什么全部都去掉了
