[00:00:00] 好我我们前面已经讲了virtualization和concurrency
[00:11:38] 他确实在闪
[00:11:40] 然后我现在可以把这个程序关掉
[00:11:44] 它就不动了
[00:11:46] 然后如果我我可以把它的频率调成
[00:11:48] 比如说1000
[00:11:51] 你看到他闪的
[00:11:53] 速度就变慢了
[00:11:55] 大家不要在意这个显显示效果的
[00:11:58] 显示效果的问题好
[00:11:59] 至少啊至少这就是一个非常典型的IO设备
[00:12:04] 它它在底层实现的时候就就是一个寄存器
[00:12:06] 完美的符合刚才的呃那个模型
[00:12:09] 然后然后你能实现这样的IO设备
[00:12:11] 理论上说你就可以实现很多有用的东西了
[00:12:14] 比如说你可以实现一个这个核弹发射器
[00:12:17] 核弹发射器就就是这样的一个
[00:12:20] 一个电脑上面对的
[00:12:21] 比如说你可以在电脑上面做一个密码验证
[00:12:24] 如果这个密码验证通过了以后哎
[00:12:26] 通过以后你就给一个电瓶
[00:12:28] 然后给个电瓶以后
[00:12:29] 你可以触发另外一个
[00:12:31] 不管是你理论上说你能驱动一个led灯
[00:12:33] 你就能驱动一个继电器
[00:12:35] 你就能驱动一个任何一个像马达
[00:12:37] 或者任何一个东西
[00:12:38] 因为你可以控制控制
[00:12:40] 这个GPIO上面的电压的大小
[00:12:43] 是零还是v cc
[00:12:44] 一般是3.3伏
[00:12:45] 那你既然能给一个小的电压
[00:12:47] 你就可以可以
[00:12:48] 反正你有办法用电路的方式来驱动
[00:12:50] 任何一个实际物理世界中的状态的变化
[00:12:54] 然后你就可以嗯发射一个导弹
[00:12:56] 或者是呃其打开某一扇门
[00:12:58] 或者任任何一件啊一件事情
[00:13:01] 理论上说这都和控制我们树莓派上面的灯
[00:13:04] 是没有本质
[00:13:07] 没有本质本质区别的
[00:13:08] 所以就在这样的一个canonical model上面
[00:13:11] 这个简单的模型上面
[00:13:13] 我们呃就可以做越来越复杂的设备
[00:13:17] 比如说呃串口串口
[00:13:19] 我们的杠D1V杠TTY
[00:13:22] 我们前面讲终端的时候
[00:13:24] 花了很大的篇幅说这个设备是怎么来的
[00:13:26] 一个teletypewriter
[00:13:27] 然后我们可以在这个终端里面放送这个ANC
[00:13:29] Escape code
[00:13:30] 然后终端呃也会有很多有趣的呃功能
[00:13:35] 比如说呃可以可以支持我们的CTRL加C啊
[00:13:39] 可以支持job control
[00:13:41] 这和操作系统联动好
[00:13:43] 然后然后在你们的电脑上其实都是有终端的
[00:13:46] 像你们的PC上面有一个叫com1的东西
[00:13:49] 有com1的东西
[00:13:50] You art universal synchronous receiver transmitter
[00:13:53] 然后在我的树莓派上也有一个
[00:13:55] 杠DV杠TTYS0
[00:13:58] 我这儿没有
[00:13:59] 对那就在这个一个TTYAMA10
[00:14:03] 这是这是一个TTY
[00:14:05] 这个串口是是绑到我的GPIO的接口上了
[00:14:09] 就跟这样的一个这块板子上一样
[00:14:11] 我我就我就不把我的树莓派抬起来了
[00:14:13] 就就绑在这这样的一个非常细的针脚
[00:14:17] 上面的两个引脚上
[00:14:19] 然后呃在PC上面
[00:14:21] 理论上说你也是用类似的方式来访问的
[00:14:23] 它有好几个register
[00:14:24] 然后这是X86的代码
[00:14:26] X86X86和像arm Rest five不一样
[00:14:30] 它有一个独立的IO地址空间
[00:14:32] 然后像像我这边
[00:14:34] 比如说arm上面
[00:14:35] 我我的所有的这些寄存器
[00:14:36] 都是直接映射到一个地址内存地址的
[00:14:39] 然后我直接读写那个内存地址
[00:14:40] 它就可以访问这个计算器
[00:14:42] 但是呃如果你是X86的话
[00:14:44] 相当于它有一个零一
[00:14:47] 专门有一个IO的地址空间
[00:14:50] 然后当然还有一个内存
[00:14:51] 还有内存
[00:14:52] 然后所以你要用in和out指令
[00:14:53] 去访问这个IO地址空间里面的寄存器
[00:14:57] 所以你嗯嗯你会看到这样的alt指令
[00:14:59] 然后com1的那个基础端口是按3F8
[00:15:02] 你的UR选的串口
[00:15:04] 然后呃三你你需要给不同的正确的计算器
[00:15:09] com 1+2 com
[00:15:10] com 1+3
[00:15:10] com 1+0
[00:15:11] 就像刚才说我有我们有status
[00:15:12] 有command
[00:15:13] 有data
[00:15:14] 有有这些寄存器
[00:15:15] 然后你你需要给给寄存器里面写入正确的值
[00:15:18] 完成啊U2的配置
[00:15:20] 然后完成配置以后
[00:15:21] 如果你想要写一个字符的话
[00:15:23] 写一个字符的话
[00:15:24] 你实际上就是写一个寄存器
[00:15:25] 对你就往com1里面去写一个写一个data
[00:15:28] 然后他就可以
[00:15:30] 呃他就可以可以把这个字符送出去
[00:15:32] 就送到送到中南了
[00:15:33] 就跟就跟我们刚才那个把一个零或者一
[00:15:36] 高电平或者低电平
[00:15:37] 写到这个这个计算器里面是是一样的
[00:15:40] 然后同样的
[00:15:41] 我要从串口或者UR里面读一个数据的话
[00:15:43] 我也会不断的
[00:15:44] 我也可以这样不断的从里面读
[00:15:47] 从加五的这个计算器里面读
[00:15:49] 看看到有没有数据来
[00:15:50] 如果有数据来的话
[00:15:51] 我就从com me里面读一个数据
[00:15:53] 不然的话我就就说明现在没有
[00:15:55] 没有没有数据
[00:15:56] 这也是这也是简单的
[00:15:58] 理论上说你可以可以实现一个EBIT的计算器
[00:16:00] 你就可以实现一个
[00:16:02] 这样传输数据的一个呃设备
[00:16:05] 唉
[00:16:05] 其实你想有串口计算机就变得很可用了
[00:16:09] 你就有串有这样的一个UI就可以实现一个终端
[00:16:12] 你用电路可以实现一个终端
[00:16:13] 然后你的电脑就可以真的真的用起来了
[00:16:16] 所以其实你们在
[00:16:17] 不管是数字电路课还是计算机系统基础课上面
[00:16:20] 你们做的那个小东西
[00:16:21] 你们可能会觉得哦不是特别的有趣
[00:16:24] 它它很简单
[00:16:25] 甚至你们觉得可能有点过度简单
[00:16:27] 但其实它和真正的呃计算机
[00:16:30] 是非常非常接近的
[00:16:31] 基本上就是一个真实真正的计算机
[00:16:34] 只要你给他足够的
[00:16:36] 外部设备对
[00:16:37] 这是这是窗口
[00:16:39] 然后你们还常用的是像磁键盘这样的键盘
[00:16:43] 鼠标这样的设备
[00:16:44] 但是现在键盘鼠标
[00:16:45] 比如说我的我的这个鼠标是蓝牙的
[00:16:47] 还是无线的
[00:16:48] 那就更复杂一点
[00:16:50] 可能可能我这我这门课不会不会不会覆盖
[00:16:53] 然后像像这里的键盘
[00:16:55] 这把键盘是USB的
[00:16:57] USB它有一根线
[00:16:58] 这个USB的键盘
[00:17:00] 然后在更早的时候
[00:17:01] 在IBMPC的时代
[00:17:03] 我们还没有USB总线的时候
[00:17:06] 我们的键盘控制器是
[00:17:08] 是这样的接口
[00:17:08] 你们有见过这样的吗
[00:17:10] 可能有就是你们拆过
[00:17:11] 如果拆过老机器
[00:17:12] 然后或者从家里什么地方翻出一个老鼠标
[00:17:15] 你会发现是这样的接口
[00:17:16] 他有六根线
[00:17:18] 然后你你们有没有仔细的看过那个USB接口的
[00:17:21] 那个线
[00:17:22] 哈哈USB接口这个这个里面也是有有引脚的
[00:17:26] 应该是这个应该是八根线
[00:17:28] 然后这个PS2的接口一共有六根线
[00:17:32] data数据clock Vcc ground
[00:17:36] 就是电平高电平和和低电平
[00:17:39] 然后有两个预留的
[00:17:42] 然后有两两根线是是没有任何任何功能的厂商
[00:17:45] 可以
[00:17:45] 可以可以自己定义
[00:17:46] 然后这枚这样像你的data就可以呃传输
[00:17:52] 传输数据
[00:17:56] IO的这个地址空间上面的
[00:17:59] 端口660和和六四
[00:18:01] 然后然后这是com
[00:18:03] 应该是PS第一个接口
[00:18:04] 然后六零是DA
[00:18:06] 六四是CUS和common
[00:18:07] 然后比如说你你可以写
[00:18:09] 写一些特殊的字符给
[00:18:12] 比如说command
[00:18:13] 你就可以配置你的键盘和鼠标
[00:18:15] 在在以前
[00:18:17] 你你的键盘是和TTY比较像的
[00:18:19] 比如说你在按下一个键
[00:18:21] 比如按下一个A的时候
[00:18:22] 它就不断的向你隔一小段时间
[00:18:24] 可以下发送一个A按键
[00:18:25] 发送一个A按键
[00:18:26] 发送一个A按键
[00:18:28] 然后你是可以控制这个行为的
[00:18:29] 然后这个间隔是写在你的键盘的控制器里面的
[00:18:33] 这样他就可以减轻CPU的负担
[00:18:35] CPU那个时候因为CPU其实速度很慢
[00:18:38] 所以大家会希望尽可能的把功能放到设备上
[00:18:41] 然后这些就变成你
[00:18:42] 你可以用一些特殊的字符串
[00:18:44] 或者说特殊的字节去去配置你的键盘
[00:18:48] 比如说可以让你的capsule和灯亮或者灭
[00:18:50] 或者让你的按键的重复的延迟
[00:18:54] 高和低
[00:18:55] 但现在更多的是
[00:18:56] 我们是把这些
[00:18:57] 直接是把你按下的键和松开的键
[00:19:01] 来发给你的软件
[00:19:02] 然后用你的软件来决定给你发送多少个这个
[00:19:05] 按键的序列
[00:19:06] 这样你可以在在操作系统里面
[00:19:08] 可以可以改变这个按键
[00:19:10] 按键重复的啊延迟
[00:19:11] 但呃以前确实是这样设计的
[00:19:14] 所以你看到IO设备其实没什么
[00:19:16] 没什么了不起的
[00:19:17] 他就是就是寄存器
[00:19:19] 然后你只要有寄存器
[00:19:20] 你就可以可以和另外一个东西
[00:19:22] 电路做的东西发送
[00:19:24] 发送和接收数据
[00:19:25] 然后你就可以可以实现input和output
[00:19:28] 然后除了键盘以外
[00:19:29] 还有类似的是这个ATA的控制器
[00:19:32] 叫这叫advanced technology attachment
[00:19:34] 然后他连到那个IDE的磁盘接口
[00:19:37] 一个很胖的数据线
[00:19:38] 如果你们装过的话
[00:19:39] 如果这你们装过电脑的话
[00:19:41] 你们可能用过那个非常胖的
[00:19:43] 那个数据数数据线
[00:19:45] 一个40ping的呃data
[00:19:46] 然后他也有两个映射到X86里面的
[00:19:49] EF0到EF7
[00:19:50] 170~177
[00:19:52] 然后你同样的也是你
[00:19:53] 你等到如果你想要从磁盘里面读一些数据的话
[00:19:56] 你可以先等磁盘ready
[00:19:58] 等到磁盘ready
[00:19:59] 当然也是从这个stages里面去去读
[00:20:02] 读取计算器里面读取ready以后
[00:20:04] 你就往我往这个正确的寄存器里面
[00:20:07] 写上正确的值
[00:20:08] 我要读多少个sector
[00:20:09] 我要读多少
[00:20:10] 相当于读多少个小块
[00:20:11] 然后巧块的编号是什么
[00:20:13] 然后呃最后呃把这个读的命令给写到一个
[00:20:17] 正确的呃计算器里
[00:20:19] 然后你就可以可以去读读数据了
[00:20:21] 可以去四个字节
[00:20:22] 四个字节
[00:20:23] 四个字节去读数据好
[00:20:25] 那这其实已经构成了一个经典
[00:20:28] 计算机世界的全部了
[00:20:29] 你想你有键盘
[00:20:31] 你有鼠标
[00:20:31] 你有磁盘
[00:20:32] 你有终端嗯
[00:20:35] 呃当然你还可以有一个显示器
[00:20:37] 显示器可能一会我我再我我我再讲
[00:20:40] 那确实是一个完整的啊计算机的体验
[00:20:43] 但是但是
[00:20:45] 如果你想要真正的和物理世界交互起来
[00:20:49] 你还会享有更多有趣的东西
[00:20:52] 比如说打印机
[00:20:54] 有没有同学想过打印机是是什么
[00:20:58] 首先根据我上课的这个说法
[00:21:01] 任何的IO设备
[00:21:02] 在CPU的眼里看来都是一堆寄存器
[00:21:05] 所以你的打印机打印机应该也是一组寄存器
[00:21:09] 那你会想打印机到底收什么数据
[00:21:14] 发什么数据呢
[00:21:15] CPU会给他发送什么样的数据
[00:21:18] 然后他会把什么东西返回给CPU呢
[00:21:20] 模型一定是这个模型
[00:21:23] 有意思
[00:21:24] 然后然后然后你你去考考古
[00:21:26] 你就会发现里面有很多啊非常有意思的
[00:21:31] 老的呃文档和手册
[00:21:34] 然后这些文档和手册
[00:21:35] 我觉得都都是真的是可以
[00:21:37] 可以花点时间去读一读
[00:21:39] 尤其是你可以让AI来帮你帮你读一读的
[00:21:44] 这是个打印机
[00:21:46] 这个打印机和我们今天的打印机很不一样
[00:21:49] 它不一样在哪里
[00:21:51] 你们你你们看到了吗
[00:21:52] 它打印的方式和我们今天这种
[00:21:54] 基于点阵的打印方式是不一样的
[00:21:56] 我们现在的打印机
[00:21:57] 不管是激光打印机还是喷墨打印机
[00:21:59] 它都是以一个小点一个小点的方式
[00:22:02] 不管他是用热转印
[00:22:04] 转印那个墨粉还是用喷墨的方式
[00:22:06] 都是用小点把小点打到纸上
[00:22:08] 然后呃指那个油墨干了以后
[00:22:11] 你就能看到一个一个图形
[00:22:13] 但呃最早的时候的打印机他做不了那么精精细
[00:22:18] 所以早期的打印机它就是一支笔
[00:22:21] 甚至你可以叫它绘图仪
[00:22:22] 然后这支笔
[00:22:24] 你想如果我要在一个二维的平面上面画画
[00:22:27] 一张纸上面打印东西画画
[00:22:29] 那我们需要的就是几个自由度
[00:22:32] 几个自由度
[00:22:32] 我我只要本质上我只要能够有一个打印头
[00:22:36] 或者说一支笔
[00:22:37] 然后这支笔我可以提起放下
[00:22:40] 然后向左移
[00:22:42] 向右移
[00:22:43] 向上移
[00:22:43] 向下移
[00:22:44] 或者同时向左这样移
[00:22:47] 我是不是就可以画出任何图形了
[00:22:49] 理论上说我就可以画出任何图形
[00:22:51] 我只要有X轴Y轴的移动
[00:22:55] 还有提和放
[00:22:56] 我就可以打印任何东西了
[00:22:58] 所以你会想
[00:22:59] 如果让你设计一个答案
[00:23:01] 让你穿越回1950年
