[00:00:00] 今天我们来讲并发算法和并发的数据结构
[00:06:31] 有点出乎我的意料
[00:06:32] 你看你可以先先print environment门零得到地址
[00:06:36] 然后你再去地址的mapping里面去查看这个
[00:06:40] 地址空间的位置
[00:06:43] 然后你你就你就能回答这个问题了
[00:06:45] 所以其实都是一些你不需要记的细节
[00:06:47] 但是你你有概念的时候
[00:06:49] 你就可以答对的
[00:06:50] 题目
[00:06:52] 定位map的system call指令
[00:06:54] 你可以你可以trace所有的指令
[00:06:56] 然后甚至你可以单步
[00:06:57] 你写一个
[00:06:58] 写一个hook
[00:06:59] 你在每一次停下来的时候
[00:07:00] 你单步执行
[00:07:01] 然后每次hook停下来的时候都检查一下
[00:07:03] 理论上这个问题和下一个问题
[00:07:06] 从杠四二到main都可以用
[00:07:07] 都可以用这个方式来来来处理AI
[00:07:11] 还知道这个啊GDP的
[00:07:14] GB有一个reverse execution的机制
[00:07:16] 然后但是他的代价是记录每条指令
[00:07:18] 而因为它的代价是记录每条指令
[00:07:20] 所以你希望知道一共执行多少条指令
[00:07:22] 你正好可以借用这个啊这个这个机制
[00:07:26] 他他还提问
[00:07:27] 他反问你说动态链接附加每次要多几万条指令
[00:07:31] 这个就是啊LDLINUX就是动态加载的代价
[00:07:34] 这个到底值不值呢
[00:07:36] 当然是值得
[00:07:36] 我上课的时候说过
[00:07:37] 在整个系统里面
[00:07:38] 你都只有一份LIBC的代码的拷贝
[00:07:40] 所以这个呃花一点时间
[00:07:43] 相当的值得对
[00:07:45] 第三个题找不到fire结构体的定义
[00:07:47] 这个题我还没改完
[00:07:48] 但好像大家也主也处理
[00:07:50] 也不是不是特别好
[00:07:51] 呃solar structure fire什么都没呵
[00:07:53] 什么都没找到
[00:07:54] 这是一个很很有意思的问题
[00:07:56] 你你知道STRUCTIFILE
[00:07:58] 在但是你没有看到一个struct file的
[00:08:00] 那个像C里面就你们会定义一个struct file
[00:08:03] 然后大括号
[00:08:03] 然后在里面写那个
[00:08:05] 他实际上他是杠IO杠坏
[00:08:07] 它是一个啊
[00:08:08] 它是一个type define定义的
[00:08:09] 所以你其实要找的是这个法
[00:08:11] 然后他给了一些
[00:08:12] 你看他给了一些
[00:08:14] 用他的知识给了一些答案
[00:08:16] 但是如果你让他假设没有这个知识的话
[00:08:18] 他一样也可以
[00:08:18] 你看他可以告诉我
[00:08:20] GC杠E查看预处理的结果
[00:08:22] 你们如果你们如果有反应有感觉的话
[00:08:25] 你会说你确实没有这个fire
[00:08:27] 但是我可以写一个
[00:08:28] 你可以写一个点C文件
[00:08:30] 然后在里面这个引用这个strut fire
[00:08:33] 然后你用GGC杠E就可以
[00:08:35] 你甚至你不需要知道GCC杠E
[00:08:36] 你知道C是经历的预编译
[00:08:38] 这个这个这件事情很重要
[00:08:40] 然后你你把它展预编
[00:08:41] 你希望用用编译器帮助你把预编译展开
[00:08:44] 你就可以知道这个问题的答案诶
[00:08:46] 编译器看到的和你看到的不一样诶
[00:08:49] 我不记得是哪个prompt让他让他这么骚包了哈
[00:08:52] 但是确实是我
[00:08:54] 我不知道
[00:08:55] 应该是我的某一个system prom都起了起了作用
[00:08:57] 让它在每一个后面都加了一个这个
[00:09:00] 这个原理ok fork对buffer和lock的影响
[00:09:05] 这个你们也可以通过你们去想嘛
[00:09:07] 一个锁的实现
[00:09:08] 比如说一个互斥锁
[00:09:11] 他如果想用FTX机制的话
[00:09:13] 它在用户空间一定是有一个int lock的
[00:09:15] 就是一把钥匙
[00:09:16] 我们打比方的时候
[00:09:17] 桌上有一把钥匙
[00:09:18] 桌上放一把钥匙放没放
[00:09:20] 那一定是一个变量表示的
[00:09:21] 这个变量可能是零
[00:09:22] 可能是一
[00:09:23] 然后这个变量是位于这个进程
[00:09:25] 自己地址空间里的
[00:09:26] 因为它位于地进程地址空间里面
[00:09:28] 所以它会复制
[00:09:29] 这个是一点一点逻辑推理推出来的
[00:09:32] 对推出来的
[00:09:33] 然后buffer会复制lock整数值
[00:09:36] 也会复制
[00:09:37] 所以在在有的时候你
[00:09:39] 如果fork的时候锁被别的线程持有自定城
[00:09:41] 就会就会思索
[00:09:43] 就是不能正常的运行
[00:09:46] 然后多线程的fork
[00:09:47] 多线程fork也是和刚才那个就是文件描述符
[00:09:50] 你要站在操作系统的设计者
[00:09:53] 这个呃这个这个角度
[00:09:55] 多线程的folk是个非常麻烦的事
[00:09:57] 因为每一个线程它是异步的
[00:09:59] 我们默认的情况下是不同步的
[00:10:01] 它我执行fork的时候
[00:10:03] 每一个线程都可能在执行任何一条指令
[00:10:06] 它就在CPU上跑
[00:10:07] 你是没有办法把它停
[00:10:08] 直接停下来的
[00:10:10] 所以呃poses fork的选择就是
[00:10:13] 只有调用fork的线程存活
[00:10:15] 其他线程都好像不存在一样
[00:10:17] 好像不存在一样
[00:10:18] 呃这是这是一个很麻烦的机制
[00:10:19] 就是当有同时有线程又有fork的时候
[00:10:22] 你其实要花一些时间去想
[00:10:24] 如果你是操作系统设计者
[00:10:25] 应该啊应该怎么办
[00:10:27] 很麻烦
[00:10:28] 所以基本上推荐的
[00:10:30] 唯一呃唯一安全的选择fork后就做了ex cc
[00:10:35] 两就fork和线程本身是有适配的
[00:10:39] 这也是大家呃就诟病这个fork的一个一个原因
[00:10:43] 多线程的fork ok
[00:10:46] 实现POPERREID
[00:10:47] 这个就是上课的时候
[00:10:48] 完全就是上课的时候
[00:10:50] 讲过的内容
[00:10:51] 你们和和管道管道你们做过那个实验
[00:10:54] 然后如果你按照实验的要求
[00:10:55] 自己写了系统调用
[00:10:56] 而不是说哎帮我AI说
[00:10:58] 帮我帮我把这个代码搞定吧
[00:10:59] 嗯你们应该有一些印象
[00:11:01] 还有些印象的时候
[00:11:01] 你应该可以把额记得
[00:11:03] 记得
[00:11:03] 这个文件描述符
[00:11:04] 在子父子进程之间是是会复制的
[00:11:07] 然后你你需要关掉合适的文件描述符
[00:11:09] 腾挪合适的文件描述符
[00:11:11] 就啊就就可以了
[00:11:13] 好很意外
[00:11:15] AI给了我就这句话
[00:11:17] 我没有没没有任何的prompt
[00:11:18] 这就说让他不要记住所有答案
[00:11:21] 他说你不需要记住所有答案
[00:11:23] 你只需要问自己
[00:11:24] 如果我是我来设计
[00:11:25] 我会怎么做
[00:11:26] 答案往往比你以为的更自然
[00:11:29] 所以在我看了AI的回答以后
[00:11:31] 我就陷入了一种比较迷茫的状态
[00:11:35] 为什么呢
[00:11:36] 你想AI在进训练的阶段
[00:11:38] 它每一个batch的训练数据都是一场考试
[00:11:41] 每一个训练数据对AI来说都是一场考试
[00:11:44] 然后每经过这一场考试以后
[00:11:45] AI就会变强一点
[00:11:47] 然后那哦我就反过头来想
[00:11:49] 就是对
[00:11:51] 因为这算是一个期中测
[00:11:52] 也算是一个尝试嘛
[00:11:53] 呃我我们也不知道在这个GENTICAI的时代
[00:11:55] 我们应该怎么考试
[00:11:57] 我们到底应该怎么考试
[00:11:59] 然后怎么在上课的时候到底应该教什么
[00:12:02] 我们我们最后我们希望的是
[00:12:03] 每一个同学可能从我们的学校出去的时候
[00:12:06] 他就是一个能够驾驭得了
[00:12:08] 那个时候的AI的一个超级个体
[00:12:11] 怎么办
[00:12:12] 我们没有没有想好
[00:12:13] 所以如果你们同学有任何想法
[00:12:14] 有答案也可以
[00:12:15] 就就过来跟我
[00:12:17] 跟我聊一聊
[00:12:18] 因为AI的表现实在是太好了
[00:12:20] 你你像像考试
[00:12:22] 如果我要考一个操作系统的话
[00:12:24] 呃考考这些东西
[00:12:26] AI因为写代码专门为写代码训练过
[00:12:29] 所以他对世界上所有的和代码相关的工具
[00:12:33] 都了如指掌
[00:12:34] 他完全知道每一个API的设计是为什么
[00:12:37] 如果那样设计会带来什么样的后果
[00:12:40] 所以这是一个非常可怕的事情
[00:12:41] 就是我们写代码永远不可能写过AI了
[00:12:43] 我也不可能写过AI了
[00:12:45] 那我们又应该应该怎么办
[00:12:48] 然后然后同时你又发现
[00:12:50] 如果我呃上课的时候
[00:12:53] 比如说我不教这些东西
[00:12:54] 不教文件描述符是怎么复制的
[00:12:55] 不教这个GDP是怎么工作的
[00:12:57] 不带你们调试代码
[00:12:58] 你们又又会对AI越来越失控
[00:13:02] 你你们就等于说给AI提一个需求吧
[00:13:04] 然后AI第一遍做错了
[00:13:05] 第二遍他开始用GDP开始调试
[00:13:07] 调调调
[00:13:07] 然后改
[00:13:08] 然后用各种奇怪的工具
[00:13:10] 然后看输出
[00:13:11] 最后AI1打头说哎我给你搞对了
[00:13:13] 那你你们的这种失控感会会越来越强
[00:13:17] 你们怎么应对这个失控感
[00:13:19] 其实我我没有这个问题的答案
[00:13:21] 我觉得可以和和所有的同学
[00:13:23] 都都要花一点时间来
[00:13:25] 来来探讨一下
[00:13:26] 这个是呃是期中测验的部分
[00:13:29] AI的答案实在是太完美了
[00:13:31] 所以嗯不知道我不知道应该怎么办
[00:13:35] 当然不管怎么样
[00:13:36] 我们的概念还是还是要讲的
[00:13:39] 呃你们只有了解了这些概念
[00:13:41] 你们才才知道用什么样的prompt
[00:13:43] 让AI去往哪一个方向
[00:13:45] 努力至少今天
[00:13:46] 到今天
[00:13:47] 呃我们还没有一个很好的办法
[00:13:49] 让AI再比如说有创造性的部分
[00:13:51] 比如说系统的设计
[00:13:52] 架构的设计
[00:13:53] 然后工具的一些工具的设计上面
[00:13:57] 形成他自己的品位
[00:13:59] 而可能我觉得可能做大家说做得比较好的
[00:14:02] 架构师
[00:14:03] 或者说就是那种比较细腻的程序员
[00:14:05] 他真的真正能能做的就是他有比较好的品位
[00:14:08] 然后他能知道这件事情这样做会更好
[00:14:11] 而那样做也可以
[00:14:12] 但是可能不那么好
[00:14:13] 而AI因为已经被被翻译弄成一个舔狗了嘛
[00:14:17] 所以所以就是你说什么
[00:14:18] 他就一定会照着你做
[00:14:19] 然后你说什么一定照你做的时候
[00:14:21] 你嗯呃可能还不如一个有品位
[00:14:24] 但是会背着你干的人来
[00:14:26] 可能它达到同一目标
[00:14:29] 可能会更更好一点
[00:14:30] 但我们不知道哪一天AI就可以做到了
[00:14:32] 那另外呃我们还是回到继续讲并发并发
[00:14:36] 我们今天就又回到前几次课
[00:14:38] 讲了一个呃一个问题是sum加加
[00:14:41] 其实SAM加加
[00:14:42] 在并发编程里是一个非常常见的pattern
[00:14:46] 呃我虽然这是一个过度简化的例子吧
[00:14:48] 我创建一个t sum
[00:14:49] 然后我在TSUM里面
[00:14:50] 获得一把互斥锁
[00:14:51] 在持有这把锁的时候做SAM加加
[00:14:53] 这样我我我无论有多少个线程
[00:14:56] 比如说我一共加了1万次
[00:14:57] 那我最后一定会得到sum等于1万
[00:15:00] 这个互斥是可以正确的
[00:15:01] 然后这个模型或者说这个比较简化的
[00:15:04] overly simplify的模型在实际中的意义是什么呢
[00:15:07] 在实在实际中
[00:15:09] 你被锁保护的部分
[00:15:11] 可能很可能是一个数据结构的操作
[00:15:13] 一个数据结构操作
[00:15:14] 比如说你你可以往Buff里面写一个东西
[00:15:17] 就比如说你print f的时候
[00:15:19] 你有两个线程在print f的时候
[00:15:21] 它它们是共享这个进程的一个buffer的
[00:15:23] 然后这个buffer当然他有一把锁
[00:15:24] 然后锁上这把锁以后
[00:15:26] 他就可以往这个buffer里面写东西
[00:15:28] 那两个线程就可以并发的
[00:15:30] 甚至是并行的
[00:15:32] 当然这个锁其实是阻止了并行
[00:15:34] 并发的网buffer里面写东西
[00:15:36] 然后你的SEDL就可以看到
[00:15:38] 不被不被打乱的这个正确的数据
[00:15:41] 这是这是一种就非常常见的Python
[00:15:43] 然后另外的还有Python
[00:15:44] 比如说你有一个key value的dictionary
[00:15:47] 然后你你的dictionary里面
[00:15:48] 你可以哦更新这个数据结构
[00:15:50] 那你只要这个锁保护住这个数据结构
[00:15:53] 就是啊就是安全的
[00:15:54] 然后在之前嗯前几次课的时候
[00:15:58] 我们也给大家做过这样的呃实验
[00:16:01] 我们对比了好几个做sum加加的实现
[00:16:04] 比如说我直接甚至直接用汇编语言
[00:16:07] 直接用汇编语言
[00:16:09] 实现一个原子的sum加载最快
[00:16:11] 这当然这是最快的
[00:16:12] 因为我都甚至都没有获取锁和
[00:16:15] 和释放锁的过程
[00:16:16] 然后也有这用peace read的锁
[00:16:18] 然后用啊我们自己实现的spring log
[00:16:21] 一个呃我手写的
[00:16:24] 我不断的试图去去桌上拿钥匙的
[00:16:27] 这样的一个过程实现的log
[00:16:30] 然后以及呃我们强行进入操作系统内核的
[00:16:34] 使用FTEXT系统调用的锁
[00:16:36] 然后我们看到看到了随着线程数的增长
[00:16:42] 这个实验是在我的啊这台数莓派上跑出来的
[00:16:45] 随着线程数量的增长
[00:16:47] 我们每一个操作所花去的时间
[00:16:51] 像进入进入超雄内核或者是spin
[00:16:54] 每一个每一次SAM加加的时间都在增长
[00:16:58] 这显然是一个很糟糕的事
[00:16:59] 就相当于我线程越多
[00:17:01] 我的性能还越差
[00:17:03] 然后你看到随着线程的增加
[00:17:06] 这个比如说四个八个16个
[00:17:08] 我们的MUTEX和atomic
[00:17:11] 基本上性能就保持不变了
[00:17:13] 性能就性能就保持不变了
[00:17:15] 至少它不下降了
[00:17:16] 但是不下降
[00:17:18] 这也是也是一个很糟糕的事儿
[00:17:22] 为什么呢
[00:17:22] 理论上说
[00:17:24] 如果你的算法是设计的非常好
[00:17:27] 当我多一个一个CPU的时候
[00:17:29] 如果我要花一秒钟
[00:17:32] 那我两个CPU我就应该花0.5秒
[00:17:34] 四个CPU就应该花0.25秒
[00:17:36] 因为我给他分配了更多的算力
[00:17:39] 我们的每一个CPU都是独立的
[00:17:41] 它都可以独立的执行指令
[00:17:43] 独立的响应中断那一个好
[00:17:45] 真正好的实现
[00:17:46] 就应该能够把CPU的计算力百分之百的给用起来
[00:17:50] 而你看到一个操作在一个CPU的时候是最快的
[00:17:53] 两个CPU时候变慢了
[00:17:54] 四个CPU变得更慢了
[00:17:56] 然后八个16个开始
[00:17:58] 不变了
[00:17:58] 就饱和力度就不变了
[00:17:59] 所以这根本就不能说是性能好
[00:18:01] 这可以说是一个性能很差
[00:18:03] 非常非常差的实现
[00:18:04] 因为你你真正想要的是
[00:18:07] 随着你CPU数量的增加
[00:18:10] 你每秒钟能够完成的操作要要增加
[00:18:14] 而mutex lock最好情况就是
[00:18:16] 你你到某一个地方就到顶了
[00:18:18] 然后再再增加
[00:18:19] 它也不不能不会有任何的性能损失
[00:18:22] 但是因为music lock是串行的
[00:18:25] 它它阻止了并行
[00:18:26] 所以这不是我们想要的东西
[00:18:29] SAM加加的这个例子
[00:18:30] 或者说这个数字锁的例子告诉我们
[00:18:33] 我们的锁它给了我们的完整的SERIALIZABILITY
[00:18:37] 就是说我们可以看到lock on lock在第一个线程
[00:18:39] 然后第二个线程我们可以清楚地排除
[00:18:42] 每一次上锁和解锁之间的顺序
[00:18:44] 而且我们保证了release
[00:18:45] release acquire之间的额数据的可见性
[00:18:48] 这这点其实其实很重要
[00:18:50] 就是我们如果有个X等于一
[00:18:52] 然后我们有一个unlock
[00:18:54] 这时候如果我们在在另外一个线程里面lock的话
[00:18:58] 我可以保证
[00:18:59] 因为因为这个X等于是happen before这个的
[00:19:02] 我们的锁的实现会使用
[00:19:05] 使用特别的指令
[00:19:06] 告诉CPU
[00:19:08] 在unlock的时候
[00:19:09] 告诉CPU或者在lock的时候
[00:19:10] 他可能会用一对指令
[00:19:11] 这个X等于一
[00:19:12] 必须在这个如果这个时候要读X的话
[00:19:15] 它必须能够看到X等于一
[00:19:16] 而不能看到一个更旧的值
[00:19:19] 但这是要付出代价的
[00:19:20] 这个代价就是SCALABILITY
[00:19:22] 没有性能
[00:19:23] 没有办法
[00:19:23] 随着CPU的线程或者机器的增长而增长
[00:19:26] 而我今天要讲的
[00:19:28] 主要的问题就是
[00:19:29] 我们怎么去设计一个合适的并发算法
[00:19:33] 和并发的数据结构来实现scale up和scale out
[00:19:36] scale up和scale out是两个稍微有点不一样的概念
[00:19:38] scale up你可以想象一台计算机线程数的增长
[00:19:42] 它可以性能不断的增长
[00:19:43] 然后scale out是你
[00:19:44] 你可以再来一台计算机
[00:19:46] 再来一台计算机
[00:19:47] 再来一台计算机
[00:19:48] 计算机数量的增加
[00:19:49] 你的性能依然可以增长
[00:19:51] 然后这两个就怎么样
[00:19:53] scale up和scale out其实是呃这几年这些年吧
[00:19:57] 或者说如果如果说是大数据和AI的时代
[00:20:01] 这个底下最核心的引擎
[00:20:04] 就是因为我们的各种各样的信息系统
[00:20:06] 可以Scout和scale out
[00:20:08] 你才有呃每个这
[00:20:10] 全国人民都在刷抖音
[00:20:12] 你可以支撑起这样的
[00:20:15] 这么如此大的数据量
[00:20:16] 然后以及呃全国人民都在调大圆模型的AAPI
[00:20:20] 所以AI超算是现在呃最热门的呃事情之一
[00:20:25] 那我们就先从并行的算法来来讲起
[00:20:28] 因为其实呃我今天要讲的并行算法
[00:20:30] 会比并行的数据结构简单一点
[00:20:31] 然后后面再来讲
[00:20:33] 变形的数据结构和和你们的啊MALLOC
[00:20:37] 然后你们会想
[00:20:39] 如果你们要去实现这个scale up或者skill out
[00:20:43] 你们应该怎么办呢
[00:20:45] 任何一个呃并行计算的问题
[00:20:49] 其实它的本质都是一个计算图
[00:20:51] 打比方打比方随便一个
[00:20:54] 比如说一个矩阵上的呃动态规划
[00:20:56] 那么每一个节点都是一个计算
[00:21:00] 都是一个计算
[00:21:01] 然后每一条边都是一个依赖关系
[00:21:04] 比如说我我这边有一个什么DPIG
[00:21:06] 等于我需要一个DPI减一
[00:21:09] 它是一个函数吗
[00:21:10] DPI减1J
[00:21:13] 然后一个DPI减1J减一
[00:21:16] 还有一个DPIJ减一
[00:21:19] 它它总是这几个数值的一个一个函数
[00:21:22] 所以所以会得到一个这样的依赖关系图
[00:21:25] 那么只要只要每一个节点上面的计算量很大
[00:21:30] 然后这个部分计算又不需要上锁
[00:21:33] 比如说本身就不涉及到共享变量
[00:21:35] 那么这个算法就可以让上锁和解锁之间
[00:21:42] 这一段被串行化的区域变得很小
[00:21:44] 一旦它变得很小
[00:21:46] 我们的系统就可以scale up
[00:21:48] 也可以scale out了
[00:21:51] 比如说比如说还是这个这个例子
[00:21:54] 如果你你你让
[00:21:56] 就每个DPIJ都作为一个节点的话
[00:21:58] 那这个计算图其实是设计的很糟糕的
[00:22:02] 因为我们需要呃需要这个上锁
[00:22:06] 然后确保确保自己呃可以运行
[00:22:10] 比如说有有有
[00:22:11] 不管你是用条件变量去weight也好
[00:22:13] 还是用信号量
[00:22:14] 我我有三个
[00:22:16] Predecessors
[00:22:16] 那我就可以P3次
[00:22:18] 然后我在这V1次
[00:22:19] 在这V1次
[00:22:19] 在这V1次
[00:22:20] 我我V3次以后我就可以执行了
[00:22:22] 但是这些同步的操作
[00:22:26] 互斥锁都是有代价的
[00:22:28] 然后你付出了这么多代价以后
[00:22:29] 你只做了一个DPIJ
[00:22:30] 等于DPI减1J加一
[00:22:32] 只做了12223部这个算术运算
[00:22:36] 然后就没有了
[00:22:37] 然后你又要去花很多的代价去做同步的运算
[00:22:40] 然后即便是说
[00:22:42] 可能这个B计计算图到一定程度的时候
[00:22:45] 它的并行度足够高
[00:22:48] 依然可能不是一个
[00:22:49] 你认为特别好的一个一个算法
[00:22:51] 所以你你在解决这个
[00:22:53] 如果要解决LCS这个问题
[00:22:54] 你会怎么样呢
[00:22:55] 你可以这样填
[00:22:56] 同样也就是说你如果要解决一个并行计算问题
[00:22:59] 你可以在计算图上做很多的文章
[00:23:02] 比如说在最开始的时候
[00:23:05] 你可以把整个上面这个小三角形
[00:23:08] 都变成一个节点
[00:23:09] 你就串行的算
[00:23:11] 不要花费太多的代价
[00:23:12] 因为他可能本身就算的很快
[00:23:14] 几百个几百个东西
[00:23:15] 然后直到你的并行度上来以后
[00:23:18] 你可以按照这条对角线来切
[00:23:21] 比如说你可以把这个对角线切成两份
[00:23:23] 两份分成二和三
[00:23:25] 然后这这个再切成两份二和三
