[00:00:00] 今天我们来讲应用视角的操作系统
[00:03:30] 有没有一种感觉
[00:03:31] 虽然C语言是一种高级语言
[00:03:33] 所以你可以写很多它
[00:03:34] 它提供了很多方便的呃写法
[00:03:37] 比如说X等于Y加Z加W
[00:03:40] 你可以写写一个很长很长的呃表达式
[00:03:44] 但是你总是可以把任何一个无无
[00:03:48] 你这这里甚至是
[00:03:50] X等于你还可以函数调用
[00:03:55] 你可以写个任意复杂的的表达式
[00:03:57] 但是你总是可以把它改写成
[00:04:01] 每一行都只做一小件事情的形式
[00:04:05] 你如果想要把它改写掉
[00:04:06] 你可以你可以说哈
[00:04:07] 我们可以T
[00:04:09] T1等于Y加Z
[00:04:12] 然后呃T2等于T1加W
[00:04:16] OKX等于T2
[00:04:17] 你你任何一个任何一个
[00:04:19] 你在条件里面写很多很多东西
[00:04:21] 或者你在函数调用的参数里面
[00:04:23] 写一个复杂的表达式
[00:04:24] 你都可以用这种方式把它提出来
[00:04:26] 提完了以后
[00:04:28] 任何C程序都写成每行只做一小件事情的形式
[00:04:32] 那么理论上说是不是我们C语言
[00:04:36] 如果你每次都单步执行这一个语句
[00:04:41] 这个语句是不是就可以和几个指令给对上
[00:04:45] 你们在计算机系统基础课上面
[00:04:48] 写过一个全系统的模拟器
[00:04:50] 模拟器说好
[00:04:51] 我有一个CPU state
[00:04:52] C p u state
[00:04:53] 包括每一个寄存器的值
[00:04:54] 和内存里面每一个单元的值
[00:04:56] 然后你会根据这个program counter pc pc处的这个呃指令
[00:05:02] 它可以一码
[00:05:03] 然后知道这条指令是干什么的
[00:05:05] 比如说这条指令是要把两个寄存器的值加起来
[00:05:07] 放回到另外一个寄存器里那一样的
[00:05:10] 我们的C语言里面
[00:05:11] 绝大部分所有的程序基本上也都是这样的
[00:05:13] 当你有个PC
[00:05:14] 你一个program counter也就是GDP的那个高亮的那个条子
[00:05:17] 在这的时候
[00:05:18] 你就知道这个语句要做什么
[00:05:20] 然后就把它做了
[00:05:21] 然后你同样你可以遇到像分支
[00:05:23] 循环啊这样的语句
[00:05:24] 可以呃也是一样的处理的
[00:05:27] 如果如果如果是比如说X是吧
[00:05:31] 我可以
[00:05:31] 我总是可以把一个C程序改写的足够简单
[00:05:34] 使得每一个条件判断里面
[00:05:36] 都直接是一个布尔的变量
[00:05:37] 如果它不是
[00:05:38] 我就可以把它提到外面
[00:05:39] 那相当于如果我们的PC
[00:05:41] program counter在这个位置的时候
[00:05:43] 那我就可以从X的变量里面取一个值
[00:05:47] 如果他是true
[00:05:48] 我就走
[00:05:48] 就把PC跳到这里
[00:05:49] 如果是false
[00:05:50] 就把PC跳到这里
[00:05:51] 这个语这个语语法的行为和跳转是完全一样的
[00:05:56] 然后包括while循环
[00:05:57] 就是一个也是一样的
[00:05:58] 一个带条件的挑战
[00:05:59] while和if辅是是
[00:06:00] 最后你你感觉上是
[00:06:02] 你如果要解释执行它是一样的
[00:06:03] 所以你你可以感受到刚才我说了一句话
[00:06:07] 说C语言是一种高级的汇编语言
[00:06:11] 为什么它是高级汇编语
[00:06:13] 因为你你当你把C改写成这个形式以后
[00:06:16] C语言里面所有的语法成分
[00:06:19] 都可以直接用几条非常显而易见的汇编指令
[00:06:23] 给写出来了
[00:06:24] 你可以基本上原样
[00:06:25] 把C1代码直接翻译成汇编代码
[00:06:27] 这也就是说C语言的编译器是非常容易构建的
[00:06:30] 你想想如果是在JAVASCRIPT里面
[00:06:32] 或者在C加加里面
[00:06:34] 你C加加调用一个函数
[00:06:36] 你在你在C加里调用函数
[00:06:38] 比如说pointer的
[00:06:41] 他干的事情会比你想象的要多
[00:06:43] 他可能是一个虚函数
[00:06:45] 大家还记得什么是虚函数吗
[00:06:46] 忘记了
[00:06:47] 忘记了可以忘记
[00:06:48] 但但你就知道你你你马你马上很难反应过来
[00:06:54] 这样的一行代码会被翻译成什么
[00:06:57] 会被翻译成什么样的指令序列
[00:06:59] 你你一下子反应不过来
[00:07:01] 那你会知道
[00:07:02] 对象里面有一个v table
[00:07:04] 它有一个函数表
[00:07:05] 然后你你你的这个pointer的负
[00:07:07] 它会调去函数表里面
[00:07:09] 如果它是虚函数了
[00:07:10] 他会查表
[00:07:12] 所以这这个编译器的行为
[00:07:13] 就比C语言的一个编译器要复杂得多
[00:07:15] 但CC的好处是
[00:07:17] 我们几乎总是可以直接把它
[00:07:20] 把一个这样的simple c翻译成啊相应的呃汇编语言
[00:07:25] 然后然后呢
[00:07:26] 你能呃你你能把呃程序写成这个形式
[00:07:32] 那我们当然可以让大模型来帮我们
[00:07:35] 把程序写成这个形式
[00:07:36] 理论上说你可以写一个编译器
[00:07:37] 而且确实有人写了
[00:07:38] 这是一个我我给了链接
[00:07:40] 一个CRL是一个已经有好几十年的
[00:07:43] 有没有20年没有20年十几年的呃老项目了
[00:07:46] 它它就通过把一个可以把一个C99
[00:07:49] 符合C99标准的程序
[00:07:50] 再编译成一个更简单的C语言
[00:07:53] 人用应该是用CAO写的
[00:07:55] 我们以前还有还做做research
[00:07:56] 还用过他可以把C改写成一个更简单的形式
[00:08:00] 我们可以做程序分析
[00:08:01] 或者做编译
[00:08:02] 做一些别的呃别的事情
[00:08:03] 那今天我们有有有大模型
[00:08:05] 我们可以嗯让大圆模型来帮我们
[00:08:11] 因为我想在上课的时候
[00:08:13] 讲这个
[00:08:15] 怎么样把C翻译成simple c
[00:08:17] 但我又不想要写一个编译器
[00:08:19] 写编译器太复杂了
[00:08:20] 那我就就能不能让他先写一份代码
[00:08:22] 我写一个
[00:08:23] 大家熟悉的
[00:08:23] 比如说hello
[00:08:24] 这就是一个非常典型的C程序
[00:08:27] 也就是也是一个非常典型的
[00:08:28] 操作系统上的应用程序
[00:08:30] 我今天的呃主题是说你看到的所有的应用程序
[00:08:34] 包括我这里你看到vs code
[00:08:36] 包括嗯你看到我刚才打开的cloud code
[00:08:39] 包括你看到显示这个桌面的
[00:08:41] 显示这个桌面的程序
[00:08:43] 它本质上都和我的呃这样的一个hello
[00:08:45] 点C是没有没有区别的
[00:08:47] 你们从学习编程的第一课就相信这一点
[00:08:53] 我才会真正把这样的一会
[00:08:55] 我会打开这样的真正复杂的程序告诉你
[00:08:57] 他是怎么和操作系统交互的
[00:08:59] 那这个程序我我当然是可以把它翻译成
[00:09:03] simple西的
[00:09:04] 如果你不相信的话
[00:09:05] 我可以试着单步调试一下
[00:09:12] 嗯对然后我就可以可以单步调试它
[00:09:18] 每一个语句
[00:09:19] 当然这个put up我就跳过去了
[00:09:21] put up它会打印一个字符
[00:09:24] 每一个语句都是简单的
[00:09:26] 比如说我在后面后面在这里58行
[00:09:31] 打一个断点继续
[00:09:34] 然后我我到这个呃print number里
[00:09:37] 我们正常人不会这样写程序的
[00:09:39] 显呃显得很很冗余
[00:09:41] 但是我确实确信是你
[00:09:44] 我可以把每一个呃每一每一行都改写成
[00:09:49] 只做一件一一个复制
[00:09:50] 就像呃你们在呃第一结构课
[00:09:54] 或者在计算机系统基础课上面学过那个指令集
[00:09:56] 一样好
[00:09:57] 当然这个平台符这个put cha我就不看了
[00:10:01] 好那我这个当然没什么了
[00:10:05] 这没什么了
[00:10:06] 我还可以干什么
[00:10:08] 这意味着什么
[00:10:09] 这意味着
[00:10:10] 因为计算机整个计算机硬件
[00:10:12] 我上一次课说过
[00:10:13] Everything is a state machine
[00:10:15] 计算机硬件是一个register和memory的一个状态驱动
[00:10:19] 下的指令的一个状态迁移
[00:10:23] 然后我们的程序其实也是这个模型
[00:10:25] 一个C程序
[00:10:26] 一个simple c程序
[00:10:28] 一个simple c
[00:10:29] 这是一个点C
[00:10:31] 然后一个点C
[00:10:32] 它同样也是执行一条语句到下一个状态
[00:10:38] 呃GDB它本身你你看到看GDB的运行
[00:10:41] 就好像解释按它实际运行呢
[00:10:43] 它就好像解释执行了刚才我写的
[00:10:47] 写的这个程序
[00:10:47] 那我们能不能马上就想
[00:10:50] 我能不能把这个程序的状态和迁移
[00:10:54] 都给打印出来呢
[00:10:56] 以前我为了要做这件事情
[00:10:58] 我我还挺挺麻烦
[00:10:59] 还挺费事的
[00:11:00] 但今天有了
[00:11:02] 有了AI以后
[00:11:03] 我发现做这件事情比想象的要简单
[00:11:08] 我我给大家准备了一个小脚本
[00:11:10] 准备的小脚本
[00:11:11] 然后整个整个这个小脚本
[00:11:13] 就就是我上面写的这个prompt
[00:11:15] 然后然后剩下的部分都是AI帮我生成的
[00:11:17] 然后我看我一眼都没看
[00:11:19] 我一页都没看
[00:11:20] 只是我可能稍微后来
[00:11:22] 为了上课的效果稍微啊改了一下
[00:11:24] 他就告诉我GDB杠Q杠X
[00:11:27] 反正这也是AI生成的
[00:11:28] 然后他说你可以用
[00:11:30] 你可以用这样的呃命令去运行
[00:11:34] 去运行这个
[00:11:37] 去运行这个任何一个程序
[00:11:38] 比如说我可以运行这个hello这个程序
[00:11:40] 然后运行它就爬哈喽
[00:11:41] 就不知道干什么
[00:11:43] 他还有一个小bug
[00:11:44] 他最后最后crash了
[00:11:45] 我就感觉他的AOHO没有做好
[00:11:47] 但是在你运行完了以后
[00:11:49] 他就会得到一个trace点log
[00:11:51] 就我我们以前比如说上课的时候说哈
[00:11:54] 硬件是一个c transition system
[00:11:57] 你花了整个计算机系统基础的一门课去
[00:12:00] 去实现一个虚拟机
[00:12:01] 你相信了
[00:12:02] 然后我今天突然说
[00:12:03] 这个C语言也是一个state transition system
[00:12:05] 然后你有点不相信
[00:12:07] 你可能有一点呃做不到
[00:12:09] 但AI马上就能给你做到任何一个程序给它
[00:12:11] 它都能把这个状态和迁移给呃给给找出来
[00:12:14] 就像我我刚才有一个比如说print
[00:12:17] 那么
[00:12:18] 那然后你你看到这
[00:12:19] 这里是从这样的一个状态是什么
[00:12:21] C等于这个D等于这个format是指一个指针
[00:12:25] 指向某一个
[00:12:26] 当然你可以把它字符串打印出来
[00:12:28] 我我只要再跟他对话几轮
[00:12:30] 他就可以把这些东西都修好
[00:12:31] 然后然后你看他会他会走到下一条
[00:12:32] NN等于N小于零
[00:12:34] 这时候N是42
[00:12:35] N是42
[00:12:37] 然后它会执行一个Q等于N除以十
[00:12:39] 然后Q等于N值除以十十
[00:12:41] 执行完了以后就是N等于42
[00:12:42] Q等于四
[00:12:43] 就像调试器一样
[00:12:44] 所以我我就向他证明了
[00:12:45] 这一点真的是真的是存在的
[00:12:47] 而且我真的可以用用一个工具
[00:12:50] 把任何一个程序的运行的
[00:12:52] 时时候的状态都给呃提取出来
[00:12:55] 这没问题
[00:12:56] 这是大家呃相对来说呃比较比较熟悉的内容
[00:13:00] 那大家比较不熟悉的内容是什么呢
[00:13:04] 我们说执行这样的一条语句
[00:13:07] 什么X等于Y加Z这个大家都知道
[00:13:09] 但是我我普遍发现
[00:13:11] 不是所有的同学都对函数调用
[00:13:15] 如果这条语句是一个函数调用
[00:13:19] 那我我们函数调用的时候
[00:13:22] 这个状态到底发生了怎样的迁移
[00:13:25] 然后为了验证大家是不是真的理解这一点
[00:13:29] 我们有一个题
[00:13:31] 大家可以想一想
[00:13:32] 如果让你写一个非递归的tower of hanoi
[00:13:35] 这ta好多好多也
[00:13:36] 这个大家都会
[00:13:37] 我来淘宝恒温恒内也简单
[00:13:39] 这还是一个复杂的版本
[00:13:41] 我们说
[00:13:41] 如果为了把把N个盘子从A柱子移到B柱子
[00:13:46] 那我就先把N减一个盘子移到C柱子
[00:13:48] 然后把一个盘子移过去
[00:13:49] 再把N减一个盘子移回来
[00:13:51] 就就这个代码上面就写了
[00:13:53] 写了这个
[00:13:54] 你们你们有没有有没有在学C加加课的时候
[00:13:56] 对这段代码感到比较困难
[00:14:00] 我认为应该都是有的
[00:14:01] 因为呃因为这个呃这个例子和你们写的那种film
[00:14:07] noi sequence吧
[00:14:08] 你可以说呃FN
[00:14:10] 然后如果N小于等于多少
[00:14:11] 就return1else return f n减一加FN减二
[00:14:14] 这样一个函数
[00:14:15] 和你们高中的时候在数学上面学的那个函数
[00:14:17] 是一样的
[00:14:19] 你可以把它写成
[00:14:20] 那你你你也写一个return这个FN减一加FN减二
[00:14:26] 哎减一加N减二
[00:14:28] 你也可以写一个return f n减二加N减一
[00:14:31] 这两个是不影响程序的结果的
[00:14:36] 这是不影响的
[00:14:37] 因为因为数学上的函数
[00:14:39] 你你给它输入一个数字
[00:14:40] 它无论无论你给他输多少次
[00:14:42] 同样的数字
[00:14:43] 他一定给你同样的结果
[00:14:44] 但是top of hanoi不是它不是的
[00:14:47] 如果你把那两个那两个调用的顺序给换掉
[00:14:52] 它就输出的就不就不是正确的结果了
[00:14:55] 所以所以你们普遍的会在
[00:14:58] 把它改写成非递归的时候遇到一些困难
[00:15:01] 这样呃我来我来我来先非正式的调查一下
[00:15:04] 如果我我比如说我上机的时候
[00:15:06] 期末考试你们不能用AI
[00:15:08] 就什么也没有
[00:15:09] 闭卷考试
[00:15:09] 让你写一个非递归的top of pannoy
[00:15:11] 然后不允许你你推导它的数学性质
[00:15:14] 因为你知道
[00:15:15] 其实你是根据可以根据当前的那个状态
[00:15:17] 如果知道哪一个碟子在哪里
[00:15:19] 你可以直接算出可以把谁挪到哪里了
[00:15:21] 如果你不允许你用这种数学的方法
[00:15:23] 把把它算出来
[00:15:24] 有多少同学能能自信
[00:15:25] 在在一个考场
[00:15:26] 一个小时或者一个半小时里写对的
[00:15:29] 有多少同学有这个自信
[00:15:31] 可以写一个非递归的淘宝好卖
[00:15:32] 没关系的
[00:15:33] 你可以举手
[00:15:34] 这个我我不会因为你不举手
[00:15:35] 就还是大家都没有自信吗
[00:15:37] 呵就假想你今天考试的时候
[00:15:39] 就就考试就给你给你考这个题
[00:15:43] 没有人举手
[00:15:44] 这个这个有有点惊讶
[00:15:45] 因为呃这也很正常
[00:15:47] 因为我我发现在老早几年以前的时候
[00:15:49] 我们经常问那个来保研的研究生
[00:15:51] 然后他们也写不出来
[00:15:52] 当然我们后来有一个更加加强版的题目
[00:15:56] 是这样的
[00:15:57] 它比他报跑能尾还要再复杂一点呃复杂是什么
[00:16:01] 它是F和G的互相调用
[00:16:03] F会掉GG会掉F它它是它是这个互相调用的
[00:16:08] 然后有的时候你看他
[00:16:10] 我调F是FN减一加GN减二
[00:16:12] 但是我调G的时候
[00:16:13] 我又会调回FN加一
[00:16:16] 然后你你当然你你会说好好你你会动态规划
[00:16:19] 或者你会这memorization
[00:16:21] 你每当有一个F或者计算出来的时候
[00:16:22] 你可以从小到大算
[00:16:24] 你算完了以后
[00:16:25] 你再算一个再算一个再算
[00:16:26] 你可以把它点改写成一个二重循环
[00:16:28] 你把它把它算出来
[00:16:29] 但是如果我要求你
[00:16:31] 比如说我我在这个这个F这里加一个print f
[00:16:35] 打印F在这个系这里加一个print打印G
[00:16:39] 我要求你写一个非递归的程序
[00:16:41] 把这个F和G就只会运行这个递归程序
[00:16:44] 它那个FG的函数调用的序列
[00:16:46] 就像我刚才刚才展示的那样
[00:16:48] 那个调用的序列给打印出来
[00:16:51] 这个题就难了
[00:16:52] 我觉得我们研究生也就我我们我们能在南大
[00:16:55] 能考上南大研究生的
[00:16:57] 保上南大研究生的同学里面
[00:16:58] 能把这个写对的几乎很少
[00:17:00] 肯定有
[00:17:01] 这个这个没有
[00:17:02] 那么困难
[00:17:02] 但是但是很少
[00:17:03] 而且这一直以来是一个我考AI的考题
[00:17:06] 然后就有三个
[00:17:08] 所以考题有三个版本
[00:17:09] 第一个版本就是写一个非递归的top of hanoi
[00:17:12] 第二个是你要能写对这个这个非递归的F和G
[00:17:16] 但AI会逃课
[00:17:17] 有的时候他会用一些奇奇怪怪的方法
[00:17:19] 这个出乎我意料的方式把它做对
[00:17:22] 但是确实是对的
[00:17:23] 但是也是非递归的
[00:17:23] 但是好像不是我们想要的那一个完整的呃模拟
[00:17:27] 然后然后当然最难的是输出函数调用的呃序列
[00:17:31] 然后你可以看到这几年的
[00:17:34] AI的能力不断的在在增长
[00:17:36] 呃从GP3.5的时候
[00:17:39] 我一上来就试过这个例子
[00:17:41] 然后我发现他竟然能写一个非递归的淘宝号码
[00:17:43] 然后我很吃很吃惊
[00:17:45] 但我想想他可能在训练数据里面见过
[00:17:48] 所以所以可能这不是什么本事
[00:17:49] 因为那个F和G互相调用
[00:17:51] 它就做不对了
[00:17:52] 然后到GPT4的时候
[00:17:53] 他其实还是做不对的
[00:17:54] 呃但是到后来事情就开始变了
[00:17:57] 呃到去年的时候
[00:17:58] deep pk r one一个能推理的模型
[00:18:00] 它就把互相调用的给做对了
[00:18:02] 但是它在如果要输出
[00:18:04] 还FG函数调用的序列的话
[00:18:06] 它它反正涂了非常非常多的token
[00:18:08] 然后写了一些伪代码什么的
[00:18:10] 他他我估计他自己也觉得他自己搞不定
[00:18:12] 但是那个方向和思路基本上是是对的
[00:18:14] 但是就就能推理的模型
[00:18:17] 是第一次能把
[00:18:19] 这个F和G的调用序列给做对的
[00:18:22] 然后当然你看今天的模型
[00:18:23] 比如说呃你们有没有感觉到deep pk的那个app
[00:18:27] app上那个模型降智了
[00:18:29] 我感觉还蛮明显的
[00:18:30] 那个就你有时候原
[00:18:31] 原本你能预期他能答对的问题
[00:18:33] 现在答不对了
[00:18:34] 还会产生产生幻觉
[00:18:35] 但是他他这个这个这个题做对了
[00:18:37] 现在不知道什么模型
[00:18:38] 我们还在等一个
[00:18:39] 可能再等一个更大号的模型发布
[00:18:41] 嗯因为据说现在现在跑的是一个200B的
[00:18:45] 比较小的模型
[00:18:45] 但没有人知道这个是是到底是不是真的
[00:18:49] OK所以如果你想要把呃这个top of hanoi
[00:18:55] 这个程序从递归改写成非递归
[00:18:58] 或者你想把任何一个程序从呃递归改
[00:19:02] 改写成非递归
[00:19:03] 你就被迫要搞清楚一件事
[00:19:06] 好在我们看这种简单的例子的时候
[00:19:10] 呃你们会产生一种错觉
[00:19:13] 那这个当我说这个程序是一个state machine的时候
[00:19:17] 它有一个状态
[00:19:18] 那这个状态是什么呢
[00:19:19] 噢那我现在的这个leico scope里面
[00:19:21] 可能有些全局的变量
[00:19:23] 全局全局
[00:19:23] 比如说全局变量s d d in
[00:19:26] S因为它是一个全局变量
[00:19:27] 它肯定有一个值
[00:19:28] 然后好
[00:19:29] 那我现在lexico scope里面也有一些别的变量
[00:19:31] 比如说N等于42
[00:19:33] 什么
[00:19:35] Q等于N乘以十
[00:19:36] Q等于四
[00:19:37] 这样等等
[00:19:39] 你们你们上课的时候
[00:19:41] 老师呃比如说讲到程序的执行的时候
[00:19:44] 是不是会会这样说
[00:19:45] 你在你在你当前是有一个状态的
[00:19:47] 然后如果你执行一个一个语句
[00:19:49] 比如说这个呃如果Q不等于零
[00:19:53] 衣服Q不等于零好
[00:19:55] 当然
[00:19:56] 因为因为因为我们说是一个state transition system
[00:19:59] 所以啊我们总有一个当当前的
[00:20:03] 像我有一段代码
[00:20:05] if什么什么什么什么什么什么
[00:20:07] 然后我有一个当前的代码
[00:20:08] 相当于我GDP就停在停在停在这个位置
[00:20:11] 然后如果Q不等于零
[00:20:12] 我就会到到下一个状态
[00:20:14] 那我PC可能就变了
[00:20:16] 如果我是一个什么Q
[00:20:17] 如果我这条语句是一个什么X等于一
[00:20:19] 那X的值就变了
[00:20:20] 但是这个不是对这个呃什么是C语言程序状态
[00:20:26] 一个完全精确的呃精确的理解
[00:20:29] 我们在这儿
[00:20:31] 如果你你呃就为什么我我在这门课上
[00:20:35] 有的时候我会说
[00:20:36] Everything is the same machine
[00:20:37] 当我们谈state machine的时候
[00:20:39] state一个state transition system的时候
[00:20:41] 比如说数字电路里面有一个
[00:20:43] 做一个012的计数器
[00:20:44] 那你你你就知道怎么把那个方程转移
[00:20:46] 方程给列出来
[00:20:47] 当我说everything is the state machine的时候
[00:20:50] 这意味着我们谈论的这个对象
[00:20:53] 是有严格的数学定义的
[00:20:55] 它是非常非常精确的
[00:20:57] 这意味着你可以用离散数学课的知识
[00:20:59] 去把它写出来
[00:21:00] 也就是说所有都是集合关系函数
[00:21:04] 你可以用这些最基本的对象定义出
[00:21:07] 什么是C语言的状态
[00:21:09] 什么是C语言的状态的迁移
[00:21:12] 它也是一个状态迁移
[00:21:13] 也是一个函数
[00:21:15] 状状态前也是一个呃也是一个函数额
[00:21:18] 理论上说这是可以办到的
[00:21:20] 当然我们一般来说
[00:21:21] 我们
[00:21:22] 同学们暂时也不是做做所谓形式化方法的
[00:21:25] 所以你不需要你不需要做的那么彻底
[00:21:27] 你不需要真的去用集合论的语言
[00:21:29] 去真的把它全部都都定义出来
[00:21:31] 但是你你背后你知道的是
[00:21:33] 你对你是可以对一个计算机世界
[00:21:37] 哪怕是一个非常复杂的操系统
[00:21:39] 上面的数学是数操系统上面真实的一个对象
[00:21:42] 他也背后有一个严格的数学理解
[00:21:44] 然后这个严格的数学理解是什么呢
[00:21:46] 我们的状态如果我们要谈C程序的状态
[00:21:50] 它不是刚才那样的
[00:21:53] 有一个PCC程序的状态是什么呢
[00:21:57] 然后C程序在初始的时候
[00:21:58] 你想想
[00:21:59] 当然我们不是讲操作系统
[00:22:00] 比如计算机系统基础上面
[00:22:01] 是怎么把把一个C程序真正在在一个硬件上面
[00:22:05] 把它跑起来的
[00:22:05] 那还涉及到一些什么application binary interface
[00:22:07] 那些我们不谈
[00:22:08] 如果就是一个C语言
[00:22:10] 在是讲C语言课的时候
[00:22:11] 一个C程序从哪里开始执行
[00:22:13] 从main开始执行对
[00:22:15] 所以当我们说所有的一切
[00:22:19] 都是有严格的数学定义的时候
[00:22:21] 我们的状态机是有一个初始状态的
[00:22:24] 那这个初始状态的时候
[00:22:26] 那就是有一个函数调用栈函数
[00:22:29] 有一个叫战争的东西
[00:22:30] 有个stack frame叫main
[00:22:32] 然后main里面那这个战争里面可以有他
[00:22:36] Sorry
[00:22:37] 可以有它所有的局部变量
[00:22:41] 当然还有全局状态
[00:22:42] 比如说说还有STDN等等
[00:22:45] 你定义的全局变量值
[00:22:47] 每个全局变量都有值
[00:22:48] 然后你你有一个函数是main
[00:22:51] 然后main有一个
[00:22:53] 有里面的有一些局部的变量
[00:22:55] 比如说AGC等于一
[00:22:57] 然后RGV是一个指针
[00:23:00] 它会指向外面的某一个地方等等
[00:23:02] 你main里面也可以定义自己的变量
[00:23:04] 好下一个问题是我们程序运行的时候
[00:23:07] 有一个当前的那个语句条
[00:23:09] 对不对
[00:23:09] 有个那个GDB调的时候
[00:23:10] 那个亮起来那一条那个东西在哪里
[00:23:14] 那个PC是在stack frame里的
[00:23:19] 这是最重要的一个区别
[00:23:20] 就是当我们说把这些事情全部都想清楚的时候
[00:23:24] 这个PC不是一个
[00:23:25] 就我刚才画那个图
[00:23:26] 其实是其实是错的
[00:23:28] PC不是在这儿有一个PC
[00:23:30] 不是的
[00:23:30] 在在模型上
[00:23:33] 当然你有有有可以和有我
[00:23:35] 我这种等价的定义方法
[00:23:36] 但呃一个比较典型的大家能够接受的是
[00:23:40] 每一个战争上有一个PC
[00:23:42] 然后我们的C语言的状态机
[00:23:47] 的执行的执行条语句
[00:23:49] 它会从top most frame的PC上面取出一条语句来
[00:23:55] 注意这是top most frame的PC上面
[00:23:58] 取出一条一条语句来取取出一条语句来
[00:24:02] 呃当然这个PC就会就会移到下一个PC
[00:24:05] 然后执行就这么简单
[00:24:07] 没有了
[00:24:09] 有一点有
[00:24:11] 这还是对大家来说有一点
[00:24:13] 没有太搞明白
[00:24:15] 没有太搞明白
[00:24:16] 当然你们可以去去把
[00:24:17] 去对着我刚才那个程序执行的这个trace
[00:24:20] 再去再去看
[00:24:23] 刚才一个简单的程序到底发生了什么
[00:24:25] OK如果如果这条语句是
[00:24:27] 所以如果这条语句
[00:24:28] 如果这个PC这边语句是X等于X加一
[00:24:30] 那PC就会到下一条语句
[00:24:31] 然后那个X的值就会就会变
[00:24:33] 但如果是一个函数调用呢
