[00:00:00] 我们上周讲了一点版本管理
[00:03:04] 你直接一个呃像agent的紫禁城的调用就就可以啊
[00:03:09] 然后如果你们有兴趣的话
[00:03:11] 可以做一个手机端的联动
[00:03:12] 也许是一个网页
[00:03:13] 也许是一个呃别的
[00:03:15] 就就甚至是一个苹果的app或者是一个android的app
[00:03:18] 就你只要让A证的去做
[00:03:19] 他会自自自己去帮你下好所有需要的东西
[00:03:22] 然后把你要的东西给啊给给出给做出来了对嗯
[00:03:29] 然后为什么要布置这样的实验呢
[00:03:31] 就看起来就所有的任务都在AI的能力范围之内
[00:03:35] 对吧
[00:03:35] 但是如果你直接我今天会试的
[00:03:38] 我没有试过
[00:03:39] 直接把这个实验要求直接让AI去做
[00:03:42] 他在一开始就会做出很多
[00:03:45] 可能他认为看起来也合理的决定
[00:03:48] 但是这些决定会让你那项目的维护
[00:03:51] 变得越来越困难
[00:03:52] 越来越困难
[00:03:52] 最后直到陷入啊交流坑
[00:03:54] 所以我觉得是每个同学呃都有呃
[00:03:57] 都有必要体验一下软件工程里面的焦油坑
[00:04:01] 也就是你当你的AI is lap
[00:04:03] 开始不断的消耗你的token的时候
[00:04:05] 你你终于会有一天会下定决心好
[00:04:08] 我要把这个项目删掉
[00:04:09] 从头重做
[00:04:10] 或者就回退到从某一个很早期的版本开始呃
[00:04:14] 从头做
[00:04:15] 那这是我们呃这个实验可能想要啊
[00:04:18] 告诉大家的事情好呃
[00:04:21] 当然我
[00:04:21] 我相信这个项目对每个同学来说都是有用的
[00:04:24] 这是我也是我设计呃实验的初衷呃
[00:04:27] 我大概会这样
[00:04:29] 我可以提前预告一下呃
[00:04:31] 我的下一个lab会和这个lab有非常大的关联
[00:04:35] 而且你们暂时猜不到
[00:04:38] 然后呢你会发现你就你现在live1
[00:04:42] 比如说那些实验要求你都做好了
[00:04:44] 然后他成为一个非常非常舒适的个人助手
[00:04:47] 然后我怕给你加一个需求
[00:04:48] 然后这个需求和前面所有都是关联
[00:04:51] 并且有一定的冲突
[00:04:52] 然后你的一点就去改呃
[00:04:54] 然后越改越崩溃
[00:04:55] 越改越崩溃
[00:04:56] 就有一个这样的这样的体验
[00:04:58] 所以大家可以期待一下这个呃
[00:05:00] 这个后面的后面的live
[00:05:01] 所以如果你你不做
[00:05:02] 比如说你你现在live1选择躺倒呃
[00:05:05] 或或者就就就不管它
[00:05:07] 让AI直接就做
[00:05:07] 下一次再把这个做的直接删掉
[00:05:09] 那呃可能就没有这个软件工程的体验了
[00:05:13] 大概是我想要做这样的一个啊lab好
[00:05:17] 我们回顾一下呃
[00:05:18] 我们上节课讲的是软件的项目管理对吧
[00:05:21] 项目我们说项目是各种文件的集合
[00:05:23] 你的intent对吧
[00:05:25] 一些设计文档
[00:05:25] 你的read me都在呃
[00:05:28] 都在你的项项目里
[00:05:29] 所以所以其实我不喜欢那种AI写出来
[00:05:32] 那个非常非常长的这个read me对吧
[00:05:35] 我我喜欢的是对我来说
[00:05:37] 我觉得read me应该呃
[00:05:38] 就写一下你在设计这个项目的时候
[00:05:40] 的最初的初衷对吧
[00:05:42] 你想做一个什么样的产品
[00:05:44] 然后这个产品能达到什么样的效果
[00:05:46] 可能可以两个spring shots呃
[00:05:48] 以及你最重要的那些设计呃
[00:05:50] 有有有点什么感觉呢
[00:05:52] 呃有一天你你你你突然想了一个非常好的点子
[00:05:56] 然后你真的想用它去挣一个亿
[00:05:58] 然后你想挣一个亿的时候
[00:05:59] 你要组建一个额创业团队
[00:06:02] 你要说服你那个computer science里面对吧
[00:06:04] 比如你要说服我出来干
[00:06:06] 然后你你就只其实只需要一个比较短的
[00:06:09] read me对吧
[00:06:09] 这是你的INTE能想做这个东西
[00:06:11] 那剩下比如说我有架构的能力
[00:06:12] 我有写代码能力的
[00:06:13] 我可以把剩下的东西的给你给你补出来
[00:06:16] 你你不需要知道这个软件系统是怎么样对吧
[00:06:19] 它的SPICATION是什么
[00:06:20] 他用什么样的数据库
[00:06:21] 怎么样支持这个用户
[00:06:23] 从1~10到100到100万到1亿对吧
[00:06:27] 这个价格你你你可能没有呃
[00:06:29] 这个COMMERCISCIENCE的知识
[00:06:30] 但是你不需要有你你只要有那个最原始的设计
[00:06:33] 那intent
[00:06:34] 然后再到spec
[00:06:35] 就有我刚才说的一些呃
[00:06:36] 我要选什么样的数据库啊
[00:06:38] 我甚至要选什么样的编程语言啊
[00:06:40] 然后我的项目的结构是什么啊等等啊
[00:06:42] 各种各样的呃
[00:06:43] 小到比如说每个模块的接口都属于spec
[00:06:46] 然后再到code implementation
[00:06:47] 它现在都在都在这个项目里
[00:06:49] 那有这样的项目以后呃
[00:06:51] 很自然的你就呃你就需要一个呃容器
[00:06:55] 把这些各种各样的文件给给管理出来
[00:06:58] 呃那我们说呃大家用文件系统来管理项目
[00:07:02] 其实真的就是图方面
[00:07:03] 因为你回到1950年
[00:07:04] 19600年的时候呃
[00:07:06] 操作系统给你的存储功能就只有文件
[00:07:10] 他没有别的
[00:07:11] 就那个时候数据库还关系型
[00:07:13] 数据库还没有发明出来
[00:07:14] 所以所以所有的程序员他别无他法
[00:07:17] 只能把你的项目以文件的形式存存进来
[00:07:21] 所以所以这更多时候是一个历史的对吧
[00:07:24] 有历史是不停的往后涨
[00:07:25] 往后涨往后涨呃
[00:07:26] 导致的原因
[00:07:27] 我我自己是觉得文件系统可能不是呃
[00:07:30] 组织项目的正确的呃方式
[00:07:32] 因为呃文件系统其实丢失了很多文件
[00:07:35] 不适合表达的信息
[00:07:36] 就有些有有些信息其实是比较容易表达的对吧
[00:07:40] 比如说我的intent spec这种
[00:07:43] 就我一一条文档这个地方我是怎么想的
[00:07:45] 或者这个测试用例是什么
[00:07:47] 我我输入是什么
[00:07:48] 输出是什么
[00:07:49] 然后我要assert在程序的运行过程中呃
[00:07:51] 什么东西不能被违反
[00:07:52] 但是你马上就会发现有很多隐藏的关联
[00:07:58] 在项目里面是没有的
[00:08:00] 我举个例子啊
[00:08:01] 你们呃你经常会在AI就是AI在写代码的时候
[00:08:07] 现现在agent的会稍微好一点
[00:08:08] 有时候也也也不会
[00:08:10] 你让他说哎把这个实现的什么方法从呃
[00:08:14] 比如说你要把link list换成是一个更高效的
[00:08:17] tree的结构去优化性能对吧
[00:08:20] 这是一个很常见
[00:08:21] 你突然发现这个性能不够了
[00:08:22] 然后你让AI去做
[00:08:23] AI就啪啪啪给你代码给改了
[00:08:25] 但是你没有想到的是
[00:08:27] 你可能在其中的某一个文件里写了一个文档里
[00:08:31] markdown里写了一个
[00:08:32] 我这个项目是用这个数据
[00:08:35] 是用link list管理的
[00:08:37] 然后在呃项目当中
[00:08:39] 其实你的这个文档和你的代码和测试之间
[00:08:44] 就形成了一个关联对吧
[00:08:47] 它就形成了一个呃你你在写的时候对吧
[00:08:52] 你写文档的时候可能还没有代码
[00:08:53] 所以你就先写了那个文档
[00:08:54] 你随手一写
[00:08:55] 这是个link list
[00:08:56] 但是一旦你的代码实现了这个关联
[00:09:00] 又没有强行的联系上
[00:09:02] 哎
[00:09:02] 这就是一个技术债
[00:09:04] technical debt对吧
[00:09:05] 因为以后随着文档和呃代码的不断的向前推演
[00:09:11] 他们的不一致只会越来越多
[00:09:13] 不会越来越少
[00:09:14] 然后这个软件就陷入一个维护的泥潭了
[00:09:16] 因为后面你拿出一个代码
[00:09:18] 甚至AI拿出看到一份代码
[00:09:19] 那到底是文档说的对还是代码说的对
[00:09:23] 你跟他聊天的那个历史没有了对吧
[00:09:26] 你那个chat已经已经消失了
[00:09:28] 你换了一台电脑对吧
[00:09:30] 然后你那个git ripple里面呃
[00:09:32] 可能还有一些这个这个change的日志
[00:09:34] 但是你你当你到最后的时候
[00:09:37] 你真的就不知道到底是代码队还是WW队
[00:09:40] 对对吧
[00:09:41] 呃然后其实在软件工程里面
[00:09:43] 这是一个研究了非常非常长时间的呃
[00:09:46] 问题叫叫TRACABILITY
[00:09:48] 你看这是这已经是2014年的时候
[00:09:50] 他review的一些呃更老的时候的文章对吧
[00:09:54] 他就叫suffer trace ability
[00:09:56] 可可可追踪性啊
[00:09:58] 所谓的追踪啧
[00:10:01] 就是你的
[00:10:02] 就他发现我们文件真的只是图
[00:10:05] 保存在文件系统里方便
[00:10:07] 那么呃在一个软件项目当中的
[00:10:11] 各种各样的测试用例文档
[00:10:15] 哪怕就文档中间一行代码
[00:10:17] 它之间的这个关联是什么哦
[00:10:19] 我们能不能在这个软件系统的演进过程中
[00:10:22] 仍仍然维持它对吧
[00:10:23] 这其实是一个非常软件工程的呃
[00:10:26] 呃软软件工程的问题
[00:10:28] 所以很多时候我们觉得蛮有意思的呃
[00:10:31] 文件系统将错就错了
[00:10:32] 那我们大家最后总有一天会发现
[00:10:35] 你用文件系统来管理代码
[00:10:37] 你受不了了对吧
[00:10:38] 打个压缩包发布
[00:10:40] 打压缩包发布
[00:10:41] 然后打压缩包发给你的合作者
[00:10:43] 这件事情啊已经维护不下去了对吧
[00:10:46] 维护不下去了
[00:10:46] 所以所以就有了SVN呃
[00:10:48] 有有有有了git呃
[00:10:51] 那下一个是什么对吧
[00:10:53] 大家有没有呃有没有想过下一个是什么
[00:10:56] 我今天一会会讲那个呃
[00:10:58] GGT他的下一另外一个呃
[00:11:01] 可能甚至比gate要好一些
[00:11:02] 更好用的一个版版本控制工具
[00:11:04] 但我同时也觉得就刚才说到呃
[00:11:07] Tracability
[00:11:08] 其实如果以后我们再也都不要写代码了
[00:11:11] 那软件他就不应该是一个
[00:11:14] 就是像像现在现在我们在get it
[00:11:17] get it report里面管管理
[00:11:18] 这样对吧
[00:11:19] 我们有好多文件对吧
[00:11:22] 什么什么read me点MD
[00:11:26] 然后是什么hello
[00:11:28] 点C对吧
[00:11:30] 还有一个什么DOS下的什么什么什么文档
[00:11:33] 然后其实如果如果所有的这些东西呃
[00:11:38] 我们人都不几乎不管了
[00:11:41] 那我们有没有可能我一直在想
[00:11:43] 就等这件这件这个未来到来
[00:11:46] 我们把这里面软软件或者说部件之间
[00:11:50] 就也许我们还是需要文档
[00:11:51] 但我们的文档可能是好多个切片对吧
[00:11:53] 好多切片就把他们变成好多的对象
[00:11:56] object或者是entity
[00:12:00] 然后呃
[00:12:01] 那比如说这个文档和文
[00:12:04] 这个实现之间就有一个关系
[00:12:06] 它实现了这个这个代码
[00:12:08] 实现了这个文档对吧
[00:12:09] 然后我可能有个测试用例
[00:12:13] 然后这个测试用例也有这个文档
[00:12:16] 那这个文档和测试用例又关联起来了
[00:12:19] 然后这个测试用例是和这个代码的这部分实现
[00:12:21] 是关联起来的
[00:12:22] 然后这个文档又和这个文档是关联起来的
[00:12:24] 然后你看这是一个完全结构化的东西
[00:12:27] 没有办法在文件系统里以一个树状的形式表达
[00:12:29] 对吧
[00:12:29] 这是一个就随便连接的一个图
[00:12:31] 有cycle的图graph
[00:12:33] 那这个东西
[00:12:35] 比如说我可以把它放到一个数据库里对吧
[00:12:37] 叫这个就叫report点dB嗯
[00:12:41] 那显然人类就没有办法用现在的这个UNIX的世界
[00:12:45] 里面的工具去维护这样的一个repository了
[00:12:47] 但不要紧
[00:12:48] 我们应该怎么
[00:12:50] 或者说我们应该应该怎么解决呢
[00:12:52] 用魔法打败魔法
[00:12:54] 人类理解不了的东西
[00:12:55] 我们只要训练AI
[00:12:56] 就他只要有强化学习的反馈信号
[00:12:58] 我们就可以训练AI
[00:12:59] AI能够理解这个RO
[00:13:01] 所以我们要干的是什么呢
[00:13:03] 这这就是一个非常大的项目
[00:13:04] 什么LINUX内核数据库
[00:13:06] 或者你们想做的一个价值一个亿的产品好
[00:13:09] 那每次你就说好AI
[00:13:11] 因为你你你也不太可能说一下子就说
[00:13:14] 我要把这个产品直接变成另外一个产品了
[00:13:16] 一当你比如说这个软件系统已经在工作了
[00:13:19] 那你一般来说就是要给它增加一个功能
[00:13:22] 修改一个功能对吧
[00:13:23] 然就就跟git的呃理philosophy很像嘛对吧
[00:13:27] git管理了文件目录
[00:13:29] 快照和快照之间的关系
[00:13:30] 你的你的get it呃
[00:13:32] 希望我们能够小步前进对吧
[00:13:34] 我每做一件事情
[00:13:35] 我fix一个bug
[00:13:36] 我改一个文档
[00:13:37] 我都产生一个commit
[00:13:39] 然后这样我就可以在多个人之间协作
[00:13:41] 每个人可以自己产生自己的commit
[00:13:43] 然后我们可以用像rebase merge啊
[00:13:45] 这个fast forward的啊
[00:13:47] 这些呃
[00:13:47] 就或者是普通的这种merge来呃
[00:13:50] 创建一个可追踪的呃
[00:13:52] 成整个项目的修改历史
[00:13:54] 那如果我们以后也不要文件
[00:13:58] 就就就也不是用
[00:14:00] 也许也许还可以用文件系统来管理啊
[00:14:02] 那我们要的就是
[00:14:03] 我们可以让AI自动维护
[00:14:07] 所有的这个artifacts软件
[00:14:09] artifacts之间的一致性
[00:14:11] 这个artifacts之前一致性
[00:14:12] 就比如说代码和文档必须要一致
[00:14:14] 我文档说这是link list
[00:14:15] 我的实现里面必须是link list
[00:14:17] 然后我的这个test case测试用例呃
[00:14:20] 我我我文档里面说
[00:14:21] 我要有ABC3个方面的测试
[00:14:23] 那我这个test case就必须要有ABC
[00:14:26] 它都是关联起来的
[00:14:27] 然后呢你想从git里面
[00:14:29] 我们知道我们希望小步前进对吧
[00:14:33] 我们希望小步前进
[00:14:34] 那同样的
[00:14:36] 当我们谈要做一小步的时候
[00:14:38] 其实我们知道这一小步是干什么的
[00:14:40] 所以你可以chat对吧
[00:14:41] 你可以跟AI chat说说
[00:14:43] 我现在要哎
[00:14:44] 我现在发现他有个bug
[00:14:45] 或者我我做了一个产品
[00:14:47] 比如说我现在今天对这个幻灯片样式不满意
[00:14:50] 那这就其实就是一个小步
[00:14:52] 然后呢这个时候一个大型的软件系统里面
[00:14:55] 绝大部分的内容跟这个小部都是没有关系的
[00:14:59] 对吧
[00:15:00] 比如说我当当我弹说哎
[00:15:02] 我对这个幻灯片的样式不感兴趣的时候
[00:15:04] 我呃比如说大家可以看直接看我的呃
[00:15:07] 看我这个ripple对吧
[00:15:09] 看下顶层的结构对吧
[00:15:10] 我有呃
[00:15:11] 我有些assets
[00:15:13] 然后甚至还有这个点cash
[00:15:15] 有有缓存的系统
[00:15:17] 然后有这个P1P2P3P4P五
[00:15:19] 然后有一些呃脚本等等
[00:15:22] 那任何一个软件系统
[00:15:24] 当你只做一小步的时候
[00:15:26] 你就只需要看到这个软件系统的一小部分
[00:15:29] 大部分东西应该是无关的好那既然是无关的
[00:15:32] 我们就可以让AI根据我们的chat
[00:15:35] 把和我相关的东西给摘出来对吧
[00:15:38] 他可以他可以知道哦
[00:15:40] 我现在需要需要的是这个文件
[00:15:43] 这个test case和这个文档
[00:15:44] 其是其他的东西都都不需要了
[00:15:47] 然后你想AI有什么能力
[00:15:50] AI有动态生成任何内容的能力
[00:15:54] everything is code对吧
[00:15:56] content as code code可以表达任何东西
[00:15:59] 所以AI可以根据我的chat
[00:16:01] 生成一个和我要改的这一小步相关的VIVO
[00:16:06] 一个视图诶
[00:16:08] 在这你看你们学到的这个各种系统里面的概念
[00:16:11] 还是有用的
[00:16:12] 就因为不是所有的同学都都学过数据库对吧
[00:16:15] 数据库里面有一个叫VIVO的概念
[00:16:17] 他说我们呃我我们的数据数据数据就在这了
[00:16:20] 但我可以创建一个不一样的查询
[00:16:22] 可以把它以另一个形式展示出来啊
[00:16:25] 这就是这个很简单的想法
[00:16:26] 我希望把这个这些数据
[00:16:29] 以另外一个形式给给展现出来
[00:16:32] 但比如说当我看到的时候
[00:16:33] 我就看到的不是这些代码文档DF这些
[00:16:36] 而是一个可视化的一个看板
[00:16:39] 然后这个看板上面大概说了
[00:16:40] 列出了和我这个小部相关的一些东西
[00:16:43] 然后问我要要改什么
[00:16:44] 然后我一把改完了以后
[00:16:46] 我同样的还是从一个对吧
[00:16:49] 从一个V0到V1
[00:16:53] 他还是一个rapport点BB
[00:16:56] 但是这一小步就会把这些相关联的东西
[00:16:58] 比如说我要增加一种类型的测试用例
[00:17:01] 那他就会在这个测试用例里面
[00:17:02] 比如说我还是画一个这样的结构
[00:17:05] 对吧啊好
[00:17:06] 那他可能就会在呃这些地方加一些测试用例
[00:17:09] 这个地方加一些测试用例
[00:17:11] 这个地方加一些测试用
[00:17:12] 例
[00:17:12] 然有些地方可能要改掉
[00:17:14] 他就从一个一致的状态
[00:17:16] 就是各种复错综复杂的关系
[00:17:18] 然后做一次小步的修改到这个啊下一个版本
[00:17:24] 然后这样我们就就好像对吧
[00:17:26] 就就软件工程就又变了彻底变了
[00:17:28] 然后我觉得这是一个未来有可能发生的
[00:17:30] 就是在AI内部
[00:17:32] 它是这样生产软件
[00:17:33] 然后然后从此以后我们也就再也不要看代码了
[00:17:36] 就我觉得你们看到现在的这种现代ID
[00:17:38] 比如说cursor
[00:17:39] 我我我其实还蛮讨厌的
[00:17:40] 就是他现在就打开默认就是agent mode
[00:17:43] 然后a j mod
[00:17:44] 就是原来的那个我们熟悉的那个IDE
[00:17:46] 它就没有没有了
[00:17:48] 然后强迫你用一个像像chat
[00:17:50] 类似于chat的方式去跟他沟通
[00:17:52] 但因为我还是呃相对来说比较精通呃
[00:17:56] 古法编程的
[00:17:57] 这个有时候我还是对代码有一些掌控欲
[00:18:00] 呃可能是不好的
[00:18:01] 这个可能是不对的
[00:18:02] 呃
[00:18:02] 但是呃就未来可能会是这是这可能是一个途径
[00:18:07] 然后你们呃当然我觉得同学们肯定也会焦虑的
[00:18:10] 那如果未来对吧
[00:18:12] 这件事情真的有可能发生
[00:18:13] 而且就就可能一两年以后
[00:18:15] 大家就就真的有一个公司把这东西做出来了
[00:18:17] 那我们学那么多多东西还还怎么办对吧
[00:18:21] 然后其实你发现在我们思考
[00:18:23] 就在创造这些东西的过程当中
[00:18:26] 我们用的都是你们学习的这些经典集大成的
[00:18:30] computer science的课程对吧
[00:18:31] 我刚才说的数据库里的视图对吧
[00:18:34] 数据库我用的是借用了数据库的概念
[00:18:36] 实体和关系
[00:18:37] 然后我借用了git对吧
[00:18:39] 我用git就这个模型没有变
[00:18:41] get it长期的开发经验说
[00:18:43] 我们要一步一步向向前啊
[00:18:46] 如果在这个模型底下
[00:18:47] 我们是大步向前呢
[00:18:48] 那就惨了
[00:18:49] 那当然也有可能发生
[00:18:50] 就是模型面非常非常强
[00:18:52] 一个非常大型的项目
[00:18:53] 而且一步啪就变成变成下一个了啊
[00:18:56] 这个这个怎么做
[00:18:57] 我们现在还还不知道
[00:18:58] 但是呃至少在初期
[00:19:02] 我们可能还是要沿用这个过去的这个
[00:19:05] 大家积累的软件工程智慧去小步向前
[00:19:08] 然后通往那个极乐的世界
[00:19:10] 但我还是相信这个极乐世界有可能呃
[00:19:13] 确实有可能是能是能到的对啊
[00:19:16] 所以这就呃这就引发了一个我觉得呃
[00:19:20] 在大学里面呃
[00:19:23] 我觉得蛮有意思的这个一个评论吧
[00:19:26] 这个这个同学应该是已经毕业了啊
[00:19:29] 已经毕业
[00:19:30] 因为我上上节课说我我呃问那个同学们get rebase
[00:19:34] 然后大家都不知道什么是get rebase
[00:19:36] 然后他他他raise了一个valid point
[00:19:38] 就是说他说学生时代
[00:19:40] 大多数人是不会和他人共同合作的
[00:19:42] 也就是做作业
[00:19:43] 所以瑞贝斯mage用的场景就很少正确
[00:19:47] 这个point是是是对的
[00:19:49] 就你们做作业的时候确实确实不会
[00:19:51] 然后我的回应是大概是这样的
[00:19:52] 但是呢
[00:19:53] 如果你真的去往这个外面的世界去走一走的话
[00:19:56] 这个互联网开发者社区铺天盖地都是文档
[00:20:00] 所以你一定会在有一天你会留意过别人的项目
[00:20:03] 会看到过叫contributing点MD
[00:20:05] 然后一般来说这个肯你马上就问这个对吧
[00:20:08] 你你们有有没有同学问过
[00:20:16] three bet啊
[00:20:17] 没关系
[00:20:17] 错了就就错了
[00:20:19] 哎我没有对吧
[00:20:21] 我没有
[00:20:21] 他还
[00:20:27] 仓库根目录下的一份贡献者指南
[00:20:30] 通常回答我怎么参与这个项目
[00:20:32] 然后你看它里面就有这些就项目的总体的结构
[00:20:36] 然后分支提交信息
[00:20:38] pr的规范和流程
[00:20:40] 那你如果看过
[00:20:42] 就这如果你你看看过很多的项目的computing m
[00:20:45] 你比如说你就就随手打开看一眼
[00:20:48] 然后如果你发现里面东西都知道了哈
[00:20:50] 那你就知道了
[00:20:51] 如果你不知道
[00:20:51] 比如说有一天
[00:20:52] 你一定会看到一个项目里面有一个说说
[00:20:54] 我们你必须要在你自己的分支上REBASE
[00:20:57] 你禁止你
[00:20:58] 你这种就我们要保持现行历史
[00:21:00] 禁止你直接创建那种分叉的merge
[00:21:03] 你就会知道REBASE是呃是干什么的
[00:21:06] 然后它它它现在是什么呢
[00:21:08] 呃现在我们的社会变得太快了
[00:21:11] 呃所以有一种学生其实不是批评啊
[00:21:15] 批评大家就是因为你们你们上高中的时候
[00:21:16] 就是这样的
[00:21:17] 在高中时候老师不教的
[00:21:19] 就是你不需要会的对吧
[00:21:20] 考试不考
[00:21:21] 就是你不用学的
[00:21:22] 非常明显的一个你你们为了升学的利益最大化
[00:21:26] 这个是正确的
[00:21:26] 没有呃
[00:21:28] 没有没有错
[00:21:30] 然后在你们到大学以后
[00:21:31] 你们如果还带着这个思维的话
[00:21:33] 你你你就你就会会有这样的对吧
[00:21:36] 就是这样的gap
[00:21:37] 就是你你一种新人类和旧人类之间的呃这个gap
[00:21:41] 当然但我相信每一个同学也还是可以成为呃
[00:21:44] 成为成为新人类的
[00:21:45] 然后那你只需要去去去有一些注意力
[00:21:48] 去注意到这个呃更多的东西
[00:21:51] 因为因为现在我有一个危机
[00:21:54] 就是呃AI时代的斩杀线以下的价值就全部归零
[00:21:58] 当然我觉得现在斩杀线可能还还斩不到
[00:22:01] 这个各位
[00:22:02] 985同大学这个converter science专业的同学
[00:22:05] 但是呃可能比如说那些低级的那种
[00:22:08] 低级智力劳动对吧
[00:22:10] 比如说呃会计从业者
[00:22:12] 好像我我看过一个报道
[00:22:14] 说中国可能是不是有1000万
[00:22:15] 还是有多少这个呃会计从业者
[00:22:17] 那那这个行业里面顶端的人
[00:22:20] 肯定暂时还是没有威胁的呃
[00:22:22] 但是在底下的这个大量的人都都面临
[00:22:25] 这个被agent的替代斩杀的啊危险
[00:22:27] 所以你们需要在呃这些经典的课程上
[00:22:30] 不管是呃什么操作系统
[00:22:32] 编译器这些呃
[00:22:34] 然后还是软件工程对吧
[00:22:35] 这里面有些软件工程的智慧啊
[00:22:37] 你们学到一些经典的东西
[00:22:39] 然后最终形成你们自己的啊自己的理解
[00:22:42] 对这是这是一些啊评论和复习复习
[00:22:46] get it好
[00:22:47] 那我们继续回到软件工程嗯
[00:22:53] 不管是这个模型啊
[00:22:54] 就是我说我畅想一下啊
[00:22:56] 未未来会发生什么
[00:22:58] 还是呃我们就是就是get it对吧
[00:23:01] Get it get it
[00:23:02] 他管理的是快照
[00:23:06] 也就是呃一个目录对吧
[00:23:10] 整个一个可能是也也就是这样的一个东西
[00:23:12] 的一个快照好
[00:23:14] 那我可以在快照上面做一个开发对吧
[00:23:18] 做一个开发他要求小步
[00:23:20] 那我现在现在有一两个开发者
[00:23:22] 一个是A1个是B
[00:23:23] 我们就可以独立的在这两个上面啊做做开发
[00:23:27] 然后呃好
[00:23:30] 那这个东西是commit
[00:23:34] 然后如果你要做这个时候
[00:23:37] 如果你要想把它合起来
[00:23:39] 那在git里面
[00:23:40] 在git的这个呃原始的模型里面
[00:23:44] 它它REBASE相对来说是不那么提倡使用的
[00:23:47] 它是说好
[00:23:48] 你你会创建一个就是两路的merge
[00:23:51] 他有222个parent呃
[00:23:53] 继承了这两个的这个修改
[00:23:56] 但是但是呃这又带来一些问题
[00:24:00] 比如说这个merge完
[00:24:01] 比如说merge是由AA来A来干的
[00:24:04] 那这个merge里面的这个一些内容
[00:24:08] 就由B写的这些内容
[00:24:11] 他就它就变他作者就变成A了
[00:24:14] 他其实有一个隐藏的作者修改对吧
