[00:00:00] 上一节课我们讲了虚拟化的最后一次课
[00:02:45] 其实他跑的是同一个操作系统的API
[00:02:49] 你们也知道LINUX内核是用C实现的
[00:02:52] 现在开始加入ARRUST的一部分吧
[00:02:54] 他用C语言实现的
[00:02:55] 那C本身也是具有一定的可移植性
[00:02:58] 它free standing的环境可以在X86上
[00:03:00] 也可以在arm64上运行
[00:03:02] 那操作系统的这个API
[00:03:03] 就是一个很好的中间层
[00:03:05] 我的底下的硬件
[00:03:07] 不需要知道上面的应用程序是是干什么
[00:03:09] 它只要机械地执行指令就行了
[00:03:11] 而上面的应用程序
[00:03:13] 你甚至都不需要知道它运行的是什么样的CPU
[00:03:16] 因为我们的代码是C代码都是可移植的
[00:03:20] 如果你写可移植的代码的话
[00:03:21] 那它在X86arm上都可以呃正确的运行
[00:03:25] 而像LINUX内核里面
[00:03:26] 体系结构相关的代码
[00:03:28] 是它其中相对比较少的一部分
[00:03:30] 总会有一些
[00:03:31] 但是相对比较少
[00:03:32] 这样我们就构建了这个计算机系统的世界
[00:03:34] 所以你看到一个很好的抽象
[00:03:35] 你们呃回头再去回顾一下
[00:03:39] 比如说在复习的时候
[00:03:40] 回顾一下这个课程的内容
[00:03:42] 你会想到
[00:03:43] 这个应用程序的世界是怎么样
[00:03:45] 1.1点被呃构造出来的
[00:03:48] 那么今天我们就正式进入
[00:03:51] 下一个部分的内容是并发编程的呃入门
[00:03:55] 当然我这个叫从入门到放弃
[00:03:57] 不是让你们放弃并发编程
[00:03:59] 是让你们知道呃并发编程
[00:04:01] 尤其是多处理器并发编程
[00:04:02] 它会遇到什么样的困难
[00:04:04] 以及我们会在呃若干次课的时间里面
[00:04:07] 告诉大家应该怎么样去写并发程序
[00:04:10] 它性能又好
[00:04:11] 而且又不容易呃出错
[00:04:13] 在之前的世界里
[00:04:15] 我们都假设说我们的程序就是一个一个状态机
[00:04:21] 就是一个状态机
[00:04:23] 那我们的程序是顺序执行的
[00:04:25] 它可以执行指令
[00:04:28] 如果是一个binary2进制的文件
[00:04:30] 它就是一条一条指令执行的
[00:04:31] 它也可以执行语句
[00:04:33] 如果如果这是一个C的话
[00:04:34] 以及编译器就是把高级的状态机编译成
[00:04:37] 就高级语言描述的状态机
[00:04:38] 编译成低级语言描述的状态机
[00:04:40] 但是呢这样的一个顺序执行的模型
[00:04:44] 这叫这叫顺序
[00:04:44] sequential的呃模型
[00:04:46] 它在写一些程序的时候
[00:04:49] 你会感觉到有明显的小麻烦小问题
[00:04:52] 比如说如果你想要写一个这个
[00:04:55] HTTP的服务器啊
[00:04:58] 到处都有HTTP服务器
[00:04:59] 你们打开你们的手机
[00:05:00] 你们的淘宝抖音
[00:05:02] 所有东西
[00:05:03] 在你请在你你想要从远端获取任何信息的时候
[00:05:08] 都是通过一个HTP的协议
[00:05:11] 或者说是HTPS的协议来完成的好
[00:05:13] 那如果你要写一个HTTP的server
[00:05:16] 比如说你今天想开一家
[00:05:18] 开个公司
[00:05:19] 然后他就叫什么淘宝
[00:05:20] 假设你你回到2000几年的时候
[00:05:23] 你想你想开一家公司叫淘宝
[00:05:24] 你要上线一个信息系统
[00:05:25] 那你希望做一个网页
[00:05:27] 这个网页可以呃收到一个请求
[00:05:30] 收到一个
[00:05:30] 比如说我要淘宝的首页
[00:05:32] 你想把这个首页返回给他
[00:05:34] 那如果是这样的顺序执行的模型
[00:05:37] 你就会写出这样的代码
[00:05:38] 我我有个h p server
[00:05:39] 然后它有一个FD
[00:05:41] 比如说打个比方有个FD
[00:05:43] 这个FD可以不断的持续的读取
[00:05:45] 读取来自别人的请求
[00:05:47] 假假想呢实际上不是不完全是这样
[00:05:50] 然后你你会不断的先分配一个buffer
[00:05:54] 然后从某一个地方读到一些数据
[00:05:57] 然后读完了以后你就去处理了
[00:06:00] 有的时候这个读会等很长时间
[00:06:03] 有的时候这个handle request
[00:06:05] 可以等相对比较长的时间
[00:06:07] 比如说他去读磁盘或者呃或者怎么样
[00:06:10] 也就是说一个程序里面可能会有好几个
[00:06:14] 好几个部分
[00:06:15] 比如说我我既要读磁盘
[00:06:17] 我又要读这个网络上的请求
[00:06:21] 我还可以做计算
[00:06:22] 但是如果是一个顺序的模型的话
[00:06:24] 如果我执行CISCO的时候
[00:06:26] 比如说我CISCO是个read
[00:06:28] 哪怕我现在手上还有一些别的事情可以做
[00:06:32] 我都不能去执行这个read
[00:06:34] 或者说我执行这个read以后
[00:06:36] 我哪怕手上还有事情做read
[00:06:38] 没有数据的时候
[00:06:38] 我就必须要等这个数据得到
[00:06:40] 他就其实浪费了一些呃时间
[00:06:43] 我的CPU可能在B的时候被卡住了
[00:06:45] 它就在空转
[00:06:47] 相当于呃不是在空转
[00:06:48] 它就是不在
[00:06:49] 不再处理我可以处理的事情
[00:06:51] 这是一种浪费
[00:06:52] 这是第一个
[00:06:53] 我们想要呃有一个共享内存的兵法
[00:06:57] 编程的一个理由
[00:06:58] 或者说只是一个想法
[00:06:59] 我能不能能不能有一个什么样的办法能够解决
[00:07:02] 我能够同时做好几件事情
[00:07:04] 如果他们真的能同时做的话
[00:07:06] 然后第二个动机是
[00:07:08] 我们现在的系统都是多处理器的
[00:07:11] 呃哪怕我的
[00:07:12] 树莓派
[00:07:15] 那如果我用list CPU去看的话
[00:07:17] 哎我的我的树莓派里面也有四个
[00:07:20] CPU它编号是00~3
[00:07:23] 那你们自己看你们的CPU可能会有更多
[00:07:24] 可能有几十个呃处理器
[00:07:26] 这几十个处理器
[00:07:28] 不管是你们的我的我的这个还是你们的
[00:07:31] 还是甚至是一个
[00:07:31] 比如说128或者256核的一个
[00:07:34] 机架上的服务器
[00:07:36] 他们的呃模型
[00:07:38] 它提供的硬件的模型都是共享内存的
[00:07:41] 你不用白不用
[00:07:42] 也就是说它的物理内存是一个地址空间
[00:07:46] 一个地址空间
[00:07:47] 然后两个CPU
[00:07:48] 如果他说CPU1说我要访问
[00:07:51] 1234这个地址
[00:07:52] CP2说我也要访问1234这个地址
[00:07:54] 那CPU1写进去的数据
[00:07:56] CP2过一会读
[00:07:57] 他就能读到它是一个共享内存的模型
[00:08:01] 那多处理系统其系统它是共享内存的
[00:08:04] 那这个共享内存的性性性质不用白不用
[00:08:07] 我们说我们怎么样利用好系统里的多处理器呢
[00:08:10] 我举过一个例子说你你现在呃写一个程序
[00:08:13] 那你可以
[00:08:15] 比如说
[00:08:16] 比如说你现在现在一个程序需要呃素数表
[00:08:19] 那你就先先把这个素数表算出来
[00:08:24] 算出来以后
[00:08:24] 然后你可以fork100分乘100好
[00:08:28] 这个时候呃我就会得到100个100个进程
[00:08:32] 然后每一个进程它都可以并行的执行
[00:08:34] 会被放到一个CPU上
[00:08:36] 你们可以做一个实验
[00:08:37] 你们可以看到CPU的利用率变成200%
[00:08:40] 300%
[00:08:40] 它超过了100%
[00:08:41] 就说明你的呃进程他们真的是在同时工作的
[00:08:46] 但是但是这样的程序有一个问题
[00:08:49] 如果你想收回这个fork的结果
[00:08:51] fork进程的结果就很难了
[00:08:53] 如果你想要把比如说我我你你想想要算一个
[00:08:58] 把一个很大的区间分成好多段
[00:09:01] 然后你每一段里面会算出一个值
[00:09:03] 最后你希望把它加起来诶
[00:09:05] 如果它是独立的进程
[00:09:07] 你就必须要再用管道这样的机制
[00:09:10] 你可以创建一个命名管道或者匿名管道
[00:09:13] 把这个数值送回给他的父亲竞争
[00:09:16] 最后把它加起来
[00:09:16] 但这个就很麻烦
[00:09:18] 很麻烦我
[00:09:19] 我们能不能直接
[00:09:20] 这是一个很很显然的动机
[00:09:22] 我们能不能直接
[00:09:23] 如果是共享内存的多个进程的话
[00:09:25] 我在主进程里面有一个sum哎
[00:09:28] 我这里就能不能sum加等于什么什么
[00:09:32] 我在fork完的紫禁城里面
[00:09:34] 直接就把这个内存给写了
[00:09:36] 那我的复兴的进程
[00:09:38] 只需要等到所有的进程结束了
[00:09:40] 我把这个sub打开就可以了
[00:09:42] 这样我不仅可以可以做求和这样的事情
[00:09:45] 我也可以做更复杂的事情
[00:09:46] 比如说我要呃同时可以
[00:09:48] 我可以甚至可以同时处理多个啊网络请求
[00:09:57] 然后这个动机你你再往后想
[00:09:59] 这也是很自然的
[00:10:00] 就是你想要实现一个共享内存的进程
[00:10:03] 我们已经实现了
[00:10:04] 用fork已经可以实现诶
[00:10:07] 我可以我可以把一个程序进程
[00:10:10] 如果在我fork以后
[00:10:11] 如果我执行了fork以后
[00:10:13] 它就变成了两份
[00:10:16] 在操作系统里面它就有有两份
[00:10:18] 他们两份是完全一样的
[00:10:19] 一个是你除非一个返回了紫禁城的PID
[00:10:22] 另一个返回的零
[00:10:23] 其他都是完全一样的
[00:10:24] 进城他们就就就往前执行
[00:10:26] 那我们能不能让这两个进程不要是分开的
[00:10:30] 或者说我能不能让这两个进程
[00:10:33] 它程序是可以独立执行的
[00:10:35] 但是它的内存是共享的吗
[00:10:38] 这个就叫线程
[00:10:40] 这就叫叫线程
[00:10:41] 你你的模型
[00:10:43] 我们的我们的模型是这样的
[00:10:45] 如果你考虑到呃simple c
[00:10:48] 你考虑到simple c
[00:10:50] simple c simple c是什么样的呢
[00:10:52] simple c是你的一个程序
[00:10:55] 有一个函数调用站
[00:10:57] 在最底下是main
[00:10:59] 然后你每次函数调用的时候
[00:11:00] 你都会放一个新的战争到站的顶上
[00:11:05] 然后每一个战争里面都有一个PC
[00:11:08] 这个是是simple c的
[00:11:10] 执行模型
[00:11:11] 然后当然除了这个战争以外
[00:11:14] 我们还有全局的变量
[00:11:17] Global
[00:11:18] 那么你就知道
[00:11:20] 如果你想要让两个程序或者两个进程共享内存
[00:11:24] 但是又能够独立的执行每个进程
[00:11:27] 或者每一个县城
[00:11:29] 他就必须要有一份自己的对战
[00:11:31] 站必须是独享的
[00:11:33] 如果两个县城它的站
[00:11:35] 因为我们的程序simple c执行的执行一个语句
[00:11:39] 它的含义就是从top most frame
[00:11:41] 最顶上的那个战争的PC选选一条语句出来
[00:11:44] 然后把它执行了
[00:11:45] 那如果两个程序两个独立的运行的实体
[00:11:49] 两个线程它共享一份站的话
[00:11:52] 这个就全乱套了
[00:11:53] 所以你你想的是
[00:11:55] 我们如果要把这样的一个模型
[00:11:58] 扩展成是一个两个线程
[00:11:59] 比如说两个线程的模型
[00:12:01] 我们就可以这样T1有一个他自己的站
[00:12:05] T2也有一个他的站
[00:12:06] 当然你也可以有T3
[00:12:09] 你你可以有有T3也有也可以有自己的站
[00:12:12] 但是他们共享一份全局的数据
[00:12:17] 这就很自然的一个扩展
[00:12:19] 就是完全是是你可以可以可以想到的好
[00:12:24] 那在这个基础上
[00:12:25] 如果他执行一条语句
[00:12:28] 就他的一次迁移
[00:12:30] 他怎么迁移呢
[00:12:31] 你可以把一个站加上全局
[00:12:35] 把一个站加上全局的这个内存
[00:12:39] 看成是一个进程
[00:12:42] 这就是一个进程
[00:12:43] 一个进程就是一个站加上一个全局全局变量
[00:12:45] 当然你有代码
[00:12:46] 你假设呃代码我这就不写了
[00:12:48] 代码也在全局的这个地方好
[00:12:50] 然后如果你把线程二的这个债和全局放在一起
[00:12:55] 紫色的
[00:12:55] 我现在叫它TR
[00:12:57] 它又是一个我们之前讲过的进程一样的概念
[00:13:01] 所以什么是迁移呢
[00:13:02] 迁移就是我可以选
[00:13:04] 我可以选T1执行一条
[00:13:07] 把T1的栈和全局放在一起
[00:13:10] 变成一个进程
[00:13:11] 往前执行一条语句
[00:13:12] 我也可以选T2
[00:13:14] 执行一条语句也可以选T3
[00:13:18] 所以我们就在这个传统已有的这样的
[00:13:21] 定义上
[00:13:22] 什么是程序上面
[00:13:24] 定义出了什么是是线程
[00:13:26] 然后呢我们为了管理多线程
[00:13:28] 我们还是可以可以沿用旧的模型
[00:13:31] 沿用旧的模型
[00:13:32] 我们在任何时候都有好几个相当于T1
[00:13:35] T2T3的站
[00:13:38] 然后还有一个global
[00:13:42] 然后我们现在可以在这个系统里面增加一个API
[00:13:45] 叫SPN
[00:13:46] 或者说我们增加在操作系统里面
[00:13:48] 增加一个系统单位叫SPN
[00:13:50] 然后这个span的行为画小一点
[00:13:54] 希望的行为就是在这个SP比如说可以有个F
[00:13:58] 可以可以跟一个函数
[00:13:59] 然后就是在已有线程基础上不变的情况下
[00:14:02] 创建一个新的线程
[00:14:04] 这是这是比如说现在创建一个新的T4
[00:14:07] 然后它这个里面有一个stack frame是F
[00:14:10] 然后当然global是不变的
[00:14:12] 我还可以除了spin以外
[00:14:13] 我还可以有一个exit
[00:14:15] Thread exit
[00:14:15] 那我我就是把这个线程从这个系统里面抹掉
[00:14:19] 和你们的exit和fork exit很像
[00:14:22] 只不过这个fork不是发生在操作系统层的
[00:14:25] 这个fork是发生在进程里面的一个进程里面
[00:14:28] 它有共享内存的线程
[00:14:30] 这就是线程
[00:14:30] 这就是你们
[00:14:31] 你们如果让你们从零开始设计一个呃线程
[00:14:35] 你们就会这样设计
[00:14:36] 然后再在如果在指令集的意义上
[00:14:40] 指令集
[00:14:41] 那它只有一个平坦的内存
[00:14:44] 就一个地址空间
[00:14:45] 只用一个一个map创建出来的地址空间
[00:14:48] 然后那么我们需要的就是在地址空间里面
[00:14:51] 为每一个进每一个线程12.1
[00:14:53] 12:02分配不同的区域作为它的站
[00:14:57] 然后每一个线程有它自己的寄存器
[00:14:59] 然后计算器里面有一个stack point
[00:15:01] 比如线程一的stack point
[00:15:03] 就是必须指向这个T1的栈
[00:15:05] 线程二的step point就必须指向T2的线程站
[00:15:08] 因为程序一旦被加载到CPU上运行
[00:15:11] 它就是一个无情的直接执行指令的吧
[00:15:13] 它只能load store和system call
[00:15:15] 那他load sword就是这个地址空间里面的东西
[00:15:18] 只是呃第一个线程
[00:15:21] 它的
[00:15:22] 寄存器里面的SP就要指向自己的对战的空间
[00:15:26] 然后T2就要指向自己的占的空间
[00:15:28] 这就是如果如果你们想要设计一套
[00:15:33] 设计一套这个呃共享内存的进程的话
[00:15:37] 你们就会实现SPN和exit两个
[00:15:41] 两个系统调用好
[00:15:42] 所以这就是你你这就是并发编程的全部
[00:15:46] 那我就可以下课了
[00:15:47] 这个concurrency整个部分我就讲完了
[00:15:49] 因为所有的concurrency
[00:15:51] 剩下的部分都是从这个模型上面推出来的
[00:15:54] 然后这你也就知道你打开了一个魔鬼的盒子
[00:15:58] 对魔鬼的盒子
[00:15:59] 然后我我我昨天在准备的时候
[00:16:00] 我把这一页换成slides
[00:16:03] 发给AI
[00:16:04] 然后让AI呃评论一下
[00:16:06] 然后AI直接这个让我呃顺着补几刀
[00:16:10] 把这个魔鬼具体化
[00:16:12] 然后AI完美的预言了我后面要讲什么
[00:16:14] 就我后面要讲
[00:16:15] 今天我要讲的所有东西
[00:16:16] AI都是知道的呵
[00:16:17] 所以我真的不知道我还要上课
[00:16:19] 就为什么需要我
[00:16:21] 我还来上课
[00:16:22] 我可能只要上到这儿
[00:16:23] 然后剩下你们就可以跟跟AI对话了
[00:16:26] 在我继续进入继续之前
[00:16:28] 跟大家澄清一个概念
[00:16:30] 你们经常会看到这个概念叫并发和并行
[00:16:33] 因为当我们说这个
[00:16:35] 一旦我们的线程进入这个模型以后
[00:16:38] 它就是并发的或者是并行的
[00:16:41] 然后并发和并行有一个比较微妙的呃差别
[00:16:44] 并发意义上是逻辑上的同时执行
[00:16:46] 你可能只有一个CPU
[00:16:48] 你只有一个CPU
[00:16:49] 那你每次就真的只能执行一条指令是吧
[00:16:52] 嗯一个单周期的CPU
[00:16:53] 每个时钟周期它就真的只能执行一条指令
[00:16:56] 但是呢如果你有两个程序
[00:16:59] 你可以让他一会儿一会是A程序在CPU上运行
[00:17:02] 一会儿是B程序在CPU上运行
[00:17:04] 那ABABAB交错执行
[00:17:06] 在一个比较长的时间尺度上
[00:17:08] 你看起来他们两个都被执行了
[00:17:10] 这个就叫并发
[00:17:12] 他逻辑上是在一个时间段上面
[00:17:15] 它都有往前的呃进展
[00:17:17] 但实际上有可能是
[00:17:19] 操作系统和运行库模拟出来的一个轮流的执行
[00:17:22] 当然如果他们真的是同时执行的
[00:17:24] 比如说就是两个CPU
[00:17:26] 两个线程被加载到两个CPU上
[00:17:28] 它同时运行
[00:17:29] 但这个这个就叫并行并行
[00:17:31] 那是真正意义上的同时执行
[00:17:33] 所以呃如果你的程序是并发的
[00:17:37] 它可能是并行的
[00:17:38] 也可能不是
[00:17:39] 但如果你的程序是并行的
[00:17:41] 那么它一定是并发的吧
[00:17:42] 它已经已经在物理时间上面就同时发生了
[00:17:46] 所以它一定也是啊也是并发的
[00:17:48] 然后在这里有有有挺呃一个挺有意思的理解
[00:17:51] 就是在刚才那个概念模型上
[00:17:53] 我有两种表示方法
[00:17:55] 一种是你看我现在有T1和T2
[00:17:58] 然后我可以选T1执行一步
[00:18:00] 也可以选T2执行一步
[00:18:02] 这是我我刚才定义的
[00:18:03] 因为我现在有两个线程
[00:18:05] 然后比如说我现在T2
[00:18:07] T 1t2
[00:18:08] 然后我现在如果执行span
[00:18:10] 比如说
[00:18:11] 比如说T2选T1执行SPA
[00:18:14] 它就到一个状态
[00:18:15] T1T2T三
[00:18:16] 就会到一个呃这样的状态
[00:18:19] 你的状态看起来是是这样的
[00:18:21] 它可以这样
[00:18:22] 他就可以选T1选T2
[00:18:24] 选T3
[00:18:25] 然后还有一个模型
[00:18:27] 更接近于实际CPU实现的模型是
[00:18:31] 你有T1和T2
[00:18:33] 然后你走一步的时候
[00:18:34] 相当于是T1和T2就同时同时往前
[00:18:38] 往前走走了一步
[00:18:39] 但是你们也知道
[00:18:40] 实际的处理器处理每条指令的速度是不一样的
[00:18:45] 你你有有的指令
[00:18:46] 你你这条指令你开始hit了
[00:18:48] 它就执行的比较快
[00:18:49] 有的指令开始miss
[00:18:51] 你就执行的比较慢
[00:18:52] 然后你有的load store指令
[00:18:54] 它就天生就比你寄存器的指令要慢一点
[00:18:56] 你的乘法和除法可能就要好几个周期
[00:18:58] 所以呃所以这个模型在我说选两个
[00:19:03] 线程同时执行一条语句
[00:19:05] 这个就有点过度简化了
[00:19:06] 在实际的系统当中
[00:19:08] 就真实的CPU上
[00:19:09] 你是很难理解并行程序执行到底发生了什么呢
[00:19:12] 因为你不知道一条指令到底执行的多快
[00:19:14] 执行指令
[00:19:15] 这条指令执行的快和慢
[00:19:16] 是取决于你当前整个系统里面
[00:19:19] 各种各样复杂的呃状态的
[00:19:21] 这里面我给魔鬼埋了一个伏笔
[00:19:23] 当然你们可以可以可以理解这两种
[00:19:26] 在概念上可以理解这两种
[00:19:28] 理解线程的方式
[00:19:32] 那既然你已经在理论上把这件事情呃想清楚了
[00:19:36] 那我们就可以呃做实验了
[00:19:38] 做实验
[00:19:39] 那我给大家提供了一个方便大家理解的
[00:19:42] 最小的线程库
[00:19:44] 这个库非常好用
[00:19:45] 它就实现了我刚才说的这个
[00:19:47] 这个SPN的呃功能我们看一下
[00:19:51] 这个线程库
[00:19:52] 首先操作系统给我们提供的功能
[00:19:56] 比我说的这个简化的模型要多
[00:19:58] 这里有个手册叫peace reat
[00:20:02] 你们可以看这个MM7的p cs
[00:20:04] 当然呃我们现在也在
[00:20:06] 也也不需要也不需要看了这个
[00:20:09] 我可以管道给AI
[00:20:11] 让他帮帮我看啊
[00:20:13] 这是我
[00:20:14] 我把操作系统给我们提供的线程库
[00:20:16] 做了一些减法
[00:20:18] 这个只适用于最简单的程序
[00:20:20] 它就两个API
[00:20:21] 第一个是SPA
[00:20:22] 它创建一个入口函数是function的线程
[00:20:25] 它可以传一个函数指针进去
[00:20:26] 然后这个这个函数是可以长
[00:20:29] 这样你的function有一个整数的线程号
[00:20:33] 线程号就从一开始编号
[00:20:34] 所以呃所以我的function你可以
[00:20:37] 我可以spin一个T
[00:20:38] 我可以SPN
[00:20:39] 比如说一个T
[00:20:41] 然后我可以再次放一个T
[00:20:43] 这样两个是同一个函数
[00:20:45] 但是他们的参数不一样
[00:20:47] 第一个SSPN会得到一
[00:20:49] 第二个相当于会掉
[00:20:51] 会启动一个线程调用T1
[00:20:53] 第二个会启动一个线程调用T2
[00:20:56] 然后他们就就是共享内存
[00:20:57] 而且是独立
[00:20:59] 独立运行的
[00:21:00] 这是SP
[00:21:02] 然后除了SSPIN以外呢
[00:21:03] 我还有一个功能叫join
[00:21:04] Join
[00:21:04] 就是等待所有我放出去的那个线程
[00:21:07] 它们结束
[00:21:08] 因为你的函数是可以返回的
[00:21:11] 你任何一个函数都可以返回
[00:21:13] 然后返回以后
[00:21:14] 这个线程就就结束了
[00:21:16] 然后我现在可以等等所有的线程返回
[00:21:20] 然后我的我的线程库里面也会默认返回join
[00:21:23] 所有的线程
[00:21:23] 但是你的peace read不会
[00:21:25] 就是操作系统给你提供的库不会
[00:21:26] 所以我为了简化
[00:21:28] 为了简化让你你让代码看起来容易理解一点
[00:21:31] 做了这样的简化
[00:21:32] 他的行为就是
[00:21:34] 我在每次创建一个新的线程的时候
[00:21:36] 我都会记个数字
[00:21:37] 你可以这么理解
[00:21:38] 比如说我创建一调用两次span
[00:21:40] 我就会记个二
[00:21:41] 然后我每一次建成结束
[00:21:44] 我也都会记一个数字
[00:21:46] 哎我有一个结束了
[00:21:47] 两个结束了
[00:21:47] 那我就会不断的等
[00:21:49] 等到直到等到所有的线程都结束
[00:21:51] 我我的main函数才能啊真正的结束
[00:21:55] 有兴趣的同学你可以去看一下
[00:21:57] 线程库的实现
[00:21:58] 当然这个线程库的实现也是比较比较
[00:22:01] straightforward好
[00:22:02] 它就是调用了呃我们的POSIX线程
[00:22:05] POSIX标准的线程
[00:22:06] 所以这是标准规定呢
[00:22:08] 也就意味着各种各样的平台上都会支持的
[00:22:11] 功能一旦成为标准的好处
[00:22:13] 就是你可以放心的
[00:22:15] 在绝大部分足够好的平台上使用它
[00:22:17] 比如说呃你们的鸿蒙系统这样的
[00:22:20] 可能是一个和LINUX不兼容的系统
[00:22:22] 但是它一般来说都会兼容POSIREAD
[00:22:24] 以能够移植更多的呃第三方的库函数
[00:22:28] 第三方的应用程序到他的啊系统上
[00:22:31] 对有兴趣的同学可以看一下
[00:22:33] 那这个线程库怎么用呢
[00:22:35] 看一个程序就知道了
[00:22:37] 我有个hello
[00:22:37] 点C
[00:22:40] 就是个普通的C程序
[00:22:41] 一旦碰到死SPA的时候
[00:22:43] 就会这个系统里面就多了一个
[00:22:46] 相当于就多了一个函数
[00:22:48] 然后这个函数是和其他函数独立运行的
[00:22:51] 函数是Y1print a
[00:22:54] 第二个函数是Y1print b
[00:22:55] 那你就会预期你不会看到AAA一直打到底
[00:23:00] BBB打到底
[00:23:01] 你会看到交替出现的A和B
[00:23:03] 然后这个能力是之前我们在不并发的世界里面
[00:23:07] 你当然你多个进程理论上说可以实现这点
[00:23:10] 但是在一个进程里面
[00:23:11] 一个程序里面
[00:23:12] 以前你是实现不了
[00:23:14] 这个功能呢
[00:23:15] 那我们当然可以啊运行一下
[00:23:18] 当然你可以假设我实现的是对的
[00:23:20] 你可以看到一个随机的交替出现的
[00:23:24] A和B符合预期
[00:23:26] 因为因为你不知道
[00:23:28] 首先你不知道我们的操作系统
[00:23:30] 什么时候会把A和B放出来执行
[00:23:32] 然后你也不知道这个他们执行到底谁快一点
[00:23:35] 谁慢一点
[00:23:35] 所以你看到就是
[00:23:37] 一会A1会B1会儿A1会儿B
[00:23:38] 这个结果是符合
[00:23:40] 符合我们对并发和并行的预期的
[00:23:43] 它实际上是并行执行的
[00:23:45] 实际上是并行执行的好
[00:23:47] 这个就是呃并发程序的
[00:23:51] 线程库的运行好
[00:23:52] 那么下下面一个问题
[00:23:54] 如果你有了这样的一个线程库
[00:23:56] 你马上就可以写代码了
[00:23:57] 那你作为第一次接触多线程编程
[00:24:01] 你可以问出什么问题呢
[00:24:03] 或者说你想改一改
[00:24:04] 这个TA和TB来实现哪些有趣的呃功能
[00:24:08] 来加深你对线成这件事情的理解呢
[00:24:11] 我们至少可以干几件事
[00:24:14] 比如说我们可以证明
[00:24:16] 这几个线程确实是并并行的
[00:24:19] 而且他们确实是共享内存的
[00:24:22] 我怎么证明它是共享内存的呢
[00:24:24] 我怎么证明它的栈是独立的呢
[00:24:27] 如果他的站是独立的
[00:24:29] 每一个线程它的站都在地址空间里
[00:24:32] 那这个地址空间应该有一个头
[00:24:34] 有一个尾
[00:24:35] 这空间到底有多大呢
[00:24:37] 诶
[00:24:38] 你就可以问出很多这样的问题
[00:24:41] 帮助你理解我刚才说的这个概念的模型
